placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,error,attributes
https://www.google.com/maps/place/Zip+Tax/data=!4m7!3m6!1s0x54d2c1642b7fc863:0xd801948e0c0c3656!8m2!3d40.4537648!4d-122.2895477!16s%2Fg%2F1w04jv9_!19sChIJY8h_K2TB0lQRVjYMDI6UAdg,Zip Tax,4.5,40,Tax preparation service,"2600 Balls Ferry Rd #2, Anderson, CA 96007, United States","FP36+G5 Anderson, California, USA",https://www.ziptaxredding.com/,+1 530-378-2854,Closed ⋅ Opens 9 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPzDasv2SmCidjIqYhUx3PQOB9Wv-WiZgaofWVF=w408-h544-k-no,true,Closed,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:16:53.640Z,,
https://www.google.com/maps/place/Liberty+Tax/data=!4m7!3m6!1s0x54d2c165ca2c2f99:0x549f1ca39f33776b!8m2!3d40.448439!4d-122.2953877!16s%2Fg%2F1wk7qlk3!19sChIJmS8symXB0lQRa3czn6Mcn1Q,Liberty Tax,4.9,362,Tax preparation,"2081 Balls Ferry Rd, Anderson, CA 96007, United States","CPX3+9R Anderson, California, USA",https://www.libertytax.com/15596,+1 530-605-2332,"Closed ⋅ Opens 9 am Tue

Updated by this business 2 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8-H9_5Sd_8917C5L8FwG59NFYxw-ccOps1VRXkF58Ti1EfIEJY4k5dZQVQVKdcZQ90-NLiNIPi6RbetAo8WuIJhpjUJUjPHxcrM0WtibdZBwxFc-2LCWpUDXmQ6xAyv-tdx7o=w408-h342-k-no,true,Closed,Closed,9 am–1 pm,Closed,Closed,2–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:16:59.909Z,,
https://www.google.com/maps/place/Far+NorCal+Tax/data=!4m7!3m6!1s0x6f762a732be1e5d7:0x5e15cf9fe361026!8m2!3d40.4545599!4d-122.2961686!16s%2Fg%2F11jz19g49y!19sChIJ1-XhK3Mqdm8RJhA2_vlc4QU,Far NorCal Tax,5.0,8,Tax preparation service,"3040 Ventura St, Anderson, CA 96007, United States","FP33+RG Anderson, California, USA",,+1 530-364-2697,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s_BRHDBZfiShjetriLrWbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=236.86884&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:02.663Z,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x54d2c16ea14742c1:0x158be2bd7754791f!8m2!3d40.4546951!4d-122.2910674!16s%2Fg%2F1wb8tf5g!19sChIJwUJHoW7B0lQRH3lUd73iixU,H&R Block,4.5,110,Tax preparation service,"2615 Ganyon Dr, Anderson, CA 96007, United States","FP35+VH Anderson, California, USA",https://www.hrblock.com/tax-office-near-me/california/anderson/6501/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 530-365-7515,,,https://lh3.googleusercontent.com/p/AF1QipPtUtSEHjhl4kGC7aIyosp_92oXpGzmZRJQPJwl=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:05.582Z,,
https://www.google.com/maps/place/Professionals+Only/data=!4m7!3m6!1s0x54d2c1658f2aab2f:0xe7c99f1a514de88b!8m2!3d40.4534693!4d-122.2976278!16s%2Fg%2F1tcwfq8j!19sChIJL6sqj2XB0lQRi-hNURqfyec,Professionals Only,4.2,5,Tax preparation service,"2265 North St, Anderson, CA 96007, United States","FP32+9W Anderson, California, USA",,+1 530-378-1983,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P2yvmB3PlKE_oVel57zXOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.52896&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:08.533Z,,
"https://www.google.com/maps/place/Active+Tax+%26+Bookkeeping/@40.44464,-122.343403,17z/data=!3m1!4b1!4m6!3m5!1s0x54d2c1688b91c3e5:0xc95038b73b6137ed!8m2!3d40.44464!4d-122.343403!16s%2Fg%2F1vpq6mc3",Active Tax & Bookkeeping,,,Tax preparation service,"19150 Olinda Rd, Anderson, CA 96007, United States","CMV4+VJ Anderson, California, USA",,+1 530-378-8083,,,,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:13.272Z,,
https://www.google.com/maps/place/Morris+Wealth+Management/data=!4m7!3m6!1s0x54d2c16c05107dc5:0xb946965312db3c48!8m2!3d40.454954!4d-122.2896052!16s%2Fg%2F1tfvgyss!19sChIJxX0QBWzB0lQRSDzbElOWRrk,Morris Wealth Management,,,Financial planner,"2807 Childress Dr, Anderson, CA 96007, United States","FP36+X5 Anderson, California, USA",,+1 530-365-1234,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bMUAEX4sBMV0n_YTInthBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.699681&pitch=0&thumbfov=100,true,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:18.187Z,,
"https://www.google.com/maps/place/Corey+Christ,+CPA/@40.513096,-122.3818318,17z/data=!3m1!4b1!4m6!3m5!1s0x54d2ea2b57895a11:0xe8f33871d5f44823!8m2!3d40.513096!4d-122.3818318!16s%2Fg%2F1w0j3y7g","Corey Christ, CPA",5.0,1,Certified public accountant,"7036 Westside Rd # 205, Redding, CA 96001, United States","GJ79+67 Redding, California, USA",http://www.shastacountycpa.com/,+1 530-241-2272,Closed ⋅ Opens 9 am Mon,,,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:25.213Z,,
"https://www.google.com/maps/place/John+G+Hughes,+CPA+A+Professional+Corporation/data=!4m7!3m6!1s0x2812d9a5e039482b:0x27e0cb2d5b01c40d!8m2!3d40.5755785!4d-122.363463!16s%2Fg%2F11w8thmyh_!19sChIJK0g54KXZEigRDcQBWy3L4Cc","John G Hughes, CPA A Professional Corporation",5.0,24,Certified public accountant,"448 Redcliff Dr #232, Redding, CA 96002, United States","HJGP+6J Redding, California, USA",https://www.johnghughescpa.com/,+1 530-276-8133,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPdDIPcX_3jfKJ1_v1V5Z8sqjJh7b_RWS5pW4jH=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:30.227Z,,
https://www.google.com/maps/place/J+R+Martin+%26+Associates/data=!4m7!3m6!1s0x54d2ecbf83d5146f:0xfaad91cc07a79880!8m2!3d40.5752117!4d-122.3508543!16s%2Fg%2F1tjz7p98!19sChIJbxTVg7_s0lQRgJinB8yRrfo,J R Martin & Associates,4.9,57,Accountant,"1155 Del Monte St Suite A, Redding, CA 96002, United States","HJGX+3M Redding, California, USA",https://www.jrmartincpa.com/?utm_campaign=gmb&utm_medium=gmb_website_clicks&utm_source=gmb,+1 530-364-5040,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOxiPHqV_tivDFPNKvm76DP-2ZUmhi-FDJYTYQ6=w426-h240-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2025-10-19T17:17:35.419Z,,
