placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Bryant-Durham+Services/data=!4m7!3m6!1s0x89ace120eac15193:0x77541ce13d715d75!8m2!3d36.0312712!4d-78.9728071!16s%2Fg%2F1tdkyk60!19sChIJk1HB6iDhrIkRdV1xPeEcVHc,Bryant-Durham Services,4.5,113,HVAC contractor,"5102 Neal Rd #100, Durham, NC 27705, United States","22JG+GV Durham, North Carolina, USA",https://www.bryantdurham.com/,+1 919-383-9227,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJ2qp9_lQTnfyS8erdwC-GHyfEjoTi099X6Wy4Tff91rkP0RPUQf98DhiBLcu39V-i7Nw803P7EiMkzijin5L2wThUZCXCc4T6HHGa9aWeQFKANdYjxfIdofjBp4CmpOlIkoie=w493-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:24:53.384Z,,,
https://www.google.com/maps/place/SKK+Electric+LLC/data=!4m7!3m6!1s0x59286b01de4bbe5:0x6c6e0cfcdeb6e4d6!8m2!3d36.0121897!4d-78.8445271!16s%2Fg%2F11q2z0y04w!19sChIJ5bvkHbCGkgUR1uS23vwMbmw,SKK Electric LLC,4.9,138,Electrician,"1035 Harvest St, Durham, NC 27704, United States","2564+V5 Durham, North Carolina, USA",https://www.skkelectricllc.com/,+1 919-500-8757,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMvPTjJi9iovnpFRf6Y7hzodYVXoQWyDpIEvlIS=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:24:58.993Z,,,
https://www.google.com/maps/place/DB+King+Electrical+Contractors/data=!4m7!3m6!1s0x89ace1441eee06c1:0xf78ea1833f51dc9b!8m2!3d36.0261905!4d-78.9455534!16s%2Fg%2F11ggngfc03!19sChIJwQbuHkThrIkRm9xRP4Ohjvc,DB King Electrical Contractors,4.9,14,Electrician,"3014 Croasdaile Dr, Durham, NC 27705, United States","23G3+FQ Durham, North Carolina, USA",http://www.dbkingec.com/,+1 919-682-2056,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOTbbbU_YFnnXVh0pM5KgOkBZnJCiTKwYOUhXV2=w408-h407-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:03.777Z,,,
https://www.google.com/maps/place/JD+Service+Now/data=!4m7!3m6!1s0x89ace0df58a64ceb:0x327033efd11e8be8!8m2!3d36.0310204!4d-78.9751421!16s%2Fg%2F1tg8kln5!19sChIJ60ymWN_grIkR6Ise0e8zcDI,JD Service Now,4.9,5164,Heating contractor,"4416 Bennett Memorial Rd STE 108, Durham, NC 27705, United States","22JF+CW Durham, North Carolina, USA",https://www.jdservicenow.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Durham-NC,+1 919-794-8320,Closes soon · 5 pm · Opens 8 am Sun,https://lh3.googleusercontent.com/p/AF1QipP6PxoIGRBXfTES-r-x37OGNpXWFGjUY_gCeg4=w408-h265-k-no,true,8 am–5 pm,8 am–5 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:08.678Z,,,
https://www.google.com/maps/place/Power+Tech+Electrical+Services/data=!4m7!3m6!1s0x89ace3b7e6df2303:0x9b7a888d18e594bb!8m2!3d36.0324365!4d-78.9785618!16s%2Fg%2F11f7ppdvwg!19sChIJAyPf5rfjrIkRu5TlGI2Ieps,Power Tech Electrical Services,5.0,21,Electrician,"4615 Hillsborough Rd Suite 200, Durham, NC 27705, United States","22JC+XH Durham, North Carolina, USA",http://powertechnc.com/,+1 919-730-7623,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMcbp412-3eR05-iXcGpgPGl6RyZoxdJvv9SfTE=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:13.874Z,,,
"https://www.google.com/maps/place/Progressive+%7C+Plumbing,+Heating+%26+Air,+Electrical/data=!4m7!3m6!1s0x89acfcb21bcaf0d9:0xf09bdeb654993559!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1tdzr_w5!19sChIJ2fDKG7L8rIkRWTWZVLbem_A","Progressive | Plumbing, Heating & Air, Electrical",4.7,416,Plumber,,,http://www.callprogressive.com/durham/,+1 919-682-4262,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMG0prlLWz2mUAnUWZAl1pczV8mWpyDQX6RjAjZgFTIP9nE7249bPBVKiRH0i1cI049Q1E_rxmrVkQ-MJiEwpHJLqLVRKYvy2yMtIue3BHbq_sHBbNaQrTLgb3uXSMOoqmhH7A=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:18.863Z,,,
https://www.google.com/maps/place/Braco+Electric+Company/data=!4m7!3m6!1s0x89ace3a360b42c0d:0xea1dd4c29154c98f!8m2!3d36.0327554!4d-78.8933804!16s%2Fg%2F11fll6mq43!19sChIJDSy0YKPjrIkRj8lUkcLUHeo,Braco Electric Company,4.7,10,Electrician,"108 W Britania Ave, Durham, NC 27704, United States","24M4+4J Durham, North Carolina, USA",,+1 919-220-1012,Closed · Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SkHjAR6tiaWaDwloaiqcdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=355.41245&pitch=0&thumbfov=100,false,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:23.830Z,,,
"https://www.google.com/maps/place/Green+Volt+Electric,+LLC/data=!4m7!3m6!1s0x89ace517853aec19:0x97fc3b1593bebeda!8m2!3d35.9112025!4d-78.8999189!16s%2Fg%2F11r3jfjklm!19sChIJGew6hRflrIkR2r6-kxU7_Jc","Green Volt Electric, LLC",5.0,97,Electrician,"2530 Meridian Pkwy Suite 300, Durham, NC 27713, United States","W462+F2 Durham, North Carolina, USA",http://greenvoltelectric.com/,+1 919-888-7960,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPnkrQcT4e_P9UGskVdAZpyDxGm1PQ0ClqDgFM=w408-h544-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:28.585Z,,,
https://www.google.com/maps/place/Chamberlain+Electrical+Services+LLC/data=!4m7!3m6!1s0x89ad198c56a2fe2f:0x7d678c7317d68657!8m2!3d36.0782997!4d-78.909766!16s%2Fg%2F11nmsf8564!19sChIJL_6iVowZrYkRV4bWF3OMZ30,Chamberlain Electrical Services LLC,5.0,95,Electrician,"5308 N Roxboro St, Durham, NC 27712, United States","33HR+83 Durham, North Carolina, USA",https://myelectricalpro.com/?utm_campaign=gmb,+1 919-884-9489,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNO0RK0Y4dRfDkz0EnCNOtaIWt7XgxpsIeERg-Z=w408-h272-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:33.518Z,,,
https://www.google.com/maps/place/RTP+Electrical+Services+LLC/data=!4m7!3m6!1s0x89ace15f928d1f39:0x5aa3d9dbcdd925a0!8m2!3d36.0297185!4d-78.9296031!16s%2Fg%2F11g_gp5nd!19sChIJOR-Nkl_hrIkRoCXZzdvZo1o,RTP Electrical Services LLC,3.7,6,Utility contractor,"2402 Reichard St, Durham, NC 27705, United States","23HC+V5 Durham, North Carolina, USA",https://rtpelectricalservices.com/,+1 919-321-8617,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ja74I3lv-ll-A61Lb9OhHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.306822&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:38.389Z,,,
"https://www.google.com/maps/place/Kemco+of+Burlington,+Inc/data=!4m7!3m6!1s0x89ace5a0fbcf83dd:0x9ae10d47736b08e7!8m2!3d35.9889407!4d-78.8607795!16s%2Fg%2F11ll5b37vs!19sChIJ3YPP-6DlrIkR5whrc0cN4Zo","Kemco of Burlington, Inc",4.0,4,Electrician,"202 S Hoover Rd, Durham, NC 27703, United States","X4QQ+HM Durham, North Carolina, USA",http://kemcoelectric.com/,+1 336-584-1166,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vw1ywLUg9pQUFEmTAn2xow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.23953&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:41.431Z,,,
https://www.google.com/maps/place/A1+Electrical+HVAC+LLC/data=!4m7!3m6!1s0x89acfc900dd79171:0x9d6d25fe6f4cf442!8m2!3d36.0309995!4d-78.7610726!16s%2Fg%2F1hm3p1tkd!19sChIJcZHXDZD8rIkRQvRMb_4lbZ0,A1 Electrical HVAC LLC,4.9,43,Heating contractor,,,https://www.a1electricalhvac.com/,+1 919-225-4654,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipO3T4GZJcPDzIHsVu8_9fxvEZSHWijKd95L8T-H=w426-h240-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:46.379Z,,,
https://www.google.com/maps/place/SP+Electrician/data=!4m7!3m6!1s0x89ace5b8e0932a0d:0xdb0c46fbeef3b87b!8m2!3d36.0008437!4d-78.909772!16s%2Fg%2F11qyg3frkg!19sChIJDSqT4LjlrIkRe7jz7vtGDNs,SP Electrician,5.0,24,Electrician,"106 Albemarle St, Durham, NC 27701, United States","232R+83 Durham, North Carolina, USA",https://s-p-electrician.ueniweb.com/?utm_campaign=gmb,+1 347-834-8555,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s8iN68iiO_OMPejGceNVoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=147.61273&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:51.381Z,,,
"https://www.google.com/maps/place/Vaughan+Electric,+Co.+Inc./data=!4m7!3m6!1s0x89ace4b3befbe1ff:0x42a3891fc08fab71!8m2!3d35.9869633!4d-78.8423833!16s%2Fg%2F1tdcsdjf!19sChIJ_-H7vrPkrIkRcauPwB-Jo0I","Vaughan Electric, Co. Inc.",4.6,20,Electrician,"3007 Holloway St, Durham, NC 27703, United States","X5P5+Q2 Durham, North Carolina, USA",http://www.vaughanelectricco.com/,+1 919-596-1327,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Pyr4cuJ6aBoAkQFbh74kgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.0524&pitch=0&thumbfov=100,true,7 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:56.178Z,,,
https://www.google.com/maps/place/Durham+Electric+Co/data=!4m7!3m6!1s0x89ace4774fe88205:0xfe4f55fc19011089!8m2!3d36.0017456!4d-78.8954681!16s%2Fg%2F1tdmqy8p!19sChIJBYLoT3fkrIkRiRABGfxVT_4,Durham Electric Co,2.0,1,Electrician,"807 N Mangum St, Durham, NC 27701, United States","2423+MR Durham, North Carolina, USA",,+1 919-682-5771,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sb18iy2iF5VPCKHSSdYXNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.18958&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-01-10T21:25:58.859Z,,,
