placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,error
"https://www.google.com/maps/place/York+Pain+Group/@53.9614205,-1.0739108,14z/data=!4m6!3m5!1s0x4879311e5274d2e3:0xec9a01f1a898eb31!8m2!3d53.9785114!4d-1.113713!16s%2Fg%2F11xl7x8cb0",York Pain Group,5.0,7,Pain management physician,"Pain Group, Clifton Park Hospital, Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","XVHP+CG Rawcliffe, York, UK",https://www.yorkpaingroup.co.uk/,+44 1904 238773,Closed · Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipOSh46CxmAJduF85DnFy-hMWazvtF9lanNC0UBQ=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-01-28T19:01:59.643Z,,,
https://www.google.com/maps/place/Dr+Kalyan+Spine+Specialist+%26+Surgeon/data=!4m7!3m6!1s0x487931eb5c6994e3:0x5ffee9bc4653f4fd!8m2!3d53.978274!4d-1.1131831!16s%2Fg%2F11jv787fq_!19sChIJ45RpXOsxeUgR_fRTRrzp_l8,Dr Kalyan Spine Specialist & Surgeon,5.0,10,Orthopedic surgeon,"Blue Beck Dr, Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","XVHP+8P Rawcliffe, York, UK",http://www.kalyanspine.com/,+44 7734 003400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM-hZRcCuQLsY261rFeeJkfPiJSTOJQId1vnZ04=w408-h452-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:24.763Z,,,
https://www.google.com/maps/place/Dr+Kalyan+Spine+Specialist+%26+Surgeon/data=!4m7!3m6!1s0x487931e4dc4dfe19:0x5f7d4b0a36a9f4cb!8m2!3d53.9741385!4d-1.0757354!16s%2Fg%2F11jbcf0c5q!19sChIJGf5N3OQxeUgRy_SpNgpLfV8,Dr Kalyan Spine Specialist & Surgeon,5.0,17,Orthopedic surgeon,"Hospital, Haxby Rd, Clifton, York YO31 8TA, United Kingdom","XWFF+MP York, UK",http://www.kalyanspine.com/,+44 7734 003400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOVer4m57iVH6T-iWZU_M1sbBYpsSP65DdqKuSd=w408-h452-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:30.548Z,,,
https://www.google.com/maps/place/York+Hospital/data=!4m7!3m6!1s0x487931a1db7f2029:0xbb7ef99dc5f7ebc4!8m2!3d53.9699817!4d-1.083555!16s%2Fm%2F0gvrhzd!19sChIJKSB_26ExeUgRxOv3xZ35frs,York Hospital,3.9,705,General hospital,"Wigginton Rd, Clifton, York YO31 8HE, United Kingdom","XW98+XH York, UK",https://www.yorkhospitals.nhs.uk/,+44 1904 631313,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqsru3DiYvnbF-UTufBNC9ZYkISMYIRGDe_awnOrd1wDzvJBTmNYtc7ZyBuvY0IQTkCA3kYEgT1hr_AncGXbip5RtcgAD0_z_02xDgJVFLDntA8YuBl6bPXmYc9rSak0JVYbbil=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:36.486Z,,,
"https://www.google.com/maps/place/Mr+R+Kalyan,+Consultant+Spine+Specialist/@53.9790519,-1.1133761,17z/data=!3m1!4b1!4m6!3m5!1s0x4879311cd9d58a8f:0xb00e519a500b4861!8m2!3d53.9790519!4d-1.1133761!16s%2Fg%2F11fr_9t_r1","Mr R Kalyan, Consultant Spine Specialist",,,Doctor,"Clifton Park Hospital, Blue Beck Dr, Shipton Rd, York YO30 5RA, United Kingdom","XVHP+JJ Rawcliffe, York, UK",http://www.kalyanspine.com/,+44 1642 765765,,,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:41.318Z,,,
https://www.google.com/maps/place/Clifton+Park+Hospital+Ltd/data=!4m7!3m6!1s0x48793169fb3ff957:0x1b577e6e721eb1dd!8m2!3d53.9784342!4d-1.1136217!16s%2Fg%2F1td0mjt_!19sChIJV_k_-2kxeUgR3bEecm5-Vxs,Clifton Park Hospital Ltd,4.4,52,Private hospital,"Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","XVHP+9H York, UK",https://www.ramsayhealth.co.uk/hospitals/clifton-park-hospital,+44 1904 464550,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4bCY5f4Qt9GsqdWQ5Yb6YUdMoeNC24bhoOWW5w4JQ-OdxTdwzEWnUSU9I7RJtphmjv39fR2fqLh8SEcFSSlfSrU31m0fv9Dxatbb03nvHEcSFXfLtjBOI5X_t8NgX8locjgc5=w408-h240-k-no-pi-0-ya229-ro0-fo100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:47.349Z,,,
https://www.google.com/maps/place/Nuffield+Health+York+Hospital/data=!4m7!3m6!1s0x48793199da888f91:0x4457bee18a7ee787!8m2!3d53.9741463!4d-1.0761393!16s%2Fg%2F1tq8j1q8!19sChIJkY-I2pkxeUgRh-d-iuG-V0Q,Nuffield Health York Hospital,4.4,165,Private hospital,"Haxby Rd, Clifton, York YO31 8TA, United Kingdom","XWFF+MG York, UK",https://www.nuffieldhealth.com/hospitals/york?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-York,+44 1904 233225,Closes soon · 8 pm · Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipNAPfJKSX4I3FckoFqytFUeZkdCaGG45dtIWR7h=w408-h271-k-no,true,8 am–8 pm,8 am–8 pm,8 am–7 pm,8 am–2 pm,Closed,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:52.613Z,,,
https://www.google.com/maps/place/Urgent+Care+Centre+York+Hospital/data=!4m7!3m6!1s0x4879319eb2321d23:0x7bb9c7f366500b39!8m2!3d53.9693542!4d-1.0837309!16s%2Fg%2F11b5pjbrhr!19sChIJIx0ysp4xeUgROQtQZvPHuXs,Urgent Care Centre York Hospital,3.4,25,Urgent care center,"Wigginton Rd, Clifton, York YO31 8HE, United Kingdom","XW98+PG York, UK",http://www.yorkhospitals.nhs.uk/our_services/az_of_services/minor_injuries_unit/,+44 1904 726588,Open · Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2VtmYLn4Ds8w8cWP3ETw3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.28064&pitch=0&thumbfov=100,false,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:02:58.148Z,,,
https://www.google.com/maps/place/Scarborough+General+Hospital/data=!4m7!3m6!1s0x487f3814c66ccde5:0xbf5415e5d23a0e0d!8m2!3d54.2815045!4d-0.4373861!16s%2Fm%2F0403tgp!19sChIJ5c1sxhQ4f0gRDQ460uUVVL8,Scarborough General Hospital,3.8,393,General hospital,"Woodlands Dr, Scarborough YO12 6QL, United Kingdom","7HJ7+J2 Scarborough, United Kingdom",http://www.yorkhospitals.nhs.uk/,+44 1723 368111,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqe6A4XysHFkC7il_dW8A-WQNQe0nCvgNkjH8POvw0c6RG6IiFsyCD5k1tz_bCZN4Gvrtx9oqU74vocqbpr4QTFeoFZqs9E1Cw3nsgw8orb6g6uiWCSLw1y0x7gALgrufLLlyA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:03:03.273Z,,,
https://www.google.com/maps/place/Yorkshire+Sports+Medicine+and+Physiotherapy+Clinic/data=!4m7!3m6!1s0x487931a788a4b31d:0xcced6793248a3283!8m2!3d53.95147!4d-1.0475753!16s%2Fg%2F11h60f4gz1!19sChIJHbOkiKcxeUgRgzKKJJNn7cw,Yorkshire Sports Medicine and Physiotherapy Clinic,4.9,31,Sports injury clinic,"David Lloyd St John's Playing Field, Hull Rd, York YO10 3LG, United Kingdom","XX22+HX York, UK",https://www.yorkshiresportsmedicine.co.uk/,+44 1904 413669,Closed · Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipMMT2bs8oetfYAB7qEak9ZF0SOiNtDBdwX-F0-a=w408-h272-k-no,true,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,9 am–4 pm,Closed,8:30 am–7 pm,8:30 am–7 pm,"https://www.google.com/maps/search/pain+management+physician+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2026-01-28T19:03:08.599Z,LGBTQ+ friendly,,
