placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info
https://www.google.com/maps/place/UCHealth+Pain+Management+Clinic+-+Fort+Collins/data=!4m7!3m6!1s0x87694b6e25bd3963:0x1bd1e104e8f0a194!8m2!3d40.5356103!4d-105.0388101!16s%2Fg%2F11jq05ctvs!19sChIJYzm9JW5LaYcRlKHw6ATh0Rs,UCHealth Pain Management Clinic - Fort Collins,2.5,26,Pain control clinic,"3744 S Timberline Rd Suite 102, Fort Collins, CO 80525, United States","GXP6+6F Fort Collins, Colorado, USA",https://www.uchealth.org/locations/uchealth-pain-management-clinic-fort-collins/,+1 970-495-0506,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iF_2gINU0w7ZqJ_tOFIolA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.1165&pitch=0&thumbfov=100,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,Closed,Closed,8:30 am–4 pm,8:30 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:08.706Z,
https://www.google.com/maps/place/Mountain+View+Pain+Center/data=!4m7!3m6!1s0x876eb3873dd6e809:0x9ff7619164a75e0e!8m2!3d40.5227548!4d-105.0132607!16s%2Fg%2F11pttq7jvk!19sChIJCejWPYezbocRDl6nZJFh958,Mountain View Pain Center,4.3,130,Pain management physician,"3491 E Harmony Rd #230, Fort Collins, CO 80528, United States","GXFP+4M Fort Collins, Colorado, USA",https://www.mvpc.com/harmony,+1 970-449-0285,"Open · Closes 6 pm

Confirmed by this business 7 days ago",https://lh3.googleusercontent.com/p/AF1QipMqIqNKlIrJohC8aq_lt2mX0HsVsdWqX8ptvqY-=w425-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–1 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:14.347Z,LGBTQ+ friendly
https://www.google.com/maps/place/UCHealth+Brain+and+Spine+Clinic+-+Fort+Collins/data=!4m7!3m6!1s0x87694ae0545f3a8f:0x29ab281769b4814a!8m2!3d40.5720018!4d-105.0584233!16s%2Fg%2F11b6x6tyfr!19sChIJjzpfVOBKaYcRSoG0aRcoqyk,UCHealth Brain and Spine Clinic - Fort Collins,4.7,58,Neurologist,"1107 S Lemay Ave #240, Fort Collins, CO 80524, United States","HWCR+RJ Fort Collins, Colorado, USA",https://www.uchealth.org/locations/uchealth-brain-and-spine-clinic-fort-collins/,+1 970-495-7421,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tzK4qDSHd7UF5CWwcab0vQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.28983&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:19.301Z,LGBTQ+ friendly
https://www.google.com/maps/place/Orthopaedic+%26+Spine+Center+of+the+Rockies+-+Fort+Collins/data=!4m7!3m6!1s0x876eb4d35987378b:0x35e24509c3ae01d7!8m2!3d40.5681771!4d-105.0315977!16s%2Fg%2F1tgfx3k6!19sChIJizeHWdO0bocR1wGuwwlF4jU,Orthopaedic & Spine Center of the Rockies - Fort Collins,4.5,1646,Orthopedic clinic,"2500 E Prospect Rd, Fort Collins, CO 80525, United States","HX99+79 Fort Collins, Colorado, USA",https://www.orthohealth.com/location/fort-collins/,+1 970-493-0112,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPpaL5-fyLl-w-xA1ApUl08zBj7bvJ5jh9pdOm2=w427-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:24.348Z,
https://www.google.com/maps/place/Apex+Endovascular/data=!4m7!3m6!1s0xaa3fe4e49beb5f0b:0x6338fb09c13e7d6b!8m2!3d40.5736687!4d-105.0511489!16s%2Fg%2F11rsf_3psh!19sChIJC1_rm-TkP6oRa30-wQn7OGM,Apex Endovascular,5.0,142,Medical Center,"1355 Riverside Ave STE D, Fort Collins, CO 80524, United States","HWFX+FG Fort Collins, Colorado, USA",https://www.apexendovascular.com/?utm_source=gmb_auth,+1 970-694-2650,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipORvvM_QPbxtiJ-COHcfvMmyTZ8Sjbi4pACJ2AK=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:29.261Z,
https://www.google.com/maps/place/Muscle+Restoration+Therapy/data=!4m7!3m6!1s0x87694b184a3d2339:0x308a917615db7306!8m2!3d40.5241215!4d-105.0481929!16s%2Fg%2F1260d7z9p!19sChIJOSM9ShhLaYcRBnPbFXaRijA,Muscle Restoration Therapy,5.0,100,Pain control clinic,"4532 Mcmurry Ave Suite 204, Fort Collins, CO 80525, United States","GXF2+JP Fort Collins, Colorado, USA",https://www.musclerestoration.com/,+1 970-449-9757,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipP4fb659wxe9mcrPMDA9MgitbVtWJvsAVBb_Ye_=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,8 am–3 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:34.122Z,
"https://www.google.com/maps/place/Jordan+Feierman,+DO/data=!4m7!3m6!1s0x876eb5ef3323c2cf:0x9ece6c50a164dab!8m2!3d40.5682321!4d-105.0315732!16s%2Fg%2F11vjjsm8gf!19sChIJz8IjM--1bocRq00WCsXm7Ak","Jordan Feierman, DO",4.8,10,Physiatrist,"2500 E Prospect Rd, Fort Collins, CO 80525, United States","HX99+79 Fort Collins, Colorado, USA",https://www.orthohealth.com/providers/jordan-feierman-do/,+1 970-493-0112,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPU2wRTHxHUMWvDNJvrq31vVtBBXPU0Ff-DHNqc=w408-h611-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:38.999Z,
"https://www.google.com/maps/place/Dr.+James+Derrisaw,+MD/data=!4m7!3m6!1s0x87694ade6dd48717:0x134b71dc823c2413!8m2!3d40.5745386!4d-105.0539359!16s%2Fg%2F1vv2sqmc!19sChIJF4fUbd5KaYcREyQ8gtxxSxM","Dr. James Derrisaw, MD",5.0,1,Anesthesiologist,"1236 E Elizabeth St # 2, Fort Collins, CO 80524, United States","HWFW+RC Fort Collins, Colorado, USA",,+1 970-224-2985,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JyY0-5MFbs6N8qPknOfF7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=325.58582&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:41.808Z,
"https://www.google.com/maps/place/Thomas+Anderson,+DO/data=!4m7!3m6!1s0x876eb4d348dc027f:0x22af5c018fd97a8e!8m2!3d40.5682321!4d-105.031574!16s%2Fg%2F125_sqnjc!19sChIJfwLcSNO0bocRjnrZjwFcryI","Thomas Anderson, DO",5.0,48,Sports medicine physician,"2500 E Prospect Rd, Fort Collins, CO 80525, United States","HX99+79 Fort Collins, Colorado, USA",https://www.orthohealth.com/provider/thomas-anderson-do/,+1 970-419-7050,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipN2EQ4Syh7KeiXAAenAAcYYGY3jKY2scqBrmxg_=w408-h258-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,Closed,6 am–6 pm,6 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:46.746Z,
"https://www.google.com/maps/place/William+Biggs,+MD/data=!4m7!3m6!1s0x876eb4d35987378b:0x2c0e0b4bc1c7daf2!8m2!3d40.5682321!4d-105.031574!16s%2Fg%2F1wg5yhhy!19sChIJizeHWdO0bocR8trHwUsLDiw","William Biggs, MD",5.0,93,Orthopedic surgeon,"2500 E Prospect Rd, Fort Collins, CO 80525, United States","HX99+79 Fort Collins, Colorado, USA",https://www.orthohealth.com/provider/william-biggs-md/,+1 800-722-7441,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMCiVGD3XL2j8x1YXMeKqHeOVvygAvL-0x5Gei_=w408-h258-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:51.750Z,
"https://www.google.com/maps/place/Ray+van+den+Hoven,+MD/data=!4m7!3m6!1s0x876eb4d35987378b:0xbf49774cb43937de!8m2!3d40.5682322!4d-105.031574!16s%2Fg%2F1wh4gbs2!19sChIJizeHWdO0bocR3jc5tEx3Sb8","Ray van den Hoven, MD",5.0,41,Physiatrist,"2500 E Prospect Rd, Fort Collins, CO 80525, United States","HX99+79 Fort Collins, Colorado, USA",https://www.orthohealth.com/provider/ray-van-den-hoven-md/,+1 970-493-0112,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMUf_rZEsng9g6mb6dTKwhPWiPwv7z24Bx5U-fk=w408-h258-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-01-28T21:13:56.702Z,
