placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/ChristianaCare+Pediatrics+at+Wilmington+Health+Center/data=!4m7!3m6!1s0x89c6fd03ca6ad575:0x5aa9dcefa648eff7!8m2!3d39.7509248!4d-75.5496381!16s%2Fg%2F11tdy8gw3l!19sChIJddVqygP9xokR9-9Ipu_cqVo,ChristianaCare Pediatrics at Wilmington Health Center,4.0,2,Medical Center,"501 W 14th St, Wilmington, DE 19801, United States","QF22+94 Wilmington, Delaware, USA",https://christianacare.org/services/primarycare/familyimlocations/wilmingtonhealthcenter/,+1 302-320-4412,Closes soon · 5 pm · Opens 8 am Wed,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=quxEE5eDAvo4D57e2CQ_kA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.5753865&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:54:50.986Z,,,
"https://www.google.com/maps/place/Nemours+Children%27s+Health,+Jessup+Street+-+Primary+Care/data=!4m7!3m6!1s0x89c6fd377e4fd84d:0x5fd9cd41b3f926da!8m2!3d39.7489051!4d-75.5384979!16s%2Fg%2F1tn06rv_!19sChIJTdhPfjf9xokR2ib5s0HN2V8","Nemours Children's Health, Jessup Street - Primary Care",4.7,97,Pediatrician,"1602 Jessup St, Wilmington, DE 19802, United States","PFX6+HJ Wilmington, Delaware, USA",https://www.nemours.org/locations/delaware-primary-care-pediatrician-wilmington-jessup-street.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 302-576-5050,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipM4ktB6S_2ADh6Jn0qw95ogSkF0sdIIzrM9DrdQ=w408-h260-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:54:56.966Z,,,
"https://www.google.com/maps/place/Nemours+Children%27s+Health,+Saint+Francis+-+Primary+Care/data=!4m7!3m6!1s0x89c6fd0cd01f6863:0x76ae7b480ec7f822!8m2!3d39.7500233!4d-75.5666982!16s%2Fg%2F1tgk1ltp!19sChIJY2gf0Az9xokRIvjHDkh7rnY","Nemours Children's Health, Saint Francis - Primary Care",4.4,55,Pediatrician,"701 N Clayton St Suite 400, Wilmington, DE 19805, United States","QC2M+28 Wilmington, Delaware, USA",https://www.nemours.org/locations/delaware-primary-care-pediatrician-wilmington-saint-francis.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 302-421-9700,Open · Closes 6:45 pm,,https://lh3.googleusercontent.com/p/AF1QipMxFWvPEyeJT9kC1GbTqKJqHoy3brdQY_FFSF07=w426-h240-k-no,true,7:30 am–6:45 pm,7:30 am–6:45 pm,7:30 am–6:45 pm,7:30 am–6:45 pm,Closed,Closed,7:30 am–6:45 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:02.562Z,,,
"https://www.google.com/maps/place/Laurie+P.+Cooke,+MD/data=!4m7!3m6!1s0x89c6fd377e4fd84d:0xcd5d7df92c0eb30c!8m2!3d39.7488686!4d-75.5385589!16s%2Fg%2F1v0llrch!19sChIJTdhPfjf9xokRDLMOLPl9Xc0","Laurie P. Cooke, MD",5.0,11,Pediatrician,"1602 Jessup St, Wilmington, DE 19802, United States","PFX6+GH Wilmington, Delaware, USA",https://www.nemours.org/find-a-doctor/3299-laurie-cooke-primary-care-wilmington.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 302-576-5050,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RmqTQGTBkrTVjNoOI6RsAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.43059&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:05.282Z,,,
"https://www.google.com/maps/place/Nemours+Children%27s+Health,+Wilmington+-+Primary+Care/data=!4m7!3m6!1s0x89c6fce8c593ca51:0xf0d846644dcfc016!8m2!3d39.7792464!4d-75.5580408!16s%2Fg%2F1q666x0y7!19sChIJUcqTxej8xokRFsDPTWRG2PA","Nemours Children's Health, Wilmington - Primary Care",3.6,26,Pediatrician,"1600 Rockland Rd, Wilmington, DE 19803, United States","QCHR+MQ Wilmington, Delaware, USA",https://www.nemours.org/locations/delaware-primary-care-pediatrician-wilmington-rockland-road.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 302-651-5245,Open · Closes 7:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOhb6ihaVNEgqo_6b6bz5qMzrODprR5ZYGX4ek=w408-h256-k-no,true,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–5 pm,9 am–12 pm,Closed,8 am–7:30 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:10.041Z,,,
"https://www.google.com/maps/place/Nemours+Children%27s+Hospital,+Delaware/data=!4m7!3m6!1s0x89c6fce9425c92bd:0x80e502f2175fb19c!8m2!3d39.7791955!4d-75.555432!16zL20vMGYyazVx!19sChIJvZJcQun8xokRnLFfF_IC5YA","Nemours Children's Hospital, Delaware",4.4,1132,Medical Center,"1600 Rockland Rd, Wilmington, DE 19803, United States","QCHV+MR Wilmington, Delaware, USA",https://www.nemours.org/locations/wilmington-ai-dupont-childrens-hospital.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 302-651-4200,,,https://lh3.googleusercontent.com/p/AF1QipPq4MmK5xAWxt1l879FDeHNi6NbTEqtUuJkoTRW=w408-h260-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:14.876Z,,,
https://www.google.com/maps/place/Dr.+Francis+Mase+M.D.+-+Pediatrician/data=!4m7!3m6!1s0x89c6fcd45ad0baeb:0xb91d858c6c0acd02!8m2!3d39.768124!4d-75.531267!16s%2Fg%2F1tcygf6j!19sChIJ67rQWtT8xokRAs0KbIyFHbk,Dr. Francis Mase M.D. - Pediatrician,3.9,14,Pediatrician,"700 W Lea Blvd #209, Wilmington, DE 19802, United States","QF99+6F Wilmington, Delaware, USA",,+1 302-762-5656,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ykVgrgT9S_7AvNxGsV-EKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.0772&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:19.832Z,,,
https://www.google.com/maps/place/Advocare+Delaware+Pediatrics/data=!4m7!3m6!1s0x40701a3e1af72407:0xa0f5f87f98cbe87b!8m2!3d39.8011674!4d-75.5252945!16s%2Fg%2F11b6p3dsx0!19sChIJByT3Gj4acEARe-jLmH_49aA,Advocare Delaware Pediatrics,4.1,21,Pediatrician,"1403 Foulk Rd #103, Wilmington, DE 19803, United States","RF2F+FV Wilmington, Delaware, USA",https://www.advocaredepediatrics.com/location/North-Wilmington-Office,+1 302-762-6222,Closes soon · 5 pm · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b6ltRxxnDoHUvDVIw1EcCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.56422&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:24.601Z,,,
https://www.google.com/maps/place/Purcell+Patricia+H+MD/data=!4m7!3m6!1s0x89c6fd0e068e03ad:0x84a2f5af6bb51ddc!8m2!3d39.7540374!4d-75.5632899!16s%2Fg%2F1vkxn6yf!19sChIJrQOOBg79xokR3B21a6_1ooQ,Purcell Patricia H MD,5.0,5,Pediatrician,"1508 Pennsylvania Ave, Wilmington, DE 19806, United States","QC3P+JM Wilmington, Delaware, USA",,+1 302-428-1142,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sq4xO0HHBO98qANszlcftw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.39095&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:27.260Z,,,
https://www.google.com/maps/place/Dr.+Amanda+Kay/data=!4m7!3m6!1s0x89c6fd3e16ffffff:0x381b53565840a5a5!8m2!3d39.7509718!4d-75.5500504!16s%2Fg%2F11p07bc97k!19sChIJ____Fj79xokRpaVAWFZTGzg,Dr. Amanda Kay,5.0,2,Pediatrician,"501 W 14th St, Wilmington, DE 19801, United States",,https://doctors.christianacare.org/provider/amanda-j-kay/845459,+1 302-320-2100,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo70sdl2GbLQlTJReVApE4JOJbpELDHIoyDgidtwWZqUk_Z5aB5JpoVZ_qzp-ZRqviCgP17djn1ZlQ5HbBNnqCO-kNeoh12eNFegWSMDvgGuF4rURDq4551KMq0OYk_1SU-VmBM4g=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-02-10T21:55:29.948Z,,,
