placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Senna+Tires/data=!4m7!3m6!1s0x89e24ee6383abb67:0x83230529fd497ab!8m2!3d42.9779523!4d-71.4496573!16s%2Fg%2F1tfkgl2s!19sChIJZ7s6OOZO4okRq5fUn1IwMgg,Senna Tires,4.6,439,Tire shop,· In-store shopping · In-store pick-up,"521 Harvard St, Manchester, NH 03103, United States","XHH2+54 Manchester, New Hampshire, USA",https://www.sennatires.com/,+1 603-622-3800,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXlAbFNEnJ7igvUy8Y83DgBblMvW8BNgSC_vaq90IVV8c8a9YnFFqxaAxqhcao3bt4vPGPXiSyf9q4AAQOceue__xvBAhGlx-pQJ3yN7loUDzd7u-9RJGDnAzZNC99HvEJA23tfg7JUZs=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4:30 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:45:36.898Z,,
https://www.google.com/maps/place/VIP+Tires+%26+Service/data=!4m7!3m6!1s0x89e24f67c35d3d0b:0xa93da4b2182b0d7d!8m2!3d43.0136005!4d-71.4519271!16s%2Fg%2F1thbxp3q!19sChIJCz1dw2dP4okRfQ0rGLKkPak,VIP Tires & Service,4.7,1324,Tire shop,· In-store shopping · In-store pick-up,"445 Hooksett Rd, Manchester, NH 03104, United States","2G7X+C6 Manchester, New Hampshire, USA",https://www.vipauto.com/location/manchester-nh,+1 603-629-9760,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerIJfI41qZrPlNTwTdMyChidv11qqYXYaIuK31NbBQgSLyeEBgONOmYjdWN0dZCfy-M1ItfkI6AHG1so5ilFSRXvz7HLUjkXFBNOXFfKw6hyh7gbKKES74LLSaiZ_xIj0SOHdsqkA=w408-h304-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:45:41.989Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Jr%27s+Speed+And+Tire+Shop/data=!4m7!3m6!1s0x89e24ed2f1864687:0xf4ad1493f5dbfbf!8m2!3d42.9819537!4d-71.4753888!16s%2Fg%2F1tjz4clc!19sChIJh0aG8dJO4okRv79dP0nRSg8,Jr's Speed And Tire Shop,4.7,364,Tire shop,· In-store shopping · Kerbside pickup,"101 S Main St, Manchester, NH 03102, United States","XGJF+QR Manchester, New Hampshire, USA",https://www.jrstiresnh.com/,+1 603-669-7057,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepU7ABegk1_DXKIby6g_B8Wmqj-0zxo9XgLO8mp_zBAXTDEvelD1ufpCCZaYurmZIgtyx-TIgGCxZSBaTsQ3QjK0mdbcQNavTDvkEhv3AEnkzbm4e4hdgh3igvNa7oEHJw88NJSo2rH7z_S=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,7 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:45:46.763Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Ruben%27s+Rubber+Tire+Shop/data=!4m7!3m6!1s0x89e24f40b1a483f3:0xfd891e0503722e5a!8m2!3d42.9823566!4d-71.4514404!16s%2Fg%2F11x62lwt2v!19sChIJ84OksUBP4okRWi5yAwUeif0,Ruben's Rubber Tire Shop,5.0,131,Tire shop,,"330 Lincoln St, Manchester, NH 03103, United States","XGJX+WC Manchester, New Hampshire, USA",,+1 603-674-6972,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLl-URUnaje8vspMKk7lJTcJt-wXdzptE93zuIQ3xANLvvzaRAAJPjWxse_-xV94NzCUoI9LEduB0cP4sXsLzZcwY7KP8K3doaOLQKbmuuepb-tqtcC3zEo6aPalExvRPbvzTaHA=w408-h544-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,7:30 am–2 pm,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:45:51.653Z,,
https://www.google.com/maps/place/Granite+State+Tire+%26+Battery/data=!4m7!3m6!1s0x89e24fa937808981:0xeac6fda40edd7393!8m2!3d42.9873478!4d-71.4247795!16s%2Fg%2F1tx4814n!19sChIJgYmAN6lP4okRk3PdDqT9xuo,Granite State Tire & Battery,4.7,86,Auto repair shop,,"945 Hanover St, Manchester, NH 03104, United States","XHPG+W3 Manchester, New Hampshire, USA",http://www.granitestatetireandbattery.com/,+1 603-623-9666,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMEgziM3Nnqam4LRRfkGN0Bvy2V-FUkE72FAKu_SrjWZ-lKHsLxTWA_Kh3GCYyF5fDQMsKjdRm9o6-CSkVhvBNvRZJWJHgVKnaKiOAj9abuWhPrLDIwstLksQjy0lwH_OmKQfiPw=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:45:56.601Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Don%27s+Wholesale+Tires+Inc/data=!4m7!3m6!1s0x89e24ee71f460921:0xf0229fda4c65eaa9!8m2!3d42.9797462!4d-71.4514344!16s%2Fg%2F1tdhf_v2!19sChIJIQlGH-dO4okRqeplTNqfIvA,Don's Wholesale Tires Inc,4.9,284,Auto repair shop,,"479 Hayward St, Manchester, NH 03103, United States","XGHX+VC Manchester, New Hampshire, USA",,+1 603-622-9878,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfiMmBv1Ho6uCHTRjxO_NKJ_xdf-mjGYuxdleu_d38rGbzI6EAuzsuuL9iXYnAUUE38fXTxp8j1JhmNTXaQ1um7kdk_PdiApOz8KLbHLJeuPCARosgO2tMadBMnrQPFogLdI3A=w408-h306-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:46:01.213Z,,
https://www.google.com/maps/place/Monro+Auto+Service+and+Tire+Centers/data=!4m7!3m6!1s0x89e24fa912d568b7:0x550c5c7cb1cd2ef6!8m2!3d42.9873184!4d-71.4262405!16s%2Fg%2F1tc_9p99!19sChIJt2jVEqlP4okR9i7NsXxcDFU,Monro Auto Service and Tire Centers,4.5,512,Tire shop,· In-store shopping · In-store pick-up,"909 Hanover St, Manchester, NH 03104, United States","XHPF+WG Manchester, New Hampshire, USA",https://locations.monro.com/nh/manchester/909-hanover-street?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_311,+1 603-645-6368,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqlLtWuR2mxGCIf1geuKOzwq4Tyl7_Koln6EmIv_um1KXfYEApfNarvNcXZImLBLjEjUC5wKm9G2pfT29dIDkepcaBdFpBNVjRfQQdGVd1-vAbpk56gGdFw-skW3tJ8V6trCV87=w408-h544-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:46:05.764Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Colon+Tire+%26+Alignment/data=!4m7!3m6!1s0x89e24f20a64ff8ef:0x43926d6186d744f5!8m2!3d42.9874638!4d-71.458701!16s%2Fg%2F1hhgg5b2c!19sChIJ7_hPpiBP4okR9UTXhmFtkkM,Colon Tire & Alignment,4.3,120,Auto repair shop,,"160 Lake Ave, Manchester, NH 03103, United States","XGPR+XG Manchester, New Hampshire, USA",,+1 603-935-9870,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4_8oj2FD71hbnKvDZacrD9zrDRFrFh_EaxtELqiP3o8gys431RbHr9KKkk0OnpgeneWeLZjIOj68n33fp4wYDG0we5IXnOUTU-Ff2tcMhRBuvwaXKLWlu4d4g2jQsH87EZavR=w436-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:46:10.315Z,Identifies as Latino-owned,
https://www.google.com/maps/place/John+%26+Son%27s+Tire+Service+LLC/data=!4m7!3m6!1s0x89e248d7b6dba9c5:0xa2271c71185356!8m2!3d42.9934854!4d-71.4867995!16s%2Fg%2F1tf7hp4p!19sChIJxanbttdI4okRVlMYcRwnogA,John & Son's Tire Service LLC,4.6,108,Tire shop,,"541 Amory St, Manchester, NH 03102, United States","XGV7+97 Manchester, New Hampshire, USA",http://johnandsonstire.com/,+1 603-627-1585,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ8cmHIwycqWLp_1-lwTUHWF3uUJSXoHrF13Jg67z9a9qDfZuxIpL2WAxwtt4uJs8tojLnIrbnEzFxT4f5yJnoZ9w3Zx_DishgkykLGmlaBhpHxb2pFnUS5L0NtiZQIIaHnabz=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:46:14.767Z,,
https://www.google.com/maps/place/Brutus+Auto+Repair+%26+Service/data=!4m7!3m6!1s0x89e24f20d7ec4575:0xd33c06dadd66f01a!8m2!3d42.9894649!4d-71.4589326!16s%2Fg%2F1tjfhvvj!19sChIJdUXs1yBP4okRGvBm3doGPNM,Brutus Auto Repair & Service,4.7,331,Auto repair shop,,"148 Merrimack St, Manchester, NH 03103, United States","XGQR+QC Manchester, New Hampshire, USA",http://www.brutusauto.com/,+1 603-624-8881,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKbFp_zZDZukecBUPUP6x_L5Ki0x3PKS-vtpHF7b9DF3-YtY9ppAeUvHIgEK7B0qvmPuz0p1fGv6zDJiyEpXALA5eGBtiCxMb2Jj-vjSyDpQA1NjY70kjrXtZyZ-NNRWatQ5E=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-03-23T17:46:19.133Z,LGBTQ+ friendly,
