placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,tuesday,wednesday,thursday,friday,saturday,sunday,monday,error,attributes
https://www.google.com/maps/place/The+Iowa+Clinic+Vein+Therapy+-+Methodist+Medical+Center+Plaza+II/data=!4m7!3m6!1s0x87ee99a226f5ae45:0xb8b5e1d2d4197fa5!8m2!3d41.5892396!4d-93.633549!16s%2Fg%2F11f8lllrhv!19sChIJRa71JqKZ7ocRpX8Z1NLhtbg,The Iowa Clinic Vein Therapy - Methodist Medical Center Plaza II,,,Medical Center,"1215 Pleasant St Suite 618, Des Moines, IA 50309, United States","H9Q8+MH Des Moines, Iowa, USA",https://www.iowaclinic.com/locations/methodist-medical-center-plaza-2/vein-therapy-downtown/?utm_source=extnet&utm_medium=yext,+1 515-875-9090,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fG61GlGe5Cacq1acxxJkAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.73431&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:34.427Z,,,,,,,,,,
https://www.google.com/maps/place/The+Vein+Center+at+Iowa+Heart/data=!4m7!3m6!1s0x87ec2121f6bf54df:0xd4791051306e287!8m2!3d41.599359!4d-93.7891561!16s%2Fg%2F1vm7b_xw!19sChIJ31S_9iEh7IcRh-IGEwWRRw0,The Vein Center at Iowa Heart,3.4,5,Medical clinic,"5880 University Ave, West Des Moines, IA 50266, United States","H6X6+P8 West Des Moines, Iowa, USA",http://www.veincenteratiowaheart.com/,+1 515-633-3666,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dxDM6K6mUIt4kHsducZHJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.51645&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:37.058Z,,,,,,,,,,
https://www.google.com/maps/place/The+Iowa+Clinic+Vein+Therapy+-+West+Des+Moines+Campus/data=!4m7!3m6!1s0x87ec219df03d8abd:0xd4660d19caab25cc!8m2!3d41.5987441!4d-93.792489!16s%2Fg%2F11gl3p2kht!19sChIJvYo98J0h7IcRzCWryhkNZtQ,The Iowa Clinic Vein Therapy - West Des Moines Campus,3.0,2,Medical clinic,"5950 University Ave, West Des Moines, IA 50266, United States","H6X5+F2 West Des Moines, Iowa, USA",https://www.iowaclinic.com/locations/the-iowa-clinic-west-des-moines-campus/vein-therapy-west-des-moines/?utm_source=extnet&utm_medium=yext,+1 515-875-9090,,https://lh3.googleusercontent.com/p/AF1QipMorvr4G1oZDm70WCDVxG031rTpRoxuRWWB6Frk=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:39.680Z,,,,,,,,,,
https://www.google.com/maps/place/Iowa+Clinic-Vascular+Surgery/data=!4m7!3m6!1s0x87ee9919587235e9:0xcef68b91821d1207!8m2!3d41.5894477!4d-93.6370109!16s%2Fg%2F1tgxv2xj!19sChIJ6TVyWBmZ7ocRBxIdgpGL9s4,Iowa Clinic-Vascular Surgery,,,Surgical center,"1440 Pleasant St STE 100, Des Moines, IA 50314, United States","H9Q7+Q5 Des Moines, Iowa, USA",https://www.iowaclinic.com/specialties/heart-vascular/vascular-surgery/,+1 515-875-9090,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qJ38rrR-k3aPGiq40Wy7KQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.56024&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:41.975Z,,,,,,,,,,
"https://www.google.com/maps/place/Sculpted515/@41.5862318,-93.6576919,17z/data=!3m1!4b1!4m6!3m5!1s0x87ec21b6e029fd73:0xfd5b437739b65f1c!8m2!3d41.5862318!4d-93.6576919!16s%2Fg%2F11rkt6zw9j",Sculpted515,4.8,23,Medical spa,"to the left of Cheese Bar, 2925 Ingersoll Ave Suite 102, Des Moines, IA 50312, United States","H8PR+FW Des Moines, Iowa, USA",,+1 515-669-3637,Open · Closes 6 pm,,false,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:48.526Z,LGBTQ+ friendly,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Iowa+IV/data=!4m7!3m6!1s0x87ee9fcc97b5ac73:0x90f8579f05d84ac2!8m2!3d41.5936072!4d-93.6739902!16s%2Fg%2F11fcq1wpv2!19sChIJc6y1l8yf7ocRwkrYBZ9X-JA,Iowa IV,4.9,335,Wellness center,"855 42nd St, Des Moines, IA 50312, United States","H8VG+CC Des Moines, Iowa, USA",https://iowaiv.com/,+1 833-424-9378,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/p/AF1QipPWwNbyr-IKNRfP7NG8gY6BztkXCd1YrOIp8tzi=w408-h544-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:53.346Z,Identifies as veteran-owned,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,10 am–4 pm,10 am–4 pm,9 am–6:30 pm,,
https://www.google.com/maps/place/Iowa+Clinic+Vascular+Surgery/data=!4m7!3m6!1s0x87ee9909a04d1d15:0x53c46fe5f973b13b!8m2!3d41.5977872!4d-93.6240389!16s%2Fg%2F1vc82c7_!19sChIJFR1NoAmZ7ocRO7Fz-eVvxFM,Iowa Clinic Vascular Surgery,,,Surgical center,"411 Laurel St # 2380, Des Moines, IA 50314, United States","H9XG+49 Des Moines, Iowa, USA",https://www.iowaclinic.com/specialties/heart-vascular/vascular-surgery/,+1 515-288-8001,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IRLGwIv5vZYZJKf2EsOT5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.14185&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:55.555Z,,,,,,,,,,
https://www.google.com/maps/place/The+Iowa+Clinic+Vein+Therapy+-+Ankeny+Campus/data=!4m7!3m6!1s0x87ee9b9bfb272419:0xcf0aeec01d877c81!8m2!3d41.7022!4d-93.6204405!16s%2Fg%2F11f8lljlwg!19sChIJGSQn-5ub7ocRgXyHHcDuCs8,The Iowa Clinic Vein Therapy - Ankeny Campus,,,Medical Center,"1410 SW Tradition Dr, Ankeny, IA 50023, United States","P92H+VR Ankeny, Iowa, USA",https://www.iowaclinic.com/locations/the-iowa-clinic-ankeny-campus/vein-therapy-ankeny/?utm_source=extnet&utm_medium=yext,+1 515-875-9090,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B5IqAqVhpbi-XP9DEn3ixw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.60242&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:58:58.017Z,,,,,,,,,,
https://www.google.com/maps/place/DR.+J.A.+OLIVENCIA/data=!4m7!3m6!1s0x87ee9e217c54ccd9:0xd20ee6c6ef3105de!8m2!3d41.5975572!4d-93.7384506!16s%2Fg%2F1thf935s!19sChIJ2cxUfCGe7ocR3gUx78bmDtI,DR. J.A. OLIVENCIA,5.0,1,Surgeon,"2425 Westown Pkwy, West Des Moines, IA 50266, United States","H7X6+2J West Des Moines, Iowa, USA",,+1 515-222-8346,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qdjdESiney14eaUyRf71qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.56813&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:59:00.211Z,,,,,,,,,,
https://www.google.com/maps/place/Des+Moines+Vein+Clinic/data=!4m7!3m6!1s0x87ee9e46ac71becf:0xd1de533cdd18a590!8m2!3d41.5956971!4d-93.7196053!16s%2Fg%2F11b5pm7gyn!19sChIJz75xrEae7ocRkKUY3TxT3tE,Des Moines Vein Clinic,5.0,1,Surgical center,"974 73rd St STE 23, West Des Moines, IA 50265, United States","H7WJ+75 West Des Moines, Iowa, USA",,+1 515-221-2297,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=91zTgYgBQIk9XdW3GYX1Kw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.08734&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-12-16T21:59:04.615Z,,,,,,,,,,
