placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes,isBlackOwned,error
https://www.google.com/maps/place/SWFL+Integrative+Medicine/data=!4m7!3m6!1s0x88db414ef6f6666d:0xcd82c27e041fcbc4!8m2!3d26.5964616!4d-81.8810857!16s%2Fg%2F11fkvzg4fs!19sChIJbWb29k5B24gRxMsfBH7Cgs0,SWFL Integrative Medicine,5.0,326,Medical clinic,"1570 Colonial Blvd suite a, Fort Myers, FL 33907, United States","H4W9+HH Fort Myers, Florida, USA",https://www.swflintegrative.com/,+1 239-208-6676,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqrj-89oZoDaEBQfufuv4cs12ZvaTqqyAbphktfMuyw0jEFmesWApJniMIdqLSdlg01YC-UotJboZvjN1DNsKkw-Rbig8imUN1O0ag52G-zGMoNefy6sF3LvYF8hoSeUMaGpnZTOQ=w408-h306-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:29.992Z,,,,,,,,,,,
https://www.google.com/maps/place/LifeSynergy+Wellness/data=!4m7!3m6!1s0x88db41f01c23b703:0x69bf922cd6eeee51!8m2!3d26.6366765!4d-81.9428734!16s%2Fg%2F11kj4h7fyj!19sChIJA7cjHPBB24gRUe7u1iySv2k,LifeSynergy Wellness,5.0,169,Medical clinic,"1425 Viscaya Pkwy #102, Cape Coral, FL 33990, United States","J3P4+MV Cape Coral, Florida, USA",http://www.lifesynergycc.com/,+1 239-471-2775,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqyl76t-BL42KMvdCXc6l76Xu9Ev9K3Spqwk3YgS7E-lcMQNyi6JtUttqBJoFGRcSlZNj3YQkW0spKucMf30oY1Wr9UHLmDNtFhaViV-vtQOzrjsGos45Pw-sUXjm3VB4Ys-Ec=w408-h544-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:36.253Z,Identifies as women-owned,9 am–5 pm,8 am–1 pm,9 am–5 pm,8 am–4 pm,9 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Serendipity+Health+and+Wellness/data=!4m7!3m6!1s0x4935a3627da68269:0x4b7554307f100a22!8m2!3d26.6054676!4d-81.8688941!16s%2Fg%2F11pyc2jsjb!19sChIJaYKmfWKjNUkRIgoQfzBUdUs,Serendipity Health and Wellness,5.0,70,Medical office,"3900 Broadway Suite A-14, Fort Myers, FL 33901, United States","J44J+5C Fort Myers, Florida, USA",http://www.serendipityhealthandwellness.com/,+1 941-777-4542,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=71owofZVa_sLa-8Tm7tPwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=214.88025&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:41.112Z,LGBTQ+ friendly,9 am–5 pm,9 am–6 pm,Closed,9 am–6 pm,9 am–4 pm,Closed,Closed,,,
https://www.google.com/maps/place/Dr.+Robert+Murdoch/data=!4m7!3m6!1s0x88db38ac4827e42d:0x38f72c5d5364472!8m2!3d26.6340135!4d-81.940462!16s%2Fg%2F1jkwdd704!19sChIJLeQnSKw424gRckQ21cVyjwM,Dr. Robert Murdoch,4.8,17,Acupuncture clinic,"1003 Del Prado Blvd S #104, Cape Coral, FL 33990, United States","J3M5+JR Cape Coral, Florida, USA",http://naturalfamilyphysicians.com/,+1 239-540-1220,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H1H3rBgbBih8x9syHrw2ew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.33118&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:45.899Z,,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Soaring+Spirit+of+Florida/data=!4m7!3m6!1s0x88db4176efb23933:0xc59e2b49191896bb!8m2!3d26.652286!4d-81.9243958!16s%2Fg%2F11s7ls3w72!19sChIJMzmy73ZB24gRu5YYGUkrnsU,Soaring Spirit of Florida,5.0,11,Wellness center,"2328 Hancock Bridge Pkwy Unit 114D, Cape Coral, FL 33990, United States","M32G+W6 Cape Coral, Florida, USA",https://soaringspiritfl.com/?utm_campaign=gmb,+1 239-464-9934,Open · Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q2Q2dVqqL1SVlIrqtoYQig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.3196&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:50.606Z,,9 am–7 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,,,
https://www.google.com/maps/place/Natural+Solutions+Health+Improvement+Center/data=!4m7!3m6!1s0x88db41e7cb52ebe5:0x53322bd23e970175!8m2!3d26.6384258!4d-81.8758317!16s%2Fg%2F1tkl43j9!19sChIJ5etSy-dB24gRdQGXPtIrMlM,Natural Solutions Health Improvement Center,5.0,17,Chiropractor,"2130 McGregor Blvd, Fort Myers, FL 33901, United States","J4QF+9M Fort Myers, Florida, USA",http://www.chirofortmyers.com/,+1 239-333-2233,Closes soon · 2 pm · Opens 12 pm Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ecsN5Z6JFP0OYMzs2IOFMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.31418&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:24:55.577Z,,8 am–2 pm,12–6 pm,8 am–2 pm,12–6 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/Root+Causes+Holistic+Health+%26+Medicine/data=!4m7!3m6!1s0x88db3ffa97cd207d:0xc9028bc5c7b06227!8m2!3d26.5548969!4d-81.8762144!16s%2Fg%2F11g9q914fs!19sChIJfSDNl_o_24gRJ2Kwx8WLAsk,Root Causes Holistic Health & Medicine,4.3,48,Holistic medicine practitioner,"12734 Kenwood Ln Unit #56, Fort Myers, FL 33907, United States","H43F+XG Fort Myers, Florida, USA",https://www.rtcausesmd.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GoogleBusinessProfile,+1 239-347-9234,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9VFheQ6xSCVWA1dZku5JbhQiJ7lZek-96WLmMmAxq5jk7sw1krCjkIBaLMo5q70XvAiadP5PRD6qvSWfIKsBkqolj5hPmu-GDwcDev0HA1IyXJ8ZpOjCZfPc8STmoMnqyuZvP=w427-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:25:00.507Z,Identifies as women-owned,9:30 am–6:30 pm,Closed,9:30 am–6:30 pm,Closed,9:30 am–6:30 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Hope+In+Health,+LLC./data=!4m7!3m6!1s0x88db418d37da2e9b:0x1131c7ef5c81ee9d!8m2!3d26.6101164!4d-81.9376692!16s%2Fg%2F11vsyyc39r!19sChIJmy7aN41B24gRne6BXO_HMRE","Hope In Health, LLC.",5.0,50,Health consultant,"2301 Del Prado Blvd S unit 180 suite 14, Cape Coral, FL 33990, United States","J366+2W Cape Coral, Florida, USA",https://www.hope-in-health.com/,+1 239-414-6588,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq54CNnzBrKcBSbhkg7m8s1QuFCtcFm-I25UA47CPgQoF50Dee8zDaINQ20lcgps5tffHIcEwQmMmQ-rh9WaPObn_Df-ukXyPcu1yWiMlidBLN46IbyNXtuE-yxYeTjI13e1oo1PxMzrFY=w408-h611-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:25:05.385Z,,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–1 pm,Closed,,,
https://www.google.com/maps/place/Integrated+WellBeing/data=!4m7!3m6!1s0x88db6bf9af49b7bd:0xd0e7d69f3e842c4c!8m2!3d26.6268269!4d-81.8040673!16s%2Fg%2F11pybntj13!19sChIJvbdJr_lr24gRTCyEPp_W59A,Integrated WellBeing,5.0,21,Dietitian,"9160 Forum Corporate Pkwy #350, Fort Myers, FL 33905, United States","J5GW+P9 Fort Myers, Florida, USA",https://integrated-wellbeing.com/,+1 239-220-0288,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jOf4XiW0HTjnpnlk0znDoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.06918&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:25:10.215Z,Identifies as women-owned,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/The+Wellness+Institute+of+Fort+Myers/data=!4m7!3m6!1s0x88db41e2535f6bcd:0xe2dc19674301582!8m2!3d26.601994!4d-81.857002!16s%2Fg%2F11gfm5jlhv!19sChIJzWtfU-JB24gRghUwdJbBLQ4,The Wellness Institute of Fort Myers,4.9,16,Medical clinic,"2726 Oak Ridge Ct Suite 504, Fort Myers, FL 33901, United States","J42V+Q5 Fort Myers, Florida, USA",,,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweov6ZqH0Q-JqGaJtvo6vG9MO3ZmN-FDAd9QpqExM8MJDFWOQUhqggLYjjPkpFtSE0_JuXE29nQVAOdPGDcywCujOwg2tMaM7_qCWAON3xl9YmPOuHPfXixIuqgXutiFuchkG5o=w426-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Cape+Coral+Fort+Myers+FL/@26.6409247,-81.8605575,14z",2026-02-23T18:25:15.164Z,LGBTQ+ friendly,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,,,
