placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,error,isBlackOwned
https://www.google.com/maps/place/Aquatique+Pools/data=!4m7!3m6!1s0x89e6e6cde69090e9:0x28808adc62464a33!8m2!3d42.0988655!4d-72.6094617!16s%2Fg%2F1tlwb30d!19sChIJ6ZCQ5s3m5okRM0pGYtyKgCg,Aquatique Pools,4.7,18,Swimming pool supply store,· In-store shopping,"730 Union St A, West Springfield, MA 01089, United States","39XR+G6 West Springfield, Massachusetts, USA",,+1 413-736-4202,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_1DBQJM4nuyCKUO3Z3WZuNVbwv3kvfOaZRxY6Lf2aFv3kcYrYtMLaAbAIF_n3X1DyUvVzZrvfOmbInZ-e4bkQsJAApFhe_qnuGIq1AyHGYk-smf72Dvw-HZaOURx1Afq1PVafQguRfY-1=w408-h542-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:05.967Z,,,,,,,,,,
https://www.google.com/maps/place/Mr.+Pool+and+Spa/data=!4m7!3m6!1s0x89e6e1c8b993769b:0xe5ae7b09c1c156c2!8m2!3d42.1407582!4d-72.6266747!16s%2Fg%2F11fk18y3nz!19sChIJm3aTucjh5okRwlbBwQl7ruU,Mr. Pool and Spa,4.2,14,Swimming pool contractor,,"1353 Riverdale St, West Springfield, MA 01089, United States","49RF+88 West Springfield, Massachusetts, USA",https://mrpoolandspas.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+1 413-266-2774,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO6wrYCVAWuvXO2lfo0ilvjMCT8S1QXXzDDGAKs=w408-h263-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:11.749Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,Closed,,,
https://www.google.com/maps/place/Rick%27s+Pools+Inc./data=!4m7!3m6!1s0x89e6e164471ecef1:0x76599576b92e52ca!8m2!3d42.0824123!4d-72.6457!16s%2Fg%2F1tgvfnk2!19sChIJ8c4eR2Th5okRylIuuXaVWXY,Rick's Pools Inc.,4.4,20,Swimming pool repair service,,"507 Springfield St, Feeding Hills, MA 01030, United States","39J3+XP Feeding Hills, Agawam, MA, USA",http://www.rickspoolsinc.com/,+1 413-786-5858,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNJLU4HknW3t7K-CjQhdfnVvvDG67QeoV8hPfzj=w426-h240-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:17.196Z,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,9 am–2 pm,Closed,,,
https://www.google.com/maps/place/Bartels+Pools+Inc/data=!4m7!3m6!1s0x89e6e85ebe73520f:0xb707610c672906ac!8m2!3d42.0874076!4d-72.5642908!16s%2Fg%2F1tf1pw4b!19sChIJD1Jzvl7o5okRrAYpZwxhB7c,Bartels Pools Inc,3.9,7,Swimming pool contractor,,"Springfield, MA 01138, United States","3CPP+X7 Springfield, Massachusetts, USA",,+1 413-782-3256,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q5Co0OifuAa2Z4bsshA4PA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.9634607&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:22.038Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,,,
https://www.google.com/maps/place/Living+Waters+Pool+%26+Spa+service/data=!4m7!3m6!1s0x856cd663e8c948fb:0xe63a2c7423dfa515!8m2!3d42.1388824!4d-72.5871575!16s%2Fg%2F11nnzt4tdd!19sChIJ-0jJ6GPWbIURFaXfI3QsOuY,Living Waters Pool & Spa service,4.7,36,Pool cleaning service,,,,http://www.pvlivingwaters.com/,+1 413-459-4410,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipM692oWenhTzyjSIT-aQwklYDr90d5blrtmxLF6=w426-h240-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:26.946Z,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,9 am–3 pm,Closed,,,
https://www.google.com/maps/place/Teddy+Bear+Pools+%26+Spas/data=!4m7!3m6!1s0x89e6dd90a9f00fa5:0x37be459a966496c3!8m2!3d42.156851!4d-72.579358!16s%2Fg%2F1td2nj0k!19sChIJpQ_wqZDd5okRw5ZklppFvjc,Teddy Bear Pools & Spas,4.2,347,Swimming pool supply store,· In-store shopping,"41 East St, Chicopee, MA 01020, United States","5C4C+P7 Chicopee, Massachusetts, USA",https://teddybearpools.com/?utm_source=gbp&utm_medium=organic&utm_campaign=websitebutton,+1 413-594-2666,"Closes soon ⋅ 4 pm ⋅ Opens 9 am Tue

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxjFF5Q2S7JnlpIPuAPPZ_c2KmGgPW0qBooJpRYqrMHI0pDaKiOMPvTGFiWp8KH-N6ha_OAJamwT4s1CMqpRrolsFF-V1rW3gAeDneuAQP-ZARNZobR0OK4DxWKksB8z__EWZF2gUKbv6gn=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:32.246Z,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,12–4 pm,,,
"https://www.google.com/maps/place/Sullivan's+Pool+Service/@41.9188605,-71.793318,8z/data=!3m1!4b1!4m6!3m5!1s0x89e6b79ba8879ee1:0xc16a27d8298e60d0!8m2!3d41.9188605!4d-71.793318!16s%2Fg%2F1tg4xwhb",Sullivan's Pool Service,2.9,7,Swimming pool repair service,,,,http://sullivancustompools.com/,+1 413-301-0966,Open ⋅ Closes 5:30 pm,,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:39.198Z,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,,,
https://www.google.com/maps/place/Inground+Pool+Services/data=!4m7!3m6!1s0x89e6c2a8e4115555:0x1fb51ea1bb0f46d4!8m2!3d42.1352575!4d-72.51117!16s%2Fg%2F11v0bydjdw!19sChIJVVUR5KjC5okR1EYPu6EetR8,Inground Pool Services,,,Swimming pool repair service,,"111 Slater Ave, Springfield, MA 01119, United States","4FPQ+4G Springfield, Massachusetts, USA",http://ingroundpoolservices.net/services/,+1 413-875-5005,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FcpmpPje7MtEovJyuetwIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.089226&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:41.950Z,,,,,,,,,,
https://www.google.com/maps/place/Agawam+Poolman+Pools/data=!4m7!3m6!1s0x89e6e169c90c02e7:0xdfd046fad131a800!8m2!3d42.081241!4d-72.6478622!16s%2Fg%2F1tm2bq0w!19sChIJ5wIMyWnh5okRAKgx0fpG0N8,Agawam Poolman Pools,4.4,32,Swimming pool repair service,,"557 Springfield St, Agawam, MA 01001, United States","39J2+FV Agawam, Massachusetts, USA",https://www.agawampoolmanpools.com/,+1 413-786-4338,Temporarily closed,https://lh3.googleusercontent.com/p/AF1QipPz_oMzTw5LgGhe0R67XeNK5k3lDXBg6h0wBsFg=w408-h306-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:47.293Z,,,,,,,,Identifies as women-owned,,
https://www.google.com/maps/place/Insta+Pools/data=!4m7!3m6!1s0xa83cba580b18d129:0xa8266fba64d87a20!8m2!3d42.371768!4d-72.6197236!16s%2Fg%2F11y4zknnbz!19sChIJKdEYC1i6PKgRIHrYZLpvJqg,Insta Pools,5.0,21,Swimming pool contractor,,,,,+1 413-474-2009,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipOKWi8d1nnMxpKflw0cPr_uUIT48PUG1SGOkvNq=w408-h544-k-no,true,"https://www.google.com/maps/search/pool+services+businesses+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-10-27T19:01:52.920Z,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,10 am–8 pm,,,
