placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Dockins+Overhead+Doors/data=!4m7!3m6!1s0x87014ff4b71475a9:0x26a5b5c0cd1524aa!8m2!3d35.2178617!4d-101.8383389!16s%2Fg%2F11n662p59v!19sChIJqXUUt_RPAYcRqiQVzcC1pSY,Dockins Overhead Doors,4.8,131,Garage door supplier,"400 N Van Buren St, Amarillo, TX 79107, United States","6596+4M Amarillo, Texas, USA",http://dockinsdoors.com/,+1 806-379-6396,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzn_dMEgVx0sCZdlJZYDaYztbo3xqLGdH4aBqndvVsdk0sruFz5DtrFbheJ-TbXQUBd5L2xX4z-phD3pK51LzqvZLMhhaE_QfVbpbL3r6JInpn6XRxDWN6q88xv_l0mFqYH3woiUOWBO_Mv=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:15.813Z,,,
https://www.google.com/maps/place/ProLift+Garage+Doors+of+Amarillo/data=!4m7!3m6!1s0x2ea248aff62185dd:0x5f9ff1586952ca18!8m2!3d35.1850995!4d-101.9182005!16s%2Fg%2F11t8c8jwfr!19sChIJ3YUh9q9Ioi4RGMpSaVjxn18,ProLift Garage Doors of Amarillo,5.0,591,Garage door supplier,"7201 I-40 Suite 408, Amarillo, TX 79106, United States","53PJ+2P Amarillo, Texas, USA",https://www.proliftdoors.com/amarillo/?utm_source=GMBlisting&utm_medium=organic&utm_source=amarillo,+1 806-416-7836,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNmlDzx_anXET3PHsCSdWTcE1Qc2N_yGoI0MChS=w408-h272-k-no,true,7:30 am–8 pm,7 am–4 pm,Closed,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:21.972Z,,,
https://www.google.com/maps/place/Price+Overhead+Door/data=!4m7!3m6!1s0x87014ebc983a09b9:0x5d6355f177f8bb49!8m2!3d35.23532!4d-101.815706!16s%2Fg%2F1tdxqxwr!19sChIJuQk6mLxOAYcRSbv4d_FVY10,Price Overhead Door,4.5,29,Garage door supplier,"2007 N Wilson St, Amarillo, TX 79107, United States","65PM+4P Amarillo, Texas, USA",http://www.pricedoor.com/,+1 806-383-2432,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO5ktE9LkQPES605W-y7Ydqn9BizFPEZrEnkRjM=w408-h259-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:27.757Z,,,
https://www.google.com/maps/place/ADP+Overhead+Door/data=!4m7!3m6!1s0x87014ff4b695f0cb:0x98cf12805a8fc0fb!8m2!3d35.3042007!4d-101.8307212!16s%2Fg%2F11f33_434b!19sChIJy_CVtvRPAYcR-8CPWoASz5g,ADP Overhead Door,4.7,49,Garage door supplier,"101 E Cottonwood Ave St, Amarillo, TX 79108, United States","8539+MP Amarillo, Texas, USA",http://adpoverheaddoor.com/,+1 806-477-8849,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNDDEeXFz8NoJko4UGiVQohETGqoxN3623IHDiP=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:32.713Z,,,
https://www.google.com/maps/place/Willow+Creek+Overhead+Door/data=!4m7!3m6!1s0x8701453a40f6e785:0xfb04776e41bca53f!8m2!3d35.1947677!4d-102.0668579!16s%2Fg%2F1pp2vdsqs!19sChIJhef2QDpFAYcRP6W8QW53BPs,Willow Creek Overhead Door,5.0,35,Garage door supplier,"1708 Wills St, Amarillo, TX 79124, United States","5WVM+W7 Amarillo, Texas, USA",https://www.willowcreekoverheaddoor.com/,+1 806-731-2999,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNGdA47CwicOJLBtby2s1e9mlGZts-lf19uA5LM=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:37.881Z,,,
https://www.google.com/maps/place/JONES+OVERHEAD+DOORS/data=!4m7!3m6!1s0x87014e6ce676bfd1:0x653fab00616c3141!8m2!3d35.2284718!4d-101.8645195!16s%2Fg%2F11f53f6nsk!19sChIJ0b925mxOAYcRQTFsYQCrP2U,JONES OVERHEAD DOORS,4.8,52,Garage door supplier,"Amarillo, TX 79107, United States","64HP+95 Amarillo, Texas, USA",,+1 806-433-1171,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOxqvex7RJUCCelwDL1KUj5bcdlfaBxhdZdAb5c=w408-h281-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:43.028Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Amarillo/data=!4m7!3m6!1s0x87014e1952c578d9:0x9847cb8b64966548!8m2!3d35.2242198!4d-101.88312!16s%2Fg%2F1xn_nv8v!19sChIJ2XjFUhlOAYcRSGWWZIvLR5g,Overhead Door Company of Amarillo,3.9,66,Garage door supplier,"4111 NW 10th Ave, Amarillo, TX 79106, United States","64F8+MQ Amarillo, Texas, USA",http://overheaddoorcompanyofamarillo.com/,+1 806-372-5884,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipP8ZZTBovsRRm3De3VZwFPm-DpGl7f5fT3ZCM3H=w408-h271-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:48.535Z,,,
https://www.google.com/maps/place/ADP+Overhead+Door/data=!4m7!3m6!1s0x87014f818008b7e7:0xed34b64c3f5420ff!8m2!3d35.1601591!4d-101.8667278!16s%2Fg%2F11h081g_jv!19sChIJ57cIgIFPAYcR_yBUP0y2NO0,ADP Overhead Door,5.0,10,Garage door supplier,"4610 S Georgia St, Amarillo, TX 79110, United States","546M+38 Amarillo, Texas, USA",http://adpoverheaddoor.com/,+1 806-477-8849,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yvlcdX1D6UNni0D8IAlHfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.37811&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:51.501Z,,,
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x8701451802c7dd95:0x552893d63e0ac9f5!8m2!3d35.1431473!4d-101.880239!16s%2Fg%2F11vf7zvv55!19sChIJld3HAhhFAYcR9ckKPtaTKFU,OGD Overhead Garage Door,4.5,147,Garage door supplier,"3992 Business Park Dr, Amarillo, TX 79110, United States","44V9+7W Amarillo, Texas, USA",https://ogd.com/tx/amarillo/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-ama-01&ogd_src=ogd-ama-01-google_business_profile,+1 806-513-5108,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNeuY2LDOzv7erAU6zGoPmlxig2Xqn_uPbV83g6=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:44:56.685Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Texas+Overhead+Door/data=!4m7!3m6!1s0x870144ae6ce8616b:0x2962295c75f6f601!8m2!3d35.077118!4d-101.8831277!16s%2Fg%2F1tczkycb!19sChIJa2HobK5EAYcRAfb2dVwpYik,Texas Overhead Door,5.0,7,Garage door supplier,"12805 S Western St, Amarillo, TX 79118, United States","34G8+RP Amarillo, Texas, USA",https://texasoverheaddooramarillo.com/,+1 806-336-0748,Closes soon ⋅ 5 pm ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipNA8CrRDdmdDKOPUcj8brEhKMb1wpp-xa0DWgJj=w408-h725-k-no,true,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-11-07T22:45:01.722Z,,,
