placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,info,error
"https://www.google.com/maps/place/Outpatient+Parking+Garage/@42.7006324,-74.0337382,14z/data=!4m6!3m5!1s0x89de0af25127a2a1:0xf6ff4ac2367cc6de!8m2!3d42.6548736!4d-73.8042146!16s%2Fg%2F11f_p2nddd",Outpatient Parking Garage,4.3,12,Parking garage,"315 S Manning Blvd, Albany, NY 12208, United States","M53W+W8 Albany, New York, USA",http://www.sphcs.org/,+1 518-525-1550,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zH1-Sx5CZ1FuMhV-2cPN9Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=266.0596&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-28T18:30:29.404Z,,,,,,,,,,
"https://www.google.com/maps/place/Employee+parking/@42.653967,-73.9287365,14z/data=!4m6!3m5!1s0x89de0b621f6eb2c7:0x3c8859fa451752d7!8m2!3d42.6532311!4d-73.8046946!16s%2Fg%2F11q8408f7p",Employee parking,5.0,1,Parking lot,"Albany, NY 12208, United States","M53W+74 Albany, New York, USA",https://ogs.ny.gov/parking,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MQTveLjQa66Jnz417H_SvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.69186&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Voorheesville+Albany+NY/@42.653967,-73.9287365,14z",2025-10-28T18:30:36.024Z,,,,,,,,,,
https://www.google.com/maps/place/Albany+Parking+Violations/data=!4m7!3m6!1s0x89de0a19bc7ddb53:0x9fcaca14ce783ac8!8m2!3d42.6516449!4d-73.7544132!16s%2Fg%2F1tdqjgvw!19sChIJU9t9vBkK3okRyDp4zhTKyp8,Albany Parking Violations,1.6,23,City government office,"24 Eagle St #203, Albany, NY 12207, United States","M62W+M6 Albany, New York, USA",http://www.albanyny.org/,+1 518-434-5006,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UdzDS5qSxlvkBx_HNXhA7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.5005&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Menands+Albany+NY/@42.6920233,-73.7245639,14z",2025-10-28T18:30:52.298Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,,,
https://www.google.com/maps/place/Valet+Park+of+America/data=!4m7!3m6!1s0x89de0af14a19c961:0xa02204b727a970d1!8m2!3d42.678783!4d-73.7958283!16s%2Fg%2F11b6x6qrq7!19sChIJYckZSvEK3okR0XCpJ7cEIqA,Valet Park of America,3.4,10,Valet parking service,"Lower Level, 40 Colvin Ave, Albany, NY 12206, United States","M6H3+GM Albany, New York, USA",http://www.valetparkofamerica.com/,+1 866-888-2538,,https://lh3.googleusercontent.com/p/AF1QipPUDFf7INWsVzOQ2abw6tLiJ096Jyh74mN7n4AS=w648-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Menands+Albany+NY/@42.6920233,-73.7245639,14z",2025-10-28T18:30:57.314Z,,,,,,,,,,
https://www.google.com/maps/place/Main+Parking+Garage/data=!4m7!3m6!1s0x89de0af3af50d137:0x56494a75ef37bbf8!8m2!3d42.6546049!4d-73.802896!16s%2Fg%2F11gd67qc6_!19sChIJN9FQr_MK3okR-Ls373VKSVY,Main Parking Garage,3.6,18,Parking garage,"Main Parking Garage, 281 Hackett Blvd, Albany, NY 12208, United States","M53W+RR Albany, New York, USA",,+1 518-525-1550,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RIavMnkAnpu_5Za1XKwp7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.33821&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Menands+Albany+NY/@42.6920233,-73.7245639,14z",2025-10-28T18:30:59.997Z,,,,,,,,,,
https://www.google.com/maps/place/Classic+Valet+Services/data=!4m7!3m6!1s0x89de0b4887b3ec6d:0x2a916dd9e37e435b!8m2!3d42.6534469!4d-73.7484752!16s%2Fg%2F11s5tvfhcf!19sChIJbeyzh0gL3okRW0N-49ltkSo,Classic Valet Services,5.0,1,Valet parking service,"677 Broadway, Albany, NY 12207, United States","M732+9J Albany, New York, USA",https://classic-valet.com/,+1 301-660-0060,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ItGY41r5-ZyZqYw0aDbhww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=342.301&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Menands+Albany+NY/@42.6920233,-73.7245639,14z",2025-10-28T18:31:04.380Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Albany+Parking+Authority/data=!4m7!3m6!1s0x89de0a270889db15:0xdac25b889b75ca9c!8m2!3d42.6532882!4d-73.7479426!16s%2Fg%2F1tf0rm8b!19sChIJFduJCCcK3okRnMp1m4hbwto,Albany Parking Authority,2.9,35,Parking lot,"25 Orange St, Albany, NY 12207, United States","M732+8R Albany, New York, USA",http://www.parkalbany.com/,+1 518-434-8886,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxPnan3hOk6twH5mrdj2-8vvajxlzHTsZkJSrmVcp_lZFgZ9pZc2_-aItGzGLkP9bhNPt4KaILGd0HR0WRzVPaZXb0LLc1zWNaQQj3shDvhD6KoVA6oZTbiuxam95THD1rnUYDD7w=w408-h240-k-no-pi-20.533554-ya5.381324-ro0.8014912-fo100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Park+South+Albany+NY/@42.6542887,-73.7735262,14z",2025-10-28T18:31:19.303Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,
https://www.google.com/maps/place/MVP+Arena+Parking+Garage/data=!4m7!3m6!1s0x89de0ba20683c599:0x81cd5d08bb3c8054!8m2!3d42.6492841!4d-73.7562673!16s%2Fg%2F11k3h72hx8!19sChIJmcWDBqIL3okRVIA8uwhdzYE,MVP Arena Parking Garage,4.2,48,Parking garage,"1 Market St, Albany, NY 12207, United States","J6XV+PF Albany, New York, USA",https://www.mvparena.com/plan-your-visit/directions-parking,+1 518-487-2000,Closes soon ⋅ 3 pm ⋅ Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhD7KiXP9KQEO-H7uWv9dgc2J342eKriD6u4NvUhwN_WkZVrNrkQA8FJAVgnMfTPsRzzvqiePNhyXzYl_cp2XMRtUWbtOYSnkfrKlu31iBUoUirjpkh4s9f8gfIu8cLJN2gt_FsQ=w408-h429-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Park+South+Albany+NY/@42.6542887,-73.7735262,14z",2025-10-28T18:31:26.344Z,7 am–3 pm,7 am–3 pm,7 am–3 pm,7 am–3 pm,Closed,Closed,7 am–3 pm,,,
"https://www.google.com/maps/place/Egg+parking+garage/@42.650674,-73.760061,17z/data=!3m1!4b1!4m6!3m5!1s0x89de0be971798047:0x329c367e1679bd6d!8m2!3d42.650674!4d-73.760061!16s%2Fg%2F11g1qjtpxk",Egg parking garage,4.5,22,Parking garage,"S Mall Arterial, Albany, NY 12210, United States","M62Q+7X Albany, New York, USA",,,,,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Park+South+Albany+NY/@42.6542887,-73.7735262,14z",2025-10-28T18:31:31.017Z,,,,,,,,,,
https://www.google.com/maps/place/AMC+Parking/data=!4m7!3m6!1s0x89de0b9736e674f3:0x83e0497d856fb5b0!8m2!3d42.6513829!4d-73.7754504!16s%2Fg%2F11h4nhsz7g!19sChIJ83TmNpcL3okRsLVvhX1J4IM,AMC Parking,4.0,1,Parking garage,"60 New Scotland Ave, Albany, NY 12208, United States","M62F+HR Albany, New York, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GP84SvqZ4mG_1zUO_8hrmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.700058&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Park+South+Albany+NY/@42.6542887,-73.7735262,14z",2025-10-28T18:31:33.791Z,,,,,,,,,,
