placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,error,attributes
https://www.google.com/maps/place/West+Central+Mental+Health+-+West+Springfield/data=!4m7!3m6!1s0x89e6e0b8f13be987:0xa76334d5f8d6f645!8m2!3d42.1331138!4d-72.6301681!16s%2Fg%2F1tdyb2lm!19sChIJh-k78bjg5okRRfbW-NU0Y6c,West Central Mental Health - West Springfield,4.6,96,Mental health service,"103 Myron St # A, West Springfield, MA 01089, United States","49M9+6W West Springfield, Massachusetts, USA",https://nehs.transformationsnetwork.com/individual-locations/west-central-family-counseling/,+1 413-592-1980,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMie6-ZSWZGoYwTihMsCiSl6sYU7prZcqEGsfhV=w408-h542-k-no,true,8 am–5 pm,8 am–8 pm,8 am–8 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,9 am–12 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:51:48.941Z,,,
https://www.google.com/maps/place/Handel+Behavioral+Health+Therapy+%26+Psychiatry+West+Springfield/data=!4m7!3m6!1s0x89e6e1ea43647e75:0x67c701ca49745c08!8m2!3d42.1386061!4d-72.6223828!16s%2Fg%2F11rzsy0k52!19sChIJdX5kQ-rh5okRCFx0ScoBx2c,Handel Behavioral Health Therapy & Psychiatry West Springfield,4.6,71,Mental health service,"51 Capital Dr, West Springfield, MA 01089, United States","49QH+C2 West Springfield, Massachusetts, USA",https://hbhtherapy.com/,+1 413-779-8217,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPdh5UH0mLGZmmVUfC0dTH_jk1tb3xqaBlRSFfG=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:51:54.874Z,,,
https://www.google.com/maps/place/Stepping+Stones+Psychiatry+LLC/data=!4m7!3m6!1s0x89e6e1dd85462f3d:0xa41c39f3c2ba73d!8m2!3d42.1039617!4d-72.6210876!16s%2Fg%2F11rpkz11np!19sChIJPS9Ghd3h5okRPacrPJ_DQQo,Stepping Stones Psychiatry LLC,3.7,19,Psychiatrist,"201 Park Ave Suite 5, West Springfield, MA 01089, United States","493H+HH West Springfield, Massachusetts, USA",http://www.steppingstonespsychiatry.com/,+1 413-300-3999,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TJJMgdwpf0PE-nhJ9AOM5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=222.9688&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:51:59.670Z,,,
https://www.google.com/maps/place/Thriveworks+Counseling+%26+Psychiatry+West+Springfield/data=!4m7!3m6!1s0x89e6e1bb61511ce9:0xaf756e030884821f!8m2!3d42.1013288!4d-72.6141855!16s%2Fg%2F11qpr3x91c!19sChIJ6RxRYbvh5okRH4KECANuda8,Thriveworks Counseling & Psychiatry West Springfield,4.5,62,Counselor,"425 Union St, West Springfield, MA 01089, United States","492P+G8 West Springfield, Massachusetts, USA",https://thriveworks.com/west-springfield-therapy/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,+1 413-675-5058,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPCY-UYYzgBISKCKDy7AJe9I_IHAep1nCNOeejP=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:04.630Z,,,
https://www.google.com/maps/place/IPS+Behavioral+Health+Clinic+%28Innovative+Physician+Services+LLC%29/data=!4m7!3m6!1s0x89e6e7280ecdf07d:0x720b1c1baa71a2c4!8m2!3d42.1389656!4d-72.5621967!16s%2Fg%2F11srhdtxjh!19sChIJffDNDijn5okRxKJxqhscC3I,IPS Behavioral Health Clinic (Innovative Physician Services LLC),4.8,32,Mental health service,"490 Page Blvd, Springfield, MA 01104, United States","4CQQ+H4 Springfield, Massachusetts, USA",https://ipsmedical.net/,+1 413-349-5033,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipNABRdSKXtFnRAXPzPQjYcQoUtiPtvgp0FFMgqf=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:09.473Z,,,
https://www.google.com/maps/place/Inspira+Counseling+Center/data=!4m7!3m6!1s0x89e6e72390888689:0xb33b0ca322cde7e6!8m2!3d42.1013654!4d-72.6141579!16s%2Fg%2F11ngtmz7vq!19sChIJiYaIkCPn5okR5ufNIqMMO7M,Inspira Counseling Center,5.0,1,Mental health clinic,"425 Union St, West Springfield, MA 01089, United States","492P+G8 West Springfield, Massachusetts, USA",https://inspiracounselingcenter.com/,+1 413-299-2277,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x9-W7MZ2bSNV9xs9fIojsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=156.51813&pitch=0&thumbfov=100,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:14.419Z,,,
https://www.google.com/maps/place/Baystate+Behavioral+Health+-+Adult+Psychiatric+Treatment+Unit/data=!4m7!3m6!1s0x89e6e7e22f2c71e1:0xb3c23198723ab51b!8m2!3d42.1216158!4d-72.6037013!16s%2Fg%2F1vm7ch7k!19sChIJ4XEsL-Ln5okRG7U6cpgxwrM,Baystate Behavioral Health - Adult Psychiatric Treatment Unit,2.3,3,Hospital department,"759 Chestnut St, Springfield, MA 01199, United States","49CW+JG Springfield, Massachusetts, USA",https://www.baystatehealth.org/locations/baystate-medical-center/behavioral-health-adult-psychiatric-treatment-unit,+1 413-794-3360,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPskfaomzshpLqxK1_oHruPDTaNGfv5oZ_fTLMm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:19.327Z,,,
"https://www.google.com/maps/place/Dr.+Emad+H.+Eskander,+MD/data=!4m7!3m6!1s0x89e6e722cb88fe21:0x6194a32d80bda40a!8m2!3d42.1043442!4d-72.6207442!16s%2Fg%2F1tg3c3jm!19sChIJIf6IyyLn5okRCqS9gC2jlGE","Dr. Emad H. Eskander, MD",4.1,14,Psychiatrist,"181 Park Ave, West Springfield, MA 01089, United States","493H+PP West Springfield, Massachusetts, USA",,+1 413-455-2948,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o6Zg-0-m3YiCQFV33GAAEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.680172&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:24.240Z,,,
https://www.google.com/maps/place/Baystate+Behavioral+Health+-+Psychiatry+Consultation+Services/data=!4m7!3m6!1s0x89e6e7d5c07bcb7b:0xf44192a3f3c3b2ea!8m2!3d42.1216158!4d-72.6037013!16s%2Fg%2F1tk9rsxv!19sChIJe8t7wNXn5okR6rLD86OSQfQ,Baystate Behavioral Health - Psychiatry Consultation Services,3.0,2,Hospital department,"759 Chestnut St, Springfield, MA 01199, United States","49CW+JG Springfield, Massachusetts, USA",https://www.baystatehealth.org/locations/baystate-medical-center,+1 413-794-3376,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNu4SEDknQLwCleswoCSBUfZXk-f9iwvE-BluUn=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:29.144Z,,,
https://www.google.com/maps/place/Psychiatric+Counseling+Services/data=!4m7!3m6!1s0x89e6e0da5cbd3a25:0x9a6e3381f6a1f36c!8m2!3d42.1189245!4d-72.6285494!16s%2Fg%2F1th5_v6w!19sChIJJTq9XNrg5okRbPOh9oEzbpo,Psychiatric Counseling Services,1.0,1,Psychiatrist,"1111 Elm St #30, West Springfield, MA 01089, United States","499C+HH West Springfield, Massachusetts, USA",,+1 413-739-7585,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ESt4ULVK5RbcNhNp_DQNKA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.2332&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2025-12-16T01:52:31.968Z,,,
