placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info
https://www.google.com/maps/place/Reliant+Electric+Works/data=!4m7!3m6!1s0x4cca7a1dec6b6819:0xae60a4625dbdcbea!8m2!3d44.4824193!4d-73.1550061!16s%2Fg%2F1tjdlcqt!19sChIJGWhr7B16ykwR6su9XWKkYK4,Reliant Electric Works,4.8,29,Electrician,"89 Ethan Allen Dr unit c, South Burlington, VT 05403, United States","FRJV+XX South Burlington, Vermont, USA",https://www.reliantelectric.biz/home-page,+1 802-863-5513,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipND2SDpizmNbSIj7e-i3qUVlPH6fVyUkwBXwhWh=w426-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:32:59.339Z,,
https://www.google.com/maps/place/Lakeside+Electric+Inc./data=!4m7!3m6!1s0x4cca7940fe359797:0xa919ba587bc86c2b!8m2!3d44.4589796!4d-73.1465037!16s%2Fg%2F1td6g2wd!19sChIJl5c1_kB5ykwRK2zIe1i6Gak,Lakeside Electric Inc.,4.9,552,Electrician,"2041 Williston Rd, South Burlington, VT 05403, United States","FV53+H9 South Burlington, Vermont, USA",https://lakesideelectricvt.com/,+1 802-862-6508,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNSZf4N8ecO9rwZkqmX69ZeLYkZTtRrI8uOT7Vx=w408-h257-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:04.565Z,,
https://www.google.com/maps/place/Cummings+Electric/data=!4m7!3m6!1s0x4cca7a1c4d3cf621:0xf338507bfbd6da7b!8m2!3d44.4835205!4d-73.1566326!16s%2Fg%2F1tf1bck4!19sChIJIfY8TRx6ykwRe9rW-3tQOPM,Cummings Electric,4.4,39,Electrician,"80 Ethan Allen Dr, South Burlington, VT 05403, United States","FRMV+C8 South Burlington, Vermont, USA",https://www.cummingselectric.com/,+1 802-658-1292,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOtS8vjwsymCJ3F4T21pZAlfWwUjKrbAf94X54A=w408-h612-k-no,true,Closed,Closed,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:09.989Z,,
https://www.google.com/maps/place/MR+Small+Engine+Repair/data=!4m7!3m6!1s0x4cca7bca415ef77b:0xf33cbc7230e10403!8m2!3d44.4583164!4d-73.1761237!16s%2Fg%2F11k4jr9lpk!19sChIJe_deQcp7ykwRAwThMHK8PPM,MR Small Engine Repair,4.9,60,Small engine repair service,"27 Obrien Dr, South Burlington, VT 05403, United States","FR5F+8H South Burlington, Vermont, USA",http://www.mrsmallengine.com/,+1 802-233-2060,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwR5NtLfV0iri8rq0qOG7VOKHCE5y80kHEKDpZFRf05NTceHAcH7Te_z4bGl9FEF44t2gXEaXZpSHbDw9803vWCGHGD3sgBbhtTmTSlYgGMnLnZhEvjPU1PALtnvEG6xif6KyS10mD30-M=w408-h544-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:14.796Z,,
https://www.google.com/maps/place/Inspired+Electric+LLC/data=!4m7!3m6!1s0x4cca7be6f34d5899:0x95a2ecda7b8bc317!8m2!3d44.4808959!4d-73.2109999!16s%2Fg%2F11l5kwmwx3!19sChIJmVhN8-Z7ykwRF8OLe9rsopU,Inspired Electric LLC,5.0,11,Electrician,"10 N Winooski Ave, Burlington, VT 05401, United States","FQJQ+9J Burlington, Vermont, USA",,+1 802-355-9009,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBTTlUtsVigVFPwZCe5yKA5czs7zi8JHU1fDho11qRfRB0nXF6-AOauomIXg5eeesNpF64eGkE5L5TS5ZQNH5Ous_tO4BsRVC5An8XVVR8zSOPK-O5xLYx8DD4iCDWQJV11cbRP6kdFgo=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:19.642Z,,
https://www.google.com/maps/place/Generator+Supply+of+Vermont/data=!4m7!3m6!1s0x4cca839a3c94ef4d:0x78505d28b050e16f!8m2!3d44.255599!4d-73.226895!16s%2Fg%2F11vkkv3dts!19sChIJTe-UPJqDykwRb-FQsChdUHg,Generator Supply of Vermont,5.0,1,Electric generator shop,"6700 US-7, North Ferrisburgh, VT 05473, United States","7Q4F+66 North Ferrisburgh, Ferrisburgh, VT, USA",https://generatorsupplyofvermont.com/,+1 802-658-5088,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNIuBOFfMN9kq7lSmkljdAmPy4N6Rg8zOluiKTz=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:24.502Z,,
https://www.google.com/maps/place/Omega+Electric/data=!4m7!3m6!1s0x4cca7a1c08eef55b:0x3619e168b880c42!8m2!3d44.4807997!4d-73.1573431!16s%2Fg%2F1vj5zt_b!19sChIJW_XuCBx6ykwRQgyIixaeYQM,Omega Electric,3.3,10,Electrician,"31 Commerce Ave, South Burlington, VT 05403, United States","FRJV+83 South Burlington, Vermont, USA",http://www.omegavt.com/omega-electric/,+1 802-862-0517,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLsMeYvbP22i5hJxbfugNTDU_YTkIYWe6tNY0zsFv0t52_3HmCwQ0k057tG6cvG4z3UZ41hCf0gBEECQTbhvp5WCTKdg-iOWrko0dduyXSuk32a61k2JKMJ_g8GZyOHEwzsHk=w408-h856-k-no,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:27.216Z,,
https://www.google.com/maps/place/DR+Power+Equipment/data=!4m7!3m6!1s0x4cca797d2fedfddf:0x13d800a73c886dda!8m2!3d44.4461577!4d-73.1554911!16s%2Fg%2F11h6r5bwrb!19sChIJ3_3tL315ykwR2m2IPKcA2BM,DR Power Equipment,4.2,979,Lawn mower store,"800 Hinesburg Rd, South Burlington, VT 05403, United States","CRWV+FR South Burlington, Vermont, USA",https://www.drpower.com/,+1 800-687-6575,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxl9mAI0j5hIVN8dNEq9KVcIyqdPDMARnFwEFXWdY4MHIIw0HY86PYgt4ATaPu2UaEGqXOs40KvkxNpKG-zrcl-jNYy3RcmM9i13uLVC0ODPKUJxUN_VX8qiADS-XOaqSWqsVp5wQ=w408-h306-k-no,true,8:30 am–5 pm,Closed,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:32.411Z,· In-store pick-up · Delivery,
https://www.google.com/maps/place/Generac+Power+Products/data=!4m7!3m6!1s0x4cca9d7ab9000001:0x6e9ea918ee52e2cd!8m2!3d44.4464026!4d-73.1560862!16s%2Fg%2F11h6d8xr1n!19sChIJAQAAuXqdykwRzeJS7hipnm4,Generac Power Products,1.8,5,Corporate office,"800 Hinesburg Rd, South Burlington, VT 05403, United States","CRWV+HH South Burlington, Vermont, USA",http://generacpowerproducts.com/,+1 800-511-0658,Closed · Opens 10 am Sun,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HhYfe7uUq_5ynfxIxJ1DxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.612778&pitch=0&thumbfov=100,true,8:30 am–5 pm,10 am–4 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:37.401Z,,
https://www.google.com/maps/place/Metevier%27s+Electric+Motor+Service/data=!4m7!3m6!1s0x4cca7a94c99b330d:0xf1499e5b14acb429!8m2!3d44.4877532!4d-73.2246552!16s%2Fg%2F1tgz06ck!19sChIJDTObyZR6ykwRKbSsFFueSfE,Metevier's Electric Motor Service,4.9,10,Electric motor store,"226 North Ave, Burlington, VT 05401, United States","FQQG+44 Burlington, Vermont, USA",http://www.meteviersmotors.com/,+1 802-864-4365,"Closed · Opens 7:30 am Mon

Confirmed by this business 1 week ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6PnwSSfguEEeSTf1IbmuuA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.59249&pitch=0&thumbfov=100,true,Closed,Closed,"7:30 am–12 pm, 12:30–4 pm","7:30 am–12 pm, 12:30–4 pm","7:30 am–12 pm, 12:30–4 pm","7:30 am–12 pm, 12:30–4 pm","7:30 am–12 pm, 12:30–4 pm","https://www.google.com/maps/search/generator+installation+services+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-01-10T22:33:42.288Z,,
