placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Grener+Electric/data=!4m7!3m6!1s0x88e8bb27d5e3ffff:0xf7c87858f5fc149e!8m2!3d29.7019974!4d-82.3308825!16s%2Fg%2F11h3vc7_v_!19sChIJ___j1Se76IgRnhT89Vh4yPc,Grener Electric,5.0,434,Electrician,"605 NW 53rd Ave Suite A-8B, Gainesville, FL 32609, United States","PM29+QJ Gainesville, Florida, USA",https://grenerelectric.com/,+1 833-447-3637,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMG8-OPD5ssoykFZil4bgNztROLeRLsAtAaikBa=w544-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:31.180Z,,,,
"https://www.google.com/maps/place/Troy%27s+Electric+Repair,+LLC/data=!4m7!3m6!1s0x88e8bb95ae8b5e83:0x76207e35752fdf78!8m2!3d29.687114!4d-82.450415!16s%2Fg%2F11c2rbrm0s!19sChIJg16LrpW76IgReN8vdTV-IHY","Troy's Electric Repair, LLC",4.6,31,Electric motor repair shop,"3626 NW 97th Blvd, Gainesville, FL 32606, United States","MGPX+RR Gainesville, Florida, USA",,+1 352-258-9021,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwo7_JftHex3vOzDI7uy0-sQpXy_NKOzFyUnWOAx3nqhAyVCv0qif7k-HS4dFV_vjhEzmuNr_MZZhXivPKZLq3BgrwdODtJK5kh1uEr0rVXrtYrSbawQXgtsoDLSlNjDjju3cC3Q=w408-h544-k-no,false,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:36.469Z,,,,
https://www.google.com/maps/place/Preston+Link+Electric/data=!4m7!3m6!1s0x88e8a2d86723abc5:0x3750af7e9a46ffbf!8m2!3d29.6152111!4d-82.3756737!16s%2Fg%2F1tdzmctt!19sChIJxasjZ9ii6IgRv_9Gmn6vUDc,Preston Link Electric,4.9,327,Electrical installation service,"4000 SW 35th Terrace, Gainesville, FL 32608, United States","JJ8F+3P Gainesville, Florida, USA",https://prestonlinkelectric.com/,+1 352-373-3516,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipODPwdmbzBC5cNoIuagDWMfGfqps0-lDjmK88sV=w408-h271-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:41.962Z,,,,
"https://www.google.com/maps/place/B%26D+Electric,+Inc./data=!4m7!3m6!1s0x88e8c0d8cf805d51:0x7c87c12541ceecbd!8m2!3d29.659225!4d-82.6012444!16s%2Fg%2F1262t4mwn!19sChIJUV2Az9jA6IgRvezOQSXBh3w","B&D Electric, Inc.",4.9,530,Electrician,"24462 NW 9th Pl, Newberry, FL 32669, United States","M95X+MG Newberry, Florida, USA",http://www.bdelectric.com/,+1 352-472-1966,"Closed · Opens 7 am Mon

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPNxpqvVoztyjq4VoLdzlW99MFzW904oU7aYxmW=w420-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:46.911Z,,,,
https://www.google.com/maps/place/Archer+Electric+Services+Co/data=!4m7!3m6!1s0x88e8bcd262e59deb:0xdb447452271bd40d!8m2!3d29.6277194!4d-82.3917124!16s%2Fg%2F1th0nqxn!19sChIJ653lYtK86IgRDdQbJ1J0RNs,Archer Electric Services Co,4.9,280,Electrician,"4504 SW 29th Ave, Gainesville, FL 32608, United States","JJH5+38 Gainesville, Florida, USA",http://www.archerelectricservice.com/,+1 352-371-2580,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNE53MjhP-KQ9igvMxk6q-pFmcYKeZn1g2H0qqU=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:51.745Z,,,,
https://www.google.com/maps/place/Mr.+Electric+of+North+Florida/data=!4m7!3m6!1s0x88e8a413da34baed:0x19e7ba390dc33d77!8m2!3d29.6742376!4d-82.3184971!16s%2Fg%2F1vrqbgg9!19sChIJ7bo02hOk6IgRdz3DDTm65xk,Mr. Electric of North Florida,4.7,118,Electrician,"680 NE 23rd Ave Suite A, Gainesville, FL 32609, United States","MMFJ+MJ Gainesville, Florida, USA",https://mrelectric.com/north-florida/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 352-240-1990,"Open 24 hours

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN861Jl3OGkjfX6OHq1I8jajhCOfb0EmH97Cibb=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:02:56.888Z,,,,
https://www.google.com/maps/place/Mister+Sparky/data=!4m7!3m6!1s0x4d5c363957ba51c9:0x9a18520bd799c91e!8m2!3d29.7019286!4d-82.3407463!16s%2Fg%2F11ryqn0md9!19sChIJyVG6Vzk2XE0RHsmZ1wtSGJo,Mister Sparky,4.8,1137,Electrician,"5111 NW 13th St Suite C, Gainesville, FL 32609, United States","PM25+QP Gainesville, Florida, USA",https://gainesvillemistersparky.com/,+1 352-353-8047,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOnB30l8gi0N8vhm_zuQjVolm5flnXqP6VizQfF=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:03:01.966Z,,,,
https://www.google.com/maps/place/Blackwell+Electric+LLC/data=!4m7!3m6!1s0x88e8bf5343f30163:0xa373468017081a3f!8m2!3d29.65829!4d-82.5600921!16s%2Fg%2F1vpptbsx!19sChIJYwHzQ1O_6IgRPxoIF4BGc6M,Blackwell Electric LLC,4.8,37,Electrician,,,https://www.blackwellelectric.net/,+1 352-472-6104,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipP1V_SSIkg8LsNFVFDcsej0lc8RrrHm8JMPRLF5=w408-h272-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:03:07.007Z,,,,
https://www.google.com/maps/place/352+Electric+LLC/data=!4m7!3m6!1s0x88e8a4179c6ee5fd:0xa7bdf0e487ba6a14!8m2!3d29.6742323!4d-82.3361391!16s%2Fg%2F11bw2h3fwl!19sChIJ_eVunBek6IgRFGq6h-Twvac,352 Electric LLC,4.7,58,Electrician,"1102 NW 23rd Ave, Gainesville, FL 32609, United States","MMF7+MG Gainesville, Florida, USA",http://352electric.com/,+1 352-331-6459,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO7fTpmjoOYEhlYB_I1PIUOADhE2tLgICufEaHX=w408-h308-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:03:11.784Z,,,,
"https://www.google.com/maps/place/Vintage+Electric,+Inc./data=!4m7!3m6!1s0x88e8a51061187471:0x33ea3fd32674af12!8m2!3d29.7200424!4d-82.3585548!16s%2Fg%2F11clzv95zr!19sChIJcXQYYRCl6IgREq90JtM_6jM","Vintage Electric, Inc.",4.9,373,Electrician,"2421 NW 71st Pl, Gainesville, FL 32653, United States","PJCR+2H Gainesville, Florida, USA",http://www.vintageelectric.net/,+1 352-371-8021,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNPpZRLeblR_AXluimJk6QzNuiRPnTpi6BSUf3v=w408-h306-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2026-01-10T22:03:16.620Z,,,,
