placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Arizona+Backup+Power+%7C+Generac+%7C+Electrical/data=!4m7!3m6!1s0x872b7596a55c53af:0x1f34f513c08d60a8!8m2!3d33.6374544!4d-111.8859328!16s%2Fg%2F11j_2lt1x_!19sChIJr1NcpZZ1K4cRqGCNwBP1NB8,Arizona Backup Power | Generac | Electrical,5.0,53,Electrical installation service,"9096 E Bahia Dr STE 103, Scottsdale, AZ 85260, United States","J4P7+XJ Scottsdale, Arizona, USA",https://azbackuppower.com/,+1 480-863-6997,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNSax4GofKnwl81HpAweKUrZFvghSxxq17LPKs4=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:16.384Z,,,
https://www.google.com/maps/place/RP+Energy+Electrical+Contractors/data=!4m7!3m6!1s0x872b719595c15555:0xcb59359e911aa409!8m2!3d33.6444323!4d-112.0196496!16s%2Fg%2F11kc8mhszq!19sChIJVVXBlZVxK4cRCaQakZ41Wcs,RP Energy Electrical Contractors,5.0,8,Electrical installation service,"2916 E Campo Bello Dr, Phoenix, AZ 85032, United States","JXVJ+Q4 Phoenix, Arizona, USA",https://rpenergy.co/contact-us,+1 602-380-2876,"Open 24 hours

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9Q9AJ5LRkrI6j6M7Tlbe8jNOuLqvi7Y23I-AMy3stg05cGhSBYjyxeWrFsndVTVJouJOjqAKKpxsz1B8dZQlLfEHdJ2d_kKBH4r_IlW8Sb2201azRX3nIhj6NZ1VBw3ydB32YZHvtNHVb=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:22.239Z,,,
https://www.google.com/maps/place/Star+Light+Electric+LLC/data=!4m7!3m6!1s0x872b71c1c014c045:0x2dc03d70421c5234!8m2!3d33.6570734!4d-112.0414436!16s%2Fg%2F11f6nj2dxj!19sChIJRcAUwMFxK4cRNFIcQnA9wC0,Star Light Electric LLC,5.0,193,Electrician,"1928 E Rosemonte Dr, Phoenix, AZ 85024, United States","MX45+RC Phoenix, Arizona, USA",https://starlightelectricaz.com/,+1 602-545-6800,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOOJsZA5GblwgTtoCDYiMTtXhTOBh6UIR0-Ft1_=w408-h408-k-no,true,9 am–8 pm,9 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:27.126Z,,,
https://www.google.com/maps/place/Ignite+Electric/data=!4m7!3m6!1s0x2d64051c5f05169b:0x72919b9ce0591a17!8m2!3d33.616843!4d-111.9122034!16s%2Fg%2F11pvb3b4r9!19sChIJmxYFXxwFZC0RFxpZ4JybkXI,Ignite Electric,4.9,732,Electrician,"7820 E Evans Rd # 700, Scottsdale, AZ 85260, United States","J38Q+P4 Scottsdale, Arizona, USA",https://www.ignite-electric.com/,+1 480-725-7664,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNgsgiZkVtGcNVPGXHV9Y3_8r0zkQWhIBgIpunh=w408-h544-k-no,true,9 am–5 pm,Closed,5:30 am–5:30 pm,5:30 am–5:30 pm,5:30 am–5:30 pm,5:30 am–5:30 pm,5:30 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:32.209Z,,,
https://www.google.com/maps/place/Mister+Sparky%C2%AE+of+Phoenix/data=!4m7!3m6!1s0x872b7510ea0fc2a3:0x837852bbd18f046b!8m2!3d33.6267894!4d-111.9018512!16s%2Fg%2F11hf4s5dsx!19sChIJo8IP6hB1K4cRawSP0btSeIM,Mister Sparky® of Phoenix,4.8,2460,Electrician,"15525 N 83rd Way Suite B6, Scottsdale, AZ 85260, United States","J3GX+P7 Scottsdale, Arizona, USA",https://www.mistersparky.com/scottsdale/,+1 480-568-1137,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPh_zdjDQYbkPvg3CP0p-IXX9ke9cAlkjSljw9H=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:37.257Z,,,
https://www.google.com/maps/place/Coppertown+Electric+LLC/data=!4m7!3m6!1s0x872b6da788022f37:0x2e8a43e03ae23d3e!8m2!3d33.5701146!4d-112.0813284!16s%2Fg%2F11f__5ltv2!19sChIJNy8CiKdtK4cRPj3iOuBDii4,Coppertown Electric LLC,5.0,89,Electrician,"624 W Mission Ln, Phoenix, AZ 85021, United States","HWC9+2F Phoenix, Arizona, USA",http://coppertownaz.com/,+1 602-390-0253,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMzKZZPcOc3U23tm5lmj85dABYRqBnoXXIhr4Cn=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:42.264Z,,,
"https://www.google.com/maps/place/Azgard+Electric,+Inc./data=!4m7!3m6!1s0xa9b7a84d40ac6d03:0x287b83f83bd58c03!8m2!3d33.5531676!4d-112.168034!16s%2Fg%2F11vpz0ngn1!19sChIJA22sQE2ot6kRA4zVO_iDeyg","Azgard Electric, Inc.",5.0,89,Electrician,,,https://azgardelectric.com/,+1 480-953-0376,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPEEuHoaPi2-p3iomkvkdbJopoHsulfc3ShiMHU=w408-h544-k-no,true,Closed,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:47.188Z,,,
https://www.google.com/maps/place/Turn+It+On+Electric/data=!4m7!3m6!1s0x872b6f77c3831975:0xd521c4111ee48783!8m2!3d33.682868!4d-112.096275!16s%2Fg%2F1ptyvzpdj!19sChIJdRmDw3dvK4cRg4fkHhHEIdU,Turn It On Electric,4.6,471,Electrician,"1745 W Deer Valley Rd Ste 110, Phoenix, AZ 85027, United States","MWM3+4F Phoenix, Arizona, USA",https://turnitonelectric.com/?utm_campaign=gmb,+1 602-962-7299,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOOO6D4YiT84ktJr1u215c8HFd5QnkAhtYG_67u=w408-h330-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:52.185Z,,,
https://www.google.com/maps/place/KJB+Low+Voltage+and+Electric+LLC/data=!4m7!3m6!1s0xa9fa5cb21f9f6ffb:0x37eceb46f3498023!8m2!3d33.485838!4d-111.9854704!16s%2Fg%2F11vjg1nbvc!19sChIJ-2-fH7Jc-qkRI4BJ80br7Dc,KJB Low Voltage and Electric LLC,4.9,19,Electrician,,,http://kjbelectric.com/,+1 602-756-1020,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMREcv9K3P8Of964uVsF_x3TWEsdX6tUougEOEg=w408-h544-k-no,true,7 am–5 pm,9 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:54:57.129Z,,,
https://www.google.com/maps/place/Outbound+Power/data=!4m7!3m6!1s0x4acb13a6c06cc49d:0x7a69b0e5e7981d56!8m2!3d33.572891!4d-111.8633329!16s%2Fg%2F11t5hvfbg0!19sChIJncRswKYTy0oRVh2Y5-WwaXo,Outbound Power,4.9,43,Electric generator shop,"10105 E Vía Linda Ste 103 #1189, Scottsdale, AZ 85258, United States","H4FP+5M Scottsdale, Arizona, USA",https://outboundpower.com/,+1 888-976-5443,"Closed · Opens 6 am Mon

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy5mCjYbvTK85FA2Ku2fCt4up3iOn_3mH-NyF6JlKvoKNGPYqZomrWvBRktOBJmbEwJGZCiXFrbnuWyQOcFDQ_sn-ur945jsHXJm8Dc85EEyRqs33WpgCJG0IBde9Yxkvw2n9Yj=w408-h724-k-no,true,Closed,Closed,6 am–4 pm,6 am–4 pm,6 am–4 pm,6 am–4 pm,6 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:55:02.162Z,· Delivery,,
https://www.google.com/maps/place/AZ+DC+Electric/data=!4m7!3m6!1s0x8ef8c4744dfa25a5:0xc08089733aa33f09!8m2!3d33.6262506!4d-111.9422351!16s%2Fg%2F11vqrkgqvk!19sChIJpSX6TXTE-I4RCT-jOnOJgMA,AZ DC Electric,4.8,73,Electrician,"6424 E Greenway Pkwy suite 376, Scottsdale, AZ 85254, United States","J3G5+G4 Scottsdale, Arizona, USA",https://azdcelectric.com/,+1 602-346-6525,"Closed · Opens 7:30 am Mon

Updated by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMqmQvULL2hETgex_yvhMOBy9Jmc9HDkoXbfU4B=w408-h510-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2026-01-10T21:55:07.422Z,,LGBTQ+ friendly,
