placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Standard+Property+Management/data=!4m7!3m6!1s0x89d30d9cd4959953:0x867943691f92bfcb!8m2!3d42.8817679!4d-78.8687776!16s%2Fg%2F11cndc1866!19sChIJU5mV1JwN04kRy7-SH2lDeYY,Standard Property Management,3.9,191,Property management company,"200 S Division St, Buffalo, NY 14204, United States","V4JJ+PF Buffalo, New York, USA",https://www.standardpm.com/,+1 716-934-6000,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP8vDw5HybBDkZvtndHFK7JQhfXCYOnYbTGjFOW=w408-h274-k-no,true,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:27.950Z,,,,
https://www.google.com/maps/place/Buffalo+Management+Group/data=!4m7!3m6!1s0x89d31256754672c3:0x975aeecd84037094!8m2!3d42.9019401!4d-78.8777432!16s%2Fg%2F1thl1vlj!19sChIJw3JGdVYS04kRlHADhM3uWpc,Buffalo Management Group,3.6,51,Property management company,"230 North St, Buffalo, NY 14201, United States","W42C+QW Buffalo, New York, USA",https://buffalomanagementgroup.com/buildings/eb-green-residence-apartments/,+1 716-883-3600,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMofxPZBpPjPk6bKZHZ97Y97X3aXPV9EPHr85fG=w408-h292-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:33.803Z,,,,
https://www.google.com/maps/place/Good+Living+Property+Management+LLC/data=!4m7!3m6!1s0x89d372cb9bc62217:0xae6a84445b9daffb!8m2!3d42.853521!4d-78.4209025!16s%2Fg%2F11bx5tw_3t!19sChIJFyLGm8ty04kR-6-dW0SEaq4,Good Living Property Management LLC,4.4,76,Property management company,,,https://www.goodlivingproperty.com/,+1 716-579-8618,Closes soon ⋅ 2 pm ⋅ Opens 7 am Fri,https://lh3.googleusercontent.com/p/AF1QipOyyjytxoNWzKnGsFA3hOmRS3eWcTfYIEcuMzn0=w408-h544-k-no,true,7 am–2 pm,7 am–2 pm,7 am–2 pm,Closed,7 am–2 pm,7 am–2 pm,7 am–2 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:38.984Z,Identifies as Latino-owned,true,,
https://www.google.com/maps/place/Symphony+Property+Management/data=!4m7!3m6!1s0x89d31307a997ea81:0x750137eb4fd1ac55!8m2!3d42.9030787!4d-78.8812059!16s%2Fg%2F11gsb8rssq!19sChIJgeqXqQcT04kRVazRT-s3AXU,Symphony Property Management,2.9,8,Property management company,"2 Symphony Cir, Buffalo, NY 14201, United States","W439+6G Buffalo, New York, USA",https://symphonymgmt.com/,+1 716-668-3273,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOD6NgqsHwpSpn-NypsLfC_Vdxtsvi_JQN1YyzD=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:44.114Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Buffalo+City+Living,+LLC/data=!4m7!3m6!1s0x89d36d492a6e3353:0xd60a18a4c0c93d33!8m2!3d42.939387!4d-78.83935!16s%2Fg%2F1td18tzc!19sChIJUzNuKklt04kRMz3JwKQYCtY","Buffalo City Living, LLC",3.5,75,Real estate agency,"2626 Main St, Buffalo, NY 14214, United States","W5Q6+Q7 Buffalo, New York, USA",https://www.buffalocityliving.com/,+1 716-222-2489,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dVBcfe_FPgDDbsnK45IwRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=325.92947&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,12–4 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:49.447Z,,,,
https://www.google.com/maps/place/Magis+Property+Management/data=!4m7!3m6!1s0x89d312d566e55555:0x93779a3f749dd48a!8m2!3d42.9407397!4d-78.8830686!16s%2Fg%2F11d_79bc1f!19sChIJVVXlZtUS04kRitSddD-ad5M,Magis Property Management,3.5,17,Property management company,"580 Amherst St, Buffalo, NY 14207, United States","W4R8+7Q Buffalo, New York, USA",http://www.magisny.com/about-us/,+1 716-259-9859,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mflP3EzqRvTWb_Rg7xYI5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.65523&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:54.665Z,,,,
"https://www.google.com/maps/place/Blue+Lantern+Property+Management,+LLC/data=!4m7!3m6!1s0x89d36de0c8ffabeb:0x5226fcfb2584cf42!8m2!3d42.9650579!4d-78.8435591!16s%2Fg%2F11vxm3429b!19sChIJ66v_yOBt04kRQs-EJfv8JlI","Blue Lantern Property Management, LLC",3.5,2,Property management company,"677 Englewood Ave, Buffalo, NY 14223, United States","X584+2H Buffalo, New York, USA",https://www.bluelanternpm.com/,+1 716-638-0024,Open ⋅ Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NMDihvMHWkoLEfWqjI3wtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.200428&pitch=0&thumbfov=100,true,8 am–7 pm,8 am–7 pm,9 am–5 pm,9 am–5 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:01:59.739Z,,,,
"https://www.google.com/maps/place/The+Grantwood+Property+Company,+LLC/data=!4m7!3m6!1s0x89d313223d7031a3:0xa5d7b4627a0584a9!8m2!3d42.9248707!4d-78.8900276!16s%2Fg%2F11h3vbmzxp!19sChIJozFwPSIT04kRqYQFemK016U","The Grantwood Property Company, LLC",5.0,6,Property management company,"398 Grant St #5, Buffalo, NY 14213, United States","W4F5+WX Buffalo, New York, USA",,,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM7mCG3TsswOC4-2NMGqHDX8qLPqQvJBVCUKOe-=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:02:04.799Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Dickeys+Properties/data=!4m7!3m6!1s0x89d372c7a91b03eb:0x56982add45a2d0ac!8m2!3d42.9470986!4d-78.8132782!16s%2Fg%2F11smxszc4x!19sChIJ6wMbqcdy04kRrNCiRd0qmFY,Dickeys Properties,3.9,17,Property management company,"3385 Bailey Ave, Buffalo, NY 14215, United States","W5WP+RM Buffalo, New York, USA",https://dickeysproperties.com/contact/,+1 716-342-2007,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y7dkzX9p3-bieIznBZqLCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.89862&pitch=0&thumbfov=100,true,10 am–4 pm,10 am–4 pm,Closed,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:02:10.140Z,,,,
https://www.google.com/maps/place/Empire+Development+of+WNY+LLC/data=!4m7!3m6!1s0x89d30f93d4bfd4e1:0xeb9f64388d1b5fa3!8m2!3d42.9374051!4d-78.8927068!16s%2Fg%2F11h3qs63t5!19sChIJ4dS_1JMP04kRo18bjThkn-s,Empire Development of WNY LLC,4.5,2,Property management company,"282 Amherst St, Buffalo, NY 14207, United States","W4P4+XW Buffalo, New York, USA",,+1 716-909-0000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2MEExRKbqKgn_8ntspD-gQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.47705&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2025-09-25T17:02:13.234Z,,,,
