placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Overhead+Door+Company+of+Springfield/data=!4m7!3m6!1s0x87cf62561c2c2e07:0xe24e157699159322!8m2!3d37.2149631!4d-93.2988094!16s%2Fg%2F1tgpbtc5!19sChIJBy4sHFZiz4cRIpMVmXYVTuI,Overhead Door Company of Springfield,4.8,948,Garage door supplier,"707 N Grant Ave, Springfield, MO 65802, United States","6P72+XF Springfield, Missouri, USA",https://overheaddoorspringfield.com/,+1 417-862-9339,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOLkY_T2wvg4q3UjVYZdEAxLKWp-U5qRe410xVK=w408-h397-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:24:37.231Z,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Springfield/data=!4m7!3m6!1s0x87cf7d75791a8385:0x10cfbb9fee7b1d64!8m2!3d37.1807668!4d-93.2515238!16s%2Fg%2F11y49qz50p!19sChIJhYMaeXV9z4cRZB177p-7zxA,Precision Garage Door Service of Springfield,5.0,143,Garage door supplier,"2200 E Sunshine St Ste 134, Springfield, MO 65804, United States","5PJX+89 Springfield, Missouri, USA",https://precisiondoorswmo.com/?utm_source=gmb&utm_medium=location_springfield&utm_campaign=website,+1 417-695-5728,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVv796aV1tl7t0hbyHX2afYnaJsySPPMzn6-X25gsfYa6c5HWwM2f4AvlzLokQnSbccsv7y7IqJuF4OnXyZ1macolBKsCPFG3a7v3xtgq_0VmFFhWeAwSy2xzUbxfloI0_yIYy=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:24:42.895Z,,,
"https://www.google.com/maps/place/Greene+County+Garage+Doors,+LLC/data=!4m7!3m6!1s0x87cf64abe61defff:0xa37d758eef8faf1c!8m2!3d37.2253949!4d-93.27414!16s%2Fg%2F1tf296p9!19sChIJ_-8d5qtkz4cRHK-P7451faM","Greene County Garage Doors, LLC",5.0,412,Garage door supplier,"1224 E Division St, Springfield, MO 65803, United States","6PGG+58 Springfield, Missouri, USA",https://www.greenecountygaragedoors.com/,+1 417-222-2544,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAJkAxkygN6Cvfxp7hFnbg3M9-5IQHyrfUwNNpE_pYkyEXbIl65q8AmnUgUGQ_lSSSQkGAFY_lA-s2caVPqc-oBMT3VpDD4hZ1vkCSn6louJImndgp9LRJ2b5ZZ5oFPdghCDY=w408-h544-k-no,true,Open 24 hours,Closed,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:24:48.600Z,,,
https://www.google.com/maps/place/360+Garage+Door+and+More/data=!4m7!3m6!1s0x83e1bce800f6ad1d:0x2f890a76f755c0df!8m2!3d37.204992!4d-93.3195164!16s%2Fg%2F11r_tyb68s!19sChIJHa32AOi84YMR38BV93YKiS8,360 Garage Door and More,5.0,81,Garage door supplier,"2035 W Mt Vernon St, Springfield, MO 65802, United States","6M3J+X5 Springfield, Missouri, USA",http://www.360garagedoor.com/,+1 417-366-7360,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNx3dtiGPQjMx6FeAKPvCFmM9VKvDYM1NLcprwG=w408-h306-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:24:53.428Z,,,
https://www.google.com/maps/place/Brookline+Doorworks/data=!4m7!3m6!1s0x87cf64feb979b177:0x86ea88da81133469!8m2!3d37.1278067!4d-93.2949844!16s%2Fg%2F1tjdxfj5!19sChIJd7F5uf5kz4cRaTQTgdqI6oY,Brookline Doorworks,4.9,807,Garage door supplier,"308 W Lakewood St, Springfield, MO 65810, United States","4PH4+42 Springfield, Missouri, USA",https://brooklinedoorworks.com/,+1 417-374-0382,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNaJE6JsaugAtEbUBaN-donDpE5j6RkdoNx8pUf=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:24:58.337Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Springfield+Door+Services/data=!4m7!3m6!1s0x87cf7cd5c96e7637:0x94ada02b31ff4ea4!8m2!3d37.2074836!4d-93.2543915!16s%2Fg%2F1tp2_xqh!19sChIJN3ZuydV8z4cRpE7_MSugrZQ,Springfield Door Services,4.0,4,Garage door supplier,"2114 E McDaniel St, Springfield, MO 65802, United States","6P4W+X6 Springfield, Missouri, USA",,+1 417-832-0933,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyanU5g1AQm6dcQz7Idau41o45GC_Qeed3WS9DQGSB9yTvbpLLA8hnubdiGbXdATqFZvaeDL3LdB2Ft7oGVsx-P266Ebb8mrBblLHvIdTP1dQRRl_RXzQX5L5uh61JUG0tutst=w408-h272-k-no,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:25:01.164Z,,,
https://www.google.com/maps/place/Renner+Garage+Door+of+Springfield/data=!4m7!3m6!1s0x87c5880113f86d7b:0x6adff948be3c6f7!8m2!3d37.2556577!4d-93.2629388!16s%2Fg%2F1tfv122b!19sChIJe234EwGIxYcR98bji5T_rQY,Renner Garage Door of Springfield,4.5,91,Garage door supplier,"3252 N Glenstone Ave B-100, Springfield, MO 65803, United States","7P4P+7R Springfield, Missouri, USA",https://www.rennersupply.com/,+1 417-833-1201,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMtFGvurnHOP8hbkSSELYtEw-I_3yUnMPfNagK3=w426-h240-k-no,true,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:25:06.016Z,Identifies as women-owned,,
"https://www.google.com/maps/place/Garage+Door+Guy,+LLC/data=!4m7!3m6!1s0x87cf62fd8ad15967:0xa440f632f351d8bb!8m2!3d37.1687497!4d-93.4135903!16s%2Fg%2F11b7kf8hwy!19sChIJZ1nRiv1iz4cRu9hR8zL2QKQ","Garage Door Guy, LLC",4.9,1200,Repair service,"6238 W Farm Rd 156, Battlefield, MO 65619, United States","5H9P+FH Battlefield, Missouri, USA",http://www.mygaragedoorguy.com/,+1 417-232-3530,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxy24Ps4iFnCMIKi5ztgPZ44M5rDgF2n8diOabG45SguziIf3PXQS1R5XK3uKTbBdPWOcSMpgDZ99DoIgc0NzHruPiSPucwzXf32fxeX1Ri9CxARpT7gt7xxOZtIxmLya8PgdZ6=w408-h544-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:25:11.226Z,,,
https://www.google.com/maps/place/Access+Garage+Doors/data=!4m7!3m6!1s0x6f364be4788fc06f:0x5ddfb210885f5acb!8m2!3d36.358541!4d-92.9442859!16s%2Fg%2F11wwrkw67t!19sChIJb8CPeORLNm8Ry1pfiBCy310,Access Garage Doors,5.0,10,Garage door supplier,,,http://accessdoorspringfield.com/,+1 417-203-0552,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipPSTu_8wJtjy5JN8nM1axfq8b6vIRUzqe_hopCI=w512-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:25:15.963Z,,,
https://www.google.com/maps/place/American+Garage+Door+Service/data=!4m7!3m6!1s0xaeb25dce1b2394c7:0x8d01dbdcc8db835!8m2!3d36.9812835!4d-93.3581375!16s%2Fg%2F11smszl4mc!19sChIJx5QjG85dsq4RNbiNzL0d0Ag,American Garage Door Service,4.1,18,Garage door supplier,,,https://americangaragedooronline.com/,+1 417-889-9754,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOZ2qpG9dmRkl-Nru-B576hrgjXYPz6X1BQ5DeOe030DUEp8v738Jy_4799K7-qgSm004TFj6auCEvrAr5fsNYJiSfy3quPK2YuPm7NCRJQMJw4LuFLgewnGay7z2PUQOSPzh3=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-11-07T23:25:20.634Z,,,
