placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Parker+County+Emergency+Management/data=!4m7!3m6!1s0x8651fe10709a712b:0x1adf3c175b2cd8c7!8m2!3d32.7597812!4d-97.7946839!16s%2Fg%2F1vp745ql!19sChIJK3GacBD-UYYRx9gsWxc83xo,Parker County Emergency Management,1.0,3,Government office,"215 Trinity Ave, Weatherford, TX 76086, United States","Q654+W4 Weatherford, Texas, USA",https://www.parkercountytx.gov/119/Emergency-Management,+1 817-598-0969,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rFVhdXoNTM-1-P3F1-SJ0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.234615&pitch=0&thumbfov=100,false,"8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm",Closed,Closed,"8 am–12 pm, 1–5 pm","https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:16.111Z,,,
https://www.google.com/maps/place/Weatherford+Area+Engineer+And+Maintenance+Facility/data=!4m7!3m6!1s0x8651fe646524e6fb:0xc8ad1ac98fa501a!8m2!3d32.7591412!4d-97.823725!16s%2Fg%2F1263vfbhy!19sChIJ--YkZWT-UYYRGlD6mKzRigw,Weatherford Area Engineer And Maintenance Facility,5.0,1,Construction company,"1427 W Bankhead Hwy, Weatherford, TX 76086, United States","Q55G+MG Weatherford, Texas, USA",http://www.txdot.gov/,+1 682-229-2800,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-TEVdCuVc7b948IZ_pelyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8281&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:20.337Z,,,
https://www.google.com/maps/place/Weatherford/data=!4m7!3m6!1s0x8651ff00273c231b:0x41984adc365f9f29!8m2!3d32.7592955!4d-97.7972544!16s%2Fg%2F11vyh5f37c!19sChIJGyM8JwD_UYYRKZ9fNtxKmEE,Weatherford,5.0,1,Metal workshop,"Weatherford asker baharin, United States","Q653+P3 Weatherford, Texas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yWobX16iHLI7bDoscbfmXQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.858604&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:23.994Z,,,
https://www.google.com/maps/place/Weatherford+Services/data=!4m7!3m6!1s0x8651fe06aaaaaaab:0x1f996953da071965!8m2!3d32.7523179!4d-97.7906346!16s%2Fg%2F1hc6sl0t0!19sChIJq6qqqgb-UYYRZRkH2lNpmR8,Weatherford Services,5.0,1,Drilling contractor,"Weatherford, TX 76086, United States","Q625+WP Weatherford, Texas, USA",http://www.weatherford.com/,+1 817-594-6200,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BiX_8Ee2Lj4ClKOFVjyuEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.9897&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:27.376Z,,,
https://www.google.com/maps/place/Weatherford/data=!4m7!3m6!1s0x8651fe1d2deae727:0x191d4b753f37cee7!8m2!3d32.7583529!4d-97.7872543!16s%2Fg%2F11vkz36ld4!19sChIJJ-fqLR3-UYYR5843P3VLHRk,Weatherford,,,,"Weatherford, TX 76086, United States","Q657+83 Weatherford, Texas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Dx4S6WN0bfJcyzEsZUoGVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.74107&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:29.942Z,,,
https://www.google.com/maps/place/Superior+Parking+Services/data=!4m7!3m6!1s0x864e0b8873452e3f:0xfac023bf55c954a8!8m2!3d32.783911!4d-97.181801!16s%2Fg%2F11cl_hn9cr!19sChIJPy5Fc4gLToYRqFTJVb8jwPo,Superior Parking Services,5.0,1,Automobile storage facility,,,http://superiorparkingdfw.com/,+1 817-443-7356,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipPeBMUlrRn14DJauM6Il_dBBb6I4eKvhLizyR2u=w426-h240-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:34.339Z,,,
https://www.google.com/maps/place/Parking+Revenue+Recovery+Services/data=!4m7!3m6!1s0x864e71c3324f251f:0x4253eee67de1e3f8!8m2!3d32.754683!4d-97.327946!16s%2Fg%2F11kjg5j9t7!19sChIJHyVPMsNxToYR-OPhfebuU0I,Parking Revenue Recovery Services,1.0,332,Parking lot,"607 Jones St, Fort Worth, TX 76102, United States","QM3C+VR Fort Worth, Texas, USA",https://www.parkingprrs.com/,+1 877-302-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxR4IrJjU99suWsAh6rgMvEBLAqr55z68QzyM6SuS-tE3dtWrwkIkY0WMbhbYXgJk_pYwE3GAqMMP0VEKIM5j7WIKXgqMLNp_MQELmI1SV-iWlj79dazxrqQKJeql4jHbiKeTXn=w408-h725-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:36.926Z,,,
https://www.google.com/maps/place/City+Center+Garage+%232/data=!4m7!3m6!1s0x864e71643484887b:0xc561fee8f6b0d622!8m2!3d32.7555219!4d-97.3296082!16s%2Fg%2F11p6rfpdzg!19sChIJe4iENGRxToYRItaw9uj-YcU,City Center Garage #2,4.1,45,Parking garage,"401 Calhoun St, Fort Worth, TX 76102, United States","QM4C+65 Fort Worth, Texas, USA",http://www.citycenterfw.com/,+1 817-390-8856,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNCXTxyXEIAivukhn4r8Y5KElWhJHeJbK7H5XeM=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:41.767Z,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x864e712adf74571d:0xa68d97c56f3bb57a!8m2!3d32.7545781!4d-97.3387439!16s%2Fg%2F11vx7kl6dt!19sChIJHVd03ypxToYRerU7b8WXjaY,parkingmgt.com,,,Parking lot,"812 W Weatherford St, Fort Worth, TX 76102, United States","QM36+RG Fort Worth, Texas, USA",https://parkingmgt.com/812-weatherford-st/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wqco5kBf1Ch5ahY_lGMgyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=333.40445&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2025-10-28T19:02:46.485Z,,,
"https://www.google.com/maps/place/%E2%80%8BTexas+Parking+Enforcement/@42.4153925,-71.1564729,14z/data=!4m6!3m5!1s0x864e6ed00d700001:0x366a3387ca58b523!8m2!3d32.580657!4d-97.234579!16s%2Fg%2F11gy1tyr3m",​Texas Parking Enforcement,2.2,62,Towing service,"6754B Rendon New Hope Rd, Fort Worth, TX 76140, United States","HQJ8+75 Fort Worth, Texas, USA",,+1 817-568-5151,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLnL7y8Y60g1p9GJYFXAdBoTi9bUM__H6NnPeW0SI4mzdfSU3K4ic5AQmpD7NOBdB_zJ58XLroZp5zVCiG0M4mveK2VPCkIOTXMrh0CDqCynGsnWpmwPkeHwDG4tituJqH83IIQw=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Arlington+Weatherford+TX/@42.4153925,-71.1564729,14z",2025-10-28T19:02:55.929Z,,,
https://www.google.com/maps/place/Chick-fil-A/data=!4m7!3m6!1s0x864e207d759550b1:0x387f30e0a70fad46!8m2!3d32.4340963!4d-97.7753519!16s%2Fg%2F1tf7bhmx!19sChIJsVCVdX0gToYRRq0Pp-Awfzg,Chick-fil-A,4.5,1704,Fast food restaurant,"1011 East US Hwy 377, Granbury, TX 76048, United States","C6MF+JV Granbury, Texas, USA",https://www.chick-fil-a.com/locations/tx/granbury?utm_source=yext&utm_medium=link,+1 817-573-4424,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzus_1r75zpz03Gne1c-CPvGXYizJGkHpQNiVQKV3cusRbm1MABM9Mq5YhMtRPG670HnY5SM4gUQkEduR3jNNDrb7uakSrYRX7vSYrck2Ii2bNK1LnrDsBMpVH3zwx1D1cL1z9SZg=w408-h306-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,Closed,6 am–9 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-10-28T19:03:09.776Z,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides. · Dine-in · Drive-through · Delivery,,
https://www.google.com/maps/place/Granbury+Segway+Tours/data=!4m7!3m6!1s0x8651df280942705f:0xe49e94bcdb01a052!8m2!3d32.4455196!4d-97.802276!16s%2Fg%2F11h_cyt6vq!19sChIJX3BCCSjfUYYRUqAB27yUnuQ,Granbury Segway Tours,5.0,8,Tour operator,"401 N Park Dr, Granbury, TX 76048, United States","C5WX+63 Granbury, Texas, USA",http://www.2wheeltoursandfun.com/,+1 817-991-0990,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipOS3wjCOCUAgeFZ5w6U81BOi35-_SaTFBhoHyGG=w408-h272-k-no,true,Closed,Closed,Closed,Closed,9 am–3 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-10-28T19:03:14.856Z,,,
https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x864e2080a85630b7:0xb1f13c7f115dfccd!8m2!3d32.433681!4d-97.780555!16s%2Fg%2F1hc2gmzq0!19sChIJtzBWqIAgToYRzfxdEX888bE,Walmart Supercenter,3.9,3521,Department store,"735 East US Hwy 377, Granbury, TX 76048, United States","C6M9+FQ Granbury, Texas, USA",https://www.walmart.com/store/371-granbury-tx/?veh=seo_loc,+1 817-573-3791,,https://lh3.googleusercontent.com/p/AF1QipMs9bls66HeQxk0KN39Tpkkf-Pot5jd8YN1A6OK=w408-h244-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-10-28T19:03:20.622Z,· In-store shopping · Kerbside pickup · Delivery,,
https://www.google.com/maps/place/Park%60er+Here+Boat+and+RV+Storage/data=!4m7!3m6!1s0x864e237941098bf3:0x47b637da3ec40ad8!8m2!3d32.484384!4d-97.689839!16s%2Fg%2F11h0z80cp1!19sChIJ84sJQXkjToYR2ArEPto3tkc,Park`er Here Boat and RV Storage,5.0,24,Self-storage facility,"240 Industrial Ave, Granbury, TX 76049, United States","F8M6+Q3 Granbury, Texas, USA",https://www.park-erhere.com/,+1 817-808-9210,,https://lh3.googleusercontent.com/p/AF1QipOWLxxRD72E_7x0DEaRat3PVunlKaXFQCv2sUz4=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,9 am–9 pm,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Granbury+Weatherford+TX/@32.4488736,-97.7905758,14z",2025-10-28T19:03:26.046Z,,,
