placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/USA+Vein+Clinics+-+St.+Louis/data=!4m7!3m6!1s0x87d8c91e8a490095:0x2278cd8270c0c5bf!8m2!3d38.5633413!4d-90.3641603!16s%2Fg%2F11vl3nwzjd!19sChIJlQBJih7J2IcRv8XAcILNeCI,USA Vein Clinics - St. Louis,4.7,62,Medical clinic,"8790 Watson Rd #201, St. Louis, MO 63119, United States","HJ7P+88 St. Louis, Missouri, USA",https://www.usaveinclinics.com/company/locations/missouri/office/st-louis/,+1 314-626-5847,,https://lh3.googleusercontent.com/p/AF1QipOu2xIDeyD2UyZNiCgF3IDJfNnLSZqrXwe8lmLK=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:35:59.125Z,,,,,,,,,,,
https://www.google.com/maps/place/Complete+Vein+Center+of+St.+Louis/data=!4m7!3m6!1s0x87d8cd593eb3d9c1:0xf995b1afe56936e7!8m2!3d38.6371292!4d-90.4468644!16s%2Fg%2F11b6dgl5kd!19sChIJwdmzPlnN2IcR5zZp5a-xlfk,Complete Vein Center of St. Louis,,,Surgical center,"3023 N Ballas Rd #210d, Frontenac, MO 63131, United States","JHP3+V7 Frontenac, Missouri, USA",http://www.completeveincenter.com/,+1 314-989-9355,Closes soon · 5 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=utAFF6LUwXzmR7DufzTkag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.6215&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:04.321Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/The+Vein+Center+%26+Cosmed/data=!4m7!3m6!1s0x87d8cd8459f7c2c3:0x40706072c4cae181!8m2!3d38.601446!4d-90.457528!16s%2Fg%2F1tf5qsf7!19sChIJw8L3WYTN2IcRgeHKxHJgcEA,The Vein Center & Cosmed,3.9,29,Medical clinic,"12878 Manchester Rd c, Des Peres, MO 63131, United States","JG2R+HX Des Peres, Missouri, USA",http://www.veincentercosmed.com/,+1 314-966-6100,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOapxqZg6SyS6voin_f8jcjVL0U9YwvZW6KoFn0=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:09.686Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/Look+Lab+Med+Spa/data=!4m7!3m6!1s0x87d8cbdb1abb1cd9:0x8e619d5d26cd9ae!8m2!3d38.6378809!4d-90.3385512!16s%2Fg%2F11k4k9y_2r!19sChIJ2Ry7GtvL2IcRrtls0tUZ5gg,Look Lab Med Spa,5.0,1039,Medical spa,"7805 Clayton Rd, Clayton, MO 63117, United States","JMQ6+5H Clayton, Missouri, USA",https://looklab.com/locations/clayton-mo/,+1 314-886-5665,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNNx_sS9yGR_hog8powYEmAJeoqIHdLCPxpYRiF=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:14.510Z,10 am–6 pm,10 am–6 pm,10 am–6 pm,8 am–6 pm,10 am–6 pm,Closed,8 am–4 pm,Identifies as women-owned,,,
https://www.google.com/maps/place/Vein+Specialties+and+Medi-Spa/data=!4m7!3m6!1s0x87d8cb0cf3bdc091:0x4e9c79dad575b63c!8m2!3d38.6326929!4d-90.3127635!16s%2Fg%2F11j0bk8472!19sChIJkcC98wzL2IcRPLZ11dp5nE4,Vein Specialties and Medi-Spa,,,Medical office,"1035 Bellevue Ave #212, St. Louis, MO 63117, United States","JMMP+3V St. Louis, Missouri, USA",,+1 314-287-8080,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9AI8QzAWo0ej2lJapEYOSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.244388&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:17.213Z,,,,,,,,,,,
https://www.google.com/maps/place/Virtue+Vein+%26+Lymphatic+Center/data=!4m7!3m6!1s0x87d8ce8daf3f96d5:0x914a48cd7e67d57a!8m2!3d38.5503371!4d-90.4048977!16s%2Fg%2F1tf2srzs!19sChIJ1ZY_r43O2IcRetVnfs1ISpE,Virtue Vein & Lymphatic Center,5.0,17,Cardiologist,"3760 S Lindbergh Blvd, St. Louis, MO 63127, United States","HH2W+42 St. Louis, Missouri, USA",https://virtueveins.com/,+1 314-956-1818,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPFDiXBN_xg76m_Ruw8w-hodqpxfdin8xGiiSmd=w408-h408-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:22.029Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,,
https://www.google.com/maps/place/STL+Vein+%26+Cosmetics/data=!4m7!3m6!1s0x87d8c9dc7a61eaf1:0x2cdf0aea0f6076a9!8m2!3d38.5260296!4d-90.351251!16s%2Fg%2F11jv5mvzl2!19sChIJ8ephetzJ2IcRqXZgD-oK3yw,STL Vein & Cosmetics,4.8,30,Vascular surgeon,"South County, 11144 Tesson Ferry Rd #100, St. Louis, MO 63123, United States","GJGX+CF St. Louis, Missouri, USA",http://www.stlveinandcosmetics.com/,+1 314-842-1441,Closes soon · 5 pm · Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipPzmKRRRInwAjQroIus1r7s2Bd_E8DAXNgjYNCa=w413-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:26.766Z,8 am–5 pm,Closed,8 am–3 pm,Closed,Closed,Closed,Closed,,,,
https://www.google.com/maps/place/Midwest+Institute+for+Non-Surgical+Therapy/data=!4m7!3m6!1s0x87d8cd2b765179d3:0x7385972fac364a18!8m2!3d38.6403131!4d-90.4718879!16s%2Fg%2F11h7d9z8vv!19sChIJ03lRdivN2IcRGEo2rC-XhXM,Midwest Institute for Non-Surgical Therapy,4.8,323,Cardiologist,"12855 N Forty Dr #205, St. Louis, MO 63141, United States","JGRH+46 St. Louis, Missouri, USA",https://www.mintstl.com/,+1 314-255-2204,"Closes soon · 5 pm · Opens 8:30 am Wed

Confirmed by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMF4wkjoItWWb5hAWP7prMpM2-G9BzB5RGk5wmK=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:31.800Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,,true,,
https://www.google.com/maps/place/St.+Louis+Dermatology+Center/data=!4m7!3m6!1s0x87d8cb34a214ed65:0xa9c5b00081acf147!8m2!3d38.6516123!4d-90.3398091!16s%2Fg%2F11gh0lpwyk!19sChIJZe0UojTL2IcRR_GsgQCwxak,St. Louis Dermatology Center,4.7,667,Dermatologist,"8000 Maryland Ave Suite 760, St. Louis, MO 63105, United States","MM26+J3 St. Louis, Missouri, USA",http://www.stlouisdermcenter.com/,+1 314-474-0114,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipOTjECZFhfcozq7y3fAlTYeg4O9z2DewMiJEWDW=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:36.854Z,8 am–4:30 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,Identifies as women-owned,,,
https://www.google.com/maps/place/The+Shine+Spa/data=!4m7!3m6!1s0x87d8b57a1a4fd5c1:0x335e68eea1caa25a!8m2!3d38.6379359!4d-90.3375012!16s%2Fg%2F11lgr69dtf!19sChIJwdVPGnq12IcRWqLKoe5oXjM,The Shine Spa,5.0,620,Medical spa,"7729 Clayton Rd, Clayton, MO 63117, United States","JMQ6+5X Clayton, Missouri, USA",http://theshinespa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 314-560-9030,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNk2SHiKFGPewT5WTmRu_KaW_KWONaY9tmbkjB2=w425-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Clayton+STL+MO/@38.6501348,-90.3368502,14z",2025-12-16T22:36:41.701Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,9 am–6 pm,,,,
