placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes
https://www.google.com/maps/place/Battle+Born+Pool+%26+Spa/data=!4m7!3m6!1s0x80994732ba1d6c93:0x496f1ae92e13230!8m2!3d39.5433232!4d-119.7639236!16s%2Fg%2F11fxc8crgm!19sChIJk2wdujJHmYARMDLhkq7xlgQ,Battle Born Pool & Spa,4.6,19,Contractor,"1140 Rock Blvd, Sparks, NV 89431, United States","G6VP+8C Sparks, Nevada, USA",http://battlebornpools.com/,+1 775-313-4323,Open ⋅ Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM1z0c1edVeM08iDNYEm1dFVAcsgVg8rBRYRF8=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:14:48.650Z,
https://www.google.com/maps/place/Sun+Leisure+Pools+%26+Spas/data=!4m7!3m6!1s0x809938ca9b5c5359:0x42666e2e5f9d275a!8m2!3d39.5248284!4d-119.7393088!16s%2Fg%2F1v_w2lzd!19sChIJWVNcm8o4mYARWiedXy5uZkI,Sun Leisure Pools & Spas,4.5,65,Hot tub store,"960 S McCarran Blvd, Sparks, NV 89431, United States","G7F6+W7 Sparks, Nevada, USA",https://www.sunleisurepools.com/,+1 775-359-6073,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOw29CD79fCtQGDZePJaXpMDPei5gZSDgYC4Jxt=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:14:54.739Z,· In-store shopping · Kerbside pickup · Delivery
https://www.google.com/maps/place/Dan+Loose+Pools+And+Spas/data=!4m7!3m6!1s0x80993f4792eeee77:0xcd10ba1d0c33dfd0!8m2!3d39.5291718!4d-119.7666104!16s%2Fg%2F1tcy943f!19sChIJd-7ukkc_mYAR0N8zDB26EM0,Dan Loose Pools And Spas,2.6,13,Swimming pool contractor,"541 S Rock Blvd, Sparks, NV 89431, United States","G6HM+M9 Sparks, Nevada, USA",http://www.danloosepoolsandspas.com/,+1 775-331-5050,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNQy5MqEsuZi4jA7QhjoYWs03FLcWA22E_ZI710=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:00.137Z,
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Reno/data=!4m7!3m6!1s0x809944548f5b937d:0x8bb66d1672135d57!8m2!3d39.4442668!4d-119.7711075!16s%2Fg%2F11cmblzb7q!19sChIJfZNbj1REmYARV10TchZttos,ASP - America's Swimming Pool Company of Reno,4.8,194,Swimming pool repair service,"9720 S Virginia St # B, Reno, NV 89511, United States","C6VH+PH Reno, Nevada, USA",https://www.asppoolco.com/reno/?utm_source=GMB&utm_medium=organic&utm_campaign=reno,+1 775-451-3947,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-kZnNGYJUB4bfqO-GhraHEJLEt8AUVkW1yqz-m0zWdkgQnjTofx7tI9yYivs0Wwe8Kjsg-XqkNjljeX4a4cCwacjUSu-vtAxjYsWXWv4eyaqkchxgABHvg3FCgWNmHguDHi_B=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:05.162Z,
https://www.google.com/maps/place/Lee+Joseph+Inc.+Swim+Pool+%26+Spa+Supply/data=!4m7!3m6!1s0x809940bb0221bddd:0x982023c56161e13a!8m2!3d39.5177274!4d-119.8029659!16s%2Fg%2F1thf8tdr!19sChIJ3b0hArtAmYAROuFhYcUjIJg,Lee Joseph Inc. Swim Pool & Spa Supply,4.5,35,Swimming pool supply store,"864 S Wells Ave, Reno, NV 89502, United States","G59W+3R Reno, Nevada, USA",http://www.leejosephpools.com/,+1 775-786-5085,Open ⋅ Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipMNaB-GwD_1E2Ifq2-Sx_nho3o-xA6d9bVcXPm2=w408-h306-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:10.090Z,· In-store pick-up
https://www.google.com/maps/place/Robert+Allen+Pools+%26+Spas+%2F+Bullfrog+Spas/data=!4m7!3m6!1s0x80993f58e9e34083:0xd221e616815a242a!8m2!3d39.5157626!4d-119.7886881!16s%2Fg%2F1tfc283l!19sChIJg0Dj6Vg_mYARKiRagRbmIdI,Robert Allen Pools & Spas / Bullfrog Spas,4.3,40,Hot tub store,"1090 Kietzke Ln, Reno, NV 89502, United States","G686+8G Reno, Nevada, USA",https://robertallenpoolsandspas.com/,+1 775-323-7665,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOllUPJErAAZr0NiZK7Zy_d-ATNkJbS88qjJ9Yd=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:15.485Z,· In-store shopping · Delivery
https://www.google.com/maps/place/Creative+Hot+Tub+Designs/data=!4m7!3m6!1s0x80993f6f4b0581a3:0x8718a2dc0157e29!8m2!3d39.5299113!4d-119.7192405!16s%2Fg%2F11h22bgyk_!19sChIJo4EFS28_mYARKX4VwC2KcQg,Creative Hot Tub Designs,4.9,109,Hot tub store,"1345 Scheels Drive, Sparks, NV 89434, United States","G7HJ+X8 Sparks, Nevada, USA",https://creativehottubs.com/,+1 775-356-3986,"Open ⋅ Closes 6 pm

Confirmed by this business 3 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipM24_RZZCCTBr-b87-npLGyEkNBGSQde25VTODP=w408-h544-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:20.770Z,· In-store shopping · Delivery
https://www.google.com/maps/place/Swim+Pool+%26+Spa+Consultants/data=!4m7!3m6!1s0x809940bb0221bddd:0x37013d18586a7963!8m2!3d39.5176851!4d-119.8028573!16s%2Fg%2F1tfg7x_b!19sChIJ3b0hArtAmYARY3lqWBg9ATc,Swim Pool & Spa Consultants,4.5,2,Swimming pool contractor,"864 S Wells Ave, Reno, NV 89502, United States","G59W+3V Reno, Nevada, USA",http://www.leejosephpools.com/,+1 775-786-5085,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FVQWCvtcD4g3u742Y7fuIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=91.21073&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:25.673Z,
https://www.google.com/maps/place/SoNs+-+Pool+%26+Spa+LLC./data=!4m7!3m6!1s0xa6f426bca002f907:0xfa0159123a926dce!8m2!3d39.3147615!4d-119.6800789!16s%2Fg%2F11ty44tfrm!19sChIJB_kCoLwm9KYRzm2SOhJZAfo,SoNs - Pool & Spa LLC.,5.0,7,Pool cleaning service,,,,+1 775-870-7667,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipPVKvIEFd3pQy7kElTKC0GKKbedypDIU6ITuMqt=w408-h408-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,9 am–7 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:30.626Z,
https://www.google.com/maps/place/Reyes+Pools+%26+Spas+LLC/data=!4m7!3m6!1s0x809946e3ffffffff:0x8107eae98d878850!8m2!3d37.2695056!4d-119.260732!16s%2Fg%2F11b7crhsny!19sChIJ_____-NGmYARUIiHjenqB4E,Reyes Pools & Spas LLC,4.4,15,Swimming pool contractor,,,http://reyespoolsandspas.com/,+1 775-843-6014,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMs-yn_LIoa3JroUmKDVuOh9wc8FhovEgNEyXh_=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-27T18:15:35.523Z,
