placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/Blumer+Restoration/data=!4m7!3m6!1s0x6a89c429110b87a1:0xb3f77e9de7494814!8m2!3d41.534982!4d-90.6051355!16s%2Fg%2F11np4285m_!19sChIJoYcLESnEiWoRFEhJ551-97M,Blumer Restoration,4.9,104,Water damage restoration service,"1908 W 15th St, Davenport, IA 52804, United States","G9MV+XW Davenport, Iowa, USA",https://www.blumerrestoration.com/,+1 309-235-2992,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ_OzTaETFEYlhLy38BBWc_Hz98BANxPjrxUIuRMV3IXMZj0OgA1wK2r_S_DZgLFfNNywq77CYiXspQegFnZ9SNMi9-_HYju0LUnTEstvAjFt8Sh34zyEXn8dIKxouumD-oPYR=w408-h362-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:42:47.348Z,,,
https://www.google.com/maps/place/SERVPRO+of+Davenport+%2F+Bettendorf/data=!4m7!3m6!1s0x87e3caa3f15492f7:0xc9adfb46a53d0405!8m2!3d41.5935863!4d-90.6159803!16s%2Fg%2F1tgp1bzj!19sChIJ95JU8aPK44cRBQQ9pUb7rck,SERVPRO of Davenport / Bettendorf,4.6,173,Water damage restoration service,"7208 Jebens Ave, Davenport, IA 52806, United States","H9VM+CJ Davenport, Iowa, USA",https://www.servpro.com/locations/ia/servpro-of-davenport-bettendorf?utm_medium=organic&utm_source=gbp,+1 563-386-3540,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5ZT-BWHST4HmAFKR-XWcrkDINF37-ps6Isl5uf88pxH5Ggm9aYzIwyeyYb4BMH0jE3arq81UKPFLfS8gK7bYbFwSMVIFBYoR5S5vFUoT9DgsBWxD7amQcHLP5PQj2ZvZJPErtfZBq5dao=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:42:52.089Z,,,
https://www.google.com/maps/place/Blaze+Restoration+Inc./data=!4m7!3m6!1s0x87e1be379e8d9f81:0xa4068b3fbecc91dc!8m2!3d41.5574267!4d-90.5585479!16s%2Fg%2F1v3knm73!19sChIJgZ-Nnje-4YcR3JHMvj-LBqQ,Blaze Restoration Inc.,5.0,1,Fire damage restoration service,"1130 E Kimberly Rd, Davenport, IA 52807, United States","HC4R+XH Davenport, Iowa, USA",http://www.blazeinc.com/,+1 309-762-7252,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepajIKBzU7FxoL_ctEn4tDiXvlzlhP3iHEF8mXimXeJ0pU0AhFyuVOv4jkr39E-igcMyjlASlkWm2Ck4qV1q1MSoya0R7pkvNQo_MgwmuAJBN4CIoDD-lVsLekX7ciX_Af5=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:42:56.321Z,,,
https://www.google.com/maps/place/Behncke+Construction+Inc./data=!4m7!3m6!1s0x87e234a73878f7cf:0x845aefef6a561b58!8m2!3d41.5213676!4d-90.6025975!16s%2Fg%2F1tqnm5gd!19sChIJz_d4OKc04ocRWBtWau_vWoQ,Behncke Construction Inc.,5.0,47,Masonry contractor,"1738 W 2nd St, Davenport, IA 52802, United States","G9CW+GX Davenport, Iowa, USA",http://www.1948bc.com/,+1 563-332-6045,Closed · Opens 7 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqU__7h9oJGmZWGpZhvMD3gyLsTD9mTi2QLVzfzUO-Why9EwKgHNYv7lrPjbeTtQVaDln2O2xsFn6vIwhOSHmhZ_mmYvCn_0N5RGSq-T6aY0hQRNBcECGcvhBsHaua_zmMYDpU8=w408-h507-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:00.992Z,,,
https://www.google.com/maps/place/Floatzilla/data=!4m7!3m6!1s0x87e2347dd89c1ba1:0xcce37699dc125d18!8m2!3d41.5249275!4d-90.5620462!16s%2Fg%2F11c1vj35rm!19sChIJoRuc2H004ocRGF0S3Jl248w,Floatzilla,5.0,6,Water damage restoration service,"822 E River Dr, Davenport, IA 52803, United States","GCFQ+X5 Davenport, Iowa, USA",https://floatzillaqc.org/,+1 563-322-2969,Closed · Opens 8:30 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wduwLYcrEQk_E8nltA-SJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=316.78244&pitch=0&thumbfov=100,false,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:05.352Z,,,
https://www.google.com/maps/place/R3+Roofing+%26+Exteriors/data=!4m7!3m6!1s0x87e237e16c85d075:0x15325e3ee22b3d32!8m2!3d41.522616!4d-90.5746609!16s%2Fg%2F11jnfq59zq!19sChIJddCFbOE34ocRMj0r4j5eMhU,R3 Roofing & Exteriors,4.8,232,Roofing contractor,"112 W 3rd St, Davenport, IA 52801, United States","GCFG+24 Davenport, Iowa, USA",https://r3roofs.com/,+1 563-888-1017,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepnjgkhs2ogvr-PbF44HRLg0HX47w3MbuB9PEd9gG40-17_lPa4H01Ct1bkD9HPckwFAq08ur7beL78nQcCtoaWIQ3YM-b046DvcvpGJu3kTtsQDKtBlc8CoTLd5nL4J8yESIxh=w408-h724-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:09.705Z,,,
https://www.google.com/maps/place/PuroClean+of+Davenport/data=!4m7!3m6!1s0x87e2339f7747d7b1:0xc94ec441f417fdd3!8m2!3d41.4426442!4d-90.5711214!16s%2Fg%2F11x6n99f_4!19sChIJsddHd58z4ocR0_0X9EHETsk,PuroClean of Davenport,5.0,1,Water damage restoration service,"300 10th Ave W, Milan, IL 61264, United States","CCVH+3H Milan, Illinois, USA",https://www.puroclean.com/davenport-ia/,+1 563-484-4846,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCSt-dqMNB-ug0uGkmoES0zRWdyjC_ax9JO7ggM9g6VLsr82nhe4lVY528AKiGSmNkXYkWzMPuWR7a2OKvLm2NyvNfFtQKXOq_ZAmwP-b8YgKcQC6uvYq3dciOuzuQ3ZUExDbVJbE6RTac=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:13.900Z,,,
https://www.google.com/maps/place/Foundation+Recovery+Systems/data=!4m7!3m6!1s0x87e237fd8863f46d:0x8628943de4e1a800!8m2!3d41.5476292!4d-90.5215003!16s%2Fg%2F11vlhx222n!19sChIJbfRjiP034ocRAKjh5D2UKIY,Foundation Recovery Systems,4.8,59,Waterproofing service,"2435 Kimberly Rd Ste 45, Bettendorf, IA 52722, United States","GFXH+39 Bettendorf, Iowa, USA",https://www.foundationrecoverysystems.com/meet-the-team/bettendorf-sat/?utm_source=google&utm_medium=organic&utm_campaign=gmb_frs-dvn,+1 563-227-8777,Closed · Opens 6 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqX-PeQHXv0hE5ozq07K1Z6PX7jAvRDkfI4S088Bt-H1xQ3PyqUo2L-1kTmo340IgHkqCOO5QM7Y_UnL-y2PHCxae4EFt6gCCR4EqE5v38i8jrLTxN2Pst2KBlDWAzdsL7qIEJ8OA=w546-h240-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,7 am–10 pm,9 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:18.265Z,,,
https://www.google.com/maps/place/Jarvis+Property+Restoration/data=!4m7!3m6!1s0x87e3cb23048279c1:0x1de8f22361aa5907!8m2!3d41.551602!4d-90.617751!16s%2Fg%2F1hhwm2w_g!19sChIJwXmCBCPL44cRB1mqYSPy6B0,Jarvis Property Restoration,,,Water damage restoration service,"3031 Hickory Grove Rd, Davenport, IA 52806, United States","H92J+JV Davenport, Iowa, USA",http://www.jarvisconstruction.com/,+1 563-726-0677,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUo49tZl9reY7Bo7zg0cz-b21igdBe6VyJ1qb7EA39hXnyYRNLwi4qMDZGXrRqxb_KS_3sGmD_w6Fj2jR5ZtAsFvTPQ7Qk8n_tyuc_0YnjFdC_LccOFVNXn4is_FskYIEkZhktUw=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:22.504Z,,,
https://www.google.com/maps/place/Falcon+GC+-+QC+%2F+DFW+%2F+OKS/data=!4m7!3m6!1s0x87e3cd5ebe5f9053:0xb17e1fd76202ee7!8m2!3d41.5347988!4d-90.5728781!16s%2Fg%2F11qm18cvq0!19sChIJU5Bfvl7N44cR5y4gdv3hFws,Falcon GC - QC / DFW / OKS,4.8,69,General contractor,"1430 N Perry St, Davenport, IA 52803, United States","GCMG+WR Davenport, Iowa, USA",https://www.falcon-family.com/,+1 563-210-5006,Closed · Opens 9 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwernvRG3AKFUxS5EcYnWZxHdpVHuX5SS6_XLo0CGVB-1zuWXDopNFyV82lp2_hHkbsLy75sCjql6njauzU3_gqGQJNnIM_iw3i5GyslZhKYofTlegKSUzgbRVMRBg2-4IePi6RV4=w408-h541-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 am,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2026-03-23T05:43:26.732Z,,,
