placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info
https://www.google.com/maps/place/Disaster+Master/data=!4m7!3m6!1s0x54ea92b47b490d63:0x9476766e426d02fa!8m2!3d44.9789892!4d-124.0102464!16s%2Fg%2F11dymn_d08!19sChIJYw1Je7SS6lQR-gJtQm52dpQ,Disaster Master,4.9,91,Water damage restoration service,"1954 NE Hwy 101, Lincoln City, OR 97367, United States","XXHQ+HW Lincoln City, Oregon, USA",https://coastdisastermaster.com/,+1 541-992-2080,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqkUJvVS7EIENM1x4gKSTgTNzwVSMjYlz2ZbrMX46vCHruq6o77uGmbUI1Zbc9xi3fE1qiZyNZsrAaLaj7srpfAPJ6JQJMlfNQfJWeDxGI0ApxdBAglYrIPnOHTKgXkE4RsDebkDg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T03:59:51.884Z,
https://www.google.com/maps/place/ServiceMaster+Restoration+Services+-+Lincoln+City/data=!4m7!3m6!1s0x54ea9325a1f0e8d7:0xd91fd25bd1f6cfc1!8m2!3d44.9963368!4d-124.0070099!16s%2Fg%2F1tdx8fln!19sChIJ1-jwoSWT6lQRwc_20VvSH9k,ServiceMaster Restoration Services - Lincoln City,4.8,21,Water damage restoration service,"4075 NW Logan Rd Unit AB, Lincoln City, OR 97367, United States","XXWV+G5 Lincoln City, Oregon, USA",https://www.servicemasterrestore.com/servicemaster-restoration-services-lincoln-city/,+1 541-262-5571,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwephHOu3Cueben8gpZBBZu5W0H0ZU1uXZHwfO1ke70rnSuuPh_O2kqCQnsqaNtRmSc1uX2CvRFGxy-qQ4bfjRIYkSBWeOIHTttIZCOidPJXaIaV433t9a5FlfDA3fyNEUf4hL1M=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T03:59:57.444Z,
https://www.google.com/maps/place/DryHero+Water+%26+Mold/data=!4m7!3m6!1s0x8796bdb07d619f19:0xdc33df5f3d8103cf!8m2!3d40.8320229!4d-96.6419621!16s%2Fg%2F119tfgtrf!19sChIJGZ9hfbC9locRzwOBPV_fM9w,DryHero Water & Mold,5.0,267,Water damage restoration service,"1921 N 58th St, Lincoln, NE 68504, United States","R9J5+R6 Lincoln, Nebraska, USA",https://dryhero.com/water-damage-restoration/,+1 402-438-2379,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqvJtyX7UvfN-K27iQROUl1yQ2j6EAI30E4S2QboEhH9x48iZdJAQBXAdxOA8JgRIW4FMyRJv7pTYgG1FBLxSmqqE8FUt_xwGR0uq21slnSgmT1mDSRfDVmCe_avjj2IiiIrmcBKPn-F4o=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:02.634Z,LGBTQ+ friendly
"https://www.google.com/maps/place/Paul+Davis+Restoration+of+Lincoln,+NE/data=!4m7!3m6!1s0x8796bfce61d40d45:0xede0ad974a15631e!8m2!3d40.7762846!4d-96.712712!16s%2Fg%2F11b5pj88ny!19sChIJRQ3UYc6_locRHmMVSpet4O0","Paul Davis Restoration of Lincoln, NE",4.9,346,Building restoration service,"3641 S 6th St, Lincoln, NE 68502, United States","Q7GP+GW Lincoln, Nebraska, USA",https://lincoln-nebraska.pauldavis.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lincoln-NE,+1 402-480-6906,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7nt4S2nJVQlkWf9L70pViF4CCdYRBbejENjshJ4pUVU6oHy15d-2mUU_xlxJDTgpc2xKnuk9ADN2e0OZGXjhgR0j1QOBQloWiTVtW5o2eGUsknRWUmXQHB_7ofCcsko44jB3mKMOy_8rp=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:07.587Z,
https://www.google.com/maps/place/SERVPRO+of+Lincoln/data=!4m7!3m6!1s0x8796bb8a54c8f45d:0x7b6c3f0951ac23df!8m2!3d40.8606732!4d-96.6420453!16s%2Fg%2F1tgw5jjf!19sChIJXfTIVIq7locR3yOsUQk_bHs,SERVPRO of Lincoln,4.7,200,Water damage restoration service,"5711 Russell Dr, Lincoln, NE 68507, United States","V965+75 Lincoln, Nebraska, USA",https://www.servpro.com/locations/ne/servpro-of-lincoln?utm_medium=organic&utm_source=gbp,+1 402-466-4004,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOndfKLmmFp3UROt17QEMSLgLvuYAvsqprOa3YgwvOxq4mMn3LibE5x9li610ekdOzatePCHsVTfOnG1hLfiDof3LyOCLg4cFeVqfqmTFM785BtbavpqyYbVEW-QCaNHjl6HpnmUAfsUu6=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:12.289Z,LGBTQ+ friendly
https://www.google.com/maps/place/Snibley%27s+Carpet+Cleaning/data=!4m7!3m6!1s0x54ea929f0eb764c9:0x8959ffdd59656ba3!8m2!3d44.8929665!4d-123.947371!16s%2Fg%2F1tzgjc45!19sChIJyWS3Dp-S6lQRo2tlWd3_WYk,Snibley's Carpet Cleaning,3.8,10,Carpet cleaning service,,,https://www.snibleys-carpetcleaning.com/,+1 541-921-8004,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1uTSoXqaHo62PSbBlq6Rydp42i6xxZk1k1rN9QVT-sGZBkYoOsQ3fL5O0ZW09jIcQERJYNk9CGDuOZZAvtQDk2TqGb35d0kLsKUTpwkB3Cx6LRMjP-QQ4owSzv_xz8Y1jFpC1Dg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:16.964Z,
https://www.google.com/maps/place/Altru+Restoration+LLC/data=!4m7!3m6!1s0x8796bf10e8a80827:0x658dc23a4b8768d4!8m2!3d40.812309!4d-96.6904063!16s%2Fg%2F11xkd7l504!19sChIJJwio6BC_locR1GiHSzrCjWU,Altru Restoration LLC,5.0,23,Water damage restoration service,"200 S 21st St STE 400A, Lincoln, NE 68510, United States","R865+WR Lincoln, Nebraska, USA",https://altrurestoration.com/,+1 402-242-3001,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepl87_yy6ieGfAg_o2YiflATahrhi51BcaLnF6vB5lIXo0cm33go5OAw70uSSlMWtigFHe6YeXLPwUb27CazgbV10PJetlQ4Hw6J0b2NlPn785CXZOUz_wOjOr7jg74kVa6JsRM0RiKW9WF=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:21.794Z,
https://www.google.com/maps/place/Lincoln+Services/data=!4m7!3m6!1s0x8796bd9da456e2e9:0xcfd5d2a881492826!8m2!3d40.7239172!4d-96.6447799!16s%2Fg%2F1hjh69ln4!19sChIJ6eJWpJ29locRJihJgajS1c8,Lincoln Services,5.0,6,Water damage restoration service,"8707 S 56th St, Lincoln, NE 68516, United States","P9F4+H3 Lincoln, Nebraska, USA",http://www.lincolnrestorationservices.com/,+1 402-617-6184,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepoLmrD1IIP_G58VPjJskDXv1yeCAb1UaHDdxRj1s0s59gcQAMkvmWoipaS1beXdBAay4hVrYPh2-AXrHugdkag9vykAjJ4xK7alMXAbGy4bgEVwVk1UkUj-qGLzqx89YZXU2xkAg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:26.703Z,
https://www.google.com/maps/place/ServiceMaster+Restoration+of+Lancaster+County+-+Fire+%26+Water+Damage+Restoration/data=!4m7!3m6!1s0x8796bfc97672b219:0x410c5a1862657a0f!8m2!3d40.8122263!4d-96.7640792!16s%2Fg%2F1tn01q_m!19sChIJGbJydsm_locRD3plYhhaDEE,ServiceMaster Restoration of Lancaster County - Fire & Water Damage Restoration,4.0,48,Water damage restoration service,"232 SW 31st St, Lincoln, NE 68522, United States","R66P+V9 Lincoln, Nebraska, USA",,+1 402-434-2197,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBvYRsiCxHBN9EvmAAHy0XHN-XcDGG99uKGFrz31hkt07FUQSvO_aRSXWU7-m-K7aq-tR3RHUW2KVL_EtUftGdJP6Eo_fnD2XcFKkTCIxynjNAFUXdScOx5CALA724hQvem5M=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:31.544Z,
https://www.google.com/maps/place/Carlson+Restoration/data=!4m7!3m6!1s0x8796bb0c5ebd8fbf:0x24b7ed06dd5056fe!8m2!3d40.8572795!4d-96.6319048!16s%2Fg%2F11j7ym0j2k!19sChIJv4-9Xgy7locR_lZQ3QbttyQ,Carlson Restoration,4.4,7,Water damage restoration service,"6440 Havelock Ave, Lincoln, NE 68507, United States","V949+W6 Lincoln, Nebraska, USA",http://www.carlsonrestoration.com/,+1 402-891-9887,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersgx2a5x5rtE5tyfj8hq_NNb3HZuo59xX9SaWvkWrBPmOU2RjVmU42RIsX82uFjpPAfis2Yc8_gjKWwPO5_xcQMk7WSF6BGH4Ik7uW_JFhCxEo2YETAe51Q4lbf03zu7OP3QC-uQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-03-23T04:00:36.464Z,
