placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,saturday,sunday,monday,tuesday,wednesday,thursday,friday,isBlackOwned
https://www.google.com/maps/place/Generator+World/data=!4m7!3m6!1s0x809ad74ef1d4ef8b:0xe3a23469b381dc2c!8m2!3d38.6125701!4d-121.4459374!16s%2Fg%2F11rscvp9pg!19sChIJi-_U8U7XmoARLNyBs2k0ouM,Generator World,4.5,22,Electric generator shop,· Delivery,"2534 Del Paso Blvd, Sacramento, CA 95815, United States","JH73+2J Sacramento, California, USA",https://generatorworldinc.com/,+1 916-668-0605,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipO2hbyz966hgjCLPqImmCvxGSyFL_jE7Ex8lfgb=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:47:58.458Z,,,,,,,,
https://www.google.com/maps/place/Legacy+Electric/data=!4m7!3m6!1s0x809ad0f08c9d330b:0xce4e2bf0c33bd020!8m2!3d38.5474807!4d-121.415499!16s%2Fg%2F11fxqkp172!19sChIJCzOdjPDQmoARINA7w_ArTs4,Legacy Electric,4.7,53,Electrician,,"2947 Ramona Ave B8, Sacramento, CA 95826, United States","GHWM+XR Sacramento, California, USA",https://legacy-electric.org/,+1 916-823-1015,Open · Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMlE1EHyGr2dVCi2Ua-ZehhrpATBut14DkWw0qc=w408-h884-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:03.132Z,8 am–5 pm,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/Peach+Electric+Inc/data=!4m7!3m6!1s0x809adda30e4ba9bd:0xa5e599b5b73aaf27!8m2!3d38.5709953!4d-121.4166577!16s%2Fg%2F11h392nhv_!19sChIJvalLDqPdmoARJ686t7WZ5aU,Peach Electric Inc,4.9,227,Electrician,,"333 University Ave suit 200, Sacramento, CA 95825, United States","HHCM+98 Sacramento, California, USA",http://www.peach-electric.com/,+1 916-333-0473,"Open 24 hours

Confirmed by this business 6 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPbHzsA_88bqFwuk6H54pY7bCJLw1yVh3xiIlT5=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:08.001Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/AAA+Electrical+Services/data=!4m7!3m6!1s0x809ad74b43018387:0x3713cd992d61f3d3!8m2!3d38.5956607!4d-121.4637425!16s%2Fg%2F1w4f8c11!19sChIJh4MBQ0vXmoAR0_NhLZnNEzc,AAA Electrical Services,4.4,548,Electrician,,"191 Lathrop Way G, Sacramento, CA 95815, United States","HGWP+7G Sacramento, California, USA",http://aaaes.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 916-672-4073,Open · Closes 12 am,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipO468keY4vfD-8TxvCKaV-9TRuTcr7YQU9ThIzD=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:12.403Z,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
"https://www.google.com/maps/place/Schetter+Electric,+Inc./data=!4m7!3m6!1s0x809ad6d9f7a2553f:0x719c351a15205394!8m2!3d38.5940113!4d-121.4969489!16s%2Fg%2F1wfvmxh_!19sChIJP1Wi99nWmoARlFMgFRo1nHE","Schetter Electric, Inc.",4.6,21,Electrician,,"221 Sequoia Pacific Blvd, Sacramento, CA 95811, United States","HGV3+J6 Sacramento, California, USA",https://www.schetter.com/,+1 916-446-2521,Open · Closes 8 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZTQIV9qwZg6Gp0VsVnu6dA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.347584&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:16.759Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,
https://www.google.com/maps/place/Wills+Resource+Electric/data=!4m7!3m6!1s0x809adb68a1d6c245:0x924558bd83b79238!8m2!3d38.6020647!4d-121.4030351!16s%2Fg%2F11n8jdvdkh!19sChIJRcLWoWjbmoAROJK3g71YRZI,Wills Resource Electric,4.9,263,Electrician,,"2517 Tower Ave, Sacramento, CA 95825, United States","JH2W+RQ Sacramento, California, USA",http://www.willsresourceelectric.com/,+1 916-676-3737,Closes soon · 2 pm · Opens 10:30 am Sun,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyD8ErVhb-0065KVwn-8DcThhepIgEGwyyp9H1JjN66s8YNT4tjdMa2Z6S1ZaAU9dalVPEwoPk3v6WMu_FieWjKKjLA_IVA41TFP1d1V3xrznLTI30Vycj5RondJGKZ1_4MmC0B=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:21.216Z,10:30 am–2 pm,10:30 am–2 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,
https://www.google.com/maps/place/Mega+Power+Electric+Inc/data=!4m7!3m6!1s0x809adb2a62389231:0x60b96e856b412a0e!8m2!3d38.566393!4d-121.4333978!16s%2Fg%2F11rjg0ys4r!19sChIJMZI4YirbmoARDipBa4VuuWA,Mega Power Electric Inc,5.0,3,Solar energy company,,"836 57th St, Sacramento, CA 95819, United States","HH88+HJ Sacramento, California, USA",http://www.megapower.solar/,+1 800-528-0655,Open · Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipMF6D-DOWpOyL_luzpecd9zrvnja7W70GzK9STO=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:25.563Z,9 am–6 pm,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,
https://www.google.com/maps/place/Priority+1+Electric/data=!4m7!3m6!1s0x809b2004a425696f:0xc68bf56cd7f45ef9!8m2!3d38.608844!4d-121.4365783!16s%2Fg%2F1tgf3ggq!19sChIJb2klpAQgm4AR-V7012z1i8Y,Priority 1 Electric,4.5,116,Electrician,,"1309 Silica Ave, Sacramento, CA 95815, United States","JH57+G9 Sacramento, California, USA",http://priority1electric.com/,+1 916-929-7995,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPqX9AwP6sprz9c7mZa7e8kLMwMgkIu4wRLL6Wd=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:30.044Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/Main+Stream+Electric/data=!4m7!3m6!1s0x809ad12913030e3d:0x9ed79e5e574d8e08!8m2!3d38.6138024!4d-121.1694236!16s%2Fg%2F11b7lhs3ml!19sChIJPQ4DEynRmoARCI5NV16e154,Main Stream Electric,4.9,73,Electrician,,,,https://www.callmainstream.com/sacramento-electrician,+1 916-439-5253,Open · Closes 12 am,Identifies as Asian-owned,https://lh3.googleusercontent.com/p/AF1QipNqzsPOCF5UeYtfbPElsBw-QbTLJEM7k_Pya3lf=w408-h408-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:34.418Z,Open 24 hours,9 am–5 pm,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/Sacramento+Electrical+Services/data=!4m7!3m6!1s0x407721a3c25f955f:0x733cdf5e1ea635ee!8m2!3d38.5970124!4d-121.4112055!16s%2Fg%2F11b6mmmdrq!19sChIJX5VfwqMhd0AR7jWmHl7fPHM,Sacramento Electrical Services,4.8,10,Electrician,,"1723 Bell St, Sacramento, CA 95825, United States","HHWQ+RG Sacramento, California, USA",,,Open · Closes 12 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6WyxBgXoUK6skFSXCNd3-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.33464&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/generator+installation+services+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-01-10T21:48:38.694Z,Open 24 hours,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Open 24 hours,
