placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/RowCal/data=!4m7!3m6!1s0x871345c273b5d325:0x5b1d8d087435176a!8m2!3d38.8838592!4d-104.8346875!16s%2Fg%2F11fww02rzs!19sChIJJdO1c8JFE4cRahc1dAiNHVs,RowCal,3.9,735,Property management company,"3630 Sinton Rd Suite 300, Colorado Springs, CO 80907, United States","V5M8+G4 Colorado Springs, Colorado, USA",http://www.rowcal.com/colorado-springs,+1 719-471-1703,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFmOC9B07_eZuPhtUqpvDfx-6U6Umht5n_CWGM4dKKHQtVLITtYVMMGCvC_EJxH4yfv8SPxYlEYwLQd1lRS4thloAJOsnAiMTvcIDE5TREd6FAnw9Ph7971PcpIFHSmsmy9ANE=w408-h240-k-no-pi-0-ya130.9976-ro0-fo100,true,9 am–5 pm,9 am–1 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:01:55.219Z,,,
"https://www.google.com/maps/place/All+County+Colorado+Springs,+CRMC/data=!4m7!3m6!1s0x871347cc503511f5:0xdc76d1d3f50790c1!8m2!3d38.8226134!4d-104.8237334!16s%2Fg%2F1tfccms7!19sChIJ9RE1UMxHE4cRwZAH9dPRdtw","All County Colorado Springs, CRMC",3.5,440,Property management company,"811 S Tejon St, Colorado Springs, CO 80903, United States","R5FG+2G Colorado Springs, Colorado, USA",https://allcountycs.com/,+1 719-445-7172,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMmw4CHgJgDhuygF0nq7XWEBte_0n_8Y7BorqeW=w427-h240-k-no,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,"9–11 am, 1:30–4 pm",9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:01.349Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Hammersmith+Management+Colorado+Springs/data=!4m7!3m6!1s0x87134e783424d255:0xa70b624290b13ed9!8m2!3d38.9473241!4d-104.8091673!16s%2Fg%2F1tdc5p76!19sChIJVdIkNHhOE4cR2T6xkEJiC6c,Hammersmith Management Colorado Springs,2.7,131,Property management company,"1155 Kelly Johnson Blvd #495, Colorado Springs, CO 80920, United States","W5WR+W8 Colorado Springs, Colorado, USA",https://ehammersmith.com/,+1 719-389-0700,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BA8--C4wm7zXild4BspqIg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=289.18365&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:06.218Z,,,
"https://www.google.com/maps/place/All+Seasons,+LLC+CRMC/data=!4m7!3m6!1s0x871344c3b0d23257:0xad2c1ea76b93383a!8m2!3d38.8112046!4d-104.8257331!16s%2Fg%2F1tfddy0l!19sChIJVzLSsMNEE4cROjiTa6ceLK0","All Seasons, LLC CRMC",4.1,132,Property management company,"1610 S Tejon St, Colorado Springs, CO 80905, United States","R56F+FP Colorado Springs, Colorado, USA",https://www.propertymanagementincoloradosprings.com/,+1 719-632-3368,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNSEp32otUxP30yFL2D1DOjyh6g6rIwNeb1PA1j=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:11.276Z,,,
https://www.google.com/maps/place/Progressive+Property+Group/data=!4m7!3m6!1s0x87134535f28b4c3b:0x9d98183a0da5aefd!8m2!3d38.8367837!4d-104.8340538!16s%2Fg%2F11h2jwvbyl!19sChIJO0yL8jVFE4cR_a6lDToYmJ0,Progressive Property Group,3.5,144,Property management company,"431 W Bijou St, Colorado Springs, CO 80905, United States","R5P8+P9 Colorado Springs, Colorado, USA",https://www.progressivepropertygroup.com/,+1 719-634-6490,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPuJgyngiEc8x8uR6gsA8AwF3KAtJsZqUMo41ol=w408-h406-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:16.186Z,,,
https://www.google.com/maps/place/Bijou+Property+Management/data=!4m7!3m6!1s0x8713451753082e21:0x75c8dd58546a5832!8m2!3d38.8366935!4d-104.8164727!16s%2Fg%2F1tycx30k!19sChIJIS4IUxdFE4cRMlhqVFjdyHU,Bijou Property Management,4.4,177,Property management company,"428 E Bijou St, Colorado Springs, CO 80903, United States","R5PM+MC Colorado Springs, Colorado, USA",https://www.bijoupropertymanagement.com/,+1 719-473-1007,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipN_glnAKMPbhjAMeXVROjjatn48I4gPA6lMZ295=w408-h544-k-no,true,10 am–4 pm,10 am–4 pm,Closed,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:20.826Z,,,
"https://www.google.com/maps/place/Alliance+Property+Management,+Inc/data=!4m7!3m6!1s0x87134ebfad73221b:0x6decd87b39832094!8m2!3d38.9398725!4d-104.7593026!16s%2Fg%2F1tdr3s56!19sChIJGyJzrb9OE4cRlCCDOXvY7G0","Alliance Property Management, Inc",4.7,369,Property management company,"3578 Hartsel Dr, Colorado Springs, CO 80920, United States","W6QR+W7 Colorado Springs, Colorado, USA",https://www.alliancecolorado.com/,+1 719-355-8688,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMr2i3pAAes5ridRfsA0CTLG4jQyVkkIwkYt-Bw=w408-h305-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:26.091Z,,,
https://www.google.com/maps/place/Colorado+Association+Services/data=!4m7!3m6!1s0x87134f191636b459:0x3b94f1ca17cb504d!8m2!3d38.9067691!4d-104.7786381!16s%2Fg%2F1thzpbz4!19sChIJWbQ2FhlPE4cRTVDLF8rxlDs,Colorado Association Services,3.6,124,Property management company,"5225 N Academy Blvd #200, Colorado Springs, CO 80918, United States","W64C+PG Colorado Springs, Colorado, USA",https://www.associacolorado.com/?utm_source=gmb&utm_medium=Yext&y_source=1_Mjc2NjU4OTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 719-473-5000,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNSUGAp2hfkX87PGfcbQX2l-gn7754nAH9t4b7j=w427-h240-k-no,true,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:31.239Z,,,
https://www.google.com/maps/place/Dorman+Real+Estate+Management/data=!4m7!3m6!1s0x871345f9343e0257:0xde2ac3e6327e3d9e!8m2!3d38.870805!4d-104.758222!16s%2Fg%2F1tg9nlg0!19sChIJVwI-NPlFE4cRnj1-MubDKt4,Dorman Real Estate Management,4.2,607,Property management company,"2760 N Academy Blvd #302, Colorado Springs, CO 80917, United States","V6CR+8P Colorado Springs, Colorado, USA",http://www.coloradospringsproperty.management/,+1 719-213-9100,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPMXuJOPIRhXNok_WaFTpG9V5TNE8mCmxExW92p=w425-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:36.555Z,,,
"https://www.google.com/maps/place/Muldoon+Associates,+Inc./data=!4m7!3m6!1s0x871345ff56b3bd17:0x98984113faa10fc9!8m2!3d38.8742936!4d-104.7576306!16s%2Fg%2F1v6wpsk4!19sChIJF72zVv9FE4cRyQ-h-hNBmJg","Muldoon Associates, Inc.",4.3,243,Property management company,"2910 N Academy Blvd #205, Colorado Springs, CO 80917, United States","V6FR+PW Colorado Springs, Colorado, USA",https://www.propertymanagement-coloradosprings.com/,+1 719-591-8332,,https://lh3.googleusercontent.com/p/AF1QipMS2qQ4yav1q7XJEWJ1wsf-4oKJNPZjKMWf5XQY=w904-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-09-25T17:02:39.662Z,,,
