placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Left+Coast+Property+Management+LLC/data=!4m7!3m6!1s0x54ea8d4a86359b0b:0xe2b46cf464772e3d!8m2!3d44.9449426!4d-124.0192874!16s%2Fg%2F11pbfr4yjp!19sChIJC5s1hkqN6lQRPS53ZPRstOI,Left Coast Property Management LLC,3.7,22,Property management company,"3001 SE Hwy 101, Lincoln City, OR 97367, United States","WXVJ+X7 Lincoln City, Oregon, USA",https://lcpm.info/,+1 541-921-8807,Open ⋅ Closes 4 pm,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IpaBl-9Usv7GTqLi-MTY6Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=309.37195&pitch=0&thumbfov=100,true,10 am–4 pm,10 am–4 pm,Closed,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:22.270Z,,
https://www.google.com/maps/place/Excellence+Inc/data=!4m7!3m6!1s0x54ea8d6fef93e5ab:0xaeab0134c4e9d59c!8m2!3d44.9733728!4d-124.0125206!16s%2Fg%2F1tdvv15d!19sChIJq-WT72-N6lQRnNXpxDQBq64,Excellence Inc,3.8,26,Property maintenance,"1441 NE 11th St, Lincoln City, OR 97367, United States","XXFP+8X Lincoln City, Oregon, USA",https://www.excellence-inc.net/,+1 541-994-9340,,,https://lh3.googleusercontent.com/p/AF1QipOQo-OCL-2J4zRV6PjT2iYbN1XCQzUs40eGTDIQ=w597-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:26.739Z,,
"https://www.google.com/maps/place/Real+Estate+100+Lincoln+City,+inc/data=!4m7!3m6!1s0x54ea8da4eb06e7b9:0x14897876602920d!8m2!3d44.9825818!4d-124.0077776!16s%2Fg%2F1tdb3_v4!19sChIJuecG66SN6lQRDZICZoeXSAE","Real Estate 100 Lincoln City, inc",2.9,23,Property management company,"2403 NW U.S. 101 Suite G, Lincoln City, OR 97367, United States","XXMR+2V Lincoln City, Oregon, USA",http://re100lc.com/,+1 541-994-2100,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MXjUQB4V-C44XGzePd6iUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.39798&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:31.769Z,,
"https://www.google.com/maps/place/Costa+Vida+Casa/@44.7847095,-124.030777,10z/data=!3m1!4b1!4m6!3m5!1s0xaca9031f9dfbdb5b:0x1b7a4a915f275c68!8m2!3d44.7847095!4d-124.030777!16s%2Fg%2F11tfks07ht",Costa Vida Casa,1.0,1,Property management company,,,,+1 541-480-7389,Open ⋅ Closes 6 pm,,,true,8:30 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:38.730Z,,
https://www.google.com/maps/place/Hawk+Creek+Property+Management/data=!4m7!3m6!1s0x85dbd73884ab6e81:0x76ad7543a4ce5f0e!8m2!3d45.075202!4d-123.9727546!16s%2Fg%2F11ydp06z_f!19sChIJgW6rhDjX24URDl_OpEN1rXY,Hawk Creek Property Management,5.0,2,Property management company,,,,+1 402-679-1364,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipOJtEFQ2Xz1XejTkfq4Cn0DlP-Wqkl1GcBf1Au3=w408-h291-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:44.055Z,,
https://www.google.com/maps/place/Pacific+Breeze/data=!4m7!3m6!1s0x54ea8db1c632d9ad:0x21d06a2a7353d3c!8m2!3d44.9523708!4d-124.020647!16s%2Fg%2F1vk6yz3h!19sChIJrdkyxrGN6lQRPD01p6IGHQI,Pacific Breeze,4.1,8,Property management company,"4786 SE Hwy 101, Lincoln City, OR 97367, United States","XX2H+WP Lincoln City, Oregon, USA",,+1 503-998-9292,Temporarily closed,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1-rY4M45bVviVZwFLnIzzd9xCxOMiN6QgCv4z2-HIJAbImdNtae7z_7nxwmQMuoYdaOhf9ob565lIEnxSDBHifGZV63ovUg7I6hJSpb2iwUd-8VxJQ7001-mJ6d8jwdVLw-9E=w426-h240-k-no,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:49.633Z,,
https://www.google.com/maps/place/Excellence+Property+Management/data=!4m7!3m6!1s0x54ea8d665e666125:0xebadfb5ff89db8de!8m2!3d44.9787826!4d-124.0148409!16s%2Fg%2F1tk62vv1!19sChIJJWFmXmaN6lQR3rid-F_7res,Excellence Property Management,4.0,1,Property management company,"1933 NW Harbor Ave, Lincoln City, OR 97367, United States","XXHP+G3 Lincoln City, Oregon, USA",,+1 541-994-9340,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1cQ7dTJMRPmKnc4a5vHsQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.30774&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:40:53.634Z,,
https://www.google.com/maps/place/Keystone+Vacation+Rentals+-+Pacific+Winds+Lincoln+City/data=!4m7!3m6!1s0x54ea8d660ba11fff:0xd8dfc362be951278!8m2!3d44.977684!4d-124.0152206!16s%2Fg%2F1th7y28d!19sChIJ_x-hC2aN6lQReBKVvmLD39g,Keystone Vacation Rentals - Pacific Winds Lincoln City,4.6,117,Vacation home rental agency,"1723 NW Harbor Ave, Lincoln City, OR 97367, United States","XXHM+3W Lincoln City, Oregon, USA",https://www.keystonevacationsoregon.com/,+1 503-443-1414,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipM42mGKDu2imZ-pMWS49AAxAjC1uQLpvUtvEChR=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,10 am–2 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:00.154Z,,
https://www.google.com/maps/place/Barclay-Properties+LLC/data=!4m7!3m6!1s0x54ea93a2be984713:0x798a8adce93ebb6b!8m2!3d44.9600263!4d-124.0120231!16s%2Fg%2F11rfn3t_jb!19sChIJE0eYvqKT6lQRa7s-6dyKink,Barclay-Properties LLC,5.0,5,Real estate agency,"1501 SE East Devils Lake Rd, Lincoln City, OR 97367, United States","XX6Q+25 Lincoln City, Oregon, USA",http://barclay-properties.com/,+1 415-717-4244,Open 24 hours,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7nLrbqiDrMx5olPI570a_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.78757&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:05.956Z,,
https://www.google.com/maps/place/Coldwell+Banker+Professional+Group/data=!4m7!3m6!1s0x54ea8d6422382cf1:0xe006365fc1860a92!8m2!3d44.9779333!4d-124.0113928!16s%2Fg%2F1hc2bhth_!19sChIJ8Sw4ImSN6lQRkgqGwV82BuA,Coldwell Banker Professional Group,5.0,167,Real estate agent,"1815 NW U.S. 101, Lincoln City, OR 97367, United States","XXHQ+5C Lincoln City, Oregon, USA",https://cbpglincolncity.sites.cbmoxi.com/,+1 541-994-7760,Open ⋅ Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPpk6hfmAAUbcIiUi0ZjQ31j-chfSZzmxvUpFGw=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:12.057Z,,
https://www.google.com/maps/place/Shelli+Neal+REALTOR+-+Realty+One+Group+at+the+Beach+Lincoln+City/data=!4m7!3m6!1s0x54ea8d6506db7f89:0xb2227c20d1e43a52!8m2!3d44.9655008!4d-124.0173645!16s%2Fg%2F11mv_55ddy!19sChIJiX_bBmWN6lQRUjrk0SB8IrI,Shelli Neal REALTOR - Realty One Group at the Beach Lincoln City,5.0,21,Real estate agent,"240 SE Hwy 101, Lincoln City, OR 97367, United States","XX8M+63 Lincoln City, Oregon, USA",https://shellineal.myrealtyonegroup.com/,+1 541-921-3306,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMasU8eWC22WO8Ql2RYUM5-K4Jcx7-C6rPAAQcy=w408-h270-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:18.381Z,,
https://www.google.com/maps/place/A+Vista+d%27Mar/data=!4m7!3m6!1s0x54ea8d6f69bdbba1:0x67425524f25181d9!8m2!3d44.9752789!4d-124.0160717!16s%2Fg%2F1tg_96hp!19sChIJobu9aW-N6lQR2YFR8iRVQmc,A Vista d'Mar,4.7,80,Vacation home rental agency,"1421 NW Harbor Ave, Lincoln City, OR 97367, United States","XXGM+4H Lincoln City, Oregon, USA",http://www.avistadmar.com/,+1 541-994-6300,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipPOzI0Jcr9FACM75_enCRFqRfKYgvH_5nP_p4g=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:23.699Z,,
https://www.google.com/maps/place/Left+Coast+Construction+Services+LLC/data=!4m7!3m6!1s0x415fbe66aa3b213b:0xcfc49a8bacfff311!8m2!3d44.9449801!4d-124.0194439!16s%2Fg%2F11t3d20yy1!19sChIJOyE7qma-X0EREfP_rIuaxM8,Left Coast Construction Services LLC,4.3,33,Property maintenance,"3001 SE Hwy 101, Lincoln City, OR 97367, United States","WXVJ+X6 Lincoln City, Oregon, USA",,+1 541-603-7700,Open ⋅ Closes 5 pm,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEePW7wAu9sdBUk7wk44HSVv7iNzTEo5F6bT3m7YUf0YfvMDcRccRTC9QETlZko5lDq9tb0Tg3YKYNpp-C7QO6wWvmFVMNgLgXYGZGvKaqbe8q-_DbrJrJ60qvS6Mr6gZMI9f63Q=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-25T18:41:28.874Z,,
