placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,attributes,isBlackOwned
https://www.google.com/maps/place/Option+Care+Health/data=!4m7!3m6!1s0x8814ac53d85a2b1d:0x8abe613e0a4b1e1b!8m2!3d39.9693817!4d-86.1493634!16s%2Fg%2F11c5rq6cyd!19sChIJHSta2FOsFIgRGx5LCj5hvoo,Option Care Health,4.5,25,Specialized clinic,"867 W Carmel Dr, Carmel, IN 46032, United States","XV92+Q7 Carmel, Indiana, USA",https://optioncarehealth.com/locations/carmel-in-867-west-carmel-drive,+1 317-575-7777,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2FRxjR07lYaxR8sWLnF8VA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.21642&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:08.920Z,,,,,,,,,,
https://www.google.com/maps/place/St.+Vincent+Outpatient+Treatment+Center/data=!4m7!3m6!1s0x8814ac8b64e89b13:0xdc61dcba2bd2ae57!8m2!3d39.9538512!4d-86.1569007!16s%2Fg%2F11cm3mmltw!19sChIJE5voZIusFIgRV67SK7rcYdw,St. Vincent Outpatient Treatment Center,4.0,6,Medical clinic,"11455 N Meridian St #250, Carmel, IN 46032, United States","XR3V+G6 Carmel, Indiana, USA",,+1 317-582-8278,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UUXgkaqM3hmuHaPGaAxCvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.17&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:12.472Z,,,,,,,,,,
https://www.google.com/maps/place/IU+Health+Joe+%26+Shelly+Schwarz+Cancer+Center/data=!4m7!3m6!1s0x8814adcd6cf3befd:0x382665d2bc01b2a7!8m2!3d39.9565237!4d-86.1624884!16s%2Fg%2F11j43ksmbt!19sChIJ_b7zbM2tFIgRp7IBvNJlJjg,IU Health Joe & Shelly Schwarz Cancer Center,4.7,51,Cancer treatment center,"11645 Illinois St, Carmel, IN 46032, United States","XR4Q+J2 Carmel, Indiana, USA",https://iuhealth.org/find-locations/iu-health-schwarz-cancer-center-11645-n-meridian-st?utm_source=Google&utm_medium=Yext&y_source=1_MTUwMTIwNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 317-688-4800,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMwZw3mEsH3iMLAsg26haNR3v9EE2T_INOc27b8=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:17.218Z,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x8814af4e147c73a3:0x7516922ea49a46b!8m2!3d40.0008468!4d-86.1170349!16s%2Fg%2F11qq77mgt8!19sChIJo3N8FE6vFIgRa6RJ6iJpUQc,Restore Hyper Wellness,4.8,205,Medical spa,"2552 E 146th St, Carmel, IN 46033, United States","2V2M+85 Carmel, Indiana, USA",https://www.restore.com/locations/in-carmel-in001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 317-660-2838,"Closed ⋅ Opens 10 am Wed

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPRfZpgaSgmKsWz4tjxsoJFGDoFY11Z1rA6hgbM=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:22.770Z,11 am–4 pm,Closed,Closed,10 am–6 pm,10 am–7 pm,10 am–3 pm,9 am–4 pm,,,
https://www.google.com/maps/place/Integrated+Cancer+Care+-+Indianapolis/data=!4m7!3m6!1s0x886b534b4ba62b7d:0x9ea2c2e283d7118b!8m2!3d39.9510795!4d-86.1615915!16s%2Fg%2F11c0v5w2l_!19sChIJfSumS0tTa4gRixHXg-LCop4,Integrated Cancer Care - Indianapolis,5.0,12,Cancer treatment center,"11380 Illinois St Suite 100, Carmel, IN 46032, United States","XR2Q+C9 Carmel, Indiana, USA",https://indycancercenter.com/indianapolis/,+1 317-853-4500,Closed ⋅ Opens 9:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPNeXkFyGOf5vyiMWNZ1mBlkedbUMqAPs4f7QUS=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:27.949Z,Closed,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,Closed,,,
https://www.google.com/maps/place/Indiana+Medical+center/data=!4m7!3m6!1s0x8814adcf10bb4873:0xf72dc987d121f395!8m2!3d39.9608469!4d-86.114559!16s%2Fg%2F11w8jvcbbw!19sChIJc0i7EM-tFIgRlfMh0YfJLfc,Indiana Medical center,4.7,44,Medical clinic,"1119 Keystone Wy suite 102, Carmel, IN 46032, United States","XV6P+85 Carmel, Indiana, USA",https://www.indianamedcenter.com/,+1 812-822-1516,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNuF3x5HGLRELWoK3b8G7qD_oB0fH2Py0LWldbB=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:33.394Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
https://www.google.com/maps/place/Health+and+Wellness+of+Carmel+LLC/data=!4m7!3m6!1s0x8814ac60bda41383:0x77554c3349856b07!8m2!3d39.962687!4d-86.1556726!16s%2Fg%2F1tfvzrk8!19sChIJgxOkvWCsFIgRB2uFSTNMVXc,Health and Wellness of Carmel LLC,4.7,374,Doctor,"11900 N Pennsylvania St #200, Carmel, IN 46032, United States","XR7V+3P Carmel, Indiana, USA",https://hwofc.com/,+1 317-663-7123,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipO6HAGg5WBOJHdbV-T2rrn083RZBLFM3ip0qGyl=w427-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:38.479Z,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,LGBTQ+ friendly,,
https://www.google.com/maps/place/Walgreens+Infusion+Services/data=!4m7!3m6!1s0x8814ac5a8191e8ad:0x2ba588aa4bc90127!8m2!3d39.9694236!4d-86.1495538!16s%2Fg%2F1tfctv06!19sChIJreiRgVqsFIgRJwHJS6qIpSs,Walgreens Infusion Services,4.0,1,Home health care service,"867 W Carmel Dr, Carmel, IN 46032, United States","XV92+Q5 Carmel, Indiana, USA",https://optioncarehealth.com/,+1 317-575-7777,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mxIsoyZ5HkSfxXzOfA7KVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.59256&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:41.534Z,,,,,,,,,,
https://www.google.com/maps/place/4Ever+Young+Med+Spa+%26+Wellness+Center+-+Carmel/data=!4m7!3m6!1s0x8814ad510b19d827:0x7c07cd83845a74c6!8m2!3d39.997793!4d-86.129305!16s%2Fg%2F11srr8nlvc!19sChIJJ9gZC1GtFIgRxnRahIPNB3w,4Ever Young Med Spa & Wellness Center - Carmel,5.0,147,Medical spa,"14405 Clay Terrace Blvd Ste 100, Carmel, IN 46032, United States","XVXC+47 Carmel, Indiana, USA",https://4everyoungantiaging.com/clay-terrace-indianapolis/?utm_source=google&utm_medium=organic&utm_campaign=gbp-clay-terrace-indianapolis,+1 317-559-9150,Closed ⋅ Opens 11 am Mon,https://lh3.googleusercontent.com/p/AF1QipPbYGKd7MtdPyIdVuAoyWPMjmTkFEm4s6jNozZG=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:46.728Z,Closed,11 am–7 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,8 am–2 pm,10 am–2 pm,,,
https://www.google.com/maps/place/The+Center+for+Fully+Functional+Health/data=!4m7!3m6!1s0x8814adc9cf7e1eb1:0xac550ac367a4191e!8m2!3d39.97912!4d-86.127327!16s%2Fg%2F1q5brr4s1!19sChIJsR5-z8mtFIgRHhmkZ8MKVaw,The Center for Fully Functional Health,4.7,101,Family practice physician,"40 N Rangeline Rd, Carmel, IN 46032, United States","XVHF+J3 Carmel, Indiana, USA",https://fullyfunctional.com/?utm_source=gmb&utm_medium=organic,+1 317-989-8463,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPLyW07v20Q5Bpbv8sKAiV0XzYJaqRr2zBtytEn=w408-h612-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-09-28T23:33:51.703Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
