placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Precision+Overhead+Garage+Door+Service/data=!4m7!3m6!1s0x88f8a5f62475bb6d:0x7538ec036e494b2f!8m2!3d34.0738373!4d-80.9879342!16s%2Fg%2F1tp1znw0!19sChIJbbt1JPal-IgRL0tJbgPsOHU,Precision Overhead Garage Door Service,4.9,2982,Garage door supplier,"247 Plumbers Rd, Columbia, SC 29203, United States","32F6+GR Columbia, South Carolina, USA",https://www.garagedoorscolumbiasc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=columbia,+1 803-454-2444,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNWF_DeVOyBvszdMo0XZJaB9svHO4kM9kQyiOCV=w478-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:24.236Z,,,,
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x88f8a5f78d0a862d:0xab61102241549a40!8m2!3d34.0149258!4d-81.0046345!16s%2Fg%2F11stt9y2nf!19sChIJLYYKjfel-IgRQJpUQSIQYas,OGD Overhead Garage Door,4.7,293,Garage door supplier,"2700 Middleburg Dr Ste 208-B, Columbia, SC 29204, United States","2X7W+X4 Columbia, South Carolina, USA",https://ogd.com/sc/columbia/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-cae-01&ogd_src=ogd-cae-01-google_business_profile,+1 803-879-5100,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNYzXEGI1TT0n1TBIrt_wl-A7uES6GpMgBpxX9o=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:30.215Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/ASAP+Services/data=!4m7!3m6!1s0x88f8bd71c2b972c5:0xca694c18e36e71ee!8m2!3d33.9889276!4d-81.1350125!16s%2Fg%2F11shdx0m2r!19sChIJxXK5wnG9-IgR7nFu4xhMaco,ASAP Services,5.0,264,Garage door supplier,"257 Mossborough Dr, Lexington, SC 29073, United States","XVQ7+HX Lexington, South Carolina, USA",http://www.garagedoorfixed.com/,+1 803-794-0001,Closed ⋅ Opens 10 am Sat,https://lh3.googleusercontent.com/p/AF1QipPGWfkqHbMOenk77b4wfCd1rllTe_O8ZQz-4F6_=w408-h306-k-no,true,8 am–5 pm,10 am–2:30 pm,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8 am–5:30 pm,9 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:36.868Z,,,,
https://www.google.com/maps/place/Advanced+Door+Systems+Inc/data=!4m7!3m6!1s0x88f8ba8dfad48491:0x56438ef0d2ce6b73!8m2!3d33.9673687!4d-81.0038193!16s%2Fg%2F1vzg32ct!19sChIJkYTU-o26-IgRc2vO0vCOQ1Y,Advanced Door Systems Inc,3.8,33,Door supplier,"1601 Key Rd, Columbia, SC 29201, United States","XX8W+WF Columbia, South Carolina, USA",http://www.raynor.com/viewdealergoogle.cfm?id=1376,+1 803-254-3143,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwr23Rvyw8LguoWXzVt8B9auMw8xTltHo32jbpzq-fuDuehFYH_kUKcc3n7QxPj6Vmyj57J2nXsFODjcrVATBBFVWi-bY5_xoxk30mBSwdOTlAbDN4-Vmgvf-75uBJaGphwxRLzIQ=w426-h240-k-no,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:40.907Z,,,,
https://www.google.com/maps/place/Affordable+Garage+Door+Repair+Co.+LLC/data=!4m7!3m6!1s0x263eb73442a01867:0xadaadacf9861fa5!8m2!3d33.9608395!4d-81.0838459!16s%2Fg%2F11pvlk2qjb!19sChIJZxigQjS3PiYRpR-G-ayt2go,Affordable Garage Door Repair Co. LLC,4.9,27,Garage door supplier,,,https://www.fixmygaragedoors.com/,+1 803-622-3667,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipNUHQlpB6CDh41cRV5rKncLpxMz1Xxfs49bjbFu=w426-h240-k-no,true,9 am–5 pm,9 am–12 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:46.913Z,,,,
https://www.google.com/maps/place/Precision+Garage+Door/data=!4m7!3m6!1s0x88f89778ee798e27:0x33f557f429a6c36e!8m2!3d33.9825535!4d-81.2391658!16s%2Fg%2F11k57bt10_!19sChIJJ4557niX-IgRbsOmKfRX9TM,Precision Garage Door,4.9,749,Garage door supplier,"201 W Main St Suite 201 E, Lexington, SC 29072, United States","XQM6+28 Lexington, South Carolina, USA",https://www.garagedoorscolumbiasc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=lexington,+1 803-274-6454,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNK_n8_189u0TdWLNYPt9V4zj5v0IygnHBepj4u=w478-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:53.516Z,,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Columbia/data=!4m7!3m6!1s0x87134651fb644eb3:0x17734799c70abee0!8m2!3d34.0962579!4d-80.9377221!16s%2Fg%2F1x6q2lwg!19sChIJs05k-1FGE4cR4L4Kx5lHcxc,Overhead Door Company of Columbia,4.9,641,Garage door supplier,"313 Rabon Rd, Columbia, SC 29223, United States","33W6+GW Columbia, South Carolina, USA",https://overheaddoorcolumbia.com/,+1 803-567-2237,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPoY8eVupHaRd1i11kD6_9Imj3zNd61rHvuIdxq=w427-h240-k-no,true,8 am–4 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:45:59.946Z,,,,
https://www.google.com/maps/place/Bilt+Rite+Overhead+Garage+Doors/data=!4m7!3m6!1s0x88f8b092c635d4d9:0xbd21dcf95b7ee7dc!8m2!3d34.0955731!4d-80.9379252!16s%2Fg%2F1ptxh67s5!19sChIJ2dQ1xpKw-IgR3Od-W_ncIb0,Bilt Rite Overhead Garage Doors,4.9,1102,Garage door supplier,"313 Rabon Rd, Columbia, SC 29223, United States","33W6+6R Columbia, South Carolina, USA",https://biltritegaragedoors.com/index.php,+1 803-744-3667,Closed ⋅ Opens 7:30 am Sat,https://lh3.googleusercontent.com/p/AF1QipPe4JnBc3nS2zYVwtRudsErXB9bPgzDq_GGYjaK=w408-h271-k-no,true,7:30 am–5 pm,7:30 am–7:30 pm,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:46:05.783Z,,,,
"https://www.google.com/maps/place/Raise+Up+Garage+Door+Services,+LLC/data=!4m7!3m6!1s0x88f89fc1c3a916cb:0x7b6b268c4db0051e!8m2!3d33.6057194!4d-80.9266144!16s%2Fg%2F11fksfyj5q!19sChIJyxapw8Gf-IgRHgWwTYwma3s","Raise Up Garage Door Services, LLC",4.9,48,Garage door supplier,,,https://raiseupgaragedoorservices.com/,+1 803-440-6828,,https://lh3.googleusercontent.com/p/AF1QipNmprvbzMovG4JBchqeq5skAMaUypB69-VDOkmn=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:46:09.666Z,,,,
https://www.google.com/maps/place/The+Garage+Door+Company/data=!4m7!3m6!1s0x88f897e9675a8ba1:0x198da7d84822d596!8m2!3d34.201339!4d-81.412228!16s%2Fg%2F11qnbs4fw1!19sChIJoYtaZ-mX-IgRltUiSNinjRk,The Garage Door Company,4.7,29,Garage door supplier,,,https://www.thegaragedoorcompanysc.com/,+1 803-274-2578,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipNCM0tIEv9-HNSWeeiCmRnAxFSRCTkNvVUBCAY2=w408-h306-k-no,true,8 am–5 pm,9 am–1 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-11-07T22:46:15.700Z,,,,
