placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,isBlackOwned
https://www.google.com/maps/place/Commonwealth+Pain+and+Spine/data=!4m7!3m6!1s0x8841a92485bcfedd:0x32ae25959ec4529f!8m2!3d39.0723243!4d-84.3342524!16s%2Fg%2F11wfhtlx9f!19sChIJ3f68hSSpQYgRn1LEnpUlrjI,Commonwealth Pain and Spine,4.7,181,Pain management physician,"7991 Beechmont Ave, Cincinnati, OH 45255, United States","3MC8+W7 Cincinnati, Ohio, USA",https://www.mypainsolution.com/,+1 513-401-5979,"Open · Closes 5 pm

Updated by others 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOKlrMPZWJfIlLv5xyYHW44DYdZKpt3KQrq0Def=w408-h531-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:14.136Z,,,
https://www.google.com/maps/place/The+Christ+Hospital+Physicians+-+Interventional+Pain+Management/data=!4m7!3m6!1s0x8841cb2e55555555:0x3c21dbebb42d69bc!8m2!3d39.1212872!4d-84.5116525!16s%2Fg%2F11gjt15kmg!19sChIJVVVVVS7LQYgRvGkttOvbITw,The Christ Hospital Physicians - Interventional Pain Management,3.7,3,Pain management physician,"2139 Auburn Ave Suite C920B, Cincinnati, OH 45219, United States","4FCQ+G8 Cincinnati, Ohio, USA",,+1 513-557-5177,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bbjyhkTC_rjMzlEvLnW57Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.98381&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:18.773Z,,,
"https://www.google.com/maps/place/Greater+Cincinnati+Pain+Management/@39.1010882,-84.4848951,17z/data=!3m1!4b1!4m6!3m5!1s0x8841b1795da5e905:0xd98456b6d020338c!8m2!3d39.1010882!4d-84.4848951!16s%2Fg%2F1261vbx84",Greater Cincinnati Pain Management,5.0,1,Pain control clinic,"103 Landmark Dr # 110, Bellevue, KY 41073, United States","4G28+C2 Bellevue, Kentucky, USA",,+1 513-794-5105,,,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:24.072Z,,,
https://www.google.com/maps/place/Mercy+Health+-+Red+Bank+Pain+Management+Center/data=!4m7!3m6!1s0x8841ad408c8383d3:0x8cfe6f0c83b54781!8m2!3d39.1573297!4d-84.4051948!16s%2Fg%2F11ftcdcd6p!19sChIJ04ODjECtQYgRgUe1gwxv_ow,Mercy Health - Red Bank Pain Management Center,4.2,19,Anesthesiologist,"4760 Red Bank Rd #104, Cincinnati, OH 45227, United States","5H4V+WW Cincinnati, Ohio, USA",https://www.mercy.com/locations/specialty-locations/pain-management/mercy-health-red-bank-pain-management-center,+1 513-271-4488,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tSBd72-xGNtQM60Wuo5h0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.202348&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–2 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:29.372Z,,,
"https://www.google.com/maps/place/Dr.+Richard+V.+Gregg,+MD/data=!4m7!3m6!1s0x8841b3ef0464253f:0xbc1a48ff94ced266!8m2!3d39.1213392!4d-84.510765!16s%2Fg%2F1tk6q_qj!19sChIJPyVkBO-zQYgRZtLOlP9IGrw","Dr. Richard V. Gregg, MD",5.0,1,Pain management physician,"2139 Auburn Ave, Cincinnati, OH 45219, United States","4FCQ+GM Cincinnati, Ohio, USA",http://www.thechristhospital.com/,+1 513-585-2000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z6DMypBu4Y7wTSc9lIFETA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.17273&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:32.802Z,,,
"https://www.google.com/maps/place/Dr.+Shuchita+Garg/@39.1374225,-84.5032393,17z/data=!3m1!4b1!4m6!3m5!1s0x8841b397aff88eef:0x1edeccc5d1b0203d!8m2!3d39.1374225!4d-84.5032393!16s%2Fg%2F11qgb7c6xp",Dr. Shuchita Garg,3.2,9,Pain management physician,"234 Goodman Dr, Cincinnati, OH 45219, United States",,,+1 513-458-1801,,,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:38.389Z,,,
https://www.google.com/maps/place/One+Heart+Medical/data=!4m7!3m6!1s0x8841b3c4d89e5f25:0x630fcb8410642d0d!8m2!3d39.1190018!4d-84.4385625!16s%2Fg%2F11h4tpmb3h!19sChIJJV-e2MSzQYgRDS1kEITLD2M,One Heart Medical,5.0,288,Medical clinic,"455 Delta Ave Suite 303A, Cincinnati, OH 45226, United States","4H96+JH Cincinnati, Ohio, USA",http://www.oneheartmedical.com/,+1 513-321-1242,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMNyyb20lR9Z0Q4V8zCmBXfYxHtdiSmaURRaJJq=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:44.017Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Justin+J.+Kruer,+M.D./data=!4m7!3m6!1s0x8841c8080037b4c1:0x7b294be44a4b6141!8m2!3d39.0629212!4d-84.4537191!16s%2Fg%2F11b6q2rvwk!19sChIJwbQ3AAjIQYgRQWFLSuRLKXs","Justin J. Kruer, M.D.",4.9,371,Pain management physician,"775 Alexandria Pike, Fort Thomas, KY 41075, United States","3G7W+5G Fort Thomas, Kentucky, USA",https://www.beaconortho.com/physician/justin-j-kruer-md/,+1 513-354-3700,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMLb9kTymu4sDMj5kAG76WqT6JUWVftCPog-gf2=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:49.804Z,,,
https://www.google.com/maps/place/RegenLife+Center/data=!4m7!3m6!1s0x884053c41a5c4a39:0xeb60d508c863a19b!8m2!3d39.1470304!4d-84.6283546!16s%2Fg%2F1v5k3pxh!19sChIJOUpcGsRTQIgRm6FjyAjVYOs,RegenLife Center,4.2,208,Medical clinic,"3328 Westbourne Dr, Cincinnati, OH 45248, United States","49WC+RM Cincinnati, Ohio, USA",https://www.regenlifecenters.com/location/ohio,+1 513-922-2204,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM8orc0lcBIt7hvv4daIjGZN9gqW3SEcqypxy5l=w408-h509-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–3:30 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:37:55.713Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Dr.+Sairam+Atluri/data=!4m7!3m6!1s0x8841a93263c374ab:0x97cdb65d4c847dd3!8m2!3d39.0708228!4d-84.3515398!16s%2Fg%2F11cjnnmd_d!19sChIJq3TDYzKpQYgR032ETF22zZc,Dr. Sairam Atluri,4.7,40,Pain management physician,"7655 Five Mile Rd #117, Cincinnati, OH 45230, United States","3JCX+89 Cincinnati, Ohio, USA",http://www.atlurimd.com/,+1 513-624-7525,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4E83UnCOWw4YR3fmqTGmQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.25363&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-28T18:38:01.776Z,,,
