placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,isBlackOwned,error
https://www.google.com/maps/place/Grand+Strand+Psychiatry/data=!4m7!3m6!1s0x89007d4f510e81d5:0xd1b745bdd2663706!8m2!3d33.8095063!4d-78.7111939!16s%2Fg%2F11vr0dj_vb!19sChIJ1YEOUU99AIkRBjdm0r1Ft9E,Grand Strand Psychiatry,5.0,3,Child psychiatrist,"2208 Hwy 17 S, North Myrtle Beach, SC 29582, United States","R75Q+RG North Myrtle Beach, South Carolina, USA",http://www.grandstrandpsychiatry.com/,+1 843-273-0484,,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vcJI6gqrKtQ9XrqKxUkraQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.21948&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:10.674Z,,,,,,,,,
https://www.google.com/maps/place/A+Place+to+Start/data=!4m7!3m6!1s0x89007dd3caa5e4bd:0x350c9801937164c8!8m2!3d33.831822!4d-78.679847!16s%2Fg%2F11rqz02wx8!19sChIJveSlytN9AIkRyGRxkwGYDDU,A Place to Start,3.8,30,Mental health service,"1016 2nd Ave N #205, North Myrtle Beach, SC 29582, United States","R8JC+P3 North Myrtle Beach, South Carolina, USA",http://aplacetostartnmb.net/,+1 843-491-3344,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyUEWgOx5olNB8JlxQjDQ5FXJlrl_9XTKmyDVBdhBDevSF5Y6X1rRK_-K-RRhSl9-avmp0smruazKixHaMi3OloEa1KtfyrZMpROE9Dv1SOyaNDqzPB5SqO8Ec0WEWePl14RXdG=w408-h544-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:15.157Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,,
https://www.google.com/maps/place/Sandhills+Intergrated+Care/data=!4m7!3m6!1s0x89006376be448bd1:0xa4c34d7d6aa138d0!8m2!3d33.8079568!4d-78.7124993!16s%2Fg%2F11tx7_ln8q!19sChIJ0YtEvnZjAIkR0Dihan1Nw6Q,Sandhills Intergrated Care,3.0,2,Mental health service,"2406 Madison Dr, North Myrtle Beach, SC 29582, United States","R75Q+52 North Myrtle Beach, South Carolina, USA",,+1 843-663-0748,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lHOe4wPuAQcJTaESqnbPAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.6962&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:20.015Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,Closed,,
https://www.google.com/maps/place/Advanced+Practice+Mental+Health+And+Wellness/data=!4m7!3m6!1s0x890064fc1eb95555:0x951491dec7f37ad5!8m2!3d33.7803829!4d-78.7884163!16s%2Fg%2F11hy9pgbrx!19sChIJVVW5HvxkAIkR1Xrzx96RFJU,Advanced Practice Mental Health And Wellness,3.4,41,Mental health service,"630 Chestnut Rd, Myrtle Beach, SC 29572, United States","Q6J6+5J Myrtle Beach, South Carolina, USA",https://apmhofsc.com/,+1 843-945-1452,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x_a3Jkd2KYouA_HNCOTtsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.2316&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:24.312Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/The+Center+For+Counseling+and+Wellness/data=!4m7!3m6!1s0x89007d67b51a9c1f:0x4597476f117b88d6!8m2!3d33.8281561!4d-78.6773127!16s%2Fg%2F1tdh4qxk!19sChIJH5watWd9AIkR1oh7EW9Hl0U,The Center For Counseling and Wellness,3.1,14,Counselor,"110 Ye Olde Kings Hwy, North Myrtle Beach, SC 29582, United States","R8HF+73 North Myrtle Beach, South Carolina, USA",http://thecenter4counseling.com/,+1 843-663-0770,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UKQD4MZ0QX4RCfY_MVjzyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.75516&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:28.666Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,,
https://www.google.com/maps/place/Radial+Myrtle+Beach/data=!4m7!3m6!1s0x61d36d145c2a581:0x187f6ac3c886951c!8m2!3d33.727298!4d-78.86357!16s%2Fg%2F11lmjp19gh!19sChIJgaXCRdE2HQYRHJWGyMNqfxg,Radial Myrtle Beach,4.9,28,Mental health clinic,"1086 London St STE B, Myrtle Beach, SC 29577, United States","P4GP+WH Myrtle Beach, South Carolina, USA",http://www.meetradial.com/,+1 843-703-1027,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipOrJieEiGZCmFqXzdJ9iUDPKV0qPEePLHfaQZxi=w408-h306-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:33.077Z,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,,
https://www.google.com/maps/place/Creative+Approaches+Counseling/data=!4m7!3m6!1s0x89007d6ac7055c05:0x4c4549e720ea0a77!8m2!3d33.8315864!4d-78.6804917!16s%2Fg%2F1262ll_1d!19sChIJBVwFx2p9AIkRdwrqIOdJRUw,Creative Approaches Counseling,4.4,7,Counselor,"1021 2nd Ave N # 5, North Myrtle Beach, SC 29582, United States","R8J9+JR North Myrtle Beach, South Carolina, USA",,+1 843-280-2280,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipMMrM0OK2OOZFWtx_HjAJkONcRWLSfPwQ8Tkqxn=w408-h408-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:37.372Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Myrtle+Beach/data=!4m7!3m6!1s0x890069ff9cb703a7:0xcacb2e0dd98a6c6d!8m2!3d33.7005507!4d-78.8777688!16s%2Fg%2F11fn9hhctt!19sChIJpwO3nP9pAIkRbWyK2Q0uy8o,LifeStance Therapists & Psychiatrists Myrtle Beach,4.7,284,Mental health clinic,"608 16th Ave N suite g, Myrtle Beach, SC 29577, United States","P42C+6V Myrtle Beach, South Carolina, USA",https://lifestance.com/location/myrtle-beach-sc-608/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 843-823-5132,Closed · Opens 8:30 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPAghwimqzP4LZXO2LejCFhxnLP1lSkM9lW_ydW=w427-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:41.822Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Fair+Play+Facts+llc/data=!4m7!3m6!1s0x89008783d3641a93:0xfcea52306ac0e3b1!8m2!3d33.8309323!4d-78.6809006!16s%2Fg%2F11g2pzvh04!19sChIJkxpk04OHAIkRsePAajBS6vw,Fair Play Facts llc,4.8,4,Crime victim service,"930 Foxfire Dr, North Myrtle Beach, SC 29582, United States","R8J9+9J North Myrtle Beach, South Carolina, USA",http://www.fairplayfacts.com/,+1 775-830-6137,Open · Closes 12 am,,https://lh3.googleusercontent.com/p/AF1QipNc7kNSS-0o0jiVclrumDmPF98mosFVfQHKWLoh=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:46.150Z,9 am–12 am,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,,
https://www.google.com/maps/place/oceano+counseling+LLC/data=!4m7!3m6!1s0x89007d154b9e59bb:0xb40fef80bc5483dc!8m2!3d33.831808!4d-78.679835!16s%2Fg%2F11f10gkv_h!19sChIJu1meSxV9AIkR3INUvIDvD7Q,oceano counseling LLC,1.0,1,Social worker,"1016 2nd Ave N Ste 206F, North Myrtle Beach, SC 29582, United States","R8JC+P3 North Myrtle Beach, South Carolina, USA",http://oceanocounseling.com/,+1 910-209-4531,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM5k3u1Gofxdeobo_kyRMY7I0VdMPR-XBzxTDZ0=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-12-16T03:51:50.416Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,
