placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/PE+Home+Generators/data=!4m7!3m6!1s0xa96556d5b60bb11f:0x88cc59dd01b83e06!8m2!3d41.4202829!4d-72.8446244!16s%2Fg%2F11nwc8_619!19sChIJH7ELttVWZakRBj64Ad1ZzIg,PE Home Generators,5.0,7,Electric generator shop,· Delivery,"27 Dodge Ave, North Haven, CT 06473, United States","C5C4+45 North Haven, Connecticut, USA",https://pehomegenerators.com/,+1 203-909-6622,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPAIuAgfG8mDMXpuYq0F6gidkRqTu_4vYP_z144=w560-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:26.829Z,,,
https://www.google.com/maps/place/Tri+State+Generator+Co/data=!4m7!3m6!1s0x89e7d18884702cff:0x8f796b57d6a0a29c!8m2!3d41.3676015!4d-72.8541949!16s%2Fg%2F11q8s_6zsj!19sChIJ_yxwhIjR54kRnKKg1ldreY8,Tri State Generator Co,3.9,19,Electric generator shop,,"356 Old Maple Ave, North Haven, CT 06473, United States","949W+28 North Haven, Connecticut, USA",https://tristategenco.com/,+1 800-581-2715,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LIJr20m6YxGwl6yUeyQxog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.87613&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:31.506Z,,,
https://www.google.com/maps/place/QC+Electric/data=!4m7!3m6!1s0x89b64ed2ad9d60f5:0x9c27e133cd9c3e26!8m2!3d41.500727!4d-72.757507!16s%2Fg%2F11vyfh91d_!19sChIJ9WCdrdJOtokRJj6czTPhJ5w,QC Electric,5.0,260,Electrician,,,,https://www.qcelectricne.com/,+1 860-218-8008,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFv290nKfHBSC4AcKGNfYfbiNrSrOskvPhfBEjZTTg6a1lC332CkEcvuxDFAnys-lASwJJK-6Cm8LIEO5E8iggg6U7KYKkedy4E6AKMZCWBRkP9H_MNP6JjAFfPpXnukTI8XHYtQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:35.699Z,,,
https://www.google.com/maps/place/PowerPlus+Electric+%26+Communications+LLC/data=!4m7!3m6!1s0x89e8763932c776c1:0x2636d75279a8e2d3!8m2!3d41.2565815!4d-72.9637079!16s%2Fg%2F11b7288rhc!19sChIJwXbHMjl26IkR0-KoeVLXNiY,PowerPlus Electric & Communications LLC,4.9,128,Electrical installation service,,"57 Linden St, West Haven, CT 06516, United States","724P+JG West Haven, Connecticut, USA",https://powerplusct.com/,+1 203-747-5335,Open · Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipMWBSkssrd4LSYdACiEW3O2fTDSYrShMQQsuH8=w426-h240-k-no,true,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:40.470Z,,,
https://www.google.com/maps/place/Tri+State+Companies/data=!4m7!3m6!1s0x89e7d0fddf71eed7:0xf6a91ca94a8e02b1!8m2!3d41.3676015!4d-72.8541949!16s%2Fg%2F1q69w5wzy!19sChIJ1-5x3_3Q54kRsQKOSqkcqfY,Tri State Companies,5.0,3,Electric motor repair shop,,"356 Old Maple Ave, North Haven, CT 06473, United States","949W+28 North Haven, Connecticut, USA",,+1 203-691-1343,Closed · Opens 7 am Sun,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LIJr20m6YxGwl6yUeyQxog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.87613&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:44.959Z,,,
https://www.google.com/maps/place/Sampson+Electric+LLC/data=!4m7!3m6!1s0x364bfc328381ebd:0x3763782aff17ef8b!8m2!3d41.3162493!4d-72.8997269!16s%2Fg%2F11k9f7pptz!19sChIJvR44KMO_ZAMRi-8X_yp4Yzc,Sampson Electric LLC,5.0,217,Electrician,,"315 Peck St, New Haven, CT 06513, United States","8482+F4 New Haven, Connecticut, USA",https://www.sampsonelectricllc.com/,+1 203-745-4246,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNSr3sAOYSKKe8xz99Emeo-FlNctGlldJayUNub=w408-h440-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:49.336Z,,,
https://www.google.com/maps/place/A+%26+J+Generator+%26+Equipment+LLC/data=!4m7!3m6!1s0x89e7e74555555555:0x474259175f2dd987!8m2!3d41.4996952!4d-72.9605896!16s%2Fg%2F113j7llcq!19sChIJVVVVVUXn54kRh9ktXxdZQkc,A & J Generator & Equipment LLC,4.9,123,Electric generator shop,· In-store shopping,"103 Cheshire Rd, Prospect, CT 06712, United States","F2XQ+VQ Prospect, Connecticut, USA",https://ajgenerator.com/,+1 203-828-6341,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP53gUfps862IULkw_qv2pUJPWl7EQ3IQdLtCzh=w426-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:53.702Z,,,
https://www.google.com/maps/place/Generator+Systems+LLC/data=!4m7!3m6!1s0x89e7db1da13361a5:0x6f3f63bdfcaf8ac0!8m2!3d41.47151!4d-72.8204229!16s%2Fg%2F1td1495k!19sChIJpWEzoR3b54kRwIqv_L1jP28,Generator Systems LLC,4.8,19,Electric generator shop,· In-store pick-up,"29 N Plains Hwy Unit 14, Wallingford, CT 06492, United States","F5CH+JR Wallingford, Connecticut, USA",https://www.generatorsystemsllc.com/,+1 203-401-8819,,https://lh3.googleusercontent.com/p/AF1QipOrbw1y4KVoo9mT0NPl6kZD4w78BPpC0mECM0M-=w408-h268-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:24:58.265Z,,,
https://www.google.com/maps/place/Nero+Air+Conditioning+%26+Heating+Inc./data=!4m7!3m6!1s0x89e7dabd080941a1:0x41178c0ffe1f7ffd!8m2!3d41.3707462!4d-72.8866385!16s%2Fg%2F1tfzc6d_!19sChIJoUEJCL3a54kR_X8f_g-MF0E,Nero Air Conditioning & Heating Inc.,4.7,255,HVAC contractor,,"334 State St, North Haven, CT 06473, United States","94C7+78 North Haven, Connecticut, USA",https://neroac.com/,+1 203-248-8110,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPVZoAjeS_oOE7oeye5ayXYYbkiOZG-ObkN6qmW=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:25:02.776Z,Identifies as women-owned,,
https://www.google.com/maps/place/O+J+Mann+Electric+Services+Inc./data=!4m7!3m6!1s0x89e7c87a43775db5:0xd87ff93c9b5e7c10!8m2!3d41.5421954!4d-72.8912457!16s%2Fg%2F11b70_bh94!19sChIJtV13Q3rI54kREHxemzz5f9g,O J Mann Electric Services Inc.,4.9,679,Electric generator shop,· In-store shopping · Delivery,"1484 Highland Ave Unit 4B, Cheshire, CT 06410, United States","G4R5+VG Cheshire, Connecticut, USA",http://www.ojmannelectric.com/,+1 203-250-8715,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOX80yFf5MtwJ9r9NDIHe4BsEmgMAKiEzAxr-TH=w408-h306-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:25:07.104Z,,,
"https://www.google.com/maps/place/L%26M+Electric,+LLC/data=!4m7!3m6!1s0x89e7d3f7d9b8be93:0x133094a6056720ba!8m2!3d41.3290588!4d-72.7871672!16s%2Fg%2F11bc7p5kkb!19sChIJk7642ffT54kRuiBnBaaUMBM","L&M Electric, LLC",4.2,21,Electrician,,"1071 Foxon Rd, North Branford, CT 06471, United States","86H7+J4 North Branford, Connecticut, USA",http://www.landmelectricllc.com/,+1 203-481-2816,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S1u-oLB0Z6M-JEysGaJPXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=140.83287&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-10T23:25:11.520Z,,,
