placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Chapel+Hill+Tire+-+Hillsborough+Rd/data=!4m7!3m6!1s0x89ace3ffc04b1887:0xbf5c53e29a86b153!8m2!3d36.0109706!4d-78.9277563!16s%2Fg%2F1w4f8zsd!19sChIJhxhLwP_jrIkRU7GGmuJTXL8,Chapel Hill Tire - Hillsborough Rd,4.7,1119,Tire shop,· In-store shopping · In-store pick-up,"2504 Hillsborough Rd, Durham, NC 27705, United States","236C+9V Durham, North Carolina, USA",https://www.chapelhilltire.com/locations/durham-hillsborough-rd,+1 919-251-5506,"Open · Closes 5 pm

Confirmed by this business 6 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8pRcmT0P52z9OpXFPIgCAyQoYRudsUAwLyv6e5veuYxWi_3RqHzP6o1LQPG7GnZwQDmx5IAKAaaVSYLXuxG17iH_-gmrZO9ILAXB_FhGBWnMzVF1ZJGNjNl3CFLufPGHc851Tt8WMDYNL=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:16.072Z,,
https://www.google.com/maps/place/Brothers+Tires+Service/data=!4m7!3m6!1s0x89ace163fe5a7e61:0xf53c24fa3b42e38f!8m2!3d36.0143298!4d-78.9329874!16s%2Fg%2F11w4g49rm9!19sChIJYX5a_mPhrIkRj-NCO_okPPU,Brothers Tires Service,5.0,48,Tire shop,,"2820 Hillsborough Rd, Durham, NC 27705, United States","2378+PR Durham, North Carolina, USA",http://dealer.koalafi.com/ApplicationForm/IntroScreen?publicStoreId=24743420-c15f-417d-bc94-6d58b53be831&cm=Copy,+1 984-888-0002,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYwUoraifQ81beMUB2pKbbgH7TSin_6Li8JB1s1TrQOnKpyQZRaaiTG1nKvzgZz0SgMzqnOjRxG_JSh0yQdwedfqIiomFdIW48SEd_SMYPLdRXoTGxLR2KTY1qwGSItOqTqbmj=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,9 am–2 pm,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:22.323Z,,
https://www.google.com/maps/place/Thrifty+Tire+Service+LLC/data=!4m7!3m6!1s0x89ace3a21211ff85:0x9ecb245fe61d0bb1!8m2!3d36.0282989!4d-78.8904111!16s%2Fg%2F1tk63_6q!19sChIJhf8REqLjrIkRsQsd5l8ky54,Thrifty Tire Service LLC,4.6,484,Tire shop,· In-store pick-up · Delivery,"2903 N Roxboro St, Durham, NC 27704, United States","24H5+8R Durham, North Carolina, USA",,+1 919-220-7800,"Open · Closes 5:30 pm

Updated by this business 5 weeks ago",Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwqoEK5ya5jkaDUIA1PHJ-6BWiNqsgwCmIto2Dbv90H7hMSkDrtw2VyvSs2IJU1_27yFIHOQwujw0jphbcilsDJYNtinIJMRU5L09i--Ri1toK1GZuoZJAIypro-QCn_cqo2jn=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:27.617Z,,
https://www.google.com/maps/place/Ingold+Tires/data=!4m7!3m6!1s0x89ace4102fcebe31:0x92f44e5e98534b21!8m2!3d35.997124!4d-78.915245!16s%2Fg%2F1tz76vn0!19sChIJMb7OLxDkrIkRIUtTmF5O9JI,Ingold Tires,4.7,228,Tire shop,· In-store pick-up,"1002 W Chapel Hill St, Durham, NC 27701, United States","X3WM+RW Durham, North Carolina, USA",https://www.ingoldtire.com/,+1 919-682-5461,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5Y_i0UGoi32WHI79ZIolxuAVtBS2dCshatBwJB0R-kRpipEmB6NU70vdqgUpJ_6iaELYzUcI1IQ9y_Beka5aKR2a65-2GA_2wthfO8vdCuDEVRiAJJrUd9vc_CbyiK_zdoFRa=w408-h541-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:32.660Z,,
https://www.google.com/maps/place/Tri-City+Auto+Care/data=!4m7!3m6!1s0x89ace3e6e31a8229:0x94329aa4012c3f65!8m2!3d36.0278212!4d-78.9213403!16s%2Fg%2F1tggvd1b!19sChIJKYIa4-bjrIkRZT8sAaSaMpQ,Tri-City Auto Care,4.8,481,Auto repair shop,,"1921 Garland St, Durham, NC 27705, United States","23HH+4F Durham, North Carolina, USA",https://tricityautocare.com/,+1 919-286-7600,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepq-afO05PfzhVi-vqKr8risyKQCZ768c1tRBkG41H1bLszKPHn3qfik6mLPQUJriICR6cvWGRkuBorPw4ynKdthjB2XgyD3v64bgoxF590GIi-uKAd1q_XiHCVJwh9TwuI4rk5=w426-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:38.176Z,,
https://www.google.com/maps/place/J+T+TIRE/data=!4m7!3m6!1s0x89ace336774d1873:0xec9e2c247c12dd80!8m2!3d36.0251596!4d-78.8452302!16s%2Fg%2F1th0z6v6!19sChIJcxhNdzbjrIkRgN0SfCQsnuw,J T TIRE,4.7,396,Tire shop,· In-store pick-up,"2202 E Geer St, Durham, NC 27704, United States","25G3+3W Durham, North Carolina, USA",https://www.facebook.com/jttiredurhamnc,+1 919-682-0057,Open · Closes 5:15 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweofikRxFpXXMydAxuUWsXXjUSQ-7WfhuCKFl-Iwm8dpvKxK6SUVsgqlfA3l9Il5Im1dkRdUBnyl5oeF6zRRngXwVFEXJMvru1UOHz0wdNVAtCmDyB4BUqFvsouNsiFe4OnpWMdk=w408-h725-k-no,true,9 am–5:15 pm,9 am–5:15 pm,9 am–5:15 pm,9 am–5:15 pm,9 am–5:15 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:43.522Z,,
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x89ace155ae8a5943:0x6f0ae0d32492f816!8m2!3d36.0130735!4d-78.9313066!16s%2Fg%2F126107nlw!19sChIJQ1mKrlXhrIkRFviSJNPgCm8,Mavis Tires & Brakes,4.6,904,Tire shop,· In-store pick-up,"2720 Hillsborough Rd, Durham, NC 27705, United States","2379+6F Durham, North Carolina, USA",https://www.mavis.com/locations/durham-hillsborough-rd-nc/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4301,+1 984-221-1992,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHwp1zAfsXq0Ux7-GgbK1s-johkiZIPoeC8JiCfAU4eYS7HejnW8em9VS5NFWlhxpSC-MyhX9Q4vMqNc1PCri7nLukkgb1ZB7Hy95H6ilx-Jn-eeF9LDGMwom9VwvttVK79Bg8=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:49.454Z,,
https://www.google.com/maps/place/Durham+Tires/data=!4m7!3m6!1s0x89ace3a20ed8ce63:0xba0cf80d5965d66d!8m2!3d36.0278661!4d-78.8902537!16s%2Fg%2F1tfqm7jh!19sChIJY87YDqLjrIkRbdZlWQ34DLo,Durham Tires,4.9,365,Tire shop,· In-store pick-up,"2839 N Roxboro St, Durham, NC 27704, United States","24H5+4V Durham, North Carolina, USA",https://durhamtire.com/,+1 919-220-8473,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMBRPQOX2IWpy0veNPXfogjvS4wyOTBSM7VvHPLWvQHH6fe7u1dLqCA_10-e-KXqwvxXMWh4eC7nQJWH6EI5dZM1_ZHleEvKBiFR5B9KNR3kjfbE1mr9Sno4sr0XHkJCHLk24=w424-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:50:55.084Z,,
https://www.google.com/maps/place/B+and+D+Tire/data=!4m7!3m6!1s0x89ace356b9ae44f3:0xb4e15a347176367d!8m2!3d36.0062964!4d-78.845366!16s%2Fg%2F1pp2tzt04!19sChIJ80SuuVbjrIkRfTZ2cTRa4bQ,B and D Tire,4.7,66,Tire shop,,"2645 Cheek Rd, Durham, NC 27704, United States","2543+GV Durham, North Carolina, USA",,,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXMKApt4rkkn8PLp4LRlpby02p9aEgIipyMjLXieq51SCMXYyQJQK3I7jZp1JU6CzwcFw3hLW5GEkbKKVcPjy2iz0fm1EadcvemXpS1h-6Zy9O6EDlDg7DcnjvNXiL5SWjpsS0=w408-h544-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:51:00.066Z,,
"https://www.google.com/maps/place/Black's+Tire/@36.0068278,-78.8700198,17z/data=!3m1!4b1!4m6!3m5!1s0x89ace3540e46964f:0xc979e8d8cef48569!8m2!3d36.0068278!4d-78.8700198!16s%2Fg%2F11hd__rx5n",Black's Tire,5.0,7,Auto repair shop,,"1400 E Geer St, Durham, NC 27704, United States","244H+PX Durham, North Carolina, USA",,+1 919-908-6347,Open · Closes 5:30 pm,,,false,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2026-03-23T14:51:06.952Z,,
