placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned,info
https://www.google.com/maps/place/Mister+Sparky%C2%AE+of+Huntsville/data=!4m7!3m6!1s0x88626af8ee661ea9:0xe57373c98701b9bb!8m2!3d34.7153748!4d-86.6109978!16s%2Fg%2F1tmklq45!19sChIJqR5m7vhqYogRu7kBh8lzc-U,Mister Sparky® of Huntsville,4.9,1465,Electrician,"2410 8th St SW, Huntsville, AL 35805, United States","P98Q+4J Huntsville, Alabama, USA",https://www.mistersparky.com/huntsville/,+1 256-380-5619,"Open 24 hours

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNoYe2ATr77G6wcRThVLn1TLs98SGfFGHpG6OMJ=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:30.581Z,,,
https://www.google.com/maps/place/Mr.+Electric+of+Huntsville/data=!4m7!3m6!1s0x88626c9151983cd9:0x6e19c741bbe9bcb5!8m2!3d34.7556558!4d-86.6736958!16s%2Fg%2F1vc_r2k2!19sChIJ2TyYUZFsYogRtbzpu0HHGW4,Mr. Electric of Huntsville,4.8,3054,Electrician,"3900 Cypressbrook Dr NW Ste B, Huntsville, AL 35806, United States","Q84G+7G Huntsville, Alabama, USA",https://mrelectric.com/huntsville/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 256-258-8753,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP6pnhBU3HrYgFdzoC5B3gT1sKLsTndSeZHQ3l3=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:36.088Z,,,
https://www.google.com/maps/place/Blake+Brothers+Services+Corporation/data=!4m7!3m6!1s0x88626b5915f1337f:0xda8e76b042c2c2a5!8m2!3d34.7513236!4d-86.5988845!16s%2Fg%2F1thgc5hm!19sChIJfzPxFVlrYogRpcLCQrB2jto,Blake Brothers Services Corporation,4.8,4601,HVAC contractor,"2007 N Memorial Pkwy Suite B, Huntsville, AL 35810, United States","QC22+GC Huntsville, Alabama, USA",https://blakebrothers.com/?utm_source=GMB&utm_medium=local&utm_campaign=huntsville-al,+1 256-346-1974,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNkCPr8euJhtmyicfLDVhsUcstei5Ra9T8_Xy7R=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:41.620Z,,,
https://www.google.com/maps/place/Services/data=!4m7!3m6!1s0x88626b921f8ca233:0x18d7b6fce035d363!8m2!3d34.7361453!4d-86.6164252!16s%2Fg%2F1tftxpmt!19sChIJM6KMH5JrYogRY9M14Py21xg,Services,4.7,88,Electrician,"1004 Oster Dr NW Ste 209, Huntsville, AL 35816, United States","P9PM+FC Huntsville, Alabama, USA",http://www.huntsvilleelectrical.com/,+1 256-533-5555,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMmgnre6i7D1aD-r6qacAsZYu8MQo0PhgnEzaSJ=w408-h306-k-no,true,Closed,Closed,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,Closed,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:46.359Z,,,
https://www.google.com/maps/place/Generator+Technology/data=!4m7!3m6!1s0x88626ee8d46e1119:0xce03019190140f8!8m2!3d34.7023157!4d-86.6896292!16s%2Fg%2F1td2hn3m!19sChIJGRFu1OhuYogR-EABGRkw4Aw,Generator Technology,5.0,1,Electrician,"7250 Governors W, Huntsville, AL 35806, United States","P826+W4 Huntsville, Alabama, USA",,+1 256-604-5884,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxoTx1RuSaIQAkPlJmsmgwKoAbslvGqRyq_8ft_qucPMcZSW9XaG_Isx3-Pfaxv62NSqZRmCJJ-RHekXmASi5SEnL9HeAT0SHRA6YW1HEOdgEmjI7bxJEaRbsqSBetYhgoMI49G=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:48.998Z,,,
"https://www.google.com/maps/place/Gen-Co,+Inc./data=!4m7!3m6!1s0x88626c8599f9d6b5:0xe6706413992571c0!8m2!3d34.7173221!4d-86.6138112!16s%2Fg%2F11s5p4g3nm!19sChIJtdb5mYVsYogRwHElmRNkcOY","Gen-Co, Inc.",,,Electric generator shop,"3500 8th Ave SW, Huntsville, AL 35805, United States","P98P+WF Huntsville, Alabama, USA",http://www.gen-coinc.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8572856878734702712,+1 256-319-0382,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMCR6lFG995hdQPO--Lu_s1jk9G8AoqJwHgc1fq=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:53.776Z,,,
https://www.google.com/maps/place/Current+Electrical+and+Generator+Services/data=!4m7!3m6!1s0x88627356036de3a3:0xcf111e024483c90c!8m2!3d34.5492729!4d-86.5854622!16s%2Fg%2F1tgpyycd!19sChIJo-NtA1ZzYogRDMmDRAIeEc8,Current Electrical and Generator Services,4.8,313,Electric generator shop,"GeneracSuperStore.com, 1068 Hwy 231, Laceys Spring, AL 35754, United States","GCX7+PR Laceys Spring, Huntsville, AL, USA",http://gensuperstore.com/,+1 256-888-9662,,https://lh3.googleusercontent.com/p/AF1QipPfxFJSCrtdUejRJMTgo6UqPSrYs_VF6SIMYF0Y=w408-h510-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:25:58.815Z,· In-store shopping · Delivery,,
"https://www.google.com/maps/place/Jomo%E2%80%99s+Power+Equipment,+Parts+%26+Service/data=!4m7!3m6!1s0x886214b5c182481f:0x7b932191d67f855!8m2!3d34.7467295!4d-86.5761413!16s%2Fg%2F1td0tmh9!19sChIJH0iCwbUUYogRVfhnHRkyuQc","Jomo’s Power Equipment, Parts & Service",4.2,174,Lawn mower store,"1018 Andrew Jackson Way NE, Huntsville, AL 35801, United States","PCWF+MG Huntsville, Alabama, USA",http://www.jomospe.com/,+1 256-536-7331,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOYYpR6-eSQHK_Wqfw9DO99Pnmmbz14zNkUld0n=w408-h306-k-no,true,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:26:03.727Z,· In-store pick-up · Delivery,,
"https://www.google.com/maps/place/Hiller+Plumbing,+Heating,+Cooling+%26+Electrical/data=!4m7!3m6!1s0x88626b67e2a98921:0xc56702d13b6cb424!8m2!3d34.7529633!4d-86.712422!16s%2Fg%2F1w97w34q!19sChIJIYmp4mdrYogRJLRsO9ECZ8U","Hiller Plumbing, Heating, Cooling & Electrical",4.9,3261,Plumber,"1891 Slaughter Rd, Madison, AL 35758, United States","Q73Q+52 Madison, Alabama, USA",https://happyhiller.com/locations/huntsville/?utm_source=gmb&utm_medium=localseo&utm_campaign=local&se_campaign=Internet-LocalSEO,+1 256-298-8821,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNfs6MVk9tvoPN6gMnwk5y6F1gMrJe-g1UuhI9-=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:26:08.783Z,,,
https://www.google.com/maps/place/Heritage+Generator+LLC/data=!4m7!3m6!1s0x8862675e75179a25:0xf42a1e85f7d51378!8m2!3d34.6881458!4d-86.7217208!16s%2Fg%2F11j47z9xyt!19sChIJJZoXdV5nYogReBPV94UeKvQ,Heritage Generator LLC,4.6,11,Electrician,"8097 Madison Blvd #105, Madison, AL 35758, United States","M7QH+78 Madison, Alabama, USA",https://heritagegenerator.com/,+1 256-808-3344,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPYFwLvmHwFP1OwS2wLhiN1eLLGp1DXuMXH4bji=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2026-01-10T23:26:13.530Z,,,
