placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/J+P+Electric/data=!4m7!3m6!1s0x808e6a7e9c9b8f85:0x46bd7a9ea20f709f!8m2!3d36.9613097!4d-122.0419197!16s%2Fg%2F1wbf_n20!19sChIJhY-bnH5qjoARn3APop56vUY,J P Electric,5.0,2,Electrician,"301 Younglove Ave, Santa Cruz, CA 95060, United States","XX65+G6 Santa Cruz, California, USA",,+1 831-535-9858,Open · Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i0IxzWFNE2DHe4JlaIayVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=214.01503&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:19.852Z,,,,
https://www.google.com/maps/place/Pleasure+Point+Electric/data=!4m7!3m6!1s0x808e153e5979f423:0x85e9ccc6752506f7!8m2!3d36.9641549!4d-121.9726039!16s%2Fg%2F11b5vt4jtt!19sChIJI_R5WT4VjoAR9wYldcbM6YU,Pleasure Point Electric,4.4,7,Electrician,"846 32nd Ave, Santa Cruz, CA 95062, United States","X27G+MX Santa Cruz, California, USA",http://www.pleasurepointelectric.com/,+1 831-331-9567,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipObl6GRURAC5WH6yOZXLxnzDpuqFncJD_WYbD1x=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:25.100Z,,,,
https://www.google.com/maps/place/Ridgeline+Electric/data=!4m7!3m6!1s0x44691abfd71259f1:0xe4ef9df5c8c88ef7!8m2!3d36.9818547!4d-121.9688123!16s%2Fg%2F11vx4rqpk8!19sChIJ8VkS178aaUQR947IyPWd7-Q,Ridgeline Electric,5.0,26,Electrician,"6996 Soquel Ave c, Santa Cruz, CA 95062, United States","X2JJ+PF Santa Cruz, California, USA",https://www.ridgelineelec.com/,+1 831-318-5881,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN-IUAlQ85pH38lZQ1eksbRy8GGSFlAwk5Pum73=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:30.514Z,,,,
https://www.google.com/maps/place/Alpha+Omega+Electric/data=!4m7!3m6!1s0x808e15ef75f473db:0xb2cd3317395b1aff!8m2!3d36.98315!4d-121.9811588!16s%2Fg%2F11fmv2nrw1!19sChIJ23P0de8VjoAR_xpbORczzbI,Alpha Omega Electric,4.9,112,Electrician,"2257 Juan Pablo Ln, Santa Cruz, CA 95062, United States","X2M9+7G Santa Cruz, California, USA",https://alphaomegaelectric.org/expert-electricians-in-santa-cruz-ca/,+1 831-282-6035,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPQzQer18z9ds-HYtst3XWcLD1uvzlpGAoOfKOx=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:35.675Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Sunrise+Electrical+Contracting/data=!4m7!3m6!1s0x9f84f06a933d3df:0xa64316fba8d2bf2!8m2!3d37.0528275!4d-121.949418!16s%2Fg%2F11s8xmsfp_!19sChIJ39MzqQZP-AkR8iuNum8xZAo,Sunrise Electrical Contracting,5.0,117,Electrician,,,https://sunriseelectricalcontracting.com/,+1 831-401-5105,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPSeovrCFt8LTxbtFNdcVldxFCTr6qiPZODiUcW=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:40.510Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/B+%26+B+Small+Engine+Repair/data=!4m7!3m6!1s0x808e3fe3361aeb0d:0x9f14981c295023dd!8m2!3d36.9878651!4d-121.9810537!16s%2Fg%2F1v1vdd__!19sChIJDesaNuM_joAR3SNQKRyYFJ8,B & B Small Engine Repair,4.9,91,Small engine repair service,"1700 Commercial Wy b, Santa Cruz, CA 95065, United States","X2Q9+4H Santa Cruz, California, USA",https://bandbsmallenginerepair.stihldealer.net/,+1 831-476-6306,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMY5elguMYD6AHWXXys6pj0qGhYqwvgHxhUBE_E=w427-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:45.384Z,,,,
https://www.google.com/maps/place/Electrician%27s+Precision+Pros/data=!4m7!3m6!1s0x808e401c0c4e6b69:0x83d98d394ed4bcde!8m2!3d36.9774107!4d-122.0263302!16s%2Fg%2F1vzqsh96!19sChIJaWtODBxAjoAR3rzUTjmN2YM,Electrician's Precision Pros,5.0,9,Electrician,"125 Knight St, Santa Cruz, CA 95060, United States","XXGF+XF Santa Cruz, California, USA",,+1 831-231-7014,"Open · Closes 7 pm

Confirmed by this business 2 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZQnLhw6DfryiVGq_wjCz0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.179295&pitch=0&thumbfov=100,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:50.223Z,,,,
https://www.google.com/maps/place/Roemke+Electric/data=!4m7!3m6!1s0x808e155fe1d54741:0x355500946a8aabe8!8m2!3d37.26444!4d-121.8981775!16s%2Fg%2F1vfn6wrg!19sChIJQUfV4V8VjoAR6KuKapQAVTU,Roemke Electric,5.0,8,Electrician,,,http://roemkeelectric.com/,+1 831-247-1700,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipPhMNp_8VXXfKB9avyENJBp3ObaEY_scB_DIyb2=w408-h306-k-no,true,8 am–8 pm,9 am–3 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:55.230Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Current+Electric/data=!4m7!3m6!1s0x808e154235141655:0x4c23844523e6cc37!8m2!3d36.9732612!4d-121.9727622!16s%2Fg%2F1th1cz36!19sChIJVRYUNUIVjoARN8zmI0WEI0w,Current Electric,5.0,2,Electrician,"3031 Childers Ln, Santa Cruz, CA 95062, United States","X2FG+8V Santa Cruz, California, USA",,,Open · Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M7RMHI8elNNz_PQThCGNuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.55704&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:48:59.924Z,,,,
"https://www.google.com/maps/place/Bellows+Plumbing,+Heating,+Cooling+%26+Electrical/data=!4m7!3m6!1s0x808e1560c8a374d9:0x7dea71225493bc4b!8m2!3d36.9834769!4d-121.9685513!16s%2Fg%2F1thd20lw!19sChIJ2XSjyGAVjoARS7yTVCJx6n0","Bellows Plumbing, Heating, Cooling & Electrical",4.8,1409,Heating contractor,"2652 Research Park Dr, Soquel, CA 95073, United States","X2MJ+9H Soquel, California, USA",https://www.bellowsservice.com/santa-cruz-monterey-county/?utm_source=gmb&utm_medium=organic&utm_campaign=soquel,+1 831-249-9916,"Open 24 hours

Confirmed by phone call 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOiEVvTt9c-64tlC_HPqMzH8Qw6t9JESZkRdmpF=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-01-10T21:49:04.828Z,,,,
