placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Circle+Generator+Services/data=!4m7!3m6!1s0x88d90087db2df39d:0xd8cb186f6dea0ab4!8m2!3d26.0920829!4d-80.1449254!16s%2Fg%2F1v6l88nx!19sChIJnfMt24cA2YgRtArqbW8Yy9g,Circle Generator Services,3.8,12,Electric generator shop,"2415 SW 3rd Ave, Fort Lauderdale, FL 33315, United States","3VR4+R2 Fort Lauderdale, Florida, USA",https://www.circlegenerators.com/,+1 954-767-8331,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yETd0nHLD8aaYkj5cGa06A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.7682&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:14:59.628Z,,,,
"https://www.google.com/maps/place/KPB+Services+Company+International,+Inc./data=!4m7!3m6!1s0x88d90199fa1d9017:0xcfd5f7e07cdf51be!8m2!3d26.1563003!4d-80.1324958!16s%2Fg%2F1vfwdnj7!19sChIJF5Ad-pkB2YgRvlHffOD31c8","KPB Services Company International, Inc.",4.5,36,Electric generator shop,"2117 N Dixie Hwy, Fort Lauderdale, FL 33305, United States","5V49+G2 Fort Lauderdale, Florida, USA",https://kpbgenerators.com/?utm_source=omg-gbp&utm_medium=webclick,+1 954-566-6898,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP3ABmhjgSngk-JgvIqDXNnqbC_0LAIoYimVgXs=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:04.985Z,· In-store shopping · Delivery,,,
https://www.google.com/maps/place/Reliable+Power+Systems/data=!4m7!3m6!1s0x88d8e1f8468ed291:0x4346e444f16f194e!8m2!3d26.303288!4d-80.1501793!16s%2Fg%2F1tfg3wvw!19sChIJkdKORvjh2IgRThlv8UTkRkM,Reliable Power Systems,4.7,2672,Electrician,"3400 SW 10th St, Deerfield Beach, FL 33442, United States","8R3X+8W Deerfield Beach, Florida, USA",https://myreliablepower.com/,+1 561-757-4404,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN76biT04t0Wvt_y0n5TC--ZkCRav5ijRrW_U4l=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:10.495Z,,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Broward/data=!4m7!3m6!1s0x88d9ab7f9466f0a7:0x9906690264a48105!8m2!3d26.0398467!4d-80.1673351!16s%2Fg%2F11g22_hw2n!19sChIJp_BmlH-r2YgRBYGkZAJpBpk,Generator Supercenter of Broward,4.9,316,Electric generator shop,"3011 Greene St., Hollywood, FL 33020, United States","2RQM+W3 Hollywood, Florida, USA",https://generatorsupercenterofbroward.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Hollywood,+1 305-930-7763,"Closed · Opens 9 am Mon

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOuJ38_illGoI1z94K42Di1hkUzmjHjxIX2Lkc8=w408-h340-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:15.335Z,· Delivery,,,
https://www.google.com/maps/place/BSA+Power+Solutions/data=!4m7!3m6!1s0x88d903972a42e217:0x1212b46fcdb3b70f!8m2!3d26.1919104!4d-80.1579908!16s%2Fg%2F1tkp0l32!19sChIJF-JCKpcD2YgRD7ezzW-0EhI,BSA Power Solutions,5.0,7,Electrician,"1068 NW 53rd St, Fort Lauderdale, FL 33309, United States","5RRR+QR Fort Lauderdale, Florida, USA",http://www.bsapowersolutions.com/,+1 954-424-0998,Closed · Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FXVXOd4I0-PEY6PFtLUgSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.5015&pitch=0&thumbfov=100,true,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:20.127Z,,,,
https://www.google.com/maps/place/EMPOWER+GENERATORS+INC./data=!4m7!3m6!1s0x88d9aa50d3c263d5:0xabbd1ee47e216253!8m2!3d26.044566!4d-80.1486459!16s%2Fg%2F1tf325h9!19sChIJ1WPC01Cq2YgRU2IhfuQevas,EMPOWER GENERATORS INC.,4.8,84,Electric generator shop,"364 SW 4th Ct, Dania Beach, FL 33004, United States","2VV2+RG Dania Beach, Florida, USA",https://www.empowergenerators.com/,+1 954-922-3800,"Closed · Opens 8:30 am Mon

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxi3iXwGPiuaQB8J2jItr3gQ-2suWe0lsRXVL1E3-oL7-_LbuC9p9w8SsztcIbBuL5FPmvBnMfVyxW27Lc5qfCgAzNu99wgcOLmJ7KGjMdMQAZ7jY6KFB1Ak2Pl3Xi1el47dhW6=w408-h907-k-no,true,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:24.955Z,· Delivery,,,
https://www.google.com/maps/place/Boat+Energy+LLC/data=!4m7!3m6!1s0x88d903c846ca9b99:0xb0cd90a55bc1416!8m2!3d26.197228!4d-80.1522709!16s%2Fg%2F11c3n2vpv8!19sChIJmZvKRsgD2YgRFhS8VQrZDAs,Boat Energy LLC,4.9,132,Electric generator shop,"714 NW 57th St, Fort Lauderdale, FL 33309, United States","5RWX+V3 Fort Lauderdale, Florida, USA",http://www.boatenergy.com/,+1 954-501-2628,Closed · Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfnpldXW8kOKxQ9-OaT2pIgng3jcPxhOppQJwhBXefr-NBnOYDClq90THK8BqUC3prikT8qiLZdySmefCemRr0FGnoS6ZgZ_3wlL0SKSv4LQUlau9O2lR_So-0mwq_nF5QxBYnnjRb6lI=w408-h544-k-no,true,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:29.933Z,· Delivery,,,
https://www.google.com/maps/place/Don+Hillman+Inc/data=!4m7!3m6!1s0x88d90098cf06afdf:0x2f1c79a2b8c6b618!8m2!3d26.0893667!4d-80.1631165!16s%2Fg%2F1tf82d88!19sChIJ368Gz5gA2YgRGLbGuKJ5HC8,Don Hillman Inc,4.4,42,Electric generator shop,"1714 W State Rd 84, Fort Lauderdale, FL 33315, United States","3RQP+PQ Fort Lauderdale, Florida, USA",http://www.donhillmaninc.com/,+1 954-467-6755,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwsCYX2Y7c91gWe1gh9CkGVmJROJ2sVckVfo5kNenCHiArIOXMZIS_y5lvREioaP_nG5rkjhjB4FVrzkU9blrFsqNm5lSfUOtkqXthIWhQol4NksxH34OZoyrfm8oTKQbEoBfew=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:34.967Z,· In-store pick-up,,,
"https://www.google.com/maps/place/Fort+Lauderdale+Generator+Installation/@26.199228,-80.1862295,11z/data=!3m1!4b1!4m6!3m5!1s0x84afdb56643da537:0x54752557c06d4c86!8m2!3d26.199228!4d-80.1862295!16s%2Fg%2F11q403p8fk",Fort Lauderdale Generator Installation,,,Electrician,,,,+1 954-787-6297,Closed · Opens 8 am Mon,,true,12–4 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,10 am–4:30 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:41.549Z,,,,
https://www.google.com/maps/place/R+Electric+LLC/data=!4m7!3m6!1s0x88d903ee33adbd09:0xf373d1279a31baad!8m2!3d26.6102904!4d-80.4301795!16s%2Fg%2F11kk06f5j2!19sChIJCb2tM-4D2YgRrboxmifRc_M,R Electric LLC,5.0,13,Electrician,,,https://www.relectricllc.com/,+1 954-955-2674,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMq-KGZSnmLr1ih9wfjUrfWWNfu1QgjGW8mnKfS=w408-h306-k-no,true,8 am–2 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/generator+installation+services+in+Central+Beach+Fort+Lauderdale+FL/,2026-01-10T22:15:46.364Z,,,,
