placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,error
https://www.google.com/maps/place/Penn+Home+Infusion+Therapy/data=!4m7!3m6!1s0x89c624a62f08c57b:0x8dfa1ec53ab4ab89!8m2!3d40.0534281!4d-76.2823189!16s%2Fg%2F1tdm98gr!19sChIJe8UIL6YkxokRiau0OsUe-o0,Penn Home Infusion Therapy,2.8,20,Pharmacy,· Delivery,"1070 New Holland Ave, Lancaster, PA 17601, United States","3P39+93 Lancaster, Pennsylvania, USA",https://www.pennmedicine.org/for-patients-and-visitors/find-a-program-or-service/penn-medicine-at-home/home-infusion-therapy,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-L7tvueA9XiqHYBrBS_Zkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.4652&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:24.180Z,,,,,,,,,,
https://www.google.com/maps/place/Lancaster+Cancer+Center+Ltd/data=!4m7!3m6!1s0x89c63b5e48580b5f:0x8d04da7096a7a0c9!8m2!3d40.0257135!4d-76.2656047!16s%2Fg%2F1tf4f_2c!19sChIJXwtYSF47xokRyaCnlnDaBI0,Lancaster Cancer Center Ltd,4.4,25,Hospital,,"703 Lampeter Rd, Lancaster, PA 17602, United States","2PGM+7Q Lancaster, Pennsylvania, USA",http://www.lancastercancercenter.com/,+1 717-291-1313,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPG-FeDj99UfaAuMnfFApjtdwJ2Ocxvruydz2C7=w408-h293-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:29.767Z,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–1:30 pm,Closed,,,
https://www.google.com/maps/place/Penn+Medicine+Lancaster+General+Health+-+Suburban+Pavilion/data=!4m7!3m6!1s0x89c62407bf01d5d9:0xfe6be8c1421a3c99!8m2!3d40.0653991!4d-76.3548789!16s%2Fg%2F1wj_v6pl!19sChIJ2dUBvwckxokRmTwaQsHoa_4,Penn Medicine Lancaster General Health - Suburban Pavilion,4.0,15,Medical Center,,"2100 Harrisburg Pike, Lancaster, PA 17601, United States","3J8W+52 Lancaster, Pennsylvania, USA",https://www.lancastergeneralhealth.org/patient-and-visitor-information/find-a-location/suburban-pavilion,+1 717-544-3000,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQ20_WCrikJ9FI2VwUg2ww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.02647&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:35.240Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Lancaster+General+Health+Downtown+Pavilion/data=!4m7!3m6!1s0x89c62491fb54d35d:0x1b7404a912d79e30!8m2!3d40.0472858!4d-76.3060547!16s%2Fg%2F1tff3_13!19sChIJXdNU-5EkxokRMJ7XEqkEdBs,Lancaster General Health Downtown Pavilion,4.2,49,Medical clinic,,"540 N Duke St, Lancaster, PA 17602, United States","2MWV+WH Lancaster, Pennsylvania, USA",https://www.pennmedicine.org/Locations/Multispecialty-location/LG-Health-Downtown-Pavilion?y_source=1_ODM2OTc0NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 717-544-2300,"Closes soon ⋅ 9 pm ⋅ Opens 6 am Mon

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMYbERGAPvQVNbmq4hEn646Gyrwk5ucDK9y-i4-=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:40.071Z,9 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,,,
https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x89c6269dfc7a1e9f:0xb983b4ba3b6f66af!8m2!3d40.0428914!4d-76.3642291!16s%2Fg%2F11f3zvcyq2!19sChIJnx56_J0mxokRr2ZvO7q0g7k,Restore Hyper Wellness,5.0,740,Medical spa,,"Lime Spring Square, 100 Rohrerstown Rd Building 6, Suite A, Lancaster, PA 17603, United States","2JVP+58 Lancaster, Pennsylvania, USA",https://www.restore.com/locations/pa-lancaster-pa001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk5MDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 717-490-6211,"Closed ⋅ Opens 10 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipONm8QQepWxZzj17S1D20ITdKDVkdqQjjF8MHhc=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:45.124Z,12–4 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,9 am–5 pm,,,
https://www.google.com/maps/place/Lancaster+Ketamine+Institute/data=!4m7!3m6!1s0x89c623e9dce4c60b:0xbe3ac2865c115420!8m2!3d40.0660719!4d-76.3011089!16s%2Fg%2F11tg7282cd!19sChIJC8bk3OkjxokRIFQRXIbCOr4,Lancaster Ketamine Institute,4.2,9,Mental health service,,"1689 Crown Ave UNIT 2, Lancaster, PA 17601, United States","3M8X+CH Lancaster, Pennsylvania, USA",https://www.lancasterketamineinstitute.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6182765590708513686,+1 717-553-0530,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNFlE8PmGKaf_fACnZDOdvDETNpfZyB9QpSBrII=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:50.237Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,LGBTQ+ friendly,,
https://www.google.com/maps/place/Penn+Medicine+Lancaster+General+Health+Cancer+Specialists/data=!4m7!3m6!1s0x89c6255869041acf:0xfe90d2ac12e2f647!8m2!3d40.0645371!4d-76.3550409!16s%2Fg%2F11scgjg6_z!19sChIJzxoEaVglxokRR_biEqzSkP4,Penn Medicine Lancaster General Health Cancer Specialists,,,Medical clinic,,"Ann B. Barshinger Cancer Institute, 2102 Harrisburg Pike, Lancaster, PA 17601, United States","3J7V+RX Lancaster, Pennsylvania, USA",https://www.pennmedicine.org/practices/lancaster-general-health-cancer-specialists?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=lancaster-general-health-cancer-specialists&y_source=1_NjU5MjA5NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 717-544-9400,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T2U6gXWuwQnvyXsxi-HP5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.41884&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:53.090Z,,,,,,,,,,
https://www.google.com/maps/place/Ann+B.+Barshinger+Cancer+Institute/data=!4m7!3m6!1s0x89c62407ed987735:0x431ace47aab70156!8m2!3d40.0650912!4d-76.3550985!16s%2Fg%2F1tx_79dq!19sChIJNXeY7QckxokRVgG3qkfOGkM,Ann B. Barshinger Cancer Institute,4.3,53,Cancer treatment center,,"2102 Harrisburg Pike, Lancaster, PA 17601, United States","3J8V+2X Lancaster, Pennsylvania, USA",https://www.lancastergeneralhealth.org/patient-and-visitor-information/find-a-location/ann-b-barshinger-cancer-institute?y_source=1_ODM2OTc0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 717-544-9400,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN49FtaSMNhectLDquEjMGFp8p2IlwtS5hVPcek=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:35:58.072Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,,,
https://www.google.com/maps/place/Nuestra+Clinica+Rehabilitacion/data=!4m7!3m6!1s0x89c6248e2846aaab:0x9da483b6191f206f!8m2!3d40.0489291!4d-76.3059459!16s%2Fg%2F11fll61qqy!19sChIJq6pGKI4kxokRbyAfGbaDpJ0,Nuestra Clinica Rehabilitacion,4.3,6,Mental health clinic,,"50 E New St, Lancaster, PA 17602, United States","2MXV+HJ Lancaster, Pennsylvania, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9EKJN_IPzKWex6HB78G3fg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.60617&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:36:03.027Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Dermatology+Physicians+Laser+%26+Skincare+Center/data=!4m7!3m6!1s0x89c623f8835bb4d7:0xa24dbaadf8b874bb!8m2!3d40.0651722!4d-76.3041492!16s%2Fg%2F1tqp_5vk!19sChIJ17Rbg_gjxokRu3S4-K26TaI,Dermatology Physicians Laser & Skincare Center,4.8,1802,Dermatologist,,"1613 Oregon Pike, Lancaster, PA 17601, United States","3M8W+38 Lancaster, Pennsylvania, USA",http://dermphys.com/,+1 717-807-7294,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 3 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=72vveuTCq4DXQBtXwj8qAg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.79707&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2025-09-29T00:36:07.965Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,LGBTQ+ friendly,,
