placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Water+Pro+Inc/data=!4m7!3m6!1s0x886c676333c9f433:0x1277101727b2b8d5!8m2!3d39.1725312!4d-86.5538732!16s%2Fg%2F11vz6d26cn!19sChIJM_TJM2NnbIgR1biyJxcQdxI,Water Pro Inc,5.0,36,Water damage restoration service,"1820 Fountain Dr, Bloomington, IN 47404, United States","5CFW+2F Bloomington, Indiana, USA",https://www.water-pro-inc.com/,+1 812-936-4230,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweou733q3gVxTYxvL_o1WmNLkRpQ57CLscKI6wagB2qBjtKg2-XYDhx0GSSw6ufeJcyTduSFmRMiz-EOLYoGxTPs4j_xVJLsYXj81pXlaqc7rNb5wofKwOhirobmncSVApqIrJ4E=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:32:47.809Z,,,
https://www.google.com/maps/place/Hays+%2B+Sons/data=!4m7!3m6!1s0x886ba04a8bfe4fff:0x4760c1c426acf152!8m2!3d39.19816!4d-86.5555821!16s%2Fg%2F11hd1y4hc0!19sChIJ_0_-i0qga4gRUvGsJsTBYEc,Hays + Sons,4.9,82,Water damage restoration service,"3131 N Westbury Village Dr Suite 2, Bloomington, IN 47404, United States","5CXV+7Q Bloomington, Indiana, USA",https://www.haysandsons.com/water-damage-restoration-bloomington-indiana-about-us?utm_channel=organic&utm_source=GoogleMyBusiness&utm_content=Bloomington,+1 812-269-1422,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerT6YbHZQWpGI6qk74PSDJALcKB7ouk1nXQJkaPjZjF0TE2mHQg4-qcovmLXHKTxet6REakyBQsvPkJGfEtfeOnJeeHDf6FLX4uX5WjaKxl5BKXU33Y_zqidK2cfli0Q_9vpAkl=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:32:52.443Z,,,
https://www.google.com/maps/place/ServiceMaster+Disaster+Response+and+Cleaning+Services/data=!4m7!3m6!1s0x886c67397e7cce71:0xf1042b9abce7b3c2!8m2!3d39.1738027!4d-86.5577152!16s%2Fg%2F1thk9h7t!19sChIJcc58fjlnbIgRwrPnvJorBPE,ServiceMaster Disaster Response and Cleaning Services,5.0,186,Water damage restoration service,"2049 Fountain Dr, Bloomington, IN 47404, United States","5CFR+GW Bloomington, Indiana, USA",http://www.servicemasterrestore.com/servicemaster-restoration-and-cleaning-services-bloomington,+1 812-393-2329,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8JLlvhY46mjUmUN1977akMWisv_-JqVVwUKZSI1CsebhQRiEPzsQ5fBcqcEa6gyOST8gR_j9bPpn28UBtOaJe5c2fP_2sAIfobVz1bMNHUYJywB8cL2e_DmDA6UBCznLVl6KTqmy06z7J=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:32:57.245Z,,,
https://www.google.com/maps/place/Core+Restoration/data=!4m7!3m6!1s0x886c675e8aa29515:0x3ed46196e6d36ac9!8m2!3d39.1056023!4d-86.5479688!16s%2Fg%2F11t9x1gnkv!19sChIJFZWiil5nbIgRyWrT5pZh1D4,Core Restoration,4.7,55,Water damage restoration service,"1245 W Old Capitol Pike, Bloomington, IN 47403, United States","4F42+6R Bloomington, Indiana, USA",http://www.corerestoration.com/,+1 812-824-2673,"Open 24 hours

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrWaW09ps9dmcNZwhEJRgo3kaRcwQLLF8dUJfBOFbF1wZAvIp2gg4bfNBgmf2nEkHd0-DYy439Tly1yGgtbwQJnpSdD_uhza0AMYMIozREar_mfCXcBGr88dRBhSHCAG7MzvUbHqUj2jQO=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:01.624Z,,,
https://www.google.com/maps/place/Stanley+Steemer/data=!4m7!3m6!1s0x886c5d805bfabccb:0xbfc00f45f80e010b!8m2!3d39.1502823!4d-86.5816051!16s%2Fg%2F1tfvhz1t!19sChIJy7z6W4BdbIgRCwEO-EUPwL8,Stanley Steemer,4.9,1001,Carpet cleaning service,"3915 Farmer Ave, Bloomington, IN 47403, United States","5C29+49 Bloomington, Indiana, USA",https://www.stanleysteemer.com/locations/IN/Bloomington/880,+1 812-336-7800,Opens soon · 12 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweog2pTf0URAIxIfh4mioL_RrWUyiPocUOzebRFd9aX-FDFeza2ht7B6rqSvoRD2oPDJRJDT_UBHS_vN4WmTHept1lNyPf9ikrtooC9fYTRX-jIRGKqYUjtSvicb9jcg1eZTAs4=w426-h240-k-no,true,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:06.087Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Harris+Services/data=!4m7!3m6!1s0x886c662d34be2d63:0x92f3b6584e91e667!8m2!3d39.1024933!4d-86.5497196!16s%2Fg%2F1tcylsrh!19sChIJYy2-NC1mbIgRZ-aRTli285I,Harris Services,4.5,116,Water damage restoration service,"5123 S Production Dr C, Bloomington, IN 47403, United States","4F22+X4 Bloomington, Indiana, USA",https://www.callharrisservices.com/,+1 812-366-1149,"Open 24 hours

Confirmed by phone call 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2Y0BuVVUslj3TuG-Vd0F5Tg0rogInkXMX6PquPMGIZQtkkAZnZCPzueWP_2-_huZ4kBnJgKXAnyaxVVR4uJmcAWDxKrhJRhqWcOOGo4WAR5CcgcMNubiXLetM5aLByW664Oxv-w=w408-h342-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:10.903Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/STOP+Restoration/data=!4m7!3m6!1s0x886c66dd95160bbf:0xf17af6d2ed1ed699!8m2!3d39.1662869!4d-86.534238!16s%2Fg%2F1tcxkhyh!19sChIJvwsWld1mbIgRmdYe7dL2evE,STOP Restoration,,,Water damage restoration service,"101 W Kirkwood Ave # 211, Bloomington, IN 47404, United States","5F88+G8 Bloomington, Indiana, USA",http://stoprestoration.com/,+1 800-452-8326 ext. 7,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YxQDV3JEiSvbxnbe0wgf6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.4534&pitch=0&thumbfov=100,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:15.401Z,,,
https://www.google.com/maps/place/Bloom+Environmental/data=!4m7!3m6!1s0x886c662603f02171:0x163927150384812d!8m2!3d39.19816!4d-86.5555821!16s%2Fg%2F11cm2b1b8t!19sChIJcSHwAyZmbIgRLYGEAxUnORY,Bloom Environmental,4.8,28,Waterproofing service,"3131 N Westbury Village Dr Suite 1, Bloomington, IN 47404, United States","5CXV+7Q Bloomington, Indiana, USA",http://www.bloomenviro.com/,+1 812-327-1127,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqkLobfOOMHPsZlphZT7lFJZ4IPaGFuF9ynugIWZKDqBK5JyDqn1WS6vANSxowGEjfqpaJL2EwFmO3isKEQWu6b0iIooORbEqXawTMVuf9Q85bTVCX3UBDTarU7SpsPU7iut4=w426-h240-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:19.981Z,,,
https://www.google.com/maps/place/Ross+Mold+Remediation/data=!4m7!3m6!1s0xad9eec4139e1de03:0x96e41ef4a600a7bc!8m2!3d39.1254303!4d-86.5308334!16s%2Fg%2F11syc_867l!19sChIJA97hOUHsnq0RvKcApvQe5JY,Ross Mold Remediation,4.2,5,Water damage restoration service,"3377 S Walnut St, Bloomington, IN 47401, United States","4FG9+5M Bloomington, Indiana, USA",,+1 812-441-0460,Opens soon · 12 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dFH43L8v2-Muw-GmykvBKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=63.827103&pitch=0&thumbfov=100,true,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:24.497Z,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x886c673b93601d23:0x9dbcd26c355a82aa!8m2!3d39.189!4d-86.601308!16s%2Fg%2F1td5xxfg!19sChIJIx1gkztnbIgRqoJaNWzSvJ0,Roto-Rooter Plumbing & Water Cleanup,4.8,468,Plumber,"2110 N Angelina Ln, Bloomington, IN 47404, United States","59QX+HF Bloomington, Indiana, USA",https://www.rotorooter.com/bloomingtonin/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 812-650-0853,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQZHqhuN2itOB87HVx8vM7seN7dd-wagz1sX7QECESr-bsrjeCl_8MWBqbdd4bhFuNqtaaKV1HVWemimYjX2piexxj6kqqZ2ZY5TiUMO91tmkrV52c9dzmXz7W5-qR_SCWUqKkMlN1PS4=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2026-03-23T03:33:29.073Z,LGBTQ+ friendly,,
