placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Anytime+Garage+Doors/data=!4m7!3m6!1s0x87e2369cb5e9fea7:0xfcc677b34171a083!8m2!3d41.556001!4d-90.5693692!16s%2Fg%2F11f2wczcr9!19sChIJp_7ptZw24ocRg6BxQbN3xvw,Anytime Garage Doors,4.6,99,Garage door supplier,"3546 N Brady St Unit #3, Davenport, IA 52806, United States","HC4J+C7 Davenport, Iowa, USA",http://www.garagedoorrepairdavenport.com/,+1 563-424-6666,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipN9dG0L6kh8wALOFalqi32eCG-wfHPSllVWelU=w408-h284-k-no,true,7 am–7 pm,7 am–7 pm,9 am–5 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:00.265Z,,,,
https://www.google.com/maps/place/74+Garage+Door/data=!4m7!3m6!1s0x87e3cb3968db720d:0xc870602c969b6f02!8m2!3d41.5351383!4d-90.5967711!16s%2Fg%2F11h0b864qr!19sChIJDXLbaDnL44cRAm-blixgcMg,74 Garage Door,5.0,104,Garage door supplier,"1510 Washington St, Davenport, IA 52804, United States","GCP3+37 Davenport, Iowa, USA",https://74garagedoorco.com/,+1 563-340-7933,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPYO4ErPofU3jnBI5tJqHC7NiTkg5P7m5B6f1e6=w408-h408-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:06.207Z,,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Davenport/data=!4m7!3m6!1s0x87e3b5562fc3bfad:0x673b2c662577524c!8m2!3d41.6052157!4d-90.6293567!16s%2Fg%2F11yj7595t_!19sChIJrb_DL1a144cRTFJ3JWYsO2c,Precision Garage Door Service of Davenport,4.9,10,Garage door supplier,"8450 N Fairmount St Ste 106, Davenport, IA 52806, United States","J94C+37 Davenport, Iowa, USA",https://precisiondoorquadcities.com/?utm_source=gmb&utm_medium=location_davenport&utm_campaign=website,+1 563-202-1030,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipPDIW9_oG4ICPvCg0Efz8f5xhL6HMbcbHQLmH0W=w408-h307-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:11.450Z,,,,
https://www.google.com/maps/place/Barron+Equipment+and+Overhead+Doors/data=!4m7!3m6!1s0x87e235a13ea8d629:0xb9bf0ee31f9c6538!8m2!3d41.569131!4d-90.5694584!16s%2Fg%2F1tgq75y_!19sChIJKdaoPqE14ocROGWcH-MOv7k,Barron Equipment and Overhead Doors,4.8,237,Door supplier,"4710 N Brady St, Davenport, IA 52806, United States","HC9J+M6 Davenport, Iowa, USA",http://www.barroneq.com/,+1 563-391-1052,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNqQ-NXXckFUu-N-A6BzOfpsoLQjsETQgN1FpKM=w426-h240-k-no,true,7:30 am–4 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:16.268Z,,,,
"https://www.google.com/maps/place/Raynor+Door+Co.,+Inc.+of+the+Quad+Cities/data=!4m7!3m6!1s0x87e3c96645c375df:0xa39f0e296f9fbd71!8m2!3d41.5425682!4d-90.6839599!16s%2Fg%2F1tfgkc8s!19sChIJ33XDRWbJ44cRcb2fbykOn6M","Raynor Door Co., Inc. of the Quad Cities",4.7,219,Garage door supplier,"2370 West. Lake Blvd, Davenport, IA 52804, United States","G8V8+2C Davenport, Iowa, USA",http://www.raynorqc.com/,+1 563-391-9566,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1RmAXkAB6UnxwQopUjKVSjMy8SYZw0u8650HxUr1ct-gNP6kp3V2dRaJqRLMm0-rJECejOvMzAD_BsgG6D49KjSRBRglzwoPhd6076KlglkRgaaMcSxftDhLpOPucSzf0kWcO=w408-h544-k-no,true,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:21.182Z,,,,
https://www.google.com/maps/place/Eastern+Iowa+Overhead+Door/data=!4m7!3m6!1s0x87e3034ead0fffff:0x4d34cf2f1f9d8b3d!8m2!3d41.5539942!4d-90.4472918!16s%2Fg%2F11hcw4rc6f!19sChIJ__8PrU4D44cRPYudHy_PNE0,Eastern Iowa Overhead Door,4.9,115,Garage door supplier,"3259 Moencks Ct, Bettendorf, IA 52722, United States","HH33+H3 Bettendorf, Iowa, USA",https://easterniowadoors.com/,+1 563-386-4100,,https://lh3.googleusercontent.com/p/AF1QipOdRKiiHppMtlSA9C7w1nVQR-hxJC7eLN-W2MpQ=w408-h312-k-no,true,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:26.210Z,,,,
https://www.google.com/maps/place/Wayne+Dalton+Sales+%26+Service+of+Quad+Cities/data=!4m7!3m6!1s0x87e235a6e525a59d:0x75a8fcccdac6f955!8m2!3d41.5731335!4d-90.5604164!16s%2Fg%2F12ml2mnqs!19sChIJnaUl5aY14ocRVfnG2sz8qHU,Wayne Dalton Sales & Service of Quad Cities,4.8,118,Garage door supplier,"5111 Tremont Ave Building 2, Davenport, IA 52807, United States","HCFQ+7R Davenport, Iowa, USA",https://www.wayne-dalton.com/quad-cities,+1 563-293-5674,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipN0vN4JkIEtICshL3qXEcn4sEDdibvL5Ont3T3P=w408-h270-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:31.056Z,,,,
https://www.google.com/maps/place/Pete%27s+Garage+Doors+QC/data=!4m7!3m6!1s0x208a3bd75a35a1ab:0x43567e0629487cbb!8m2!3d41.562025!4d-90.505165!16s%2Fg%2F11vkp4f8mt!19sChIJq6E1Wtc7iiARu3xIKQZ-VkM,Pete's Garage Doors QC,4.9,38,Garage door supplier,"1935 Bristol Dr, Bettendorf, IA 52722, United States","HF6V+RW Bettendorf, Iowa, USA",https://petesgaragedoorsqc.com/,+1 563-349-3170,Closed ⋅ Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8SnzfW3dbqHX754u5zVGmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.16583&pitch=0&thumbfov=100,true,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:36.564Z,,,,
https://www.google.com/maps/place/American+Industrial+Door+Company/data=!4m7!3m6!1s0x87e23484b0605873:0xa976d1e3a40dd861!8m2!3d41.526554!4d-90.5723283!16s%2Fg%2F1tjfhd6t!19sChIJc1hgsIQ04ocRYdgNpOPRdqk,American Industrial Door Company,4.8,12,Door supplier,"629 N Perry St, Davenport, IA 52803, United States","GCGH+J3 Davenport, Iowa, USA",http://www.aidoors.com/,+1 563-326-2463,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipO0OjJwqhLawPxd50MOjs2NXRY4rbySmoG6jkiS=w426-h240-k-no,true,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:41.453Z,,,,
https://www.google.com/maps/place/Midwest+Door+Specialists/data=!4m7!3m6!1s0x87e3caa58ab9c0df:0x9eee8ae269fd76cd!8m2!3d41.5932786!4d-90.6109273!16s%2Fg%2F1vq9mv95!19sChIJ38C5iqXK44cRzXb9aeKK7p4,Midwest Door Specialists,5.0,1,Door supplier,"7201 Northwest Blvd STE 1, Davenport, IA 52806, United States","H9VQ+8J Davenport, Iowa, USA",http://midwestdoor.chiohd.com/,+1 563-391-2287,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy9uhJBdIhn_bF6c5mswJwsokr0yYilnDzT8fMUWEJwxBd-ttvX3MNmoQVKy609oeVTi9oxlcTZWVTpIp-lSPVEO35PIHGKwc3a4YMPuPy-ffe8h_AFYTt45JgTr7QuinpA8tXC=w408-h257-k-no,false,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-11-07T23:01:46.290Z,,,,
