placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,attributes,info
https://www.google.com/maps/place/The+Davey+Tree+Expert+Company/data=!4m7!3m6!1s0x880e2d484116c4fd:0xa1d5358bc9c5ce6b!8m2!3d41.8878811!4d-87.6797089!16s%2Fg%2F1tm8l4_p!19sChIJ_cQWQUgtDogRa87FyYs11aE,The Davey Tree Expert Company,4.7,128,Tree service,"340 N Hoyne Ave, Chicago, IL 60612, United States","V8QC+54 Chicago, Illinois, USA",https://www.davey.com/local-offices/chicago-tree-service/?utm_source=gmb&utm_medium=organic&utm_campaign=rc_chicago,+1 312-462-0065,"Closed · Opens 8 am Wed

Updated by this business 10 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHduocJegUTZO2XBtmKgK85FkDgZWOALiyymllicmLI5rzLvVGIJ6NipCjz0uR1UyDQ4UbUioL1lufezM7q3UT7EaRNenrdAyLCkL6MglBlLhWMTXQelBPGwhaB-2GaZUH8o_-0sw=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:33:42.128Z,,,
https://www.google.com/maps/place/A-1+Tree+Services/data=!4m7!3m6!1s0x880fccbf3bc20395:0xbf88d52d87bd2aa7!8m2!3d41.9137339!4d-87.757879!16s%2Fg%2F1tffvjnr!19sChIJlQPCO7_MD4gRpyq9hy3ViL8,A-1 Tree Services,4.9,38,Tree service,"1819 N Lockwood Ave, Chicago, IL 60639, United States","W67R+FR Chicago, Illinois, USA",https://a1treeservice.net/,+1 773-237-0344,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnONjHa1gR6TI57yYWxsfGcMYngsJzkMmDQni9tErQ182xRcfROrozgohdeVRiSgdpK0LUc1TegWcEWqjBRzeRHvZx23sWON1J9VeJM2t6pO1xDhsfUz-SxWmthNtuY8bAfRzGFaIlD0Lo=w408-h532-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:33:48.729Z,,,
https://www.google.com/maps/place/Jose%27s+Tree+Service/data=!4m7!3m6!1s0x880fcceaf42072e9:0xdbd2d9f5d6b418ae!8m2!3d41.9152941!4d-87.7785019!16s%2Fg%2F1tvtbyr6!19sChIJ6XIg9OrMD4gRrhi01vXZ0ts,Jose's Tree Service,4.8,93,Tree service,"1900 N Austin Ave, Chicago, IL 60639, United States","W68C+4H Chicago, Illinois, USA",http://www.josestreeservices.com/hire-us,+1 773-889-5446,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEu4gXCdKMosiACCVNjq3pHkmKQhOeXY5G_CVdtAaa8TgBUe2pjb6uFZGqndfSvnGkbRL5scFQ00mPncUH0agUJOB6DfrI4H9EPnGg6u3IxDnCea_eFjDEpPFOFta8Uh9o7PrQ0=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:33:53.814Z,,,
"https://www.google.com/maps/place/Fernandez+Tree+Service,+Inc./data=!4m7!3m6!1s0x880e375b046f109f:0xa9335ae7aa649fa4!8m2!3d41.798688!4d-87.7969312!16s%2Fg%2F11fntwjgpj!19sChIJnxBvBFs3DogRpJ9kqudaM6k","Fernandez Tree Service, Inc.",4.7,87,Tree service,"5124 S Sayre Ave, Chicago, IL 60638, United States","Q6X3+F6 Chicago, Illinois, USA",,+1 773-640-6113,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3tbAi4I4d6Gt5K6IxSTyUPzzdFE1GeefChrv0kZoeD3ZpIoUwVDrIiVmt1o_RQvKshBpheQvy0AKfnWrpUIAOUH53axn80CrCqmvDWY4LavuoqLzyls5Y-CmPr48C5XdIKMMY0Uo95X2w=w480-h240-k-no,true,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–7:30 pm,8 am–5 pm,Closed,8 am–7:30 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:33:58.860Z,,,
"https://www.google.com/maps/place/Discount+Professional+Tree+Removal,+Inc./data=!4m7!3m6!1s0x4489f7d70e2ee463:0x16b728fc7b379e2f!8m2!3d41.7563181!4d-87.620277!16s%2Fg%2F11rd2wz5s3!19sChIJY-QuDtf3iUQRL543e_wotxY","Discount Professional Tree Removal, Inc.",4.9,33,Tree service,"7600 S Indiana Ave, Chicago, IL 60619, United States","Q94H+GV Chicago, Illinois, USA",http://www.discountprotree.com/,+1 773-879-9355,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmkDtfL0HPguucc2seO0PPW0b00SKSCfuIEmG8zxbSZEOZTeoJKiAT52rK_Uxnzq-QkSeS0E0GK5i8mmHscnRuu2l1niVdO9ZFU8-alaZ00F4p85OYPf3Q1FYLfwKt3dK8JfOf=w408-h295-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:03.785Z,true,,
https://www.google.com/maps/place/ChicagoLandTreeExperts.LLC/data=!4m7!3m6!1s0x6643f24002005d65:0x80f1d5699f3157cd!8m2!3d41.883567!4d-87.6259822!16s%2Fg%2F11x26y6bjh!19sChIJZV0AAkDyQ2YRzVcxn2nV8YA,ChicagoLandTreeExperts.LLC,5.0,28,Arborist service,"111 N Wabash Ave, Chicago, IL 60602, United States","V9MF+CJ Chicago, Illinois, USA",https://chicagolandtreeexperts.org/,+1 708-378-0784,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHf5bHCXJ_KTfhk0vlejmV7yUitH6PxRsVAK4DFzEuKthpzUVLgwFzujc4YN3eemsuIT_QI3LFSBsdk192apegHPIbHLthdVlSo1HEJT5eFVu1G-ItoRrLR_Tht8dIQOhmRBPvjF-yHiCNi=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:09.027Z,,,
https://www.google.com/maps/place/Cityscape+Landscape/data=!4m7!3m6!1s0x880fd2dcc3d8ca91:0xb2b51157235339b6!8m2!3d41.9127085!4d-87.6670793!16s%2Fg%2F1tm8l5fr!19sChIJkcrYw9zSD4gRtjlTI1cRtbI,Cityscape Landscape,4.6,137,Landscaper,"1540 W Wabansia Ave, Chicago, IL 60642, United States","W87M+35 Chicago, Illinois, USA",http://www.cityscapelandscape.com/,+1 773-342-4009,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLhnFghVKAElzzHB3YNIHnjWfIjL2xKexXehDmbF047XAbVew9xH8r4bCe8LKMdf6Y8K961IIsA9Wt4ieKxfLuYRdn26TCuqcPQke8hdtYfCUkIzZPFiy2jFGwUEm_U3Zj50cZEVQpYcI=w427-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:14.199Z,,,
https://www.google.com/maps/place/City+Tree+Delivery/data=!4m7!3m6!1s0x880fd2c770392e0f:0xdce9e300f82eb477!8m2!3d41.898344!4d-87.746421!16s%2Fg%2F11b6j1j7dn!19sChIJDy45cMfSD4gRd7Qu-ADj6dw,City Tree Delivery,4.9,103,Christmas store,,,https://www.citytreedelivery.com/,+1 312-476-9627,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnghiaez25XeHlej0wRqY2QLMvq-A-vOXUWA_1WpRxvkAOfCo7-V3OwXojklGIOZhuC_NT9HSok9O4kv1vcr2xUjSbSat-nL5YHwakWPbmzTwktDU2pyPRaHP4n1todqlbruH0-Q=w408-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:19.255Z,,· Delivery,LGBTQ+ friendly
"https://www.google.com/maps/place/Lufthansa+Sahara+Palms+Tree+Service/@41.8923103,-87.6597641,17z/data=!3m1!4b1!4m6!3m5!1s0x880e2da8f70a8f37:0x91e7db9c75091915!8m2!3d41.8923103!4d-87.6597641!16s%2Fg%2F11z346q6vr",Lufthansa Sahara Palms Tree Service,,,Corporate office,"1303 W Ohio St, Chicago, IL 60642, United States","V8RR+W3 Chicago, Illinois, USA",,,,,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:23.945Z,,,
https://www.google.com/maps/place/Midwest+Landscape+%26+Design/data=!4m7!3m6!1s0x880fd351ce2fd885:0x4d412cd270136bb7!8m2!3d41.9022384!4d-87.6278545!16s%2Fg%2F11f3g8z2fb!19sChIJhdgvzlHTD4gRt2sTcNIsQU0,Midwest Landscape & Design,4.4,7,Landscaper,"1051 N Rush St #240, Chicago, IL 60611, United States","W92C+VV Chicago, Illinois, USA",,+1 224-220-1018,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3ssDmL2NySPtMRu0IvBh2w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.413155&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2026-04-29T04:34:28.749Z,,,
