placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Carpenter+Commons/data=!4m7!3m6!1s0x89de741c25ca1a03:0xfc60f2820b11dca8!8m2!3d42.7138806!4d-73.9322622!16s%2Fg%2F11j0ckgbgp!19sChIJAxrKJRx03okRqNwRC4LyYPw,Carpenter Commons,4.4,25,Property management company,"2568 Western Ave, Altamont, NY 12009, United States","P379+H3 Altamont, New York, USA",https://www.albanymanagement.com/page/commercial-2/location/guilderland--albany-3.html,,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPTylcYaxhcu7VuVKbrM6gZN1gM4CVZb2F_b-nz=w408-h317-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:00:43.753Z,,,,
"https://www.google.com/maps/place/Sentry+Management,+Inc./data=!4m7!3m6!1s0x89de0dedf33119a7:0xca8631218a24cdc3!8m2!3d42.7533351!4d-73.7813372!16s%2Fg%2F11fctb1hm_!19sChIJpxkx8-0N3okRw80kiiExhso","Sentry Management, Inc.",3.7,47,Property management company,"3 Lear Jet Ln Suite 202, Latham, NY 12110, United States","Q639+8F Latham, New York, USA",https://www.sentrymgt.com/offices/capital-saratoga-ny/,+1 518-783-5000,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOQcDLGRjj3Z0va0bzXRzb-V35eVl7UHmzN6gdg=w408-h306-k-no,true,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:00:49.997Z,,,,
https://www.google.com/maps/place/The+Rosenblum+Companies/data=!4m7!3m6!1s0x89de74d155470a0b:0x4cdcb71292d064f3!8m2!3d42.6811058!4d-73.8471349!16s%2Fg%2F1tj80zmz!19sChIJCwpHVdF03okR82TQkhK33Ew,The Rosenblum Companies,4.8,27,Property management company,"300 Great Oaks Blvd, Albany, NY 12203, United States","M5J3+C4 Albany, New York, USA",https://www.rosenblumcompanies.com/,+1 518-869-9302,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPbBxgpsaCMqMIqMEJtfO9L4zNKa_r6I-fr24si=w408-h284-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:00:54.974Z,,,,
https://www.google.com/maps/place/Real+Property+Management+Teague/data=!4m7!3m6!1s0x89de756463bc5171:0xfdc46578e31cb82f!8m2!3d42.7061738!4d-73.91854!16s%2Fg%2F11q46shm80!19sChIJcVG8Y2R13okRL7gc43hlxP0,Real Property Management Teague,5.0,11,Property management company,"2390 Western Ave, Guilderland, NY 12084, United States","P34J+FH Guilderland, New York, USA",https://www.rpmteague.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 518-612-4900,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4v5HaUTdee3KDEYBDARVHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.94482&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:00:59.989Z,,,,
"https://www.google.com/maps/place/Limelight+Turf,+LLC/data=!4m7!3m6!1s0x89de77c01fdbdc9b:0x6522269c70c8050a!8m2!3d42.6935618!4d-74.0281617!16s%2Fg%2F11j6z757wc!19sChIJm9zbH8B33okRCgXIcJwmImU","Limelight Turf, LLC",5.0,18,Lawn care service,"935 Altamont-Voorheesville Rd, Altamont, NY 12009, United States","MXVC+CP Altamont, New York, USA",https://limelightturf.com/,+1 518-380-1072,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOObmDdowLQaEr8sHhEuxv0gV4NzPU3zbxnmQAO=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:05.113Z,,,,
https://www.google.com/maps/place/Hartman+Property+Management/data=!4m7!3m6!1s0x89dde1307555c5cb:0xef9d6bad1d8c043a!8m2!3d42.6255097!4d-73.7703381!16s%2Fg%2F11r99tfd4p!19sChIJy8VVdTDh3YkROgSMHa1rne8,Hartman Property Management,4.6,13,Landscaper,"810 S Pearl St, Albany, NY 12202, United States","J6GH+6V Albany, New York, USA",https://stayclose518.wixsite.com/hart,+1 518-941-4595,Open ⋅ Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipPamFLv_hiMczpri2cPCsFkyKeOYjONkBfsBarx=w426-h240-k-no,true,8 am–7:30 pm,8 am–7:30 pm,9 am–5 pm,Closed,8 am–7 pm,8 am–7:30 pm,8 am–7:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:10.533Z,,,,
https://www.google.com/maps/place/Gendron%27s+Property+Management/data=!4m7!3m6!1s0x89de0bfa67237583:0x21309d658973f79a!8m2!3d42.6557731!4d-73.7620583!16s%2Fg%2F11gyxfclt6!19sChIJg3UjZ_oL3okRmvdziWWdMCE,Gendron's Property Management,4.3,18,Property management company,"172 Washington Ave unit b, Albany, NY 12210, United States","M64Q+85 Albany, New York, USA",https://gendronspropertymanagement.com/,+1 518-304-6008,Open ⋅ Closes 7:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9CFyXAx5SbgBIkW0t5H02g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.74228&pitch=0&thumbfov=100,true,9 am–7:30 pm,9 am–7:30 pm,10 am–5:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:16.014Z,,,,
https://www.google.com/maps/place/Redway+Property+Management/data=!4m7!3m6!1s0x89de0bb408afbcab:0xe3f337ac358f8208!8m2!3d42.7316739!4d-78.4429175!16s%2Fg%2F11qnfkw_gr!19sChIJq7yvCLQL3okRCIKPNaw38-M,Redway Property Management,4.8,16,Property management company,,,http://www.redwaypropertymanagement.com/,+1 518-417-1814,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMiZeLC_WNBrIXr2_RH1AIlSottN1HeFrfPhSg=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:21.707Z,,,,
https://www.google.com/maps/place/Altamont+Manor/data=!4m7!3m6!1s0x89de782dc9eeeb95:0xb6b2b9391a6e35e1!8m2!3d42.700309!4d-74.036782!16s%2Fg%2F1tf5r6z2!19sChIJlevuyS143okR4TVuGjm5srY,Altamont Manor,4.8,58,Wedding venue,"221 Main St, Altamont, NY 12009, United States","PX27+47 Altamont, New York, USA",http://www.thealtamontmanor.com/,+1 518-861-8176,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipNLVagmVYmEB0e03_IFR0N3zhxqkkcdn3cystA=w408-h271-k-no,true,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:27.441Z,,,,
"https://www.google.com/maps/place/BA+Property+Management,+Inc./data=!4m7!3m6!1s0x89de0af158300001:0x1f746a803f70f096!8m2!3d42.6581593!4d-73.7850624!16s%2Fg%2F11rghq9999!19sChIJAQAwWPEK3okRlvBwP4BqdB8","BA Property Management, Inc.",4.1,30,Property management company,"363 Ontario St #8942, Albany, NY 12208, United States","M657+7X Albany, New York, USA",https://www.bacompanies.com/,+1 518-212-7888,Open ⋅ Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qy6SU8LEjPlJEhnMAhQKWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.23697&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-25T17:01:32.681Z,,,,
