placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes,error,isBlackOwned
https://www.google.com/maps/place/Functional+Medicine+of+Iowa/data=!4m7!3m6!1s0x4a30eb4e6334726f:0x7dbace6ef53850f6!8m2!3d41.5907459!4d-93.7145217!16s%2Fg%2F11x770cyq4!19sChIJb3I0Y07rMEoR9lA49W7Oun0,Functional Medicine of Iowa,5.0,5,Health consultant,"815 Office Park Rd Suite 3, West Des Moines, IA 50265, United States","H7RP+75 West Des Moines, Iowa, USA",https://functionalmedicineofiowa.com/,+1 515-750-2910,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMllxmBHBATVhCGLrEBEFFyVykjVgdD_roqDd7X=w408-h408-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:02.134Z,,,,,,,,,,
https://www.google.com/maps/place/Natural+Health+Improvement+Center+of+Des+Moines/data=!4m7!3m6!1s0x87ee9d705c969129:0x33e94a1f462af025!8m2!3d41.5792531!4d-93.624468!16s%2Fg%2F11f5tv4qp_!19sChIJKZGWXHCd7ocRJfAqRh9K6TM,Natural Health Improvement Center of Des Moines,4.8,32,Nutritionist,"403 SW 8th St, Des Moines, IA 50309, United States","H9HG+P6 Des Moines, Iowa, USA",https://nhiccenters.com/,+1 515-243-0173,Closed · Opens 1 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipN1BRSYRevD4hBkGNm3bPTuGTS0JayWdHO_eRBs=w408-h271-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:07.967Z,1–6 pm,10 am–3 pm,10 am–3 pm,1–6 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/Integrative+Family+Medicine+of+Iowa/data=!4m7!3m6!1s0x87ec2168dc6c438b:0x8fb1a9e46297493f!8m2!3d41.5634782!4d-93.7716449!16s%2Fg%2F11mvm9rv5n!19sChIJi0Ns3Ggh7IcRP0mXYuSpsY8,Integrative Family Medicine of Iowa,4.8,157,Medical office,"475 S 50th St Suite 600, West Des Moines, IA 50265, United States","H67H+98 West Des Moines, Iowa, USA",http://www.integrativemediowa.com/,+1 515-218-1399,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOadlQyUtBfebLWe6Rddu5hRrxwUL2xlBzjQlPx=w408-h272-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:13.368Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Whole+Woman+Health,+LLC/data=!4m7!3m6!1s0x87ee9ebf11ba140b:0x680002241322da24!8m2!3d41.6040666!4d-93.6793159!16s%2Fg%2F1tfwkxqy!19sChIJCxS6Eb-e7ocRJNoiEyQCAGg","Whole Woman Health, LLC",4.3,11,Nurse practitioner,"4507 Forest Ave, Des Moines, IA 50311, United States","J83C+J7 Des Moines, Iowa, USA",http://www.wholewomanhealthdsm.com/,+1 515-243-6309,Open · Closes 12 pm · Reopens 1 pm,,https://lh3.googleusercontent.com/p/AF1QipMJHZvTwhSRR0Xt8RGag8ILWoAwvOm0FVbR001d=w426-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:18.652Z,"9 am–12 pm, 1–5 pm",Closed,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","9 am–12 pm, 1–4 pm",Closed,Closed,,,
https://www.google.com/maps/place/Abendroth+Modern+Medicine/data=!4m7!3m6!1s0x87ee9fdb6c443fff:0x14cf128fdf88c19b!8m2!3d41.5585174!4d-93.6673162!16s%2Fg%2F11fs8ry7tt!19sChIJ_z9EbNuf7ocRm8GI348SzxQ,Abendroth Modern Medicine,5.0,3,Medical clinic,"3709 Southern Hills Dr, Des Moines, IA 50321, United States","H85M+C3 Des Moines, Iowa, USA",http://www.abendrothmedicine.com/,+1 515-789-3940,,,https://lh3.googleusercontent.com/p/AF1QipMGtuYZQ_ZwyOhIHbA37BkImH4aNHpjp9nTxom5=w408-h277-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:21.287Z,,,,,,,,,,
https://www.google.com/maps/place/Dr.+Rachel+Poll+%28Wanninger%29/data=!4m7!3m6!1s0x87ec212159256341:0x4f4bd4a639dff2b0!8m2!3d41.6028687!4d-93.7890414!16s%2Fg%2F11ty7vkb_3!19sChIJQWMlWSEh7IcRsPLfOabUS08,Dr. Rachel Poll (Wanninger),5.0,25,Alternative medicine practitioner,"1444 NW 124th Ct, Clive, IA 50325, United States","J636+49 Clive, Iowa, USA",https://www.deltadsm.com/functional-medicine/,+1 515-278-2782,Open · Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipP0ihJA0aSGIoMYqiRL5ioddf3KX1pThF0anZ7v=w408-h271-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:26.114Z,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–1 pm,Closed,Closed,,,
https://www.google.com/maps/place/Dr.+Amie+Hornaman+Functional+Medicine/data=!4m7!3m6!1s0x88328002df00603d:0xf96b2167a8c52d91!8m2!3d41.5595071!4d-93.7584331!16s%2Fg%2F11c55bx8hb!19sChIJPWAA3wKAMogRkS3FqGcha_k,Dr. Amie Hornaman Functional Medicine,4.8,31,Health consultant,,,http://dramiehornaman.com/,,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNfzXvYAKzTcwf-q8LeqiuSGfRABi7ZPz1IDxeS=w408-h372-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:30.893Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,,,
https://www.google.com/maps/place/Yost+Wellness+Center/data=!4m7!3m6!1s0x87ec27448e810571:0xdff383a2c15fb526!8m2!3d41.633062!4d-93.7552198!16s%2Fg%2F11gc1thyjy!19sChIJcQWBjkQn7IcRJrVfwaKD898,Yost Wellness Center,4.9,184,Holistic medicine practitioner,"3993 100th St, Urbandale, IA 50322, United States","J6MV+6W Urbandale, Iowa, USA",http://www.yostwellnesscenter.com/,+1 515-278-4325,"Open · Closes 5 pm

Updated by this business 7 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNXbboVQorCqZdD7gYvMx7Y25lhD1jBLBMzixin=w408-h272-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:38.950Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Optimum+Wellness+Solutions/data=!4m7!3m6!1s0x87ec21146666b72b:0xbf71b7f230193da7!8m2!3d41.5900432!4d-93.806324!16s%2Fg%2F11m92yktjy!19sChIJK7dmZhQh7IcRpz0ZMPK3cb8,Optimum Wellness Solutions,5.0,15,Holistic medicine practitioner,"7205 Vista Dr Suite 104, West Des Moines, IA 50266, United States","H5RV+2F West Des Moines, Iowa, USA",https://www.optimumwellnessdsm.com/,+1 515-612-8489,Open · Closes 12:30 pm · Reopens 1:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerceUOrJ96QfSwixG_npcXxyKzFD1JGiz3No3JO8AeX6wARnfoVHq9fH7pbtlvSditMmP3U3lrRfKoonHIU89oUi5jsx7ywR7FtmstOziPY4GRoVtZOuu9Nz0t2bOkgf8wlc17hZnlQIW0=w408-h272-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:44.165Z,"8 am–12:30 pm, 1:30–6 pm","8 am–12:30 pm, 1:30–7 pm","8 am–12:30 pm, 1:30–6 pm",Closed,"8 am–12:30 pm, 1:30–6 pm",Closed,Closed,,,
https://www.google.com/maps/place/County+NP+PLLC+Functional+Health+and+Wellness/data=!4m7!3m6!1s0x87ec39564840049d:0x6463d4568a6a59ac!8m2!3d41.6170978!4d-94.0167131!16s%2Fg%2F11m783vzhw!19sChIJnQRASFY57IcRrFlqilbUY2Q,County NP PLLC Functional Health and Wellness,5.0,4,Alternative medicine practitioner,"707 Main St, Adel, IA 50003, United States","JX8M+R8 Adel, Iowa, USA",https://countynp.com/,+1 515-778-6089,,,https://lh3.googleusercontent.com/p/AF1QipPUtzPIEViUQmqjURG78VwL0qD5qlHl5J4zG-jC=w408-h306-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2026-02-23T16:17:49.117Z,,,,,,,,,,
