placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,isBlackOwned,error
https://www.google.com/maps/place/Bond+Community+Health+Center+Inc:+Pediatrics/data=!4m7!3m6!1s0x88ecf5904121015f:0x7582217d26af7070!8m2!3d30.4274712!4d-84.2803378!16s%2Fg%2F11gg_w2v1f!19sChIJXwEhQZD17IgRcHCvJn0hgnU,Bond Community Health Center Inc: Pediatrics,4.5,102,Community health center,"1549 S Monroe St, Tallahassee, FL 32301, United States","CPG9+XV Tallahassee, Florida, USA",http://www.bondchc.com/,+1 850-521-5151,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqM65wtUZVmkZJewDtDXDe1KQ1YK1FiLXAuAsIDtqQI7uZeu5ae8uGLW_XFqRpYNS-dUS9viNJ2pOas8W1rxBDP2n5-aZWZ28G5vuUVxJLUMOBdY6wo3Euh_0EL3UHOQ8PY1fjo=w408-h306-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:24.359Z,,,,,,,,,
https://www.google.com/maps/place/Tallahassee+Pediatrics/data=!4m7!3m6!1s0x88ec5f7c777804e1:0x5c3562d8c2eb79ac!8m2!3d30.4557166!4d-84.2644801!16s%2Fg%2F1vd3wmmy!19sChIJ4QR4d3xf7IgRrHnrwthiNVw,Tallahassee Pediatrics,3.9,88,Medical clinic,"1205 Marion Ave, Tallahassee, FL 32303, United States","FP4P+76 Tallahassee, Florida, USA",https://www.tallahasseepediatrics.com/,+1 850-681-3887,Closed · Opens 7:30 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwzXZgv9-R7YsCyG8QJGc8mo_IxrwuWtkadIQAkalc9pG1pbUUrkS0En1bld87wYKBJULSoYRg-PpSAzFtc3Y8a5dU_Xl3DRUVW79gfu44fKSJpvCKhNSxBVnGsp3d1rQb7Ibsk5sKlk4=w408-h306-k-no,false,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:29.988Z,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,,
https://www.google.com/maps/place/Canopy+Pediatrics/data=!4m7!3m6!1s0x88ec59d2ccd56cf7:0x73ab903677a8a828!8m2!3d30.4769247!4d-84.2275392!16s%2Fg%2F11fpsnsvqh!19sChIJ92zVzNJZ7IgRKKiodzaQq3M,Canopy Pediatrics,5.0,104,Pediatrician,"1876 Eider Ct A, Tallahassee, FL 32308, United States","FQGC+QX Tallahassee, Florida, USA",https://canopypediatrics.com/,+1 850-701-9652,Closed · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPPF-1giI7NEMvxzfQB3ICjnv15tyjIzte3KqkI=w408-h284-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:35.307Z,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,,
https://www.google.com/maps/place/North+Florida+Pediatric+Associates/data=!4m7!3m6!1s0x88ec5f6f8e685ea5:0x46470ded278d8deb!8m2!3d30.5055229!4d-84.244775!16s%2Fg%2F12hspkth1!19sChIJpV5ojm9f7IgR642NJ-0NR0Y,North Florida Pediatric Associates,4.4,391,Pediatrician,"2255 Killearn Center Blvd Suite 100, Tallahassee, FL 32309, United States","GQ44+63 Tallahassee, Florida, USA",http://www.northfloridapeds.com/,+1 850-877-1162,Closed · Opens 7:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipObFDd-f942etFZgORO1Hu4RDERY3YexJO3xErd=w408-h291-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:40.212Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,,
https://www.google.com/maps/place/Mayra+Mendoza-Rodriguez/data=!4m7!3m6!1s0x88ecf530ce5ae897:0xdbc57c4d6308e1eb!8m2!3d30.4131304!4d-84.296784!16s%2Fg%2F11tg6j0fdm!19sChIJl-hazjD17IgR6-EIY018xds,Mayra Mendoza-Rodriguez,5.0,1,Pediatrician,"872 W Orange Ave, Tallahassee, FL 32310, United States","CP73+77 Tallahassee, Florida, USA",,+1 850-300-7262,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QrWYEuSjaO9efqybFGhvIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.8932471&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:42.825Z,,,,,,,,,
https://www.google.com/maps/place/Sprout+Pediatric+Care/data=!4m7!3m6!1s0x88ec5f7b895aaaab:0x91006739ec07d722!8m2!3d30.4689317!4d-84.2095312!16s%2Fg%2F11rwxf_912!19sChIJq6paiXtf7IgRItcH7DlnAJE,Sprout Pediatric Care,4.8,53,Pediatrician,"4004 Norton Dr #101, Tallahassee, FL 32308, United States","FQ9R+H5 Tallahassee, Florida, USA",https://sproutpediatriccare.com/,+1 850-518-7626,Closed · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipPdGQXDeyfoo0bYt9LRUpEd-jr6mN62MCZjWFvJ=w408-h306-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:47.574Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,,
https://www.google.com/maps/place/Canopy+Pediatrics+-+Crawfordville/data=!4m7!3m6!1s0x88ec857cd77f6087:0x6070c739eaa9cfca!8m2!3d30.2195452!4d-84.361886!16s%2Fg%2F11tx7s957h!19sChIJh2B_13yF7IgRys-p6jnHcGA,Canopy Pediatrics - Crawfordville,,,Pediatrician,"2001 Crawfordville Hwy STE A, Crawfordville, FL 32327, United States","6J9Q+R6 Crawfordville, Florida, USA",https://canopypediatrics.com/crawfordville,+1 850-331-7929,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=65EqXvZIFBybymV2pxfVnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.4902&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:52.036Z,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,,
https://www.google.com/maps/place/Magnolia+Pediatrics+Group/data=!4m7!3m6!1s0x88ec5f84c8cdcc27:0x50f4b2f59930b872!8m2!3d30.4573833!4d-84.2382753!16s%2Fg%2F1td59fql!19sChIJJ8zNyIRf7IgRcrgwmfWy9FA,Magnolia Pediatrics Group,2.9,55,Pediatrician,"2406 E Plaza Dr, Tallahassee, FL 32308, United States","FQ46+XM Tallahassee, Florida, USA",https://www.tmh.org/location/magnolia-pediatrics-group-llc,+1 850-878-5322,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=79r6bJei6MSq5nGV6y2ujA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.2082&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:12:57.096Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3:30 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/HCA+Florida+Capital+Primary+Care+-+Crawfordville/data=!4m7!3m6!1s0x88ec85e910cd3cd3:0xc5901e5a9eaed340!8m2!3d30.2038021!4d-84.3681335!16s%2Fg%2F1tpc8t49!19sChIJ0zzNEOmF7IgRQNOunloekMU,HCA Florida Capital Primary Care - Crawfordville,4.6,110,General practitioner,"2382 Crawfordville Hwy Suite C, Crawfordville, FL 32327, United States","6J3J+GP Crawfordville, Florida, USA",https://www.hcafloridaphysicians.com/locations/capital-primary-care/crawfordville/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,+1 850-926-6363,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9G_urzqH-_g2IXBdP0r3Vg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.5404&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:13:02.052Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Tallahasse+Memorial+Hospital+-+Pediatric+Department/data=!4m7!3m6!1s0x88ec5f7bb40ad1af:0x53059df5e5d7f3f5!8m2!3d30.4564573!4d-84.2618908!16s%2Fg%2F1ts3gfv8!19sChIJr9EKtHtf7IgR9fPX5fWdBVM,Tallahasse Memorial Hospital - Pediatric Department,5.0,2,Pediatrician,"1300 Miccosukee Rd, Tallahassee, FL 32308, United States","FP4Q+H6 Tallahassee, Florida, USA",,+1 850-431-5354,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dt_clJlkjeuYoDFCr6cq_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.8797&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pediatrician+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2026-02-10T23:13:04.596Z,,,,,,,,,
