placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error,isBlackOwned,attributes
https://www.google.com/maps/place/Cancer+Care+at+Miami+Valley+Hospital/data=!4m7!3m6!1s0x884085a41eaa1ab9:0xca9af596192aa257!8m2!3d39.7451431!4d-84.1862548!16s%2Fg%2F11f62cpf3n!19sChIJuRqqHqSFQIgRV6IqGZb1mso,Cancer Care at Miami Valley Hospital,5.0,1,Cancer treatment center,"1 Wyoming St, Dayton, OH 45409, United States","PRW7+3F Dayton, Ohio, USA",https://www.premierhealth.com/services/cancer-care?utm_source=gmb&utm_medium=website&utm_campaign=kyruussoci,+1 844-316-4673,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOfyR882JyizzHUWp4oHI1zP8iYT0YDf0Nh7qit=w426-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:30.934Z,,,,
https://www.google.com/maps/place/Kettering+Health+Infusion+Center/data=!4m7!3m6!1s0x88408919729ed9c1:0xe087e6218f89f204!8m2!3d39.6352184!4d-84.2017577!16s%2Fg%2F11v60dkxkw!19sChIJwdmechmJQIgRBPKJjyHmh-A,Kettering Health Infusion Center,5.0,2,Hospital,"1989 Miamisburg Centerville Rd Suite 101, Centerville, OH 45459, United States","JQPX+37 Centerville, Ohio, USA",https://ketteringhealth.org/locations/kettering-health-infusion-center-cc1006/,+1 937-401-6620,Closed ⋅ Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gVizjxvL3eid4-IjXE95mw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.66324&pitch=0&thumbfov=100,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:36.445Z,,,,
https://www.google.com/maps/place/Sunrise+Treatment+Center+-+Dayton/data=!4m7!3m6!1s0x884087b8f194806f:0x481362a1e137cac6!8m2!3d39.7355359!4d-84.2078378!16s%2Fg%2F11h3cqyznp!19sChIJb4CU8biHQIgRxso34aFiE0g,Sunrise Treatment Center - Dayton,4.6,46,Addiction treatment center,"1435 Cincinnati St STE 150, Dayton, OH 45417, United States","PQPR+6V Dayton, Ohio, USA",https://www.sunrisetreatmentcenter.net/locations/dayton-location,+1 937-884-4844,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipP1dXlj0NRDl_y8yRRL0-CY5wKsTH53JooAV4y2=w408-h273-k-no,true,Closed,7 am–3 pm,9:30 am–5:30 pm,7 am–3 pm,9:30 am–5:30 pm,7 am–1 pm,8–10 am,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:41.841Z,,,,
https://www.google.com/maps/place/Kettering+Health+Cancer+Center+-+Main+Campus/data=!4m7!3m6!1s0x8840867406cc6491:0x4acdb03ecb11a8e9!8m2!3d39.6960055!4d-84.1901166!16s%2Fg%2F1thx03f7!19sChIJkWTMBnSGQIgR6agRyz6wzUo,Kettering Health Cancer Center - Main Campus,4.9,2727,Cancer treatment center,"3700 Southern Blvd, Kettering, OH 45429, United States","MRW5+CX Kettering, Ohio, USA",https://ketteringhealth.org/locations/kettering-health-cancer-center-hc014/,+1 855-500-2873,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipO1zpVydQ8e_5tVcKVGqrD3Kfsuoya0Jp37P7E2=w426-h240-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:46.856Z,,,,
https://www.google.com/maps/place/Dayton+Physicians+Network+at+Greater+Dayton+Cancer+Center/data=!4m7!3m6!1s0x88408664537a05a7:0xf84d964a08c1dc1c!8m2!3d39.7058011!4d-84.1992646!16s%2Fg%2F1thd2gzn!19sChIJpwV6U2SGQIgRHNzBCEqWTfg,Dayton Physicians Network at Greater Dayton Cancer Center,4.7,71,Cancer treatment center,"3120 Governor's Pl Blvd, Dayton, OH 45409, United States","PR42+87 Dayton, Ohio, USA",https://www.daytonphysicians.com/,+1 937-293-1622,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XiuisyBKPtQaYkrapU8vYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=144.7724&pitch=0&thumbfov=100,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:51.845Z,,,,
https://www.google.com/maps/place/Vytality+Blu+Health+%26+Medspa/data=!4m7!3m6!1s0x8840850b8290661f:0x7e91d650ae3983b9!8m2!3d39.7103043!4d-84.1707809!16s%2Fg%2F11hhc3mrnm!19sChIJH2aQgguFQIgRuYM5rlDWkX4,Vytality Blu Health & Medspa,4.9,49,Wellness center,"2310 Far Hills Ave APT 5, Dayton, OH 45419, United States","PR6H+4M Dayton, Ohio, USA",https://vytalityblu.com/,+1 937-817-3840,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipOVfwauP0sNeh8YOBZVrHAlyffnTkT_Jsb7KYDN=w426-h240-k-no,true,10 am–3 pm,10 am–6 pm,10 am–6 pm,Closed,10 am–6 pm,10 am–6 pm,10 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:02:57.006Z,,,,
https://www.google.com/maps/place/Kettering+Health+Dayton/data=!4m7!3m6!1s0x88408146c441e0d9:0x7f7808bbbfc778c0!8m2!3d39.7698115!4d-84.2026386!16s%2Fm%2F05p3hd9!19sChIJ2eBBxEaBQIgRwHjHv7sIeH8,Kettering Health Dayton,4.4,2414,Hospital,"405 W Grand Ave, Dayton, OH 45405, United States","QQ9W+WW Dayton, Ohio, USA",https://ketteringhealth.org/locations/kettering-health-dayton-mc002/,+1 937-723-3200,,https://lh3.googleusercontent.com/p/AF1QipPf1csp0yn4mCvZrYivutUk7-xYiHC39ow2BdTI=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:03:02.092Z,,,,
https://www.google.com/maps/place/Kindred+Hospital+Dayton/data=!4m7!3m6!1s0x884086b0e5626777:0xc5ec6a22388e5b94!8m2!3d39.7466871!4d-84.1978022!16s%2Fg%2F1tfbz43z!19sChIJd2di5bCGQIgRlFuOOCJq7MU,Kindred Hospital Dayton,4.4,287,Hospital,"707 S Edwin C Moses Blvd, Dayton, OH 45417, United States","PRW2+MV Dayton, Ohio, USA",https://www.kindredhospitals.com/locations/ohio/dayton,+1 937-234-2611,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNbOqqXAzcuMFUDA94Ooq5AtHKfD7fiENWEQTxn=w408-h273-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:03:07.115Z,,,,
https://www.google.com/maps/place/Horizon+Infusions/data=!4m7!3m6!1s0x883f81b4e0df7857:0x297b38f32e819630!8m2!3d39.8507772!4d-84.2705592!16s%2Fg%2F11lczlxgz9!19sChIJV3jf4LSBP4gRMJaBLvM4eyk,Horizon Infusions,5.0,1,Medical clinic,"8721 N Main St Unit B, Dayton, OH 45415, United States","VP2H+8Q Dayton, Ohio, USA",https://www.horizoninfusions.com/,+1 877-787-8720,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=04XLTur7v0L1oS8GCG3gCg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.9747&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:03:09.992Z,,,,
https://www.google.com/maps/place/Ohio+Recovery+Campus+-+Detox+%26+Addiction+Treatment/data=!4m7!3m6!1s0x88408762868c0a1d:0x9b6c6e05b08c6062!8m2!3d39.7460065!4d-84.1907572!16s%2Fg%2F11vc1qzlzn!19sChIJHQqMhmKHQIgRYmCMsAVubJs,Ohio Recovery Campus - Detox & Addiction Treatment,4.3,43,Addiction treatment center,"865 S Patterson Blvd, Dayton, OH 45402, United States","PRW5+CM Dayton, Ohio, USA",https://www.decoachrecovery.com/dayton,+1 937-966-4673,"Open 24 hours

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPCi0kMajXCfEhX3wNSK1pf66TfUgosofdBGb87=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-28T23:03:14.923Z,LGBTQ+ friendly,,,
