placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,friday,saturday,sunday,monday,tuesday,wednesday,thursday,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Automatic+Door+Co/data=!4m7!3m6!1s0x8850f5cd40de45b1:0x43345c66b1526c2b!8m2!3d36.285341!4d-81.790848!16s%2Fg%2F1vg_dkdl!19sChIJsUXeQM31UIgRK2xSsWZcNEM,Automatic Door Co,5.0,13,Garage door supplier,"891 Fletcher Branch Rd, Cove Creek, NC 28692, United States","76P5+4M Cove Creek, North Carolina, USA",http://www.autodoorinc.net/,+1 828-262-5139,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJkwFnZaKeIJhstBlp4-ChZH-G-QgFtwcNg1G0ZRp-woNPIAaZGc4uMD1ljw8EH6CSpG4hBj80snqKqilsQnBUokfXHAJeZL-WRDUQlXxjSChgr9m2uCUab7f67rAfJG6LsHXT=w443-h240-k-no,false,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:44:47.161Z,,,,,,,,,,,
https://www.google.com/maps/place/Ridgeline+Garage+Doors+Inc/data=!4m7!3m6!1s0xa4f908ff9e78101d:0x3805762c9715f679!8m2!3d36.3589045!4d-81.4595185!16s%2Fg%2F11rn5jgmnn!19sChIJHRB4nv8I-aQRefYVlyx2BTg,Ridgeline Garage Doors Inc,5.0,54,Garage door supplier,,,,+1 828-266-5296,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMYhuGzzSDzoLYVymVUVZVkasB-kEedVrf9_Y55=w426-h240-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:44:52.950Z,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,,,,
"https://www.google.com/maps/place/Pella+Windows+and+Doors+Showroom+of+Boone,+NC/data=!4m7!3m6!1s0x8850fa5ac2a2a67b:0xf16746c1ed8bb276!8m2!3d36.217617!4d-81.6651517!16s%2Fg%2F1tkc2t9g!19sChIJe6aiwlr6UIgRdrKL7cFGZ_E","Pella Windows and Doors Showroom of Boone, NC",4.7,140,Window installation service,"665 E King St, Boone, NC 28607, United States","689M+2W Boone, North Carolina, USA",https://www.pella.com/locations/nc/boone/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 336-379-8550,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNZ03F8rlYNb9H7eqpM5rZ9bsDDIUimTtf_QQLt=w426-h240-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:44:58.504Z,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,,
https://www.google.com/maps/place/Dave+The+Handy+Guy/data=!4m7!3m6!1s0x8850fb7e65a38979:0x3a3d9f5024499b2a!8m2!3d36.185681!4d-81.872531!16s%2Fg%2F11c60dn7dl!19sChIJeYmjZX77UIgRKptJJFCfPTo,Dave The Handy Guy,4.8,99,Handyman/Handywoman/Handyperson,,,http://davethehandyguy.com/,+1 828-616-0050,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipOr6nKbxOya9nDwvccQznYWEwPFYfGk0C_W9tkZ=w408-h684-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:03.499Z,8 am–5 pm,9 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Identifies as veteran-owned,,,
"https://www.google.com/maps/place/Appalachian+Construction+and+Handyman,+LLC/data=!4m7!3m6!1s0x8850fa08e3eda59f:0xa57e2a62f509ad86!8m2!3d36.2208182!4d-81.6874647!16s%2Fg%2F11g8kbp2sw!19sChIJn6Xt4wj6UIgRhq0J9WIqfqU","Appalachian Construction and Handyman, LLC",4.3,47,Construction company,"890 W King St Suite 200, Boone, NC 28607, United States","68C7+82 Boone, North Carolina, USA",http://appconst.com/,+1 828-386-6336,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNTcJOZyIUWWZBxTEFIUDc0z3QKmYWRrAAosBEi=w427-h240-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:08.502Z,8 am–7 pm,8 am–7 pm,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,,,,
https://www.google.com/maps/place/Mountain+Fence+and+Deck/data=!4m7!3m6!1s0x8850fb9458e263c1:0xd202fc9b38d370f3!8m2!3d36.227837!4d-81.60824!16s%2Fg%2F11j7gy08lj!19sChIJwWPiWJT7UIgR83DTOJv8AtI,Mountain Fence and Deck,4.8,77,Fence contractor,"159 Whispering Pines Rd, Boone, NC 28607, United States","69HR+4P Boone, North Carolina, USA",https://mountainfenceanddeck.com/,+1 828-386-1350,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylG8OLQJYokUgahmQ7F9yfjIdHofrt_MyTdoSr2gGyziqGrRqKF_05UWkbtgrkqxvGjxkpwtSw-Z40E2kqQCoObLE_f6LGNfcEsknuRI5G8r21qnIZcSdonEPz1cqmGCicI-ufuA=w408-h544-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:13.505Z,8:30 am–3 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,,,,
https://www.google.com/maps/place/New+River+Building+Supply/data=!4m7!3m6!1s0x8850f0916b244dd1:0xf8208321570e8e3f!8m2!3d36.2069969!4d-81.7065277!16s%2Fg%2F1td4ktsm!19sChIJ0U0ka5HwUIgRP44OVyGDIPg,New River Building Supply,4.8,80,Hardware store,"3148 NC-105 South, Boone, NC 28607, United States","674V+Q9 Boone, North Carolina, USA",http://www.newriverbuilding.com/,+1 828-264-5650,Closed ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzKk2toKuS7beQB99Rsy1-NSJG8VgvCwxXHXxIAfyyJ5sv1gpDEWMWs2Le6vv6VQSFvHO9MmjkjFsNXstXVBILrUcN5PssVTJM-ZWOBqiG4BNUvlPOO9ePvioPwqK27tbnG85T1cg=w408-h306-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:18.864Z,7 am–5 pm,8 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,,· In-store pick-up · Delivery,,
https://www.google.com/maps/place/Lost+Ridge+Construction/data=!4m7!3m6!1s0x8850f13356ac7223:0x7be53212547677c5!8m2!3d36.221311!4d-81.717456!16s%2Fg%2F11c543507x!19sChIJI3KsVjPxUIgRxXd2VBIy5Xs,Lost Ridge Construction,5.0,2,General contractor,"755 North Carolina Hwy 105 Bypass Suite #1, Boone, NC 28607, United States","67CM+G2 Boone, North Carolina, USA",,+1 828-297-2080,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wWG5xoIPzHow24lrVmDAxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.55475&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:23.700Z,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x8856a746db637bbb:0xb9b8ac3e4447c70!8m2!3d35.7316311!4d-81.3489478!16s%2Fg%2F11pq2s275b!19sChIJu3tj20anVogRcHxE5MOKmws,Precision Garage Door Service,4.9,693,Garage door supplier,"637 Main Ave SW, Hickory, NC 28602, United States","PMJ2+MC Hickory, North Carolina, USA",https://precisiongaragedoorhickory.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=hickory,+1 828-355-4311,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipPUJ_69F_7EsyvJsVI37XJEcaaggUvv-nz8b1_Z=w478-h240-k-no,true,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:28.616Z,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,,,,
https://www.google.com/maps/place/Locals+Garage+West/data=!4m7!3m6!1s0x8850f1001606ca93:0xb6fd30aeb90a6c15!8m2!3d36.2219415!4d-81.693578!16s%2Fg%2F11k_4lymfr!19sChIJk8oGFgDxUIgRFWwKua4w_bY,Locals Garage West,5.0,52,Auto repair shop,"1246 W King St, Boone, NC 28607, United States","68C4+QH Boone, North Carolina, USA",,+1 828-264-4886,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOXDZY1d5SBIgi2rcNfMLenb3FT26OXh-ukwKM-F8RpJoO0RUNWOd8Fn7oRJn9A8gEATEkzN9cY6JX4ww4NpGZe4J6Rqbm0GW8FlJG_mfEDs4DNX_mXFwyoN_sWJWITNYeab3I=w408-h306-k-no,false,"https://www.google.com/maps/search/garage+door+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-11-07T22:45:34.282Z,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,,
