placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes
"https://www.google.com/maps/place/Harts+Plumbers,+Electricians,+%26+HVAC+Technicians/data=!4m7!3m6!1s0x549054ef3a29662f:0xf387261b69841b97!8m2!3d47.2276313!4d-122.4742318!16s%2Fg%2F1q6667737!19sChIJL2YpOu9UkFQRlxuEaRsmh_M","Harts Plumbers, Electricians, & HVAC Technicians",4.8,5278,Plumber,"3510 S Pine St, Tacoma, WA 98409, United States","6GHG+38 Tacoma, Washington, USA",https://hartsservices.com/locations/tacoma/?utm_source=google&utm_medium=organic&utm_campaign=gmb_tacoma&se_campaign=gmb_tacoma,+1 253-300-0664,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM8USIt03JVDMwGws_lypkUF4qHLbWYdi785CIR=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:36:57.432Z,,
https://www.google.com/maps/place/Grit+City+Electric/data=!4m7!3m6!1s0x54905768ba75b8db:0x384140085f65a0e9!8m2!3d47.2887357!4d-122.3855008!16s%2Fg%2F11l5q3xkfz!19sChIJ27h1umhXkFQR6aBlXwhAQTg,Grit City Electric,5.0,22,Electrical installation service,"4609 35th St NE, Tacoma, WA 98422, United States","7JQ7+FQ Tacoma, Washington, USA",https://gritcityelectric.com/?utm_source=Organic&utm_medium=GBL&utm_campaign=HCM,+1 425-419-3677,Open · Closes 8 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOgYpMJsLFODRJBn7XXWMkUCI1K8ftrAlFFr6ZT=w408-h306-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:03.157Z,true,
https://www.google.com/maps/place/Mr+Electric+of+Tacoma/data=!4m7!3m6!1s0x5490557a3411d513:0x20d7b45547e7e2aa!8m2!3d47.2558312!4d-122.4425946!16s%2Fg%2F11b5wj_z17!19sChIJE9URNHpVkFQRquLnR1W01yA,Mr Electric of Tacoma,4.8,18,Electrician,"748 Market St Unit 174, Tacoma, WA 98402, United States","7H44+8X Tacoma, Washington, USA",http://www.mrelectric.com/tacoma?utm_source=gmb&utm_medium=organic&utm_campaign=local-srw,+1 253-203-0104,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipMIvaBiYw1BPKlJ9AKizQd8G7Li7NNGdWmugI3P=w408-h255-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:08.085Z,,
https://www.google.com/maps/place/ANT+POWER+LLC/data=!4m7!3m6!1s0x6c0df7e933104bbd:0x6d9e28ff6966a657!8m2!3d47.2202295!4d-122.4422268!16s%2Fg%2F11vbgcmqj2!19sChIJvUsQM-n3DWwRV6Zmaf8onm0,ANT POWER LLC,4.8,26,Electrician,"4016 Park Ave. S, Tacoma, WA 98418, United States","6HC5+34 Tacoma, Washington, USA",https://www.antpowerelectric.com/,+1 206-550-5774,Closed · Opens 8 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipMU3YBLXpeHGop6-Xke4MHvtodenke9poKyXWJf=w408-h272-k-no,true,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:13.025Z,,
https://www.google.com/maps/place/Mercurio%27s+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x5491aaa964a820f5:0x6038d4e07a33f46b!8m2!3d47.2203922!4d-122.482967!16s%2Fg%2F1tdz4jwm!19sChIJ9SCoZKmqkVQRa_QzeuDUOGA,Mercurio's Heating & Air Conditioning,4.9,4691,Plumber,"4001 S Union Ave, Tacoma, WA 98409, United States","6GC8+5R Tacoma, Washington, USA",https://www.mercurios.com/,+1 253-765-8638,"Open 24 hours

Updated by this business 1 week ago",,https://lh3.googleusercontent.com/p/AF1QipPq__rNGYkqNyqJ1Mi-7aNvew5c6TIEsUdekwAN=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:17.851Z,,
"https://www.google.com/maps/place/Good+Contact+Electric,+LLC/data=!4m7!3m6!1s0xedd98bc7d6af8d7:0xede1f5dac62bb120!8m2!3d47.2869812!4d-122.3704708!16s%2Fg%2F11tx_tysv7!19sChIJ1_hqfbyY3Q4RILErxtr14e0","Good Contact Electric, LLC",4.5,25,Electrician,"3314 58th Ave NE, Tacoma, WA 98422, United States","7JPH+QR Tacoma, Washington, USA",https://gdcontactelectric.com/,+1 253-347-1395,Closes soon · 3 pm · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN51b6u-4WyoLw_4gWMo2utmqERVZu0iF9oNfJJ=w408-h544-k-no,true,9 am–3 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:22.735Z,,
https://www.google.com/maps/place/Hunt%27s+Services/data=!4m7!3m6!1s0x5490561e3d3f5a29:0x724a7a3373cde33c!8m2!3d47.2587468!4d-122.3368005!16s%2Fg%2F1tdmv9wp!19sChIJKVo_PR5WkFQRPOPNczN6SnI,Hunt's Services,4.8,3493,Plumber,"8111 Pacific Hwy E, Tacoma, WA 98422, United States","7M57+F7 Tacoma, Washington, USA",https://www.huntsservices.com/?utm_campaign=gmb,+1 253-201-3027,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPiVkfjILg-u1eOm5qvP4s3PO_Q3FI6tzFSqwnm=w408-h263-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:28.016Z,,
"https://www.google.com/maps/place/Berg+Equipment+%26+Scaffolding+Co.,+Inc./data=!4m7!3m6!1s0x5490555acd68a847:0xf8b5f8b4f602a4f9!8m2!3d47.2423681!4d-122.4308695!16s%2Fg%2F1tcx6qd6!19sChIJR6hozVpVkFQR-aQC9rT4tfg","Berg Equipment & Scaffolding Co., Inc.",4.9,124,Scaffolding service,"2130 E D St, Tacoma, WA 98421, United States","6HR9+WM Tacoma, Washington, USA",http://bergscaffold.com/,+1 253-383-2035,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwQ2m0QdKLnQn-UUpAtpML72FW5IATTJiKkXimIdZ3WVwlIs3COXuy0KgcFfkboa_-WixfIlXSGKlXsDIdzy0MbzMKVykgkUfIDMsdNQsbPis4SiIMalKpIxk5R-g99hXdwOsXqz5jbhQe=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:32.961Z,,
https://www.google.com/maps/place/Tacoma+Diesel+%26+Equipment/data=!4m7!3m6!1s0x5490f8aa3265dc0f:0xa70d1b7c54767ffc!8m2!3d47.2539733!4d-122.3572428!16s%2Fg%2F1tdfyfb4!19sChIJD9xlMqr4kFQR_H92VHwbDac,Tacoma Diesel & Equipment,3.9,39,Diesel engine dealer,"444 54th Ave E, Fife, WA 98424, United States","7J3V+H4 Fife, Washington, USA",http://www.tacomadiesel.com/,+1 253-922-8171,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOPKX7zlPPTLlCkXYUASUIQgYhVIq1B22mHrRo5=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:37.800Z,,· In-store pick-up
"https://www.google.com/maps/place/Washington+Electrical,+LLC/data=!4m7!3m6!1s0x2371c21d30b5eb77:0x77099c32d23790be!8m2!3d47.2318926!4d-122.3466612!16s%2Fg%2F11vrx2b839!19sChIJd-u1MB3CcSMRvpA30jKcCXc","Washington Electrical, LLC",5.0,65,Electrician,"2715 62nd Ave E j23, Fife, WA 98424, United States","6MJ3+Q8 Fife, Washington, USA",https://washingtonelectrical.net/,+1 253-234-5359,"Open · Closes 12 am

Updated by this business 12 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPgGEuo_UTHzKzxgcMWZeVPm--9HqJqC50n6iev=w426-h240-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-01-10T22:37:42.815Z,,
