placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Vaughan+Group+Ltd./data=!4m7!3m6!1s0x883893a7e49ccf8d:0x7b6029e3a3ef5d16!8m2!3d40.0896976!4d-83.1100411!16s%2Fg%2F11fy2gfdyv!19sChIJjc-c5KeTOIgRFl3vo-MpYHs,Vaughan Group Ltd.,4.9,198,Property management company,"6099 Riverside Dr #200, Dublin, OH 43017, United States","3VQQ+VX Dublin, Ohio, USA",https://vglltd.com/,+1 614-889-6600,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdIvZQbviNLMXeTIjIZlS0WOl0vdZq6tg1-G7_g7JUVPYj8OunDwj_9R-URU0xg_2wTNlV5TNKND6OoenHN0BsUBnO3_PHfxnkVoZzN233cJLT9x1Ifuv549BHqSHnfNGC5KKQ=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:01:53.698Z,,,
https://www.google.com/maps/place/Real+Property+Management+and+Community+Management+Solutions/data=!4m7!3m6!1s0x8838f394938e8899:0x26c4e64a7f90816e!8m2!3d40.0939115!4d-83.1293283!16s%2Fg%2F1tltn0q1!19sChIJmYiOk5TzOIgRboGQf0rmxCY,Real Property Management and Community Management Solutions,3.5,409,Property management company,"475 Metro Pl S Suite 330, Dublin, OH 43017, United States","3VVC+H7 Dublin, Ohio, USA",https://www.rpmanagement.com/?utm_source=gmb&utm_medium=Yext&y_source=1_Mzg3ODQ2NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 614-766-6500,,https://lh3.googleusercontent.com/p/AF1QipPI1LM8BW4lb41M1L_HmO0TwkoHTm3HOaGmL2GQ=w424-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:01:56.750Z,,,
https://www.google.com/maps/place/Apogee+Property+Management/data=!4m7!3m6!1s0x8838f3e1fe15f421:0x9c6c3d7ac5a0b403!8m2!3d40.0811102!4d-83.1283342!16s%2Fg%2F11rpdbzj_7!19sChIJIfQV_uHzOIgRA7SgxXo9bJw,Apogee Property Management,4.1,24,Property management company,"5100 Bradenton Ave Suite E, Dublin, OH 43017, United States","3VJC+CM Dublin, Ohio, USA",http://www.apogeepm.com/,+1 614-725-3095,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npqpwA9dwUL2ZYWFyfa0eICX0Pdp8TMdyLiYzSbBx0kRIOI6HPXfCnPj5KtxPWPuJ-VlJTIkKZyfmzjxzY44hQHK1SodPM3HZa-FBTSSjrNCmc0TZvVVmGokHBbBVdx1GHocJKg4g=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:01.254Z,,,
https://www.google.com/maps/place/Elite+Management+Services/data=!4m7!3m6!1s0x883893fca5f11ce3:0xea0d125cd6f7da9e!8m2!3d40.0929621!4d-83.1326494!16s%2Fg%2F11h4mwgr0w!19sChIJ4xzxpfyTOIgRntr31lwSDeo,Elite Management Services,1.9,22,Property management company,"545 Metro Pl S Suite 100, Dublin, OH 43017, United States","3VV8+5W Dublin, Ohio, USA",https://emspm.com/columbus-hoa-management/,+1 614-721-0006,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsus5xUMA4qK5u9XwRpDt644bz8xSMRbSViAu4w8Me1fdIwiYqpITKbzlwUTLkG7-5Z3RJ_3Q0SZgKrcYXOpoYQSHPzZ95H7ko_5P6TR60JYzCOY4c_JABZfFjw6tJqIznsAVCzg=w408-h544-k-no,true,8:30 am–6 pm,8:30 am–2 pm,Closed,Closed,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:06.698Z,,,
https://www.google.com/maps/place/I+Heart+Real+Estate+PM/data=!4m7!3m6!1s0x8838935a4721096f:0x747537a23e5baa9b!8m2!3d40.0951023!4d-83.1580514!16s%2Fg%2F11gfg0g2xb!19sChIJbwkhR1qTOIgRm6pbPqI3dXQ,I Heart Real Estate PM,4.4,111,Property management company,"6385 Shier Rings Rd #1, Dublin, OH 43016, United States","3RWR+2Q Dublin, Ohio, USA",http://ihrepm.com/,+1 877-614-7368,Open ⋅ Closes 3 pm,https://lh3.googleusercontent.com/p/AF1QipNqGs4LOP-9MwVgcC_B-4YZiSwjRVVj6gwmu-m3=w408-h272-k-no,true,9 am–3 pm,9 am–3 pm,Closed,Closed,9 am–3 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:11.403Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/The+Twenty+Seven+Group/data=!4m7!3m6!1s0x883893cb2234c233:0xb713aff318c19bee!8m2!3d40.0908407!4d-83.1268779!16s%2Fg%2F11x7qmftgz!19sChIJM8I0IsuTOIgR7pvBGPOvE7c,The Twenty Seven Group,1.0,2,Property management company,"6059 Frantz Rd #202, Dublin, OH 43017, United States","3VRF+86 Dublin, Ohio, USA",https://www.the27grp.com/,+1 614-957-0027,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cS28NNI_z-D5CjqyDCA9Lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.14569&pitch=0&thumbfov=100,true,10 am–4 pm,10 am–4 pm,Closed,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:16.205Z,Identifies as women-owned,,
"https://www.google.com/maps/place/FYVE+Realty,+LLC/data=!4m7!3m6!1s0x8838f3dd43b8cbab:0x201474b4d7f8ab55!8m2!3d40.0982423!4d-83.1133162!16s%2Fg%2F11n5llbmc6!19sChIJq8u4Q93zOIgRVav417R0FCA","FYVE Realty, LLC",3.7,79,Property management company,"66 S High St, Dublin, OH 43017, United States","3VXP+7M Dublin, Ohio, USA",http://www.fyve.com/,+1 844-548-3983,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMcVl74zRdHiWevzjIuKvtF3iIrNEXRhNP0X4p_=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:20.996Z,,,
https://www.google.com/maps/place/Clayman+Property+Services/data=!4m7!3m6!1s0x88389353dbf5c85d:0xf50628c4494cc7bd!8m2!3d40.1032667!4d-83.1563775!16s%2Fg%2F1vzv49__!19sChIJXcj121OTOIgRvcdMScQoBvU,Clayman Property Services,1.5,11,Property management company,"6724 Perimeter Loop Rd, Dublin, OH 43017, United States","4R3V+8C Dublin, Ohio, USA",https://claymanpropertyservices.com/,+1 614-842-1922,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LycXpY-ZEoGggjJGsWA4sQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.50598&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:23.677Z,,,
"https://www.google.com/maps/place/Larsen+Properties+of+Ohio/@40.0947727,-83.1523491,17z/data=!3m1!4b1!4m6!3m5!1s0x8838934501091ad1:0x71cddeee852ad1ec!8m2!3d40.0947727!4d-83.1523491!16s%2Fg%2F1vxvjj73",Larsen Properties of Ohio,5.0,1,Property management company,"5930 Wilcox Pl Suite D, Dublin, OH 43016, United States","3RVX+W3 Dublin, Ohio, USA",,+1 614-835-6650,Open ⋅ Closes 4:30 pm,,true,8:30 am–4:30 pm,8:30 am–4:30 am,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 am,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:30.352Z,,,
"https://www.google.com/maps/place/Spring+Property+Management/@40.1099398,-83.1695016,17z/data=!3m1!4b1!4m6!3m5!1s0x8838eb54711b08ad:0x6f4c0163588fab38!8m2!3d40.1099398!4d-83.1695016!16s%2Fg%2F1tds7c3g",Spring Property Management,2.0,4,Property management company,"7200 Gorden Farms Pkwy, Dublin, OH 43016, United States","4R5J+X5 Dublin, Ohio, USA",https://springpm.com/,+1 614-873-2600,,,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dublin+Columbus+OH/@40.1024767,-83.1406167,14z",2025-09-25T17:02:35.051Z,,,
