placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Adult+Psychiatry+Clinic+-+Medication/data=!4m7!3m6!1s0x52b3329f8ed334e3:0x658a6fb3262b6600!8m2!3d44.9708679!4d-93.260672!16s%2Fg%2F1tdqn99j!19sChIJ4zTTjp8ys1IRAGYrJrNvimU,Adult Psychiatry Clinic - Medication,4.6,18,Psychiatric hospital,"900 S 8th St #110, Minneapolis, MN 55404, United States","XPCQ+8P Minneapolis, Minnesota, USA",http://www.hcmc.org/,+1 612-873-2218,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRf0oh2Y6-MI-4CWVx6OpnyVc6byplXSQh1lqYhKp7OPdM31m1hF0iR6yzgh5emB2WQI54nNlJEnWDqsi8hgbyh8ovMBXkFxeZ3r40wb5Xp2idzE68KtErGJ-M6hGkfq2nP_YYbQ=w408-h544-k-no,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:12.890Z,,
https://www.google.com/maps/place/Associated+Clinic+of+Psychology+-+Minneapolis+Clinic/data=!4m7!3m6!1s0x87f62760979c74ef:0x60d5acbb59425769!8m2!3d44.9475623!4d-93.3311935!16s%2Fg%2F1tfccr23!19sChIJ73Scl2An9ocRaVdCWbus1WA,Associated Clinic of Psychology - Minneapolis Clinic,4.5,1165,Mental health clinic,"4027 County Rd 25, Minneapolis, MN 55416, United States","WMX9+2G Minneapolis, Minnesota, USA",https://acp-mn.com/acp-minneapolis/,+1 612-925-6033,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMgHGC9Y00yO9XxgemTvBhFAb48YGWSja7K_iN8=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:18.707Z,LGBTQ+ friendly,
https://www.google.com/maps/place/University+of+Minnesota+Psychiatry+Clinic/data=!4m7!3m6!1s0x52b32d3920541f0d:0xb1e5f97641e105f3!8m2!3d44.9674027!4d-93.2372371!16s%2Fg%2F11cr_7hs1h!19sChIJDR9UIDkts1IR8wXhQXb55bE,University of Minnesota Psychiatry Clinic,3.5,8,Psychiatric hospital,"2450 Riverside Ave f275, Minneapolis, MN 55454, United States","XQ87+X4 Minneapolis, Minnesota, USA",https://www.mhealth.org/care/specialties/psychiatry-adult,+1 612-273-8700,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MCul90upq-dvHINIUEFAQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.16733&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:24.233Z,,
https://www.google.com/maps/place/M+Health+Fairview+-+Psychiatry+Clinic/data=!4m7!3m6!1s0x52b32d397056b197:0xbdd3039aa4daaf05!8m2!3d44.9667334!4d-93.2371862!16s%2Fg%2F11bxd_ndqf!19sChIJl7FWcDkts1IRBa_apJoD070,M Health Fairview - Psychiatry Clinic,5.0,1,Medical clinic,"2450 Riverside Ave #3b, Minneapolis, MN 55454, United States","XQ87+M4 Minneapolis, Minnesota, USA",https://www.mhealth.org/care/specialties/psychiatry-adult,+1 612-273-8700,,https://lh3.googleusercontent.com/p/AF1QipN_M-OlZI444PAOR0OuLwbUhqysQML2ajyya_9y=w408-h276-k-no,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:27.425Z,,
https://www.google.com/maps/place/Fairview+Psychiatry+Clinic/data=!4m7!3m6!1s0x52b32d38c84eda11:0x127d9e9b6b6b8513!8m2!3d44.9678582!4d-93.2385301!16s%2Fg%2F1vgx0d54!19sChIJEdpOyDgts1IRE4Vra5uefRI,Fairview Psychiatry Clinic,2.3,15,Psychiatric hospital,"2312 S 6th St, Minneapolis, MN 55454, United States","XQ96+4H Minneapolis, Minnesota, USA",http://www.fairview.org/Locations/?qloc=D_150607,+1 612-672-6999,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jZKOLjNpjNmMRjdz7VaIQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.951817&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:32.661Z,,
https://www.google.com/maps/place/Catalyst+Mental+Health/data=!4m7!3m6!1s0x52b332d0bdcd63ab:0x5aa31ad7e4f5cf44!8m2!3d44.9635831!4d-93.2877083!16s%2Fg%2F1tfrl_01!19sChIJq2PNvdAys1IRRM_15Ncao1o,Catalyst Mental Health,3.9,16,Mental health clinic,"1915 Lyndale Ave S, Minneapolis, MN 55403, United States","XP76+CW Minneapolis, Minnesota, USA",http://www.catalystmentalhealth.com/,+1 800-336-5973,Closed · Opens 8:45 am Tue,https://lh3.googleusercontent.com/p/AF1QipP6ps1tjJPqoL64veLNs9MJiVR3OI3QiZbV1U0x=w408-h272-k-no,true,8:45 am–5:15 pm,8:45 am–5:15 pm,8:45 am–5:15 pm,8:45 am–5:15 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:37.774Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Phoenix+Mental+Health/data=!4m7!3m6!1s0x52b332c9ea0197b9:0x55663a4124b28fa2!8m2!3d44.9714765!4d-93.2864494!16s%2Fg%2F11c5xc1d_b!19sChIJuZcB6skys1IRoo-yJEE6ZlU,Phoenix Mental Health,3.7,13,Mental health clinic,"1624 Harmon Pl Suite 301, Minneapolis, MN 55403, United States","XPC7+HC Minneapolis, Minnesota, USA",http://phoenix-mental-health.com/,+1 612-444-6090,Closes soon · 9 pm · Opens 7 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zZao6OUYX8gy-FAx0JPFwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.07578&pitch=0&thumbfov=100,false,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:42.809Z,,
https://www.google.com/maps/place/top+health+center/data=!4m7!3m6!1s0x87f627569f649757:0x553e62fb4efe93c2!8m2!3d44.9468656!4d-93.2898281!16s%2Fg%2F11rc9jd93h!19sChIJV5dkn1Yn9ocRwpP-TvtiPlU,top health center,4.7,13,Mental health service,"810 W 31st St, Minneapolis, MN 55408, United States","WPW6+P3 Minneapolis, Minnesota, USA",http://tophealthcentermn.com/,+1 612-223-8163,Closed · Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMcuzWBOhIKE2ZeGL1x7bdSc3nFwYUMQWcGVUAa=w408-h544-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,12 am–4:30 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:47.891Z,,
https://www.google.com/maps/place/Hennepin+Healthcare+Psychiatry/data=!4m7!3m6!1s0x52b332a0286e7a6b:0x9451a56d2e63bbe4!8m2!3d44.972261!4d-93.2624545!16s%2Fg%2F1tf3nkd6!19sChIJa3puKKAys1IR5LtjLm2lUZQ,Hennepin Healthcare Psychiatry,3.0,4,Psychiatric hospital,"701 Park Ave, Minneapolis, MN 55415, United States","XPCQ+W2 Minneapolis, Minnesota, USA",https://www.hennepinhealthcare.org/specialty/psychiatry/,+1 612-873-2218,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fNluCBj1HWdFlZAF3cEVeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.97507&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:52.838Z,,
https://www.google.com/maps/place/Allina+Health+Mental+Health+%E2%80%93+Abbott+Northwestern+Clinic/data=!4m7!3m6!1s0x87f627ff6a500003:0x5fc094d2f76f40cc!8m2!3d44.9525623!4d-93.2620166!16s%2Fg%2F1tql5bdc!19sChIJAwBQav8n9ocRzEBv99KUwF8,Allina Health Mental Health – Abbott Northwestern Clinic,3.0,19,Mental health clinic,"800 E 28th St Wasie Building, 6th Floor, Minneapolis, MN 55407, United States","XP3Q+25 Minneapolis, Minnesota, USA",https://account.allinahealth.org/locations/100?utm_source=gmb&utm_medium=organic&utm_content=web-url&utm_campaign=gmb_website&utm_term=Allina-Health-Mental-Health-Abbott-Northwestern-Clinic,+1 612-863-5327,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1NJqTIrmFoekSJcP5-R4sA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=341.46732&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T02:16:57.831Z,,
