placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,info
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88d8d60c681b5ca9:0xdd9e050909c686f0!8m2!3d26.7236666!4d-80.0793605!16s%2Fg%2F1v3gspzn!19sChIJqVwbaAzW2IgR8IbGCQkFnt0,Tire Kingdom,4.6,1307,Tire shop,· In-store pick-up,"1544 Palm Beach Lakes Blvd, West Palm Beach, FL 33401, United States","PWFC+F7 West Palm Beach, Florida, USA",https://www.mavis.com/locations/west-palm-beach-palm-beach-lakes-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4193,+1 561-923-0668,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-77ex8PDvWB5oPu4P5W43abOoQWGvMh_aW7X_t5Hg3mvY4g6rkMP3fheDojTRY-mImZElhxUaNOIkDmlZ723hlMyOww1R_0FTx5YmRCWGCB-orvEUF1uuVnTqeatl3PMDxAythRFp1T6q=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:08.212Z,,
https://www.google.com/maps/place/Deals+on+Wheels+%26+Tires-+West+Palm+Beach/data=!4m7!3m6!1s0x88d8d6224ae0666f:0x639420eaf2561a1!8m2!3d26.7057901!4d-80.0913224!16s%2Fg%2F1tdk1ctz!19sChIJb2bgSiLW2IgRoWElrw5COQY,Deals on Wheels & Tires- West Palm Beach,3.5,488,Auto repair shop,,"3292 Shawnee Ave #9, West Palm Beach, FL 33409, United States","PW45+8F West Palm Beach, Florida, USA",https://fullservicemechanics.com/,+1 561-847-4097,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqdgKV2w1m6cWyHQsUl-5litLYVrVUDMECMRf2x--aA15DwFOY4H86IB2qlEs1zV2j2FsYc685mZBoK0F8cmfhsCFKwsiIPmWA838Zfcq6ZFMzrsdWQh-ytNfAwxDbfaEjl1Xw6zUGD6nCq=w408-h272-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:13.629Z,,
https://www.google.com/maps/place/Tire+Guy/data=!4m7!3m6!1s0x88d8d63eb2bc6acf:0xaa183a9d51e6a8ba!8m2!3d26.7020611!4d-80.0806861!16s%2Fg%2F11_q7znqk!19sChIJz2q8sj7W2IgRuqjmUZ06GKo,Tire Guy,4.6,318,Tire shop,,"1746 Donna Rd, West Palm Beach, FL 33409, United States","PW29+RP West Palm Beach, Florida, USA",https://www.wpbtireguy.com/,+1 561-542-8740,Open · Closes 5:45 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerc9vvSsWxR6zldnZB639R8Bjfu539p29u3gPYaEo1OnbPFQYoE4lzKsbjUVx2Se6mW6TTrfgCQB4Mx29CtwtioPyCNXzPWACc0jEzoQ6eSoEXHTFvChzQVtQ37jq6U2lG5lFq68g=w408-h408-k-no,true,10:15 am–5:45 pm,10:15 am–5:45 pm,10:15 am–5:45 pm,10:15 am–5:45 pm,10:15 am–5:45 pm,9:15 am–2:45 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:18.664Z,,
https://www.google.com/maps/place/NO+UGLY+TIRE+Incorporated/data=!4m7!3m6!1s0x88d8d680090140b5:0xbea5b347a5b2dee1!8m2!3d26.7283098!4d-80.053381!16s%2Fg%2F1thd7gqn!19sChIJtUABCYDW2IgR4d6ypUezpb4,NO UGLY TIRE Incorporated,4.8,345,Tire shop,· In-store pick-up,"1705 N Dixie Hwy, West Palm Beach, FL 33407, United States","PWHW+8J West Palm Beach, Florida, USA",http://nouglytire.com/,+1 561-833-8884,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjOtr-fNAbdAusjS_N1eZ9KX2W4F6bk041lSs6anrl9g9Talzv7mt1Cmz3kVENPTdHJ9B3ghQiUNRDUmkUg3EN62VNKzBoMCvO6HgRmwe1Y6vKKBv8vnxZY3U-E9W4SXq_RZeamw=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:23.552Z,,
"https://www.google.com/maps/place/Affordable+Tire+%26+Auto+Service,+Inc./data=!4m7!3m6!1s0x88d8d6274ac233c5:0x860d024731e41cfb!8m2!3d26.7027245!4d-80.0970538!16s%2Fg%2F1tg5vvqz!19sChIJxTPCSifW2IgR-xzkMUcCDYY","Affordable Tire & Auto Service, Inc.",4.6,271,Tire shop,· In-store shopping · In-store pick-up,"2730 Westgate Ave C, West Palm Beach, FL 33409, United States","PW33+35 West Palm Beach, Florida, USA",http://www.affordabletirewpb.com/,+1 561-932-3724,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5f-VIn35SDRa_T75a5CusSCGZHj3zQusVODsiLlxd8sMxRQMa3HmNDy_-YLCaPBjyzCBnmQdl-G3QKlkQ1oTy5-4XCjYcXAerwA2-sCpb1NnEtl9GeIZcthISeYNhjrUZUYFF=w493-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:28.635Z,,
https://www.google.com/maps/place/Pat%27s+Tires/data=!4m7!3m6!1s0x88d8d63c3339e36f:0x45cd9b98e581b4f7!8m2!3d26.7047487!4d-80.0825937!16s%2Fg%2F1tfjlx_c!19sChIJb-M5MzzW2IgR97SB5ZibzUU,Pat's Tires,4.8,206,Tire repair shop,,"1915 Church St, West Palm Beach, FL 33409, United States","PW38+VX West Palm Beach, Florida, USA",https://www.patstires.com/,+1 561-686-3980,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKDQCndZPFOvMTY7kz1W5L0c4KuKzHD6SSmnk9-VZI4IiYyKCBJb0MCswDp0WaZkb3HtDQ9VwMnR5KVvAKzRHergLdkkIrssd1I5XL8znbJCV5ufY_0w_rXRHIb-YUse1nipc=w426-h240-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:33.352Z,,
https://www.google.com/maps/place/Cheapo+Tires+%26+Wheels/data=!4m7!3m6!1s0x88d91cdbc62606af:0xc2fde0cbeae91de5!8m2!3d26.7027105!4d-80.0634721!16s%2Fg%2F11dxbtrpmq!19sChIJrwYmxtsc2YgR5R3p6svg_cI,Cheapo Tires & Wheels,4.8,127,Tire shop,· In-store pick-up,"1022 Charlotte Ave Suite 101, West Palm Beach, FL 33401, United States","PW3P+3J West Palm Beach, Florida, USA",https://cheapotireswpb.com/,+1 561-900-5579,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer_oEQPd97obVzbnAhWZzVRbbKi8ffSL-VvGXZfdCxO-8jIdUJ46oprPtrHWwoNl-ANTpyNCxPTnghSe-0mssqMynXjZBCe3xZMhhz9e37FGhyO7q_4BRp2iikDV8yLnI1E-p71ig=w408-h544-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:38.200Z,,
https://www.google.com/maps/place/HALMART+MOBILE+TIRE+Services/data=!4m7!3m6!1s0x88d8d53a691a487d:0xf0e8acc9f7c6ac0e!8m2!3d26.726737!4d-80.0618662!16s%2Fg%2F11plmj2xq9!19sChIJfUgaaTrV2IgRDqzG98ms6PA,HALMART MOBILE TIRE Services,4.9,54,Tire repair shop,,"1501 N Tamarind Ave, West Palm Beach, FL 33407, United States","PWGQ+M7 West Palm Beach, Florida, USA",http://halmartmobiletire.com/?utm_source=gmb&utm_medium=referral,+1 561-888-1230,"Open · Closes 10 pm

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-hb4LL3otKqAs4IeE8_Nbf_P3u1VuvjxkyEpq1v0pNZOoNgetQ6Dmol_A9dlwJeeeklhSWuiIuagrNK24uFcRRq1Rleds8--xylINRrKKjSRd-tmHJ6OhtEp8GbyC_saffiKk=w408-h306-k-no,true,6:30 am–10 pm,6:30 am–10 pm,6:30 am–10 pm,6:30 am–10 pm,6:30 am–10 pm,6:30 am–10 pm,6:30 am–10 pm,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:42.910Z,,
https://www.google.com/maps/place/Economy+Tire/data=!4m7!3m6!1s0x88d8d5d138081ef9:0xbe65888d2b0de0f!8m2!3d26.7362422!4d-80.0608673!16s%2Fg%2F1tf3cb3z!19sChIJ-R4IONHV2IgRD96w0ohY5gs,Economy Tire,4.6,312,Used tire shop,· In-store shopping · In-store pick-up,"900 25th St, West Palm Beach, FL 33407, United States","PWPQ+FM West Palm Beach, Florida, USA",https://www.economytireinc.com/,+1 561-833-6742,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep52v2jld1WT-O2ClLUn8t4W3nhAEH-Z4-Jy0S-qINeog_H_630atXksBWh7Hip-2cllwqei9OKwUZV1oAaw90VKhG1pNCXyTSC9cwjajuqpJoI7JPtYlTER62lR7-8t2mrDPdjIQ=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:47.762Z,,
https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x88d8d6602b5fde4d:0x70e50596e491ad22!8m2!3d26.7088146!4d-80.0539394!16s%2Fg%2F1thnpknd!19sChIJTd5fK2DW2IgRIq2R5JYF5XA,Goodyear Auto Service,4.3,129,Tire shop,· In-store shopping · In-store pick-up,"515 S Dixie Hwy, West Palm Beach, FL 33401, United States","PW5W+GC West Palm Beach, Florida, USA",https://www.goodyearautoservice.com/,+1 561-832-4181,"Open · Closes 5 pm

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPDBN0X1bBy5ITIV29h7kt_xwgcdqkbvwCexVVP0T0K38Rr_Ak3odgzJfJAJ5q2E9fH55f30p_F-Dnd4LVY0EUgkIIZ7B9hQUxKx7d0jKaUAWwYsZk_NtIiTijgtNIsQ=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+West+Palm+Beach+Palm+Beach+FL/@26.7144532,-80.0549456,14z",2026-03-23T15:45:52.766Z,,
