placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Triple+J+Tree+Service/data=!4m7!3m6!1s0x8888aa142207f5eb:0x56993f2fc48378b6!8m2!3d33.1271976!4d-87.5234912!16s%2Fg%2F12616pb5z!19sChIJ6_UHIhSqiIgRtniDxC8_mVY,Triple J Tree Service,4.7,64,Tree service,"1035 Taylorwood Cir, Tuscaloosa, AL 35405, United States","4FGG+VJ Tuscaloosa, Alabama, USA",http://www.triplejtreeserviceal.com/,+1 205-758-1141,"Open 24 hours

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGD2maip-R5khRoIgd4pqxgmj4g_UN6uw9lpzb2hFHjxsGnvcZfSHm0eibT3SXfAhehs4s0T6xBUNQ2efXmu77lfeT7kSK4rg4AILUordDexbsV8IFxZi9a6zE0gxzoPWFV1N1tA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:20.428Z,,,,
"https://www.google.com/maps/place/RedTop+Tree+Service,+LLC/data=!4m7!3m6!1s0x8888a788d42ec1d9:0x74fe0072bb3d4157!8m2!3d33.306606!4d-87.4532245!16s%2Fg%2F11gyc3q6hw!19sChIJ2cEu1IiniIgRV0E9u3IA_nQ","RedTop Tree Service, LLC",4.7,21,Tree service,,,http://redtoptreeservice.com/,+1 205-361-0678,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlzIQNRY2eOWMMV1yCPET-BvuVMI72zq-dG6pIkBYDobh-sXvz5VQgu4KrEhvX8aLVrB4hQ_iCgHGxtagV7n93Zwv3fne80gljtKgWGkPZ9e6Z8XIcxdeKSgoA2LftTsjGVjQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:26.548Z,,,,
https://www.google.com/maps/place/Druid+City+Tree+Service/data=!4m7!3m6!1s0x8713456780a9bd7f:0xd7d6e7a68fa22ab6!8m2!3d33.1994281!4d-87.526487!16s%2Fg%2F11jyd40rg9!19sChIJf72pgGdFE4cRtiqij6bn1tc,Druid City Tree Service,,,Tree service,"1320 McFarland Blvd E #47, Tuscaloosa, AL 35401, United States","5FXF+QC Tuscaloosa, Alabama, USA",http://www.treeremoval-tuscaloosa.com/,+1 205-890-5766,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yrTBqHluYkD0KQDgZ7Lk8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.789871&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–4 pm,Closed,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:31.231Z,,,,
https://www.google.com/maps/place/Keith%27s+Tree+Service/data=!4m7!3m6!1s0x8888a9029317b0d7:0x6ba79cfb36ba0d9a!8m2!3d33.1879722!4d-87.5146435!16s%2Fg%2F1tfk9sqy!19sChIJ17AXkwKpiIgRmg26Nvucp2s,Keith's Tree Service,2.3,3,Tree service,"1708 24th E St, Tuscaloosa, AL 35404, United States","5FQP+54 Tuscaloosa, Alabama, USA",,+1 205-242-5275,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAkJvoonGhL2xM0S93bQoVHM6WxTvmZYvdeVZdabC7uYH9STLycTQEUpczM5xq4Q2jgS5wvR6WgvFvC_B--uuS-QGZKpxlRGc8pKLvzYE1j2rvsOfRrm9Vun0KJ1rooWR08tSZ=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:36.137Z,,,,
https://www.google.com/maps/place/A-1+Pro+Tree+Service/data=!4m7!3m6!1s0x888601eaaaaaaaab:0x32a7c3e6089becbc!8m2!3d33.2621425!4d-87.5607018!16s%2Fg%2F113jbtdr8!19sChIJq6qqquoBhogRvOybCObDpzI,A-1 Pro Tree Service,4.9,31,Tree service,"Union Chapel Rd, Northport, AL 35473, United States","7C6Q+VP Northport, Alabama, USA",,+1 205-292-7030,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUcM_Eb9wk7dqMIkLHVIF31zyUntS1BRIYq_vGnwEtGuJZDNGSYQ258zqm1RIbFLXjEWOpWp7rRM2A3EFv69HAF8ut8roN94-zxzc7pZ92R_UvQyE6LKy3J2eafSfeW1DSsyTR=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:41.047Z,,,,
https://www.google.com/maps/place/Robert+Tree+Service+Company/data=!4m7!3m6!1s0x8886039abe61db51:0xb3d04e79faf10323!8m2!3d33.2846624!4d-87.4551114!16s%2Fg%2F11fk4dvbhz!19sChIJUdthvpoDhogRIwPx-nlO0LM,Robert Tree Service Company,5.0,5,Tree service,,,http://www.tuscaloosa-treeservice.com/,+1 205-900-3877,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH56ekY4630iXj9XpxP0s-4mnuAHPzIskNLKHo4afRtaCzswgqQ0GWO0umf_vgFzIwwcDrvGAbdmQUODwUChDXZgtptNchaooL-Gow8lL9URwC42Pumj3IY6eLybfQet8QNpnY4rg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:45.841Z,,,,
https://www.google.com/maps/place/Ray+Of+Hope+Properties+LLC/data=!4m7!3m6!1s0x88861b1e3d529017:0x5cddfc83be8151bd!8m2!3d33.1766204!4d-87.5422599!16s%2Fg%2F11j5192f0t!19sChIJF5BSPR4bhogRvVGBvoP83Vw,Ray Of Hope Properties LLC,5.0,185,Landscaper,"3619 5th Ave, Tuscaloosa, AL 35405, United States","5FG5+J3 Tuscaloosa, Alabama, USA",https://rayofhopepropertiesllc.com/,+1 205-657-8587,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSIJxIbx8O1yvQmrKxSHKKJW7WimwR03zOjXXTL0t41A-B5yFf5zM1exDqvMvkIGbU7We2eAXIX_mu4Kb2emuV3k5cyPuQG2I29Z_qGV7KrWIb5Ic07lg9KJCKad1tLhyvk7LUZcq_JPhV=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:51.883Z,,,,
https://www.google.com/maps/place/Landscaping+%26+Garden+Services/data=!4m7!3m6!1s0xe0a3db9e4fe87ff:0xf78e0cc1e5d3aa65!8m2!3d33.2168735!4d-87.462051!16s%2Fg%2F11n3nymw_m!19sChIJ_4f-5Lk9Cg4RZarT5cEMjvc,Landscaping & Garden Services,5.0,2,Landscaper,,,https://www.landscapinggardenservicestuscaloosa.com/,+1 659-240-4545,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPKZ9HDgjuVMmAOztddkKgbO0Y0-3_KGZn4nTGva3o2DqConGUe8rzsrSeXbFPgLsacIk1DRSXkLFxLhuobbvSfYTtQIYdXg7uCfY2gwwOfgdv08e-Qfon9KgG93hf7MJqOa9CFrju9B4=w408-h408-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:32:56.449Z,,,,
https://www.google.com/maps/place/ProEarth/data=!4m7!3m6!1s0x88860307c58be2a5:0x9c6e7f0552c4bdca!8m2!3d33.1874302!4d-87.5422318!16s%2Fg%2F11v3fmf479!19sChIJpeKLxQcDhogRyr3EUgV_bpw,ProEarth,4.0,3,Forestry service,"401 25th Pl, Tuscaloosa, AL 35401, United States","5FP5+X4 Tuscaloosa, Alabama, USA",https://proearthusa.com/,+1 205-600-7574,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_4byxpJPERszohDoU1X0XOrthvl0CC-U4SbZkM7azGx2d8seaw-_LTCQ1lkfH-B6SnH-CHO75WEpSjkiujFbtpauYeE_qupo8dfujRkA26NgWkQb9HPABwo1Ur6Yzotxsciyr=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:33:01.316Z,,,,
https://www.google.com/maps/place/U.S.+Lawns+-+Tuscaloosa/data=!4m7!3m6!1s0x88860266ede1a39b:0x78a9c11207ef14b6!8m2!3d33.306606!4d-87.4532245!16s%2Fg%2F11bv3_clmq!19sChIJm6Ph7WYChogRthTvBxLBqXg,U.S. Lawns - Tuscaloosa,4.7,3,Landscaper,,,https://uslawns.com/locations/al/tuscaloosa/,+1 205-349-8697,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG645a7pnJy9U2knmf9UKyRv5FNgoM2aUYC8c75wH1XqhazxlwujQoxqfNiX6C5DB9DtM_LemxXvOaUUsKa-GHH-UKe-LkEzpuhaGqwio1jVX2xHgMINwqKobuvF5SqWXjAFfR31Q=w420-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-04-29T04:33:06.371Z,,,,
