placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Caring+Hands+Caregivers/data=!4m7!3m6!1s0x808fb4440f762529:0xdf89f46244c4a4cb!8m2!3d37.322719!4d-122.054687!16s%2Fg%2F11clwph1yz!19sChIJKSV2D0S0j4ARy6TERGL0id8,Caring Hands Caregivers,4.9,48,Home health care service,"21730 Stevens Creek Blvd #201C, Cupertino, CA 95014, United States","8WFW+34 Cupertino, California, USA",http://chcgivers.com/,+1 408-539-9739,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMyfoCF2ZUbJ1c81pRtoZBmRg7R5jl0Nk-CGlBp=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:21.209Z,,,
https://www.google.com/maps/place/Cupertino+Healthcare+%26+Wellness/data=!4m7!3m6!1s0x808fb46ef5de8555:0xc532ffc09597d0bb!8m2!3d37.3174049!4d-122.0694232!16s%2Fg%2F1v26mbhx!19sChIJVYXe9W60j4ARu9CXlcD_MsU,Cupertino Healthcare & Wellness,3.7,79,Nursing home,"22590 Voss Ave, Cupertino, CA 95014, United States","8W8J+X6 Cupertino, California, USA",http://cupertinohc.com/,+1 408-253-9034,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqcNcZ5bW_3V5Zwl0vckDjSVjGb56rb1BK2ErEsyLaTJODHC6r8-SmqvssRgzLH3dCJ6PH9cumZtVENzY2rnWU89gl2KK137YotS_203GPiqLYvI3AdXATzjPYGlZ4s1AXLdzTx=w408-h544-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:27.443Z,,,
https://www.google.com/maps/place/Sunshine+Health+Care+Center/data=!4m7!3m6!1s0x808fb56cefebada7:0x6b934c70f4fd93de!8m2!3d37.3088061!4d-122.013544!16s%2Fg%2F11cm3pnfy8!19sChIJp63r72y1j4AR3pP99HBMk2s,Sunshine Health Care Center,,,Home health care service,"Orchard Farms Shopping Center, 6172 Bollinger Rd, San Jose, CA 95129, United States","8X5P+GH San Jose, California, USA",,+1 408-702-2111,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfLMtE_HPSR-TcxdUYNcUdT75jqcu78ZrxoB7IyDPaAnFy3JNEUbTc9uQJ_SwaLCWEjk8X_TNBKvMhHmh4OpFvahSvi2UZzo7DRTNtt0i8lidk0toaAbH1gq3eS-AFFLq3Y9mbNw=w408-h294-k-no,false,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:32.308Z,,,
https://www.google.com/maps/place/Focus+Health+-+San+Jose/data=!4m7!3m6!1s0x808fb51b7ee49fd3:0xc0f4af3ca96b6b8b!8m2!3d37.30277!4d-121.9505534!16s%2Fg%2F1tvgvl19!19sChIJ05_kfhu1j4ARi2trqTyv9MA,Focus Health - San Jose,5.0,3,Home health care service,"1245 S Winchester Blvd UNIT 200, San Jose, CA 95128, United States","823X+4Q San Jose, California, USA",http://www.focushomehealth.com/,+1 855-306-6406,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mX9ImtfF98Al-2A3HnPVvQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.19635&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:37.363Z,,,
https://www.google.com/maps/place/Sunny+View+Care+Center/data=!4m7!3m6!1s0x808fb46b59838edf:0xa2aaa81ced6b1cc8!8m2!3d37.3238478!4d-122.0665585!16s%2Fg%2F11c1s0n39_!19sChIJ346DWWu0j4ARyBxr7RyoqqI,Sunny View Care Center,5.0,3,Rehabilitation center,"22445 Cupertino Rd, Cupertino, CA 95014, United States","8WFM+G9 Cupertino, California, USA",http://www.sunnyviewrehab.org/,+1 408-454-5657,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipO3__v60MIQzxOi2tnbd63z_iThpvWZ5rH4VyJ6=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:42.253Z,,,
https://www.google.com/maps/place/Visiting+Angels/data=!4m7!3m6!1s0x808fcabc41d180df:0x920cad309e49dd4a!8m2!3d37.309277!4d-121.977148!16s%2Fg%2F1tfkwj__!19sChIJ34DRQbzKj4ARSt1JnjCtDJI,Visiting Angels,4.5,8,Home health care service,"940 Saratoga Ave #215, San Jose, CA 95129, United States","825F+P4 San Jose, California, USA",https://www.visitingangels.com/sanjose2/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 408-241-5100,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMDi5pcRDC8LFZ8QzgXbxTU-oehgl53LDd6Nqog=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:47.222Z,,,
https://www.google.com/maps/place/HealthFlex+Home+Health+%26+Hospice/data=!4m7!3m6!1s0x808fcb4c6276c167:0xe1129262a3576f8b!8m2!3d37.317646!4d-121.9475635!16s%2Fg%2F11t8q0gxwt!19sChIJZ8F2YkzLj4ARi29Xo2KSEuE,HealthFlex Home Health & Hospice,5.0,56,Home health care service,"3031 Tisch Way #450, San Jose, CA 95128, United States","8392+3X San Jose, California, USA",http://healthflex.com/,+1 510-553-1900,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipM9kMEm03JmvVO2HX4CAQkKKFcNfkhxNuFHUb6C=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Closed,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:52.201Z,,,
"https://www.google.com/maps/place/Lorian+Health+San+Jose/@37.3146349,-121.9726676,17z/data=!3m1!4b1!4m6!3m5!1s0x808fcbcfb7ed273f:0x1e7759dba1ec3b32!8m2!3d37.3146349!4d-121.9726676!16s%2Fg%2F11yht3cyp4",Lorian Health San Jose,,,Home health care service,"4010 Moorpark Ave #112, San Jose, CA 95117, United States","827G+VW San Jose, California, USA",https://www.lorianhealth.com/,+1 408-441-0522,"Open ⋅ Closes 6 pm

Updated by this business 4 weeks ago",,,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:19:59.011Z,,,
https://www.google.com/maps/place/All+Seasons+Homecare/data=!4m7!3m6!1s0x808fcbba735c3de3:0x6b539c927b8bfb78!8m2!3d37.3444001!4d-121.9304671!16s%2Fg%2F1hhk8g_16!19sChIJ4z1cc7rLj4ARePuLe5KcU2s,All Seasons Homecare,5.0,19,Home health care service,"2160 The Alameda Suite F, San Jose, CA 95126, United States","83V9+QR San Jose, California, USA",http://www.allseasons-homecare.com/,+1 408-279-3030,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOUtioTKuCkknubzqgs2B6VUYnN2pbNe7ul4w1X=w408-h301-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:04.083Z,,,
https://www.google.com/maps/place/ProHealth+Home+Care+Inc/data=!4m7!3m6!1s0x808fc960ca06dcbd:0xa114998c0b3378c1!8m2!3d37.3918091!4d-121.9263398!16s%2Fg%2F1vzv3xc4!19sChIJvdwGymDJj4ARwXgzC4yZFKE,ProHealth Home Care Inc,4.7,50,Home health care service,"2700 Zanker Rd # 180, San Jose, CA 95134, United States","93RF+PF San Jose, California, USA",https://prohealth.us/,+1 408-451-9055,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipMiNUeZ6PSz_X5gfbSirMMoQV_pG8VstfkL4lgj=w408-h325-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–4 pm,9 am–4 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:09.140Z,,,
https://www.google.com/maps/place/Ready2Nurse+Home+Health/data=!4m7!3m6!1s0x808e35cb70490b91:0xeccdbc28d6646c39!8m2!3d37.3164265!4d-121.932645!16s%2Fg%2F11f7r0nql0!19sChIJkQtJcMs1joAROWxk1ii8zew,Ready2Nurse Home Health,5.0,27,Home health care service,"2211 Moorpark Ave #250, San Jose, CA 95128, United States","8388+HW San Jose, California, USA",http://www.ready2nurse.com/,+1 408-296-9009,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMmxy8t1BP0I00BCzi9ZnC53_KSHVyrnVtwu3gO=w408-h407-k-no,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:14.471Z,,,
https://www.google.com/maps/place/Absolute+Senior+Solutions/data=!4m7!3m6!1s0x808fca95e0bc435f:0xe9fbdd8ff626e192!8m2!3d37.3146679!4d-121.9754822!16s%2Fg%2F11c1r_rh2k!19sChIJX0O84JXKj4ARkuEm9o_d--k,Absolute Senior Solutions,5.0,40,Home health care service,"4125 Blackford Ave Suite 140, San Jose, CA 95117, United States","827F+VR San Jose, California, USA",https://www.abseniorsolutions.com/?utm_source=gmb&utm_medium=listing&utm_campaign=2025,+1 408-610-9997,Open ⋅ Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipPPZUATTDDEp7DFL-2R0y188OTMy59nTKaxfpyd=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–3 pm,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:19.420Z,,,
https://www.google.com/maps/place/CenterWell+Asian+American+Home+Health/data=!4m7!3m6!1s0x808fcb727b89534d:0x6b307b2c6dcaa8f4!8m2!3d37.339838!4d-121.921333!16s%2Fg%2F1vxdyj1v!19sChIJTVOJe3LLj4AR9KjKbSx7MGs,CenterWell Asian American Home Health,4.8,38,Home health care service,"1840 The Alameda, San Jose, CA 95126, United States","83QH+WF San Jose, California, USA",https://www.centerwellhomehealth.com/about-us/find-care-near-you/h250/centerwell-asian-american-home-health-san-jose?utm_source=Organic&utm_medium=GBP,+1 408-283-5105,Open ⋅ Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOO78skIV2EZr0pPCNLkog6885E8YY95yyZhZv_=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:24.443Z,,,
https://www.google.com/maps/place/Nor-Cal+Professional+Home+Health+Care+Services/data=!4m7!3m6!1s0x808fcad52c0b93f5:0x4bbd81060fb1bde0!8m2!3d37.3177477!4d-121.9477554!16s%2Fg%2F1tdqbtlc!19sChIJ9ZMLLNXKj4AR4L2xDwaBvUs,Nor-Cal Professional Home Health Care Services,3.0,2,Home health care service,"3031 Tisch Way Suite 100, San Jose, CA 95128, United States","8392+3V San Jose, California, USA",http://www.nor-calprofessional.com/,+1 408-244-6700,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7jZpH42ZwZPPmR522mQmgA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.5499&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2025-09-10T21:20:29.455Z,,,
