placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Greyrock+Pool+Service/data=!4m7!3m6!1s0x87694a81b36a0ebd:0x93efb33808414fee!8m2!3d40.6057654!4d-105.0761189!16s%2Fg%2F11c1vlcmzq!19sChIJvQ5qs4FKaYcR7k9BCDiz75M,Greyrock Pool Service,1.8,10,Swimming pool contractor,"1310 N College Ave, Fort Collins, CO 80524, United States","JW4F+8H Fort Collins, Colorado, USA",,+1 970-692-4429,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw-VZdFqTtalIRySKdG0qMONLb6JFkD1KhALUg3N28ABx5e2eupj2_sHb3tbz6jYosSPYiv7nxOqG6SIL_axzdMPn5uo1DK5KHIUJlXEap0xppo0-f-lWt3LQgwUpoLZYSa8t98=w408-h306-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:28.146Z,,,
"https://www.google.com/maps/place/Splash+Swim+School+and+Pool+Services,+Inc/data=!4m7!3m6!1s0x876936072bb5f41f:0xb77ca560eac2e658!8m2!3d40.5675865!4d-105.096516!16s%2Fg%2F1tfs1kd3!19sChIJH_S1Kwc2aYcRWObC6mClfLc","Splash Swim School and Pool Services, Inc",4.1,62,Swimming instructor,"1110 W Prospect Rd, Fort Collins, CO 80526, United States","HW93+29 Fort Collins, Colorado, USA",http://splashpoolservices.com/,+1 970-631-8227,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOJLrNvG04ILtCyWlW0j4JmGiBoWXDtJ3UEDF9n=w426-h240-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:34.698Z,,,
https://www.google.com/maps/place/High+Country+Pools+%26+Spas/data=!4m7!3m6!1s0x87694cf780d0aaf5:0xb9f5b1087263b11f!8m2!3d40.497886!4d-105.0767111!16s%2Fg%2F1vp6_nwk!19sChIJ9arQgPdMaYcRH7Fjcgix9bk,High Country Pools & Spas,4.7,38,Swimming pool contractor,"6330 S College Ave, Fort Collins, CO 80525, United States","FWXF+58 Fort Collins, Colorado, USA",https://highcountrypools.com/,+1 970-226-2657,"Open ⋅ Closes 5 pm

Updated by others 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZ53MxWpbrmUgOiNQQGR74n6c8YRk5Mmd0rAQlWECUy6htdc1Bv17olI4CjNMU75lw5r5c_q9_MugG0_oXZjRlEGWbOWADwnqnF6Q7phtalKOh8XQPOx0WFTWAm5TJDORcEo5ShA=w408-h309-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:39.599Z,,,
https://www.google.com/maps/place/RnR+Pool+Services/data=!4m7!3m6!1s0xa1a6ab2ee7427777:0x53a13cc45f25baa!8m2!3d40.5557434!4d-105.072209!16s%2Fg%2F11tj6y10g0!19sChIJd3dC5y6rpqERqlvyRcwTOgU,RnR Pool Services,4.0,4,Swimming pool contractor,,,https://fortcollinspoolcleaning.com/,+1 970-410-6749,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQxMP6kZMal5pefRUfbtxitUV3FqsRqQ8wL4fdILKYNY6r8GMsMnfOBDtixU10vGBcjegTHcJ2mxCfR8coD8aMtLZP6sqtUNfCTd_YRcOgwVj681ZEhXY0rxWqy2gEgKmZoOYL3UqBsc8=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:44.482Z,,,
https://www.google.com/maps/place/Spa+World+Fort+Collins/data=!4m7!3m6!1s0x87694b0722a1f08d:0x8a3c7b04443481db!8m2!3d40.5607247!4d-105.076571!16s%2Fg%2F1tfwkvgr!19sChIJjfChIgdLaYcR24E0RAR7PIo,Spa World Fort Collins,4.8,137,Hot tub store,"2040 S College Ave, Fort Collins, CO 80525, United States","HW6F+79 Fort Collins, Colorado, USA",https://espaworld.com/,+1 970-493-1765,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPq2ePJ7Bv47QU7mklb_igp3fxJ-5cdigp29E-J=w546-h240-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,12–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:49.476Z,· In-store pick-up · Delivery,,
"https://www.google.com/maps/place/A%26B+Pool+Services+LLC/@46.423669,-129.9427085,3z/data=!3m1!4b1!4m6!3m5!1s0x87694c9483001245:0x2f733de29a05c495!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1hc0t79d1",A&B Pool Services LLC,3.0,2,Swimming pool contractor,,,http://www.abpoolservices.com/,+1 970-599-3381,,,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:54.262Z,,,
https://www.google.com/maps/place/Spa+Palace+Hot+Tubs+and+Saunas+-+Fort+Collins/data=!4m7!3m6!1s0x87694d07a35d04b7:0x800760e122757b56!8m2!3d40.4791816!4d-105.0766021!16s%2Fg%2F1vs1sc6z!19sChIJtwRdowdNaYcRVnt1IuFgB4A,Spa Palace Hot Tubs and Saunas - Fort Collins,4.5,87,Hot tub store,"7620 S College Ave, Fort Collins, CO 80525, United States","FWHF+M9 Fort Collins, Colorado, USA",https://spapalace.com/locations/fort-collins/,+1 970-593-1000,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_al0EnkfsEb6yojIHKCtKqC850pHms6j2cOjepQTrJtTkF9TGx2vyP8MFi9diltU5mABI_shc64u2iMxRYVngkcfSSGR_KUCd8mlW7TfUaYf9HyNi8CeUg4WKN7uH_OHGp61v=w481-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,12–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:34:59.289Z,· In-store pick-up · Delivery,,
https://www.google.com/maps/place/Waterwise+Land+%26+Waterscapes+inc./data=!4m7!3m6!1s0x87694a8ad1a215b5:0x30812536dd911485!8m2!3d40.6139138!4d-105.0855277!16s%2Fg%2F1tfnz1w_!19sChIJtRWi0YpKaYcRhRSR3TYlgTA,Waterwise Land & Waterscapes inc.,4.5,24,Landscaper,"1930 N Whitcomb St, Fort Collins, CO 80524, United States","JW77+HQ Fort Collins, Colorado, USA",http://www.waterwiselandscapes.com/,+1 970-221-4051,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOKzz4LNCXrivOLlOMgI6uuBiIg9sNzsORl3V_0=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:35:04.389Z,,,
https://www.google.com/maps/place/Patio+Splash+Hot+Tubs+%26+Spas+Fort+Collins/data=!4m7!3m6!1s0x87694cf5cf1a4a59:0x83b6a91db2fc1849!8m2!3d40.4997382!4d-105.0767621!16s%2Fg%2F11ckkrsts3!19sChIJWUoaz_VMaYcRSRj8sh2ptoM,Patio Splash Hot Tubs & Spas Fort Collins,4.9,221,Hot tub store,"6208 S College Ave, Fort Collins, CO 80525, United States","FWXF+V7 Fort Collins, Colorado, USA",http://www.patiosplash.com/,+1 970-223-3544,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxpD3_D3-4E9uhuR-q8msUm9OjCy9vEL0kXulFU6gl3Mcyc6L5AdQPyY7xABqb5Wf6tjJLXJpkNIY0JRPwPh0EY9I38HdqzC3ukRSJ0IUs9qY06NxOzYPG0kimY1m1VGRT85cQV=w591-h240-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10:30 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:35:09.457Z,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/Detailed+Landscape/data=!4m7!3m6!1s0x87694a7eeb323777:0xb29502bde7dd84fc!8m2!3d40.6033593!4d-105.0829166!16s%2Fg%2F1v42g8xb!19sChIJdzcy635KaYcR_ITd570ClbI,Detailed Landscape,4.3,23,Landscape designer,"325 Hickory St Suite 110, Fort Collins, CO 80524, United States","JW38+8R Fort Collins, Colorado, USA",http://detailedlandscape.com/,+1 970-221-4038,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNo6ChKfpl0ii-rrWebduRzsny2H_mDcIAuPokl=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-10-27T19:35:14.252Z,,,
