placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Stegner+Property+Management/data=!4m7!3m6!1s0x87694ad8a4fb7b8f:0x9959e388fa08ba50!8m2!3d40.5735321!4d-105.0554656!16s%2Fg%2F1td2btv7!19sChIJj3v7pNhKaYcRULoI-ojjWZk,Stegner Property Management,4.3,171,Property management company,"1020 Luke St # B, Fort Collins, CO 80524, United States","HWFV+CR Fort Collins, Colorado, USA",https://www.stegnerrentals.com/,+1 970-420-2191,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMlWRo6IzCROUPtcWST4SkQVO9noOhXUT73YfQF=w408-h308-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:01.300Z,,,
https://www.google.com/maps/place/Brass+Key+Property+Management/data=!4m7!3m6!1s0x87694af319d8886f:0xe24e97944d99501!8m2!3d40.5864593!4d-105.0710803!16s%2Fg%2F1vljgtqw!19sChIJb4jYGfNKaYcRAZXZRHnpJA4,Brass Key Property Management,2.5,31,Property management company,"115 Riverside Ave, Fort Collins, CO 80524, United States","HWPH+HH Fort Collins, Colorado, USA",http://www.brasskey.biz/,+1 970-224-9134,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQ0uUEnzMqf0e-GphMDDJ5u-UPjGfdaXKmr87yYX-aRQeZrFC4LIWPaLE0IU-1SXodhhYfE7MQC81YoJ_vtw-br6wp1mDX-8GPAH3NEt2bYHi9zQCHsbCzjjvMirkoDn7pD-lh=w408-h254-k-no,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:07.570Z,,,
"https://www.google.com/maps/place/Trademark+Property+Management+Group,+Inc./data=!4m7!3m6!1s0x87694b00e4a84bfb:0xbe2b05a5e4d60cb9!8m2!3d40.5874522!4d-105.0786806!16s%2Fg%2F11dym5dj53!19sChIJ-0uo5ABLaYcRuQzW5KUFK74","Trademark Property Management Group, Inc.",3.9,72,Property management company,"100 N Mason St, Fort Collins, CO 80524, United States","HWPC+XG Fort Collins, Colorado, USA",https://trademarkpmg.com/,+1 970-237-6969,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b2s88DcOqU8hNLFYVekc6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.03147&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:10.582Z,,,
https://www.google.com/maps/place/All+Property+Services/data=!4m7!3m6!1s0x87694a8ac28a73e1:0x84f44bf2b26b0cd2!8m2!3d40.5659964!4d-105.0766101!16s%2Fg%2F1tdx00h6!19sChIJ4XOKwopKaYcR0gxrsvJL9IQ,All Property Services,2.9,137,Property management company,"1630 S College Ave, Fort Collins, CO 80525, United States","HW8F+99 Fort Collins, Colorado, USA",,+1 970-224-4446,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPAXCqCyELrOuvGMY_8iUf5NPtrQxQ6_fHQAr4=w426-h240-k-no,true,9 am–5 pm,9 am–1 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:15.304Z,,,
https://www.google.com/maps/place/Mascot+Property+Management/data=!4m7!3m6!1s0x87694b1c490b560f:0xaa21605910f00114!8m2!3d40.5756511!4d-105.1200254!16s%2Fg%2F11ld990c_l!19sChIJD1YLSRxLaYcRFAHwEFlgIao,Mascot Property Management,5.0,16,Property management company,"916 Ponderosa Dr, Fort Collins, CO 80521, United States","HVGH+7X Fort Collins, Colorado, USA",https://mascotproperties.com/,+1 970-410-4028,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPStVonuh8mNG001_flUlY9da6yEdOknfeRwGKo=w408-h271-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:20.404Z,,,
https://www.google.com/maps/place/Evernest+Property+Management+Fort+Collins/data=!4m7!3m6!1s0x87694a8ac5d84aa1:0x9bb29e68623fbe21!8m2!3d40.5654516!4d-105.0387152!16s%2Fg%2F1ptx842ly!19sChIJoUrYxYpKaYcRIb4_Ymiesps,Evernest Property Management Fort Collins,3.9,449,Property management company,"2121 Midpoint Dr STE 101, Fort Collins, CO 80525, United States","HX86+5G Fort Collins, Colorado, USA",https://www.fortcollinspropertymanagement.co/,+1 303-768-8255,,https://lh3.googleusercontent.com/p/AF1QipNG4fsPuDnhPYA66xqlPsUvrFVYjTv8pW43nHY-=w506-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:23.345Z,,,
https://www.google.com/maps/place/Colorado+Association+Services/data=!4m7!3m6!1s0x87694b919d0e3137:0x2185791cc0f7be55!8m2!3d40.5372738!4d-105.0958248!16s%2Fg%2F11g_v2bsl!19sChIJNzEOnZFLaYcRVb73wBx5hSE,Colorado Association Services,4.3,121,Property management company,"1063 W Horsetooth Rd #100, Fort Collins, CO 80526, United States","GWP3+WM Fort Collins, Colorado, USA",https://www.associacolorado.com/?utm_source=gmb&utm_medium=Yext&y_source=1_Mjc2NjU4MDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 970-407-9990,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVneY8REm6_ran8k0oejlRi-2kkMZ2xDvAlPATpcEpkg2cAUNm4pfDKC8S7_uyGH3e2L4ydFFTF02MvPDOwV9J4yNLFNBbbQfUV7N9-gGYZI7udVhd4zYjWMW0AE9hDqZm50KTsbXcWYU=w408-h544-k-no,true,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:28.569Z,,,
https://www.google.com/maps/place/TBC+Property+Management+Corp./data=!4m7!3m6!1s0x87694a35eb0433e5:0x9e99a52ec0568dc3!8m2!3d40.5894611!4d-105.1063266!16s%2Fg%2F11c7szm203!19sChIJ5TME6zVKaYcRw41WwC6lmZ4,TBC Property Management Corp.,3.2,82,Property management company,"1612 Laporte Ave #5, Fort Collins, CO 80521, United States","HVQV+QF Fort Collins, Colorado, USA",http://www.tbcprop.com/,+1 970-224-0852,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPj6pFznBgiQk-sa-sCfVdOOWASBkCUaj19-yHj=w408-h306-k-no,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:33.589Z,,,
https://www.google.com/maps/place/Armadillo+Property+Management/data=!4m7!3m6!1s0x87694a0598635b8f:0xe271f28c547b001f!8m2!3d40.5949257!4d-105.115206!16s%2Fg%2F1tftrk_f!19sChIJj1tjmAVKaYcRHwB7VIzyceI,Armadillo Property Management,3.6,51,Property management company,"521 N Taft Hill Rd, Fort Collins, CO 80521, United States","HVVM+XW Fort Collins, Colorado, USA",http://www.rentfortcollins.com/,+1 970-416-7368,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z6hzUI1ChwWH3XNYySJLnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=286.48666&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:38.486Z,,,
https://www.google.com/maps/place/Helix+Property+Management/data=!4m7!3m6!1s0x87694bde5117595b:0xc338f86319fdcc3c!8m2!3d40.5895253!4d-105.075709!16s%2Fg%2F11fpgp9l93!19sChIJW1kXUd5LaYcRPMz9GWP4OMM,Helix Property Management,3.8,22,Property management company,"244 Pine St, Fort Collins, CO 80524, United States","HWQF+RP Fort Collins, Colorado, USA",http://helixpropertymanagement.com/,+1 970-632-6055,"Open ⋅ Closes 3:30 pm

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPGB5NWGyAba3qDPRnO782aJuRHVKoT5JrfvcDd=w408-h272-k-no,true,9 am–3:30 pm,9 am–12 pm,Closed,Closed,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-09-25T19:40:43.423Z,,,
