placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,error
https://www.google.com/maps/place/Affordable+Pool+Inc./data=!4m7!3m6!1s0xa88386753e54146d:0x796b40f4290a0ce4!8m2!3d42.3586654!4d-71.0563444!16s%2Fg%2F11sspy3z66!19sChIJbRRUPnWGg6gR5AwKKfRAa3k,Affordable Pool Inc.,5.0,1,Swimming pool contractor,"53 State St Ste 500, Boston, MA 02109, United States","9W5V+FF Boston, Massachusetts, USA",https://www.affordablepool.com/,+1 888-780-7665,Open ⋅ Closes 4 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/p/AF1QipMEuItudhAIiu7qXaHZoJ4VZPU0w62vRYrCIfcR=w408-h306-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:38:34.506Z,,
"https://www.google.com/maps/place/High+Sierra+Pools,+Inc/data=!4m7!3m6!1s0x89e37a464e6bcd87:0x580a2000fa37878f!8m2!3d42.3284695!4d-71.072169!16s%2Fg%2F11b76dpx1v!19sChIJh81rTkZ644kRj4c3-gAgClg","High Sierra Pools, Inc",4.1,41,Swimming pool contractor,"70 Kemble St, Boston, MA 02119, United States","8WHH+94 Boston, Massachusetts, USA",http://www.highsierrapools.com/,+1 617-514-0550,Open ⋅ Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipPLs_MEb50jjUhEOk3AwF7U7o7eOw4Gu5RtFMZc=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:38:40.421Z,,
https://www.google.com/maps/place/SSG+Pools/data=!4m7!3m6!1s0x89e3717fb46585ab:0x8205c74ad231d695!8m2!3d42.3261745!4d-71.0174165!16s%2Fg%2F11fn4h93yw!19sChIJq4VltH9x44kRldYx0krHBYI,SSG Pools,5.0,5,Swimming pool contractor,,,https://ssgpools.com/,+1 800-649-8080,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipPr9c7tcfI0l2AqldPfXQ3deazIzHv8oLLMKk9j=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:38:45.744Z,,
https://www.google.com/maps/place/Gerard+Associates/data=!4m7!3m6!1s0x6a65cc4191e0ed97:0xd094faba4f731f79!8m2!3d42.3068005!4d-70.973376!16s%2Fg%2F11v0x_m6x0!19sChIJl-3gkUHMZWoReR9zT7r6lNA,Gerard Associates,5.0,12,Landscape designer,,,http://gerardassociates.boston/,+1 617-755-9685,Open ⋅ Closes 8 pm,,,https://lh3.googleusercontent.com/p/AF1QipMd3EwHVY_-R16WI0fRMFLSshG-Tv35p3fE18JL=w648-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:38:51.244Z,,
https://www.google.com/maps/place/Easy+Pool+Quote/data=!4m7!3m6!1s0x89e3708300955555:0x3c6d89e96c01dfcf!8m2!3d42.3549929!4d-71.0588085!16s%2Fg%2F11g8v572l3!19sChIJVVWVAINw44kRz98BbOmJbTw,Easy Pool Quote,5.0,1,Contractor,"101 Arch St, Boston, MA 02110, United States","9W3R+XF Boston, Massachusetts, USA",,+1 877-483-6036,Open ⋅ Closes 5 pm,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gUtXVwK-R-qnN8aYXhmmEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=260.2187&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:38:56.105Z,,
https://www.google.com/maps/place/Boston+Pressure+Washing/data=!4m7!3m6!1s0x89e3793fd41c94b9:0x78ded30afeeedff1!8m2!3d42.338202!4d-71.0766144!16s%2Fg%2F11j38jjhy6!19sChIJuZQc1D9544kR8d_u_grT3ng,Boston Pressure Washing,5.0,62,Pressure washing service,,,https://bostonpressurewashing.com/?utm_source=Google&utm_medium=GMB,+1 617-467-9544,Open ⋅ Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipPEBIDO0TCmEvUKrasT4NsBzdcrEeyo1K1pI9fP=w408-h287-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:39:01.049Z,,
https://www.google.com/maps/place/Revive+Masonry+%26+Construction/data=!4m7!3m6!1s0x4619e9df82013937:0x6bab199fbb66828a!8m2!3d42.3499862!4d-71.0696698!16s%2Fg%2F11vx6nvn2y!19sChIJNzkBgt_pGUYRioJmu58Zq2s,Revive Masonry & Construction,4.9,42,Masonry contractor,"75 Arlington St #500, Boston, MA 02116, United States","8WXJ+X4 Boston, Massachusetts, USA",https://revivemasonryandconstruction.com/#,+1 617-849-4779,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipPvV9Ph6YDHemluqUFus5uAvTYvYt9kV5RXQ1SP=w408-h543-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:39:06.655Z,,
https://www.google.com/maps/place/Hummingbird+Cleaners+LLC/data=!4m7!3m6!1s0x8d5b07fd2d19a5db:0x53c4009193f3dd5!8m2!3d42.3143655!4d-70.9700245!16s%2Fg%2F11wtgp4dvj!19sChIJ26UZLf0HW40R1T0_GQlAPAU,Hummingbird Cleaners LLC,5.0,23,Cleaners,,,http://hummingbirdcleanersma.com/,+1 978-861-1680,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipMKP2M26clsK1lz8XoXN94kSxxvD-h_lo1YN0rY=w408-h305-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:39:12.590Z,,
https://www.google.com/maps/place/M%C3%A9ndez+Landscaping+and+Construction/data=!4m7!3m6!1s0x89e3714a7e2d6a31:0xe96f31b19f85bc3!8m2!3d42.3717767!4d-71.0396232!16s%2Fg%2F11sr80vp43!19sChIJMWotfkpx44kRw1v4GRvzlg4,Méndez Landscaping and Construction,5.0,41,Contractor,"82 Havre St, Boston, MA 02128, United States","9XC6+P5 Boston, Massachusetts, USA",https://mendezlandscapingconstruction.com/,+1 617-712-6783,Open ⋅ Closes 6 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_qJ6ZUS6_WHp3ODfpuzS46THlL8RUf8-MzMEOWWA_kUa_KxOXB4--KjCqLBlZ1lIawrtdtfDPnvtJ08eZrPn4bkUfr_8YlJSJi8TLODtr-F_taMs_1V63xqACU1tLY2FbHT8N=w408-h306-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:39:17.782Z,,
https://www.google.com/maps/place/USA+Swimming+Pool+Co./data=!4m7!3m6!1s0x89e379b2d6415983:0x2efbd72581dc44f2!8m2!3d42.3443225!4d-71.1147253!16s%2Fg%2F11fvghgqql!19sChIJg1lB1rJ544kR8kTcgSXX-y4,USA Swimming Pool Co.,4.5,24,Swimming pool repair service,"1180 Beacon St suit 204, Brookline, MA 02446, United States","8VVP+P4 Brookline, Massachusetts, USA",http://usaspc.com/,+1 617-991-0902,Open ⋅ Closes 6 pm,,,https://lh3.googleusercontent.com/p/AF1QipMyl6090OW10PKEGUi1R9ejNOutFImmy8jnd1mi=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–2 pm,8 am–1 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Back+Bay+Boston+MA/@42.3495236,-71.0794717,14z",2025-10-27T17:39:22.892Z,,
