placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Integrated+Pain+Management/data=!4m7!3m6!1s0x880e61139b5ca251:0x3d070e0f445507c5!8m2!3d41.5378888!4d-88.1487294!16s%2Fg%2F11hzsnq7z9!19sChIJUaJcmxNhDogRxQdVRA8OBz0,Integrated Pain Management,4.8,62,Pain management physician,"819 Campus Dr, Joliet, IL 60435, United States","GVQ2+5G Joliet, Illinois, USA",https://www.chicagopaincontrol.com/joliet-office,+1 779-204-5242,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OARNjgC3s7OClOrqverjnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.8485&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,8 am–12 pm,Closed,Closed,8 am–12 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:52:56.488Z,,,,
https://www.google.com/maps/place/Pain+%26+Spine+Institute/data=!4m7!3m6!1s0x880e61bda58cb7e7:0xb78eacb7cd271c6f!8m2!3d41.535781!4d-88.1597626!16s%2Fg%2F1tdnlq82!19sChIJ57eMpb1hDogRbxwnzbesjrc,Pain & Spine Institute,4.7,559,Pain management physician,"744 Essington Rd, Joliet, IL 60435, United States","GRPR+83 Joliet, Illinois, USA",http://www.pain-spine.com/,+1 888-503-1868,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPBSYASjNVGuiFVEo5wbACc3VhPlT0DtKzsWtAk=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:02.126Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Holistic+Science+Pain+Clinic,+LLC./data=!4m7!3m6!1s0x880e61eb7020a0ab:0x5f665f03faed8315!8m2!3d41.5241254!4d-88.1518761!16s%2Fg%2F1tgnb61l!19sChIJq6AgcOthDogRFYPt-gNfZl8","Holistic Science Pain Clinic, LLC.",4.7,133,Pain control clinic,"105 129th Infantry Dr, Joliet, IL 60435, United States","GRFX+M6 Joliet, Illinois, USA",http://holistic-science.com/,+1 815-725-7200,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mw2ThBXXYzolcISXXtAEtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.36787&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:07.509Z,,,,
"https://www.google.com/maps/place/Udit+V.+Patel+DO,+MS/data=!4m7!3m6!1s0x880e61da8c7ffb6d:0x441b11df7a4462fd!8m2!3d41.5358782!4d-88.1597047!16s%2Fg%2F1262h7vcf!19sChIJbft_jNphDogR_WJEet8RG0Q","Udit V. Patel DO, MS",4.7,13,Pain management physician,"744 Essington Rd, Joliet, IL 60435, United States","GRPR+94 Joliet, Illinois, USA",http://www.pain-spine.com/,+1 815-729-0700,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cCFMi0_S7Cw3YdD80FTDcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=156.47601&pitch=0&thumbfov=100,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:12.332Z,,,,
https://www.google.com/maps/place/Saint+Joseph+Medical+Center+-+Pain+Care+Joliet/data=!4m7!3m6!1s0x880e611c168a7573:0x3050f6c12885e669!8m2!3d41.5270077!4d-88.1358203!16s%2Fg%2F11jpz1dmg3!19sChIJc3WKFhxhDogRaeaFKMH2UDA,Saint Joseph Medical Center - Pain Care Joliet,3.8,10,Neurologist,"301 Madison St Ste. 305, Joliet, IL 60435, United States","GVG7+RM Joliet, Illinois, USA",https://saintjosephmedicalcenter.com/,+1 815-729-0450,Closed · Opens 7:30 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7WdVeY-FKoOxlpH1QUzmsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.80142&pitch=0&thumbfov=100,true,7:30 am–2 pm,7:30 am–2 pm,7:30 am–2 pm,Closed,Closed,7:30 am–2 pm,7:30 am–2 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:17.311Z,,,,
"https://www.google.com/maps/place/Joel+See,+MD/data=!4m7!3m6!1s0x880e61d2534c297b:0xf1978fe5918cbd0!8m2!3d41.5290938!4d-88.1343986!16s%2Fg%2F1thghmgk!19sChIJeylMU9JhDogR0MsYWf54GQ8","Joel See, MD",4.5,122,Pain management physician,"330 Madison St, Joliet, IL 60435, United States","GVH8+J6 Joliet, Illinois, USA",https://www.dulyhealthandcare.com/physicians/joel-see-md?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,+1 630-469-9200,,https://lh3.googleusercontent.com/p/AF1QipNFf38QuTyGm9q3zj_XkIHFVjybZ2ga2vDUqJSK=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:19.992Z,,,,
https://www.google.com/maps/place/Dr.+Rajesh+Patel/data=!4m7!3m6!1s0x880e61da81678a2d:0xdfb637e492af422e!8m2!3d41.5358782!4d-88.1597047!16s%2Fg%2F11b6gqb6wv!19sChIJLYpngdphDogRLkKvkuQ3tt8,Dr. Rajesh Patel,4.3,12,Pain management physician,"744 Essington Rd, Joliet, IL 60435, United States","GRPR+94 Joliet, Illinois, USA",http://www.pain-spine.com/,+1 815-729-0700,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOF48JL_vgGlJBupCgkpMwkzQhoDWqeQ78bLCJo=w408-h510-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:24.720Z,,,,
https://www.google.com/maps/place/Samir+Sharma+MD/data=!4m7!3m6!1s0x880e61da8c7ffb6d:0x555a6cbbf5d0cd4e!8m2!3d41.5358782!4d-88.1597047!16s%2Fg%2F12627m24x!19sChIJbft_jNphDogRTs3Q9btsWlU,Samir Sharma MD,4.3,17,Pain management physician,"744 Essington Rd, Joliet, IL 60435, United States","GRPR+94 Joliet, Illinois, USA",http://www.pain-spine.com/,+1 815-729-0700,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqjSGjXci4ItgyAbHKnv3ZKhtc0sXZGPGoUETB99aTx8Z7SWfujb9RaUWyuWVyQKZLhB4Q_JP1xCo3whNye49wy5eTQrcgRGLLxH1ct80ngGUINbBV0VP4gZCXws2SaikqoQLniew=w408-h544-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:29.817Z,,,,
https://www.google.com/maps/place/Vida+Medical+Center/data=!4m7!3m6!1s0x880e662058cf716b:0xba5b176f4e229086!8m2!3d41.5268812!4d-88.0139293!16s%2Fg%2F11c3tthp6s!19sChIJa3HPWCBmDogRhpAiTm8XW7o,Vida Medical Center,4.9,129,Medical clinic,"2615 E Cass St, Joliet, IL 60432, United States","GXGP+QC Joliet, Illinois, USA",http://vidamedcenters.com/,+1 815-258-2115,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6fFEwsEapaefI0-9yrLlqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.6154&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:32.644Z,,,,
https://www.google.com/maps/place/Dr.+Ikenna+Okpareke/data=!4m7!3m6!1s0x880e61a219e2eae7:0x37109bc4d1def12!8m2!3d41.5269579!4d-88.1357208!16s%2Fg%2F11b6hv6k95!19sChIJ5-riGaJhDogREu8dTbwJcQM,Dr. Ikenna Okpareke,4.6,9,Pain management physician,"301 Madison St Ste. 305, Joliet, IL 60435, United States","GVG7+QP Joliet, Illinois, USA",http://www.heartlandcardio.com/,+1 815-729-0450,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7WdVeY-FKoOxlpH1QUzmsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.87582&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2026-01-28T20:53:35.267Z,,,,
