placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,query,timestamp,attributes,info,tuesday,wednesday,thursday,friday,saturday,sunday,isBlackOwned
"https://www.google.com/maps/place/Portage+Lakes+Automotive+%26+Castle+Tire/@41.0072779,-81.5270617,14z/data=!4m6!3m5!1s0x8830d501677c724d:0x4355b2384f7a560c!8m2!3d41.0069816!4d-81.5557605!16s%2Fg%2F1tg4m0gb",Portage Lakes Automotive & Castle Tire,4.9,,Auto repair shop,"3408 Manchester Rd, Akron, OH 44319, United States","2C4V+QM Akron, Ohio, USA",http://www.castletire.com/,+1 330-644-5724,"Open · Closes 5 pm

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqau03pSbkGDh2u5ameA-dFN-WUMgijj68KVH-GxqAXYwQh6V7adMOju9vOKgNeWrrUXq4PSpw16ipHOpj0DUVHQowSDrgnV3dwgGU18ndIjUCLXa3zYnkzfftf36ikRI-6dfx9=w408-h271-k-no,true,8:30 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2026-03-23T14:47:50.689Z,,,,,,,,,
https://www.google.com/maps/place/Tallmadge+Automotive+%2F+Circle+City+Tire/data=!4m7!3m6!1s0x88312ec7c8e02f67:0x502fde0826672656!8m2!3d41.095789!4d-81.4507086!16s%2Fg%2F124t4mr_l!19sChIJZy_gyMcuMYgRViZnJgjeL1A,Tallmadge Automotive / Circle City Tire,4.8,181,Tire shop,"308 Southwest Ave, Tallmadge, OH 44278, United States","3GWX+8P Tallmadge, Ohio, USA",https://tallmadgeautomotive.com/,+1 234-678-6163,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodTlTBcYHEc83sOI4SZvrVdTCis6sBhwQn_4HNNb7Z4kG7KxU_ObGEzDf8Czy0At3YEj5RVTpqRfaRBzjSY_dpdKr_0CMWJeEVQGLGdOi0UxL0iRbrnf6mBW1d-VtJi-4_AY6R=w408-h266-k-no,true,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:26.710Z,· In-store pick-up · Delivery,LGBTQ+ friendly,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/Tallmadge+tires/data=!4m7!3m6!1s0x883129c1685b5a41:0x5f3f1db962cf3a03!8m2!3d41.1022069!4d-81.4668012!16s%2Fg%2F11flbr552f!19sChIJQVpbaMEpMYgRAzrPYrkdP18,Tallmadge tires,4.6,159,Tire shop,"1450 Brittain Rd, Akron, OH 44310, United States","4G2M+V7 Akron, Ohio, USA",,+1 330-400-4078,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCsozaD4MSfOkCRbl0LWap0ehzZVkEbTwoJoWcogEx8vNdZh53BUA25YFYIGeEm0T56RAQfJ5Gv3e_cujg_lXC0t4TS0PbL8IDmdJm2oe12Dt34_fDgYoB32AHV8RCme4EdRk6nA=w426-h240-k-no,true,8 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:32.740Z,,,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–5:30 pm,9 am–3 pm,
https://www.google.com/maps/place/Tallmadge+Tire+Bros/data=!4m7!3m6!1s0x88312f92b0eeafb7:0x2a94b38907fdd476!8m2!3d41.0841725!4d-81.4146954!16s%2Fg%2F11w_jnjyg6!19sChIJt6_usJIvMYgRdtT9B4mzlCo,Tallmadge Tire Bros,4.6,382,Tire shop,"741 Eastwood Ave, Tallmadge, OH 44278, United States","3HMP+M4 Tallmadge, Ohio, USA",https://www.tirebrosusa.com/,+1 330-403-9037,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7FwuHYT2FgbRZKvuvBIRZ0pAzO-2Zw5m2yDUEcUlUFYpXjcVyZzbZh6GrVcJzAV5T8A0OWeKXpI2J_satVewmkQwFavmexprTaQmkKT9xwMCTfdswSGAl9m8iAbecxWp2ekohAc1Sog8h=w408-h306-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:37.764Z,,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,
https://www.google.com/maps/place/R2M+Tallmadge+Tires+%26+Brakes/data=!4m7!3m6!1s0x883129a8f6bd93c1:0x499d714291c30581!8m2!3d41.1024136!4d-81.4782967!16s%2Fg%2F11jznv1910!19sChIJwZO99qgpMYgRgQXDkUJxnUk,R2M Tallmadge Tires & Brakes,4.9,32,Tire shop,"1015 E Tallmadge Ave, Akron, OH 44310, United States","4G2C+XM Akron, Ohio, USA",,+1 330-858-3108,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCvF4FAUewfzUGkGEk8I8LsChEiK1ab4SPeBLpuetK1muAqLBbpZoy32F-gqRCechRRDyCRrobQtO7KGovu5xIZo9H42blEUw49xHv8FGf8R6R1_-GP9dsaOyaC65e9UtDkCOZD7GHB4ZI=w519-h240-k-no,true,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:43.241Z,· In-store shopping,,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,
https://www.google.com/maps/place/Tire+Choice+Auto+Service+Centers/data=!4m7!3m6!1s0x883128c1ceab9a69:0x7c81bcf922102c04!8m2!3d41.1013432!4d-81.4486731!16s%2Fg%2F1tf6h8vc!19sChIJaZqrzsEoMYgRBCwQIvm8gXw,Tire Choice Auto Service Centers,4.4,328,Tire shop,"175 West Ave, Tallmadge, OH 44278, United States","4H22+GG Tallmadge, Ohio, USA",https://locations.thetirechoice.com/oh/tallmadge/175-west-avenue?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_402,+1 330-633-0313,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqPahc36dcRwEKFEzYzbCHgPlFWrtjGM2LMjv48hZVX2lvX5Y7Lglx-k3DtgzhobzmDSKAvwAeUlwrk1VP1tFy42nIQdhn1BK4w3AKnv4kTsJiAAmWYlJzG_cgAFsg35V6PpZ7o=w408-h408-k-no,true,7:30 am–7 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:48.892Z,· In-store shopping · In-store pick-up,LGBTQ+ friendly,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,Closed,
https://www.google.com/maps/place/The+Alinement+Shop+Inc./data=!4m7!3m6!1s0x883128ed73238d45:0x95fb3d2cc4cd910d!8m2!3d41.1022034!4d-81.4595847!16s%2Fg%2F1tf6mvx5!19sChIJRY0jc-0oMYgRDZHNxCw9-5U,The Alinement Shop Inc.,4.9,182,Auto repair shop,"468 West Ave, Tallmadge, OH 44278, United States","4G2R+V5 Tallmadge, Ohio, USA",https://www.alinementshop.com/,+1 330-633-4696,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerU8gB46CLUl7XTWAFcFLbntFTHrlAhxBf26yvhDFtGozgAwrny0A9oIJIqScwusbrgP6BlXipftgkwAiyg5PTObrVbyDj1Uin2_P7-YU6psdOe8D5t7krrn8xp9xfL7VedT2QpmJX5TJ0=w408-h541-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:53.836Z,,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,
https://www.google.com/maps/place/East+Tallmadge+Tire/data=!4m7!3m6!1s0x8831295a7753a145:0xd08a0baaec06aed!8m2!3d41.1030804!4d-81.4879997!16s%2Fg%2F11tc1lsckb!19sChIJRaFTd1opMYgR7WrArrqgCA0,East Tallmadge Tire,4.7,12,Tire shop,"747 Beatrice Dr, Akron, OH 44310, United States","4G36+6R Akron, Ohio, USA",,+1 234-312-9166,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerphzzDZchqALt2jJR1HFG3RVZh1q_7VwKtPKuCDeTfL5RnOtHdpankFtMGsUnrqzbsJioT3bV2IIQpa7R3_MxyUKhC9Ewr1MtykDYfFsLKiCxNHP0BGmW3Ee1qr0iXnNmKRzjr=w408-h305-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:48:58.436Z,,,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,
https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x8831286209a4bc37:0x41936c3e5b5aa298!8m2!3d41.1114109!4d-81.4719176!16s%2Fg%2F1wt3p1m3!19sChIJN7ykCWIoMYgRmKJaWz5sk0E,Goodyear Auto Service,4.5,305,Tire shop,"1800 Buchholzer Blvd, Akron, OH 44310, United States","4G6H+H6 Akron, Ohio, USA",https://www.goodyearautoservice.com/,+1 330-633-7000,"Open · Closes 6 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9NP8yGx42cEnvKMzW2_54x31SqfCKXgjSeJQRgGMpoABSAa8hBdVG43IKdEGfn2rCfmmH06f5slrAMo212xy5l7dihCKtLMzUo9WhwaC-sZ4vFSRl8F8IgGHdQ2DduRsFDV5jnA=w408-h306-k-no,true,8 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:49:03.325Z,· In-store shopping · In-store pick-up,,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,
https://www.google.com/maps/place/Ralph%E2%80%99s+Auto+Care/data=!4m7!3m6!1s0x883128efd0a3fc1f:0x6db069197b8fc82b!8m2!3d41.0963044!4d-81.4601774!16s%2Fg%2F1tdb4ybj!19sChIJH_yj0O8oMYgRK8iPexlpsG0,Ralph’s Auto Care,4.9,89,Auto repair shop,"203 Potomac Ave C,D, & E, Tallmadge, OH 44278, United States","3GWQ+GW Tallmadge, Ohio, USA",http://ralphsautocare.com/,+1 330-633-0059,Open · Closes 3 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXFRtDXto5AmGRsYLBu_qfHis-urY6v-fKRCO3esZ-n5i0xzTLX9Mw4Iet9MTnvmivm6-B1YUSToAdRkiwb4fdZN4lk0jzwwrXIeLrTOM9ml-Dk8-qkf3dqMw3jWXHPqFeTb5TLEWcrYtT=w408-h307-k-no,true,8 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2026-03-23T14:49:08.342Z,,,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,Closed,Closed,
