placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,isBlackOwned,attributes
"https://www.google.com/maps/place/Orange+Property+Management,+LLC/data=!4m7!3m6!1s0x87938e663ee3cebd:0xa81037eae8bdeaa6!8m2!3d41.2557992!4d-95.9658286!16s%2Fg%2F11fzfbznkb!19sChIJvc7jPmaOk4cRpuq96Oo3EKg","Orange Property Management, LLC",3.0,143,Property management company,"503 S 36th St, Omaha, NE 68105, United States","724M+8M Omaha, Nebraska, USA",http://www.orange4rent.com/,+1 402-680-1010,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhNeRNBUm6mQ4ClryqDSlcOJY19vu7CT2crVEL1UjBqWi7APsa5FED2UnHFKd3G_ua-EPVxIodN7DGo7DJ0ZUIa2JAIg6JJGbQR7ag73UKyLnXwYgiRIA3RhqwU30TGJnDN3Lo=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:17.173Z,,
https://www.google.com/maps/place/Kouri+Management+-+Omaha/data=!4m7!3m6!1s0x87938f81da542197:0x2a1a86a521483658!8m2!3d41.2550803!4d-95.9368843!16s%2Fg%2F11whlqygm3!19sChIJlyFU2oGPk4cRWDZIIaWGGio,Kouri Management - Omaha,5.0,57,Property management company,"505 S 16th St, Omaha, NE 68102, United States","7347+26 Omaha, Nebraska, USA",https://kourimanagement.com/,+1 712-322-5535,Open ⋅ Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipP0R-FBL-dCIYSHkiXG7hMTaBZJHF9_-mibaij0=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:23.752Z,,
"https://www.google.com/maps/place/First+Management,+Inc/data=!4m7!3m6!1s0x87938e84295d3171:0x2d928286b1215949!8m2!3d41.2407247!4d-95.9750369!16s%2Fg%2F1tj46dq7!19sChIJcTFdKYSOk4cRSVkhsYaCki0","First Management, Inc",4.2,20,Property management company,"1941 S 42nd St #550, Omaha, NE 68105, United States","62RF+7X Omaha, Nebraska, USA",https://firstmgt.com/,+1 402-344-4600,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jnt8YS62aRIJR1BmPAsCQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=167.42743&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:26.652Z,,
https://www.google.com/maps/place/GreenSlate+Management/data=!4m7!3m6!1s0x87938e6fdb7893e9:0xa4367375ffe99e24!8m2!3d41.2579251!4d-95.9724534!16s%2Fg%2F11c45_bhys!19sChIJ6ZN422-Ok4cRJJ7p_3VzNqQ,GreenSlate Management,3.5,67,Property management company,"3906 Farnam St, Omaha, NE 68131, United States","725H+52 Omaha, Nebraska, USA",http://greenslateomaha.com/,+1 402-991-1800,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNa__GZGMqvQIg6DFY0r0GPmYfrDMflHKl3CjcX=w408-h305-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:31.615Z,,
https://www.google.com/maps/place/Underwood+Property+Management/data=!4m7!3m6!1s0x87938e56d4eaaaab:0x8b3e98611dadd4ac!8m2!3d41.2526869!4d-95.9486563!16s%2Fg%2F11kc8mxr47!19sChIJq6rq1FaOk4cRrNStHWGYPos,Underwood Property Management,5.0,2,Property management company,"2502 Leavenworth Street Omaha Chicago, Omaha, NE 68105, United States","7332+3G Omaha, Nebraska, USA",https://www.underwoodpm.com/contact-us,+1 402-318-5643,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0XKlfzdz9wSVXHsFYWT0MQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.89609&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:36.647Z,,
https://www.google.com/maps/place/Midtown+Realty+%26+Management/data=!4m7!3m6!1s0x87938e5cef07b94b:0xd11b035f53902522!8m2!3d41.255588!4d-95.9586987!16s%2Fg%2F1tcvps8m!19sChIJS7kH71yOk4cRIiWQU18DG9E,Midtown Realty & Management,3.2,58,Property management company,"511 Turner Blvd, Omaha, NE 68105, United States","724R+6G Omaha, Nebraska, USA",https://www.omahamidtown.com/,+1 402-342-2322,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipO40szl-x_TCL3HkTP_YtgokVT6FsIm9c0jPrQT=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:41.720Z,,
https://www.google.com/maps/place/Brick+Town+Management/data=!4m7!3m6!1s0x87938f038e6ee17d:0xeb0867e914fc4a05!8m2!3d41.2418116!4d-95.9673967!16s%2Fg%2F11h4gv8psz!19sChIJfeFujgOPk4cRBUr8FOlnCOs,Brick Town Management,3.8,124,Property management company,"Omaha, NE 68105, United States","62RM+P2 Omaha, Nebraska, USA",https://www.bricktownmanagement.com/,+1 402-356-0078,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNfz5QDFRcXswDXR1ISuzONXCYM38BGSJ5UkhA1=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:46.937Z,,
https://www.google.com/maps/place/Beacon+Management+LLC/data=!4m7!3m6!1s0x87938fad9cfcbdeb:0x9ee6755163f98715!8m2!3d41.258357!4d-95.940724!16s%2Fg%2F1tmxrj8j!19sChIJ6738nK2Pk4cRFYf5Y1F15p4,Beacon Management LLC,1.5,13,Property management company,"209 S 19th St #100, Omaha, NE 68102, United States","7355+8P Omaha, Nebraska, USA",https://www.beacon.cc/home.html,+1 888-298-0888,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOMygHz4DQkAR5ZRaLWPpYS0s3Tjkg6LlNpuE7z=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:51.891Z,,
https://www.google.com/maps/place/Burlington+Capital+Properties/data=!4m7!3m6!1s0x87938fa5438a64d9:0x669061ff7d7f6f2a!8m2!3d41.2577106!4d-95.9296133!16s%2Fg%2F11b8_qqq3d!19sChIJ2WSKQ6WPk4cRKm9_ff9hkGY,Burlington Capital Properties,3.6,78,Property management company,"1004 Farnam St STE 400, Omaha, NE 68102, United States","735C+35 Omaha, Nebraska, USA",https://www.burlingtoncapitalproperties.com/,+1 402-444-1630,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMCN0KisRWvH8eaisBygv3D4vxVfkkOVkup4dNreciYHQbToyZhX7xF_aLl2jA8myXhW5PtTz7Z5a3v7hfCHTsU-ylZeEbNUQetFq9XZ8rTrglFgJ6PPqAuAE18-TXr1_qRVHcQSazFNux=w408-h611-k-no,false,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:49:56.918Z,,
https://www.google.com/maps/place/NuStyle+Development/data=!4m7!3m6!1s0x87938e4dd8da308b:0x433e98588ea7bcf7!8m2!3d41.2583767!4d-95.9362616!16s%2Fg%2F11b7gwwd3l!19sChIJizDa2E2Ok4cR97ynjliYPkM,NuStyle Development,3.9,26,Property management company,"222 S 15th St, Omaha, NE 68102, United States","7357+9F Omaha, Nebraska, USA",http://www.nustyle.net/,+1 402-345-8000,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=duO4EZoV9lJSe4TCH9416w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.4467&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Omaha+Omaha+NE/@41.2637205,-95.9371289,14z",2025-09-25T18:50:02.002Z,,
