placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Answered+Prayer+Home+Care+Service-Fairhope/data=!4m7!3m6!1s0x889a0f83e1f8dcd9:0xe5f76323c5598685!8m2!3d30.5264386!4d-87.8841817!16s%2Fg%2F11g0g8_c74!19sChIJ2dz44YMPmogRhYZZxSNj9-U,Answered Prayer Home Care Service-Fairhope,4.2,5,Home health care service,"911 B Plantation Blvd, Fairhope, AL 36532, United States","G4G8+H8 Fairhope, Alabama, USA",http://www.answeredprayerhomecare.com/,+1 251-943-3775,Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipM34s4ITZKcXNCT5AEdNsp2ULnFyQQ5-uTBykpS=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:01:39.315Z,,
"https://www.google.com/maps/place/Sunbridge+Home+Health+Care,+Inc/data=!4m7!3m6!1s0x889a4146a3e422d7:0x876de6b12def29b2!8m2!3d30.5567474!4d-87.893948!16s%2Fg%2F11rndmf0k2!19sChIJ1yLko0ZBmogRsinvLbHmbYc","Sunbridge Home Health Care, Inc",5.0,1,Home health care service,"22765 US-98, Fairhope, AL 36532, United States","H444+MC Fairhope, Alabama, USA",,+1 251-776-3725,Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g5tfiVDAeh1zu8x625MfHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.10832&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:01:44.912Z,,
https://www.google.com/maps/place/Hughes+Home+Care/data=!4m7!3m6!1s0x889a4055546a9cc1:0x682900bd2e085c0a!8m2!3d30.5567454!4d-87.8940142!16s%2Fg%2F11g0k14jcm!19sChIJwZxqVFVAmogRClwILr0AKWg,Hughes Home Care,5.0,2,Home health care service,"22787 US-98, Fairhope, AL 36532, United States","H444+M9 Fairhope, Alabama, USA",http://www.hugheshomecare.net/about-us/,+1 251-517-9901,Open ⋅ Closes 8 pm,Identifies as veteran-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g5tfiVDAeh1zu8x625MfHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.02773&pitch=0&thumbfov=100,true,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,6:30 am–8 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:01:50.657Z,,
https://www.google.com/maps/place/Roni%27s+Reliable+Sitting+Service/data=!4m7!3m6!1s0x889a41ac076e755d:0x72d77afd6bf0d892!8m2!3d30.5227553!4d-87.9081576!16s%2Fg%2F11q3w5nc_b!19sChIJXXVuB6xBmogRktjwa_1613I,Roni's Reliable Sitting Service,5.0,2,Home health care service,"7 Bayview St S, Fairhope, AL 36532, United States","G3FR+4P Fairhope, Alabama, USA",,+1 251-648-5208,Closes soon ⋅ 5 pm ⋅ Opens 9 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pM3RwlIOwgnH0X-0YTMlCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.40445&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:01:56.130Z,,
https://www.google.com/maps/place/Your+Choice+Senior+Care/data=!4m7!3m6!1s0x889a6a9d0ec5868d:0x9aff8747fb41b89b!8m2!3d30.5425751!4d-87.8528285!16s%2Fg%2F11b73y8_79!19sChIJjYbFDp1qmogRm7hB-0eH_5o,Your Choice Senior Care,3.8,23,Home health care service,"21883 AL-181 Ste A, Fairhope, AL 36532, United States","G4VW+2V Fairhope, Alabama, USA",http://www.yourchoiceseniorcare.com/,+1 251-599-8101,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPPvVm8pTsJLt-JGYBojJ8zUUXlxXxOgw73tBT0=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:01.270Z,,
"https://www.google.com/maps/place/STS+Home+Health+Care,+Inc./data=!4m7!3m6!1s0x889a409b0249e43f:0xe0356bc45b6cc496!8m2!3d30.519773!4d-87.9061819!16s%2Fg%2F1ts3l_2y!19sChIJP-RJAptAmogRlsRsW8RrNeA","STS Home Health Care, Inc.",,,Home health care service,"300 Morphy Ave, Fairhope, AL 36532, United States","G39V+WG Fairhope, Alabama, USA",,+1 251-990-8095,Closes soon ⋅ 5 pm ⋅ Opens 9 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gJYm4v0dFGk9E9y5p7U1xg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.32181&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:06.480Z,,
https://www.google.com/maps/place/Thomas+Home+Health/data=!4m7!3m6!1s0x889a40ff8b32289b:0xec87e912acfd3045!8m2!3d30.555783!4d-87.8938979!16s%2Fg%2F113h5qvw0!19sChIJmygyi_9AmogRRTD9rBLph-w,Thomas Home Health,4.2,5,Home health care service,"7530 Parker Rd #200, Fairhope, AL 36532, United States","H444+8C Fairhope, Alabama, USA",https://lhcgroup.com/locations/thomas-home-health/?utm_source=GMB&utm_campaign=Google_Local_Listing&utm_medium=referral&utm_content=Thomas_Home_Health_Fairhope_AL_36532,+1 251-990-9200,Closes soon ⋅ 4:30 pm ⋅ Opens 8 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2Ds756PIobeAQ1ttVoQ7-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.078636&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:11.598Z,,
https://www.google.com/maps/place/Home+Healthcare+Professionals/data=!4m7!3m6!1s0x889a41000bbf3f2f:0x831dc3ccd21ddde2!8m2!3d30.5148263!4d-87.8900388!16s%2Fg%2F11yb6jfyls!19sChIJLz-_CwBBmogR4t0d0szDHYM,Home Healthcare Professionals,,,Home health care service,"365 S Ingleside St, Fairhope, AL 36532, United States","G475+WX Fairhope, Alabama, USA",,,"Open 24 hours

Confirmed by others 3 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQObBkk5alxW98Nw2wd-B1TL35PZ715DjfqISA-v6Z2WsAOzWYLPRfKyM_0gcdUokmCKOJULTwzG0r-uo96XRg0AQ9xuy84XH2Mud3reCIXBJ4wEpvqyRtXqNogej5cxJxbFXGdquvIlI=w408-h272-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:16.397Z,,
https://www.google.com/maps/place/VIPcare+Fairhope+Bayside/data=!4m7!3m6!1s0x889a414330af9fb3:0xf39c5c4b5ccdfaf!8m2!3d30.5305481!4d-87.8866534!16s%2Fg%2F11spr5w5j6!19sChIJs5-vMENBmogRr9_MtcTFOQ8,VIPcare Fairhope Bayside,4.7,35,Medical clinic,"341 N Greeno Rd STE B, Fairhope, AL 36532, United States","G4J7+68 Fairhope, Alabama, USA",https://getvipcare.com/our-locations/fairhope-bayside?utm_source=GMB&utm_medium=Organic+GMB+Page&utm_campaign=fairhope-bayside,+1 251-850-8792,Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3p5UNSyvR2wp1vE7Xbz_bw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.89447&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:21.789Z,,
https://www.google.com/maps/place/Alethia+Senior+Care/data=!4m7!3m6!1s0xac81f9782be9246b:0xd2d342ec2ac78858!8m2!3d30.5059966!4d-87.8865805!16s%2Fg%2F11xfvg7tj2!19sChIJayTpK3j5gawRWIjHKuxC09I,Alethia Senior Care,5.0,19,Home health care service,,,https://www.alethiaseniorcare.com/,+1 251-399-8370,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipM5J12u1bZzfkEqXqbmpRyeMztqqv3t-dpse92x=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Fairhope+Mobile+AL/@30.5229719,-87.9033261,14z",2025-09-10T21:02:27.214Z,,
