placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,error
"https://www.google.com/maps/place/Okojie+Wellness+-+Aesthetics+Anti-Aging+Center+in+Portland,+Oregon/data=!4m7!3m6!1s0x5495a11992025a4f:0x806e744867dfa74f!8m2!3d45.5297686!4d-122.6590878!16s%2Fg%2F11ptlwtj9x!19sChIJT1oCkhmhlVQRT6ffZ0h0boA","Okojie Wellness - Aesthetics Anti-Aging Center in Portland, Oregon",5.0,11,Medical spa,"650 NE Holladay St Suite 1600, Portland, OR 97232, United States","G8HR+W9 Portland, Oregon, USA",https://www.okojiewellness.com/?utm_source=gmb&utm_medium=organic&utm_campaign=or,+1 360-287-4402,Closed ⋅ Opens 9 am Mon,true,https://lh3.googleusercontent.com/p/AF1QipOKoZuwWW6Ao-MFurduuadlzLLZsKFqka1NKdQX=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:25:56.946Z,,,
"https://www.google.com/maps/place/OHSU+Knight+Cancer+Institute,+Marquam+Hill/data=!4m7!3m6!1s0x54950b536d8b4587:0x86d4c98e5ec0e8b7!8m2!3d45.5001065!4d-122.6838458!16s%2Fg%2F11fm9m_rkl!19sChIJh0WLbVMLlVQRt-jAXo7J1IY","OHSU Knight Cancer Institute, Marquam Hill",5.0,2,Cancer treatment center,"Kohler Pavilion, 808 SW Campus Dr, Portland, OR 97239, United States","G828+2F Portland, Oregon, USA",https://www.ohsu.edu/knight-cancer-institute/ohsu-knight-cancer-institute-marquam-hill?utm_source=gmb&utm_medium=organic&utm_content=867fbcc4-d80a-592e-8b3e-f3fa7b278e93,+1 503-494-5058,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipORfxF2O_DJK91DWZ7a9uSAHW7eJxt29W6Jd9av=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:03.116Z,,,
https://www.google.com/maps/place/Downtown+Portland+Comprehensive+Treatment+Center/data=!4m7!3m6!1s0x54950a048dd0b56f:0xc5694b0329b6aaee!8m2!3d45.5242696!4d-122.6741499!16s%2Fg%2F11cm_pwbwm!19sChIJb7XQjQQKlVQR7qq2KQNLacU,Downtown Portland Comprehensive Treatment Center,3.4,73,Addiction treatment center,"324 NW Davis St, Portland, OR 97209, United States","G8FG+P8 Portland, Oregon, USA",https://www.ctcprograms.com/location/downtown-portland-comprehensive-treatment-center/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand&y_source=1_NTUzMzY0Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,+1 971-645-4690,Closed ⋅ Opens 5:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMKatwbPxTuay0r6PRaQ7AvoFnaqVj11nmP8wHG=w408-h306-k-no,true,Closed,5:30 am–12 pm,5:30 am–12 pm,5:30 am–12 pm,5:30 am–12 pm,5:30 am–12 pm,6:30–10 am,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:07.973Z,,,
https://www.google.com/maps/place/Kaiser+Interstate+Central+Oncology/data=!4m7!3m6!1s0x5495a768253feca1:0xc05f95db39a18a59!8m2!3d45.5481216!4d-122.6804931!16s%2Fg%2F11g0206m8p!19sChIJoew_JWinlVQRWYqhOduVX8A,Kaiser Interstate Central Oncology,4.6,28,Medical clinic,"3600 N Interstate Ave, Portland, OR 97227, United States","G8X9+6R Portland, Oregon, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVx1bcITL1HbnGWyqE6-mSEezvNoXtgCRhsvrHO3-1uW4Ek5JCmJUkRJWInqGL91Q928vqqYyzZIZB2Gxam2tOgsKKIYpCHVXtS5FYgw6Rgeeifo5zzu_kf7QtNT3kbetVJuu8VQ=w408-h501-k-no,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:10.884Z,,,
https://www.google.com/maps/place/Compass+Oncology+-+Rose+Quarter+Cancer+Center/data=!4m7!3m6!1s0x5495a74255555555:0x75248e8afb9d12e9!8m2!3d45.5351904!4d-122.6699349!16s%2Fg%2F1thp7q4x!19sChIJVVVVVUKnlVQR6RKd-4qOJHU,Compass Oncology - Rose Quarter Cancer Center,4.5,63,Cancer treatment center,"265 N Broadway, Portland, OR 97227, United States","G8PJ+32 Portland, Oregon, USA",https://compassoncology.com/locations-physicians/locations/rose-quarter/?utm_campaign=Rio-Listings&utm_source=local-listings&utm_medium=google,+1 503-280-1223,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOurcYhVGbdnVF2LD7X0W-h6uApjSSeXqBvvKtX=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:15.969Z,,,
https://www.google.com/maps/place/Cascade+Psychedelic+Medicine/data=!4m7!3m6!1s0x5495a153dd6f1ab7:0x6ea163ee4a591524!8m2!3d45.5258762!4d-122.6448565!16s%2Fg%2F11p5_dwrf_!19sChIJtxpv3VOhlVQRJBVZSu5joW4,Cascade Psychedelic Medicine,4.8,32,Mental health clinic,"2027 NE Flanders St, Portland, OR 97232, United States","G9G4+93 Portland, Oregon, USA",http://www.cascadepsychedelicmedicine.com/,,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipP18yL44viuvgJy4dBdjwl1jE3QELIKS133XQ9d=w408-h272-k-no,true,Closed,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:20.872Z,,,
https://www.google.com/maps/place/NW+Dermatology+Institute/data=!4m7!3m6!1s0x54950903ac326457:0x6a6976c38ecd9d7e!8m2!3d45.5299332!4d-122.7032055!16s%2Fg%2F1tdvzlqs!19sChIJV2QyrAMJlVQRfp3NjsN2aWo,NW Dermatology Institute,4.7,499,Dermatologist,"2525 NW Lovejoy St suite 400, Portland, OR 97210, United States","G7HW+XP Portland, Oregon, USA",https://pdxderm.com/,+1 503-223-1933,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPzzcZuODbAtnBZIfe8XVkFLjS9TqhQBQ8SrPWK=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:26.068Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Whole+Systems+Healthcare+Portland+Clinic/data=!4m7!3m6!1s0x54950b76037a3345:0xbc9723785a95415c!8m2!3d45.5203601!4d-122.684908!16s%2Fg%2F11gybwwy7x!19sChIJRTN6A3YLlVQRXEGVWngjl7w,Whole Systems Healthcare Portland Clinic,4.9,45,Medical clinic,"1220 SW Morrison St #500, Portland, OR 97205, United States","G8C8+42 Portland, Oregon, USA",https://wshcare.org/portland,+1 503-714-8924,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPQyd75M0icMCc5oHQZvmBbZVpXjIcsrC9LI7Gf=w566-h240-k-no,true,Closed,8:30 am–6 pm,8:30 am–6 pm,Closed,8:30 am–6 pm,8:30 am–6 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:31.153Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Legacy+Day+Treatment%2FInfusion+Clinic+-+Good+Samaritan/data=!4m7!3m6!1s0x549509fabc753c5f:0xed4ac8b32b8dfb8!8m2!3d45.531072!4d-122.6961439!16s%2Fg%2F1v41_52r!19sChIJXzx1vPoJlVQRuN-4Mous1A4,Legacy Day Treatment/Infusion Clinic - Good Samaritan,,,Medical clinic,"1130 NW 22nd Ave building 3, suite 150, Portland, OR 97227, United States","G8J3+CG Portland, Oregon, USA",https://www.legacyhealth.org/Doctors-and-Locations/specialty/day-treatment-infusion-clinic-good-sam,+1 971-262-9600,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lFTiDsfQlr9KStPUkt1jiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.4421&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:34.206Z,,,
https://www.google.com/maps/place/Legacy+Day+Treatment%2FInfusion+Clinics/data=!4m7!3m6!1s0x5495a7444e8dd077:0x7e129986243ab9aa!8m2!3d45.5433651!4d-122.6707047!16s%2Fg%2F1tj963vd!19sChIJd9CNTkSnlVQRqrk6JIaZEn4,Legacy Day Treatment/Infusion Clinics,4.0,4,Specialized clinic,"501 N Graham St Suite 540, Portland, OR 97227, United States","G8VH+8P Portland, Oregon, USA",https://www.legacyhealth.org/locations/clinics/specialty-clinics/legacy-day-treatment-infusion-clinic.aspx,+1 503-413-4608,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMg_2kyiJXNWSydT3T1oPyWXF9DK7QuR6oy-l9U=w426-h240-k-no,true,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-29T00:26:39.140Z,LGBTQ+ friendly,,
