placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Kwik+Kar+Oil+Change+%26+Auto+Care/data=!4m7!3m6!1s0x864c2d1f8d8a001d:0x1572020dd644d106!8m2!3d33.0165508!4d-97.0701426!16s%2Fg%2F1tcv6qgf!19sChIJHQCKjR8tTIYRBtFE1g0CchU,Kwik Kar Oil Change & Auto Care,4.7,1267,Oil change service,"2212 Long Prairie Rd, Flower Mound, TX 75022, United States","2W8H+JW Flower Mound, Texas, USA",https://www.kwikkar.com/locations/us/tx/flower-mound/2212-long-prairie-road,+1 972-355-8531,"Open · Closes 7 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5J1PQP5QpTVSnN1zVGICRib4xL9jaG_dXXGM5Zy7_iLzVe2W-3YdbiQ71iZBMVU1d4DcMtzuplUVdOJtcGQ4ot3nd69Kun6wpHqAGfqzPafFDj0Jo8ds3ldIemZT26TY3LTX33A=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–5 pm,10 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:49:56.699Z,,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x864c2d2011a34b39:0xe4fccb98b18c8c01!8m2!3d33.014535!4d-97.0723237!16s%2Fg%2F1tgqjtvy!19sChIJOUujESAtTIYRAYyMsZjL_OQ,Firestone Complete Auto Care,3.9,397,Tire shop,"2704 Flower Mound Rd, Flower Mound, TX 75022, United States","2W7H+R3 Flower Mound, Texas, USA",https://www.firestonecompleteautocare.com/texas/flower-mound/2704-flower-mound-rd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 469-630-3331,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepx0GI5yN-MK_XhUXzhYG8agVgnAdYpcSBtW-6AIE8va5vYIOS9T66xPYli1zjepiaFdjbT7fhyqAER4a0NbGTKPlVYYKb4EEcqoX-ea6YKrvXAlsvSEG6_m-9t93Ur0gdUzJmh=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:02.521Z,· In-store shopping · Kerbside pickup,LGBTQ+ friendly,
https://www.google.com/maps/place/AM+Towing/data=!4m7!3m6!1s0x864c2d2acf8ce48b:0x5e44242ca0fa3d91!8m2!3d33.0242932!4d-97.0525007!16s%2Fg%2F11fl9bw2b7!19sChIJi-SMzyotTIYRkT36oCwkRF4,AM Towing,4.4,42,Towing service,"1520 River Birch Dr, Flower Mound, TX 75028, United States","2WFW+PX Flower Mound, Texas, USA",https://nortextowing.com/,+1 682-232-4918,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9SSj-42ymjQoyrJ1dtRSk97doS6tyjRGlgWfniNPmiypdZqFq_KsM9GpFO5lL11OF2AD3mrPJZYfFul4gUgXRYBU9CqO2Us_pz2n1Cpx8HOaNGsyj-M6SZbpFIslMNZzevUg=w408-h295-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:07.466Z,,,
https://www.google.com/maps/place/Kwik+Kar+Oil+Change+%26+Auto+Care+of+Flower+Mound/data=!4m7!3m6!1s0x864c2d99426bea7d:0x338e77fdf4fb01c9!8m2!3d33.0419118!4d-97.0433436!16s%2Fg%2F1tczqry5!19sChIJfeprQpktTIYRyQH79P13jjM,Kwik Kar Oil Change & Auto Care of Flower Mound,4.4,693,Auto repair shop,"1045 Cross Timbers Rd, Flower Mound, TX 75028, United States","2XR4+QM Flower Mound, Texas, USA",https://www.kwikkarautoservices.com/service-location/flower-mound/,+1 972-355-1990,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweooyJZ7Berc2kziMJ1-zvsJ-5Qtf3l6J6yzKtnMedJJ4dgcjpHX44QZ3Nqokp-_wEfuvorYvA5fw5unq7rog0jbw0HCqkP_4ZwjcuQQrwfNJcjenxz80RjASNB3qvmr4KO8dcQH=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,10 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:12.432Z,,,
https://www.google.com/maps/place/Sun+Auto+Tire+%26+Service/data=!4m7!3m6!1s0x864c33d57a85ca03:0xae211e97053083ae!8m2!3d33.0710372!4d-97.0493164!16s%2Fg%2F11h547z7gl!19sChIJA8qFetUzTIYRroMwBZceIa4,Sun Auto Tire & Service,4.7,554,Auto repair shop,"1421 Justin Rd, Flower Mound, TX 75028, United States","3XC2+C7 Flower Mound, Texas, USA",https://www.sunautoservice.com/locations/tx/flowermound/auto-repair-1421-justin-rd?utm_source=local_listing&utm_medium=organic&utm_campaign=store_4250,+1 469-575-8213,"Open · Closes 6 pm

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoA9MbAu8ICV8dpzGIz4VHQoV3W-ANHPY775G5qcSfm9cMh33yC4OV1CNIkFyBboS2xwJMgGuIJVY42JKMGkD4y8yiBCAiAc5enFiYWtByM0CTqR2odqE4Mx-Okv7R4yFRFyVjxGycKFhLl=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:16.866Z,,,
https://www.google.com/maps/place/NTB-National+Tire+%26+Battery/data=!4m7!3m6!1s0x864c3288a2378ec1:0xa7771215a304ce33!8m2!3d33.0709563!4d-97.0540206!16s%2Fg%2F1tkkv89c!19sChIJwY43oogyTIYRM84EoxUSd6c,NTB-National Tire & Battery,4.6,666,Tire shop,"1701 Justin Rd, Flower Mound, TX 75028, United States","3WCW+99 Flower Mound, Texas, USA",https://www.mavis.com/locations/flower-mound-tx/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4454,+1 972-360-0133,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqh3Ifx9xLrBDVknUyYn9yy_V6RqstpurirP5_FaZkXyF7A3hQxE-u1ZM2LlpPJRA_rRBXoe5867xqeQSiUHSHm4KlRvmhbF8VwCG5rcSOL5Yn1NsPm7OOTClQOPFwGmZ7ZOXRJmg=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:21.188Z,· In-store pick-up,,
https://www.google.com/maps/place/Majo+Service/data=!4m7!3m6!1s0x864c2d92648373af:0xdfa2f9163e0a9cba!8m2!3d32.9889576!4d-97.0493207!16s%2Fg%2F11x7nxdkdz!19sChIJr3ODZJItTIYRupwKPhb5ot8,Majo Service,4.8,16,Auto repair shop,"1337 Ethan Dr, Flower Mound, TX 75028, United States","XXQ2+H7 Flower Mound, Texas, USA",,+1 786-865-4298,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEVHrNflAEAqCr4DmaHPaV4GZycP1O6lFcWBaU4dGn7X2wjqa2a7GDSdjLiCT0Y7_Gq1pOGrNRuOETnQFJ_9BFjlHxeK6ZPlv6nO8jBudYSj5vGnEqqNQmA6z2n1l_lLkjUm1H=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:25.757Z,,,
https://www.google.com/maps/place/Elements+Massage+-+Flower+Mound/data=!4m7!3m6!1s0x864c2d14d4076773:0x4301adaf4a678aa!8m2!3d33.0361746!4d-97.0685326!16s%2Fg%2F124yjc5nr!19sChIJc2cH1BQtTIYRqnim9NoaMAQ,Elements Massage - Flower Mound,4.7,167,Massage therapist,"2550 Cross Timbers Rd Ste 128, Flower Mound, TX 75028, United States","2WPJ+FH Flower Mound, Texas, USA",https://elementsmassage.com/flower-mound?utm_source=Google&utm_medium=SoCi,+1 972-899-2910,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfl4awoQa3TS1A21dxyQSlV_KUT2xmneb8jN4qpyCdFPPRmgogYGPZH8Cinfv4oJ1NkpV0uQFlTqH0n4_ptyvPIM-fzyFV2LRDJ9DIr_L1whDOmTAUU67667pd-dbJ65Dnk5ArfA=w426-h240-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,10 am–7 pm,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:30.202Z,,LGBTQ+ friendly,
https://www.google.com/maps/place/Discount+Tire/data=!4m7!3m6!1s0x864c328f5d739e0f:0xcb70b59085a7515f!8m2!3d33.07093!4d-97.0566555!16s%2Fg%2F1tt0rjh3!19sChIJD55zXY8yTIYRX1GnhZC1cMs,Discount Tire,4.5,711,Tire shop,"1901 Justin Rd, Flower Mound, TX 75028, United States","3WCV+98 Flower Mound, Texas, USA",https://www.discounttire.com/store/tx/flower-mound/s/1431,+1 972-691-8533,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3kMcnuDCE2lPMAdVgw1kcba3Wxv_CbmqTR4cl9uiuYmrkk7n_fmDiE3YocV7PUn7A4_wdSPP_ErS76KngKwl3eHprx0agU9YTq-lmbtSyl0UXb1GPfdHoaAMUFE9ZMev3d5kY=w408-h304-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:35.055Z,· In-store shopping · Kerbside pickup,,
https://www.google.com/maps/place/Solis+Mammography+Flower+Mound/data=!4m7!3m6!1s0x864c2d6a7aacafdf:0x78124aba9f4ff060!8m2!3d33.0396678!4d-97.0712731!16s%2Fg%2F11f3jbx3c4!19sChIJ36-semotTIYRYPBPn7pKEng,Solis Mammography Flower Mound,4.7,258,Mammography service,"4001 Long Prairie Rd Ste 115, Flower Mound, TX 75028, United States","2WQH+VF Flower Mound, Texas, USA",https://www.solismammo.com/dfw/flower-mound?utm_campaign=GBP_flower-mound&utm_medium=organic&utm_source=google,+1 214-313-9361,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaK3uzoYxF8gwjLF8yTHE5854svoFcj_T2F3--Io9wqJuAvtSDNhWiqm_QZ7E4eIvdOdbgvj-tMDCaQW0DSIkWd7itdURmrcy7er3JUGQo0-tYM-LhDfPbGsZKzrwxzBdABjtFzw=w426-h240-k-no,true,7:15 am–4:30 pm,7:15 am–4:30 pm,7:15 am–4:30 pm,7:15 am–4:30 pm,7:15 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-03-23T14:50:40.111Z,,,
