placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error
https://www.google.com/maps/place/Scarless+Vein+Care+by+Dr.+Kamran+-+Wilmington/data=!4m7!3m6!1s0x89a9f35122093e45:0x2c885d64725beecc!8m2!3d34.2367146!4d-77.8324845!16s%2Fg%2F1262jgmp3!19sChIJRT4JIlHzqYkRzO5bcmRdiCw,Scarless Vein Care by Dr. Kamran - Wilmington,4.8,111,Medical clinic,"6752 Rock Spring Rd, Wilmington, NC 28405, United States","65P9+M2 Wilmington, North Carolina, USA",https://scarlessveincare.com/,+1 910-726-3737,"Closed · Opens 8 am Wed

Updated by this business 11 weeks ago",LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tqgBnyf4aYu6pZr7UhbxYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.397&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:26.265Z,
https://www.google.com/maps/place/Wilmington+Health+Vascular+Surgery+%26+Vein+Care/data=!4m7!3m6!1s0x89aa1f676cd92959:0x290d2ea77f42a0ad!8m2!3d34.2020847!4d-77.9291538!16s%2Fg%2F11n92_j9b2!19sChIJWSnZbGcfqokRraBCf6cuDSk,Wilmington Health Vascular Surgery & Vein Care,4.8,118,Surgical center,"1202 Medical Center Dr Floor 2, Wilmington, NC 28401, United States","632C+R8 Wilmington, North Carolina, USA",https://www.wilmingtonhealth.com/specialties/vascular-surgery/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=locallistings,+1 910-763-6289,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipP_aav1_MuiS4VwkeHrFrMgMN6GFHqcMyfP8664=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:31.645Z,
https://www.google.com/maps/place/Vein+Clinic+of+Am/data=!4m7!3m6!1s0x89a9f36d0b0a6099:0x22422cf0c819b2d2!8m2!3d34.2353594!4d-77.8336284!16s%2Fg%2F11fpk2z2lg!19sChIJmWAKC23zqYkR0rIZyPAsQiI,Vein Clinic of Am,,,Doctor,"6752 Parker Farm Dr, Wilmington, NC 28405, United States","65P8+4G Wilmington, North Carolina, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oVvQkYaTUJHYkvnxygd9rQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.58379&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:34.582Z,
https://www.google.com/maps/place/Carolina+Skin+%26+Vein+Center/data=!4m7!3m6!1s0x89a9f3720bf33753:0x34afc789c6bb6794!8m2!3d34.222054!4d-77.8232126!16s%2Fg%2F1tql5n1r!19sChIJUzfzC3LzqYkRlGe7xonHrzQ,Carolina Skin & Vein Center,4.6,10,Dermatologist,"1908 Eastwood Rd STE 317, Wilmington, NC 28403, United States","65CG+RP Wilmington, North Carolina, USA",http://carolinaskinvein.org/,+1 910-509-4116,Closed · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNig3r5KAO29QGGNpCpNIisijUeXqBSQSxARIOr=w408-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–3 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:39.459Z,
"https://www.google.com/maps/place/Tinsley+Surgical,+PA+Vein,+Vascular+and+General+Surgery/data=!4m7!3m6!1s0x89a9f50c5d575129:0x78f1708545a97b00!8m2!3d34.1943149!4d-77.918818!16s%2Fg%2F11h26_b0lh!19sChIJKVFXXQz1qYkRAHupRYVw8Xg","Tinsley Surgical, PA Vein, Vascular and General Surgery",4.9,440,Vascular surgeon,"1717 Shipyard Blvd STE 200, Wilmington, NC 28403, United States","53VJ+PF Wilmington, North Carolina, USA",https://tinsleysurgical.com/,+1 910-769-2583,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNIlEMCAYK3NmMPtnpTDpXJ9hF4QsqN1qiNkEcl=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:44.721Z,
"https://www.google.com/maps/place/Coastal+Vascular+Institute,+PA/data=!4m7!3m6!1s0x89aa1e206cff38bd:0x4ad8dbd8c08d65c6!8m2!3d34.1986738!4d-77.9286624!16s%2Fg%2F1tfd384g!19sChIJvTj_bCAeqokRxmWNwNjb2Eo","Coastal Vascular Institute, PA",4.1,35,Vascular surgeon,"1411 Physicians Dr, Wilmington, NC 28401, United States","53XC+FG Wilmington, North Carolina, USA",http://www.coastal-vascular.com/,+1 910-343-0811,Closed · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipMRTCYqb6aEGaYDNY7PzvUsV9NyxGti5iQUcZgI=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:50.046Z,
https://www.google.com/maps/place/Scarless+Vein+Care+by+Dr.+Kamran+-+Leland/data=!4m7!3m6!1s0x89aa1f4c00f6afc1:0x42fc22051006930a!8m2!3d34.2167031!4d-78.0210357!16s%2Fg%2F11hfn9tqpk!19sChIJwa_2AEwfqokRCpMGEAUi_EI,Scarless Vein Care by Dr. Kamran - Leland,5.0,95,Medical clinic,"509 Olde Waterford Way 103 B, Leland, NC 28451, United States","6X8H+MH Leland, North Carolina, USA",https://scarlessveincare.com/,+1 910-726-3737,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_oa0EIRkAd6BskbuzGNij_XexN1GVtxTkamXyolb8XmHoFed_wPrazYQmWtvW_2vLsbvllVZLZyqxk49nLHroDMmyCHW2STUIZrqTm9FFNkGwyZR5y-k32dk-qSxfQWjFxcQ_=w408-h240-k-no-pi-0-ya119.990005-ro-0-fo100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:38:55.190Z,
https://www.google.com/maps/place/REVIVAL+Laser+and+Skin+Clinic/data=!4m7!3m6!1s0x89a9f355562cf7c3:0x213b7b4b2b5e3015!8m2!3d34.2241087!4d-77.8309135!16s%2Fg%2F11fn1wwbnv!19sChIJw_csVlXzqYkRFTBeK0t7OyE,REVIVAL Laser and Skin Clinic,4.5,57,Laser hair removal service,"1508 Military Cutoff Rd Suite 203, Wilmington, NC 28403, United States","65F9+JJ Wilmington, North Carolina, USA",https://www.revivallaserandskinclinic.com/,+1 910-679-4312,Closes soon · 6 pm · Opens 8 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipP7SOxDYFwi3IZsBMf554R8yFlOnclKga9sGmRV=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:39:00.450Z,
https://www.google.com/maps/place/Xcite+Med/data=!4m7!3m6!1s0x89a9f5504276c703:0x1e05cca441c22810!8m2!3d34.2087258!4d-77.8592954!16s%2Fg%2F11s5k1ym8c!19sChIJA8d2QlD1qYkRECjCQaTMBR4,Xcite Med,4.9,32,Laser hair removal service,"3528 Adirondack Way Unit 120, Wilmington, NC 28403, United States","645R+F7 Wilmington, North Carolina, USA",,+1 910-398-0017,,,https://lh3.googleusercontent.com/p/AF1QipOIqvCLVLel5_Sy-7VBkpCLSwBg5TyJpSp8MLEB=w408-h265-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:39:03.426Z,
https://www.google.com/maps/place/USA+Vein+Clinics/data=!4m7!3m6!1s0x89a9f586b03f9185:0xd890d342dcfcd9e1!8m2!3d34.2366964!4d-77.8324813!16s%2Fg%2F1tq8kdr4!19sChIJhZE_sIb1qYkR4dn83ELTkNg,USA Vein Clinics,4.8,168,,"6752 Rock Spring Rd #200, Wilmington, NC 28405, United States","65P9+M2 Wilmington, North Carolina, USA",https://www.veinclinics.com/find-a-clinic/north-carolina/wilmington/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 910-798-5347,Permanently closed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=algISW_NC2DGnZ_mpApe1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.06253&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-12-16T22:39:08.265Z,
