placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Premium+Property+Management/data=!4m7!3m6!1s0x88891bf81321dd8d:0xca6de1c988ddf9ba!8m2!3d33.503307!4d-86.785201!16s%2Fg%2F11kpd0c0_8!19sChIJjd0hE_gbiYgRuvndiMnhbco,Premium Property Management,3.8,4,Property management company,"2601 Highland Ave, Birmingham, AL 35205, United States","G637+8W Birmingham, Alabama, USA",https://www.premiumpropertymgmt.com/,+1 205-887-6617,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h9jwL9J73hfnxdNC5lecDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.90553&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:04.149Z,,,
https://www.google.com/maps/place/LiveWell+Property+Management/data=!4m7!3m6!1s0x88893f59c0f14b6b:0x9c8c09da730e0c8f!8m2!3d33.3490529!4d-86.6317483!16s%2Fg%2F11w3hjb10j!19sChIJa0vxwFk_iYgRjwwOc9oJjJw,LiveWell Property Management,5.0,3,Property management company,"16738 US-280 #80, Chelsea, AL 35043, United States","89X9+J8 Chelsea, Alabama, USA",https://www.livewellbham.com/,+1 205-677-8554,,https://lh3.googleusercontent.com/p/AF1QipN0ZPhPafwo77QDemqamro-SmyhqU_k7cxfmPOS=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:08.167Z,,,
https://www.google.com/maps/place/Dean+%26+Associates+Inc/data=!4m7!3m6!1s0x888922708348abe7:0x4f348eaa1f7b10d6!8m2!3d33.4000316!4d-86.6647414!16s%2Fg%2F1tmk97_0!19sChIJ56tIg3AiiYgR1hB7H6qONE8,Dean & Associates Inc,5.0,45,Property management company,"4000 Eagle Point Corporate Dr Suite 240, Birmingham, AL 35242, United States","C82P+24 Birmingham, Alabama, USA",https://deanandassociatesinc.com/,+1 205-259-1918,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipOk7uQgAfYKOqXF-F66gH5X6XMzpcHtr4UX4-CA=w408-h305-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:13.791Z,,,
"https://www.google.com/maps/place/Neighborhood+Management,+LLC/data=!4m7!3m6!1s0x888919841987d80f:0x887228cd37e91bba!8m2!3d33.4800721!4d-86.7759554!16s%2Fg%2F11cmtbcs3w!19sChIJD9iHGYQZiYgRuhvpN80ocog","Neighborhood Management, LLC",4.2,412,Property management company,"2700 US-280 #425w, Birmingham, AL 35223, United States","F6JF+2J Birmingham, Alabama, USA",http://www.nhmllc.org/,+1 205-877-9480,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOeJJNascHFNFsn1Xte0tqrkWjpWq2r0XvSloth=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:18.901Z,,,
https://www.google.com/maps/place/Bridge+Property+Management/data=!4m7!3m6!1s0x88893dbe8e74b1df:0x4b595d546cce6915!8m2!3d33.3700054!4d-86.6673632!16s%2Fg%2F11lfg_yclr!19sChIJ37F0jr49iYgRFWnObFRdWUs,Bridge Property Management,,,Property management company,"198 Narrows Dr Suite 101, Birmingham, AL 35242, United States","98CM+23 Birmingham, Alabama, USA",http://www.bridgerents.com/,+1 205-981-3900,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k_O1RYBMpa5Mf2o9xePn-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.14587&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:24.459Z,,,
https://www.google.com/maps/place/Real+Property+Management+Victory/data=!4m7!3m6!1s0x88891f94c01323db:0xcf2a06f6b4837457!8m2!3d33.3844385!4d-86.7291847!16s%2Fg%2F11fmqbz37q!19sChIJ2yMTwJQfiYgRV3SDtPYGKs8,Real Property Management Victory,4.5,136,Property management company,"4625 Valleydale Rd, Birmingham, AL 35242, United States","97MC+Q8 Birmingham, Alabama, USA",https://www.victoryrpm.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 205-793-0700,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noTFXhwbRTEovYEg3geSaMP2YGCg_WxW4c7UJqAALUk-WdGJd52nAr5BD6oh-JxkLjYt89YDUs5_Z5Ik_QD2KvSZnKQgtNfC3JfEDN8eKgtuLn0yI09nsL6S6FK3ekMAgmbTHbU=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:29.813Z,,,
"https://www.google.com/maps/place/Selective+Management+Services,+LLC/data=!4m7!3m6!1s0x8889240fb82c4721:0xb6cd079fc512fe96!8m2!3d33.2907319!4d-86.8087973!16s%2Fg%2F11b6b0qn09!19sChIJIUcsuA8kiYgRlv4SxZ8HzbY","Selective Management Services, LLC",3.2,39,Property management company,"211 Yeager Pkwy Suite B, Pelham, AL 35124, United States","75RR+7F Pelham, Alabama, USA",http://www.selectivemgmt.com/,+1 205-624-3586,,https://lh3.googleusercontent.com/p/AF1QipPUoXtWNhncUlXH0SDO4VPhSMjc-c2yl2JMOAJu=w456-h240-k-no,true,Closed,8 am–3 pm,Closed,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:35.491Z,,,
https://www.google.com/maps/place/PMI+Birmingham+Region/data=!4m7!3m6!1s0x81b8d3e32cd1ac55:0x4cb53252a1634037!8m2!3d33.4354669!4d-86.8097477!16s%2Fg%2F11tdqyl8h_!19sChIJVazRLOPTuIERN0BjoVIytUw,PMI Birmingham Region,5.0,80,Property management company,"2081 Columbiana Rd, Vestavia Hills, AL 35216, United States","C5PR+54 Vestavia Hills, Alabama, USA",https://www.birminghampropertymanagementinc.com/,+1 205-583-2500,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOHISVD8SCVDnBTl45j1OXLax4KMyBYPnsE3Iro=w457-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:40.713Z,,,
https://www.google.com/maps/place/Associa+McKay+Management/data=!4m7!3m6!1s0x8889225483498e91:0x2a4b818ecfe9ade2!8m2!3d33.3541355!4d-86.7867692!16s%2Fg%2F1tvgw34c!19sChIJkY5Jg1QiiYgR4q3pz46BSyo,Associa McKay Management,3.2,260,Property management company,"5 River Chase Ridge, Birmingham, AL 35244, United States","9637+M7 Birmingham, Alabama, USA",https://www.mckaymanagement.com/?utm_source=gmb&utm_medium=Yext&y_source=1_Mjc2NjU4ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 205-949-8800,"Open ⋅ Closes 5 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrZlcHS5DHQ6bwkdOqVwd1lAmaXaxNg6mSR6nSP3aYlBIhe1lzFimCNtRsDk2eZJBgEzWQOkNuklAM3JHv9xHLGfjqj2lxqccnjEyIMtCdlrXDrnVmig4Sm0NlZslkOLoMrRO8=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-09-25T17:01:46.417Z,,,
https://www.google.com/maps/place/Blueprint+Property+Management/data=!4m7!3m6!1s0x69311054b82a98c5:0xca90bba4a01ef624!8m2!3d33.4906629!4d-86.7934315!16s%2Fg%2F11y5cw5w0_!19sChIJxZgquFQQMWkRJPYeoKS7kMo,Blueprint Property Management,4.9,37,Property management company,"1933 Richard Arrington Jr Blvd S Ste. 223, Birmingham, AL 35209, United States","F6R4+7J Birmingham, Alabama, USA",https://blueprintmgmt.net/,+1 205-210-8048,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5AOQsgiGTkONWQDmNxJlyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.00653&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Homewood+Birmingham+AL/@33.4717732,-86.8008228,14z",2025-09-25T17:02:14.285Z,,,
