placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,info,attributes,error
https://www.google.com/maps/place/Providence+Queen+of+the+Valley+Oncology+Infusion+Center/data=!4m7!3m6!1s0x8085076f145d0b23:0xb9eed90691027bf6!8m2!3d38.3245075!4d-122.2971146!16s%2Fg%2F11rfd1wvtb!19sChIJIwtdFG8HhYAR9nsCkQbZ7rk,Providence Queen of the Valley Oncology Infusion Center,5.0,2,Oncologist,"1000 Trancas St 2nd Floor, Napa, CA 94558, United States","8PF3+R5 Napa, California, USA",https://www.providence.org/locations/norcal/queen-of-the-valley/medical-oncology?ls=location&y_source=1_MjQxOTM2ODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 707-251-3502,Closed ⋅ Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZsR8tr1otAPfhVk3DXaA0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=341.46472&pitch=0&thumbfov=100,true,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:17.791Z,,,,
https://www.google.com/maps/place/B12+LOVE+%7C+Napa/data=!4m7!3m6!1s0x80850760d488081b:0x3dc68b3a67641c7d!8m2!3d38.2967278!4d-122.2887071!16s%2Fg%2F11px8jp58j!19sChIJGwiI1GAHhYARfRxkZzqLxj0,B12 LOVE | Napa,5.0,270,Naturopathic practitioner,"1428 2nd St, Napa, CA 94559, United States","7PW6+MG Napa, California, USA",https://www.b12love.com/,+1 707-947-3004,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipOSe9o41b55Z4eVCMD1hR2IJQV4T_oJXDLILVBM=w408-h272-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:23.558Z,,,,
https://www.google.com/maps/place/Napa+Integrated+Medicine/data=!4m7!3m6!1s0x8085068993027179:0x4b5644d3823345d1!8m2!3d38.3096827!4d-122.2813831!16s%2Fg%2F1tr7jlym!19sChIJeXECk4kGhYAR0UUzgtNEVks,Napa Integrated Medicine,4.9,53,Sports medicine clinic,"575 Lincoln Ave #225, Napa, CA 94558, United States","8P59+VC Napa, California, USA",http://napaintegratedmedicine.com/,+1 707-255-6888,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOJPCQCv6O8tGECebaDOOyimkS5vQ6XCyKLVi9Z=w408-h272-k-no,true,Closed,"8:30 am–12 pm, 3–6 pm",3–6 pm,7:30 am–12 pm,"8:30 am–12 pm, 3–6 pm",Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:28.987Z,,,,
"https://www.google.com/maps/place/Gameday+Men%27s+Health+Napa+TRT,+Peptides,+and+Weight+Loss+Clinic/data=!4m7!3m6!1s0x808507567e08f63f:0x6a7f7f800934d880!8m2!3d38.2893383!4d-122.2763325!16s%2Fg%2F11y4nzbxwq!19sChIJP_YIflYHhYARgNg0CYB_f2o","Gameday Men's Health Napa TRT, Peptides, and Weight Loss Clinic",5.0,122,Men's health physician,"433 Soscol Ave Suite A-110, Napa, CA 94559, United States","7PQF+PF Napa, California, USA",https://gamedaymenshealth.com/napa/,+1 707-466-6710,"Closed ⋅ Opens 8 am Tue

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMIRzpQn1s-G11bJ0q8En1avudPoGq0F87-5SGR=w408-h544-k-no,true,Closed,Closed,"8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm",Closed,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:34.009Z,,,,
https://www.google.com/maps/place/Providence+Queen+of+the+Valley+Medical+Center+Cancer+Care/data=!4m7!3m6!1s0x8085074c5e474465:0x47057fdab81605c4!8m2!3d38.3244619!4d-122.2971724!16s%2Fg%2F11q1vd4kg3!19sChIJZURHXkwHhYARxAUWuNp_BUc,Providence Queen of the Valley Medical Center Cancer Care,,,Cancer treatment center,"1000 Trancas St, Napa, CA 94558, United States","8PF3+Q4 Napa, California, USA",https://www.providence.org/locations/norcal/queen-of-the-valley/cancer-care?ls=location&y_source=1_MjQxODkzMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 707-252-4411,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yoM8bf4b2NStat8rKl7S9g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.0332&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:36.751Z,,,,
https://www.google.com/maps/place/Oncology:+Adventist+Health+Physicians+Network/data=!4m7!3m6!1s0x8085076ecd34c2b5:0x7ba197621ce5ea09!8m2!3d38.3236475!4d-122.298622!16s%2Fg%2F11r0t_n0jw!19sChIJtcI0zW4HhYARCerlHGKXoXs,Oncology: Adventist Health Physicians Network,5.0,2,Cancer treatment center,"1100 Trancas St Suite 201, Napa, CA 94558, United States","8PF2+FH Napa, California, USA",https://www.adventisthealth.org/st-helena/locations/oncology-adventist-health-physicians-network-4460,+1 707-967-5721,Closed ⋅ Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1WzT6ZtoNDa-XZyHDwYbvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.91617&pitch=0&thumbfov=100,true,Closed,Closed,Closed,8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:41.633Z,,,,
https://www.google.com/maps/place/SpaWell+Napa+at+Napa+Valley+Marriott/data=!4m7!3m6!1s0x808507ede2ead309:0x67f43c914bfc1de5!8m2!3d38.3227604!4d-122.3120804!16s%2Fg%2F11srlgv73v!19sChIJCdPq4u0HhYAR5R38S5E89Gc,SpaWell Napa at Napa Valley Marriott,4.9,168,Spa,"3425 Solano Ave, Napa, CA 94558, United States","8MFQ+45 Napa, California, USA",https://spawellnapa.com/,+1 707-254-3330,,https://lh3.googleusercontent.com/p/AF1QipMufiNSyH45kBLJi1kND8SnPgmcCCiO5Cl7zkOW=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:44.438Z,,,,
https://www.google.com/maps/place/Urgent+Care+%2B+TeleHealth/data=!4m7!3m6!1s0x80850c64ab2d4915:0x42ebd508d95c11f5!8m2!3d38.2982683!4d-122.2994315!16s%2Fg%2F1ptwbrhzj!19sChIJFUktq2QMhYAR9RFc2QjV60I,Urgent Care + TeleHealth,4.8,957,Urgent care center,"2360 1st St, Napa, CA 94559, United States","7PX2+86 Napa, California, USA",https://telehealthuc.com/,+1 707-377-1007,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_9ADFxW6lxWDCfDd_a-haZWP8ppMiXtFAjVT85FcEIyXHtIxw2aZBPaPZY1Jhs14N-j-kvlSBygmUqhcs08Z2mVfuFoRJO71iFlf8ntr9U3aCJjJIiSUXt5PR6v8VgMvAJKFc=w408-h306-k-no,true,9 am–3 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:49.594Z,true,,,
https://www.google.com/maps/place/Napa+Health+Center/data=!4m7!3m6!1s0x80850709348e618b:0x65011238eddb99d6!8m2!3d38.3037421!4d-122.2889807!16s%2Fg%2F11h84y_sp6!19sChIJi2GONAkHhYAR1pnb7TgSAWU,Napa Health Center,,,Massage spa,"1620 Main St, Napa, CA 94559, United States","8P36+FC Napa, California, USA",https://usabizory.top/details/napa-health-center-ChIJi2G,+1 707-669-0333,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMaRQet12lpXQE8A3207VUEdr5avXXt3F1bPm0D=w408-h544-k-no,true,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:54.401Z,,,,
https://www.google.com/maps/place/Optimal+Health+Center/data=!4m7!3m6!1s0x808506e9dcdc6861:0x6fd39b4131716376!8m2!3d38.3224833!4d-122.2954928!16s%2Fg%2F11f1215qcg!19sChIJYWjc3OkGhYARdmNxMUGb028,Optimal Health Center,3.0,2,Naturopathic practitioner,"3260 Beard Rd Suite 3, Napa, CA 94558, United States","8PC3+XR Napa, California, USA",,+1 707-942-1250,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipM_GLBsX--dPtMIKUVV1uGu3FBaRIBqNXHA9hnG=w408-h544-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–6 pm,"https://www.google.com/maps/search/Infusion+centers+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-09-28T23:34:59.290Z,,,,
