placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp
https://www.google.com/maps/place/Big+Brand+Tire+%26+Service/data=!4m7!3m6!1s0x80d6f674abf3deb1:0xc7b387f0a893d9e8!8m2!3d32.7066001!4d-114.6248703!16s%2Fg%2F1tfc6x50!19sChIJsd7zq3T21oAR6NmTqPCHs8c,Big Brand Tire & Service,4.8,645,Tire shop,· In-store shopping · In-store pick-up,"1150 S 4th Ave, Yuma, AZ 85364, United States","P94G+J3 Yuma, Arizona, USA",https://www.bigbrandtire.com/locations/yuma-az?store_number=3019&utm_source=organic&utm_medium=gbp&utm_campaign=3019,+1 928-393-0961,"Open · Closes 6 pm

Updated by this business 6 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnUCe6ZmfA4x8MKzRpHhb8upPCx_1q4vpRUYMuTfY76j5Zvd2T1WNtZ0tv0bawn502EoGwuwMy8Wdav_79QTQxky4HuLiJfpSy0KeLVQfLiB9Sx47ZbzBj3H8l-BZTKY6do1k=w408-h544-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:48:38.898Z
https://www.google.com/maps/place/Ed+Whitehead%27s+Tire+Pros/data=!4m7!3m6!1s0x80d6f6746f649e6f:0xbdb33cf072d2763d!8m2!3d32.709744!4d-114.624247!16s%2Fg%2F1td3lwm4!19sChIJb55kb3T21oARPXbScvA8s70,Ed Whitehead's Tire Pros,4.6,204,Tire shop,· In-store pick-up,"965 S 4th Ave, Yuma, AZ 85364, United States","P95G+V8 Yuma, Arizona, USA",http://www.edwhiteheadstirepros.com/,+1 928-782-1868,Open · Closes 5:30 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKkzol09qxyOoJ7GsxILU73BVdyC9hN1kORRjGQylg1DQ1pQekXXHzAQzGHyQfxeg9l37qE4AuSc-VLsHS5vlHcDbLkSCvrG952wFI7AUJ9UvbKxQk9KDOxVkoyKsmyoVwJgOW=w408-h306-k-no,false,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:48:44.407Z
"https://www.google.com/maps/place/AZ+Wholesale+Tires,+LLC/data=!4m7!3m6!1s0x80d6f58fcfdd0865:0xd40aac31b786065c!8m2!3d32.6984343!4d-114.5929334!16s%2Fg%2F11w4tkk72q!19sChIJZQjdz4_11oARXAaGtzGsCtQ","AZ Wholesale Tires, LLC",4.9,147,Tire shop,,"2585 E 16th St, Yuma, AZ 85365, United States","MCX4+9R Yuma, Arizona, USA",https://azwholesaletires.com/,+1 928-503-4035,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoRZEk1FycknHCJNNLbMIeJHxptJo2m_B28rOumjfwG-_HZ4dQCCEvEapgIybecwtx2qknkiVk-Adm0YVrPIR2-gC0fGLaOElu0L18vBsuOKwkCN_cWEqwXOAJLWi7LKD-8B8_BGOTiAVM=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:48:49.325Z
https://www.google.com/maps/place/Yuma+Tire/data=!4m7!3m6!1s0x80d6589dc736df31:0x87e22abdc0af49c4!8m2!3d32.6774356!4d-114.6506574!16s%2Fg%2F1td4_3wx!19sChIJMd82x51Y1oARxEmvwL0q4oc,Yuma Tire,4.5,186,Used tire shop,· In-store pick-up,"2774 S Avenue B, Yuma, AZ 85364, United States","M8GX+XP Yuma, Arizona, USA",,+1 928-726-6822,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerH-4Ci5R8WWvToMfyz82Df850tvgsC_tB4mqsfTGf8sBhqp2jZBiIOs5m_Dl0asoSgU88DMN797fOwk_orryjToG84DJ0zQ-R6mCpCPQk8MjEO-XVBWraN-sO5dAVP8FNGwT5Qng=w408-h576-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:48:54.138Z
https://www.google.com/maps/place/Southern+Tire+Mart/data=!4m7!3m6!1s0x80d659d210450273:0x5c938a91aa7821c3!8m2!3d32.6704115!4d-114.6495884!16s%2Fg%2F11j8fhjypc!19sChIJcwJFENJZ1oARwyF4qpGKk1w,Southern Tire Mart,4.6,32,Tire shop,· In-store shopping · In-store pick-up,"3155 S Avenue B, Yuma, AZ 85364, United States","M9C2+55 Yuma, Arizona, USA",https://locations.stmtires.com/az/yuma/3155-s-avenue-b,+1 928-955-4040,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoseiByWcp_cQjHbBO_HMxnmIXCOiC3eUeuhcFCPXHWjbPqLMZKXuA8X2XzQL9lnj8c00KYruXV_lOmzT6nBiiHKHXxo-O0sQRAJz6h1K7oouyGxA4c7afpdp58FV_kMER6HTFR-A=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:48:59.079Z
https://www.google.com/maps/place/Garcia%E2%80%99s+Automotive+%26+Tire+Shop/data=!4m7!3m6!1s0x80d6f5c9f8c1a215:0x4a873b0d39014967!8m2!3d32.6999056!4d-114.5932418!16s%2Fg%2F11f8hwp48_!19sChIJFaLB-Mn11oARZ0kBOQ07h0o,Garcia’s Automotive & Tire Shop,4.3,76,Auto repair shop,,"2468 E 15th Pl, Yuma, AZ 85365, United States","MCX4+XP Yuma, Arizona, USA",,+1 928-271-7904,Open · Closes 4 pm,Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQeqG9i_ixjcI2fQAblR-33Q3pG-p3Tu-tQlhR9leP152ME9C8-mXwIcuByGqZm9-ibIVdJ7EMXs9TfZ_7RGXeh0HMz5AvTGCm5NsG76DvPCUvOYUjZQXFARJsgjgBt_sNd1wk=w426-h240-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:49:04.014Z
https://www.google.com/maps/place/FRANKS+TIRE+SHOP/data=!4m7!3m6!1s0x80d6589a14f4c0a5:0xc9df29b8d8b6e9d6!8m2!3d32.6701911!4d-114.6504224!16s%2Fg%2F11g6_yr1lh!19sChIJpcD0FJpY1oAR1um22Lgp38k,FRANKS TIRE SHOP,4.6,132,Tire shop,· In-store shopping,"3174 S Avenue B, Yuma, AZ 85364, United States","M8CX+3R Yuma, Arizona, USA",,+1 928-336-0550,Opens soon · 8 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq7b87cE2cqPfO0BmAB_pBf8q04hd57TejqXyEQHdUtAOEudlQR82U4SfyG6M-TUlT6c8DSw_ZR_4BwNj2WSG2KCjPJMoIixRDNwvZcpQp0jQ8Tz045dxeYzl-HgZmp0E9x4xgV=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,9 am–3 pm,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:49:08.765Z
https://www.google.com/maps/place/FTS+Automotive+%26+Diesel+Center/data=!4m7!3m6!1s0x80d6f5fc495fc31b:0x9595d7e32ff271d5!8m2!3d32.6964539!4d-114.6152451!16s%2Fg%2F1tj2nrcg!19sChIJG8NfSfz11oAR1XHyL-PXlZU,FTS Automotive & Diesel Center,4.4,165,Tire shop,,"1701 S Arizona Ave, Yuma, AZ 85364, United States","M9WM+HW Yuma, Arizona, USA",https://ftsautocenter.com/,+1 928-343-9430,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepPQIV_r5Wf2HoFjIhMBVuDModAqYWn0ezWHATfJT-zSZ1ZZGLaaJi924RdAYJNJhvLN5pz5YKrGCaYAB0FhpUcSGUvIfTWJnHhTmpIq8alT4-MfXhN3xcZKtpL0nmiKPL2FI8=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:49:13.499Z
https://www.google.com/maps/place/Tony%27s+Mobile+Truck+Repair/data=!4m7!3m6!1s0x80d6f7f4f43e0cb1:0x1e1b2ea35db12d40!8m2!3d32.696152!4d-114.6189892!16s%2Fg%2F11j86tmxlf!19sChIJsQw-9PT31oARQC2xXaMuGx4,Tony's Mobile Truck Repair,4.9,95,Truck repair shop,,"1719 S Madison Ave, Yuma, AZ 85364, United States","M9WJ+FC Yuma, Arizona, USA",,+1 928-955-6912,"Open 24 hours

Confirmed by this business 5 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxxBl6gAuzEJXu5JsiBCHHQBVSgz2VGSgXvXDvVcDe1TszBssDYWs6wZvwOn6SFw24t4WHiAB1OLbFPWMzERrYSuNaIJzOD3gJ_BkSKpNQvYf_tm5nVF3zXIz495oD2a_ujHXq=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:49:18.357Z
https://www.google.com/maps/place/RAW+Wheels+%26+Tires/data=!4m7!3m6!1s0x80d65f496dd140ef:0x249db30a2949a622!8m2!3d32.6697871!4d-114.6122319!16s%2Fg%2F1vbl7w9m!19sChIJ70DRbUlf1oARIqZJKQqznSQ,RAW Wheels & Tires,4.8,486,Tire shop,· In-store pick-up,"780 E 32nd St, Yuma, AZ 85365, United States","M99Q+W4 Yuma, Arizona, USA",https://rentawheel.com/?utm_source=gmb&utm_medium=yext,+1 928-726-9312,Closed · Opens 10:30 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepvjedaCI7ACkIry8fzwzSYCTubmuyP4IlGfcnrWzpMH5K90NTqomsuzGKmd83D6dcG9Z8yxu2n0DBhxPLKZpyhgNPIWoPfvUm5-SaWDhCJkDpzlbtaunGe9yOPK9NPA2Kq6JniTA=w408-h408-k-no,true,10:30 am–7 pm,10:30 am–7 pm,10:30 am–7 pm,10:30 am–7 pm,10:30 am–7 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-03-23T14:49:23.315Z
