placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,error
https://www.google.com/maps/place/Brentwood+Garage+Door+Services/data=!4m7!3m6!1s0x88646fe38b42ab77:0xb57554a1aa26fe23!8m2!3d36.0828969!4d-86.690091!16s%2Fg%2F11k1201fmv!19sChIJd6tCi-NvZIgRI_4mqqFUdbU,Brentwood Garage Door Services,5.0,281,Garage door supplier,,,https://brentwoodgaragedoorservices.com/,+1 615-200-7495,Closed ⋅ Opens 7 am Sun,Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipM0dVBqlUtavhbn4c0-veHHWqDH4I6VBJj0q7M_=w426-h240-k-no,true,7 am–5 pm,Closed,7 am–9 pm,7 am–9 pm,7 am–7 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:28.882Z,,
https://www.google.com/maps/place/Blair+Garage+Door/data=!4m7!3m6!1s0x8863f42aff19fb59:0x329807381c4bd16c!8m2!3d36.0002907!4d-86.6943221!16s%2Fg%2F11cfg20zs!19sChIJWfsZ_yr0Y4gRbNFLHDgHmDI,Blair Garage Door,5.0,37,Garage door supplier,"6688 Nolensville Rd #108222, Brentwood, TN 37027, United States","2824+47 Brentwood, Tennessee, USA",https://blairgaragedoor.com/,+1 615-796-8900,Closed ⋅ Opens 7 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipMFvxuE7V1XTfOtCNQw9QjIPM5Z2lygLXNbi9SS=w408-h544-k-no,true,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:35.414Z,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x8864656fa0369f23:0x4ff9cbb7bb4872d8!8m2!3d36.1266008!4d-86.7568709!16s%2Fg%2F11kqy12mw1!19sChIJI582oG9lZIgR2HJIu7fL-U8,A1 Garage Door Service,4.9,1258,Garage door supplier,"2137 Utopia Ave, Nashville, TN 37211, United States","46GV+J7 Nashville, Tennessee, USA",https://a1garage.com/locations/tennessee/nashville/garage-door-repair-and-installation-37211-s.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[nashville],+1 615-709-2960,Open 24 hours,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPzTpfoBvxLS5NzSCKnfXCnkPaUdGAQihOUj6Pd=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:40.486Z,,
https://www.google.com/maps/place/DOOR-TECH+Garage+Doors/data=!4m7!3m6!1s0x88647bd5a154f84b:0x6d11ce70c162967b!8m2!3d36.0376322!4d-86.7438601!16s%2Fg%2F11mx3j28ll!19sChIJS_hUodV7ZIgRe5ZiwXDOEW0,DOOR-TECH Garage Doors,5.0,25,Garage door supplier,"117 Honey Creek Ln, Nashville, TN 37211, United States","27Q4+3F Nashville, Tennessee, USA",https://doortechgaragedoorstn.com/,+1 615-716-1178,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipP_g9spR39xyYMZ-GMDD5xpOFBB74erslPLJuov=w592-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:45.693Z,,
"https://www.google.com/maps/place/GarageWorks,+LLC/data=!4m7!3m6!1s0x886470047293e785:0x52a45f633cc9e69b!8m2!3d36.0385642!4d-86.7350757!16s%2Fg%2F1tcwm8_5!19sChIJheeTcgRwZIgRm-bJPGNfpFI","GarageWorks, LLC",4.9,345,Garage door supplier,"15455 Old Hickory Blvd, Nashville, TN 37211, United States","27Q7+CX Nashville, Tennessee, USA",http://garageworkstn.com/,+1 615-207-7718,,,,https://lh3.googleusercontent.com/p/AF1QipOegvgaT9zSwVq5h1xrFjlZgWPpnBoqZT8L487m=w647-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:50.730Z,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Nashville/data=!4m7!3m6!1s0x88640d0642dbba53:0xaa126168172bbf46!8m2!3d36.1022495!4d-86.6547018!16s%2Fg%2F1vxvjld2!19sChIJU7rbQgYNZIgRRr8rF2hhEqo,Overhead Door Company of Nashville,4.9,627,Garage door supplier,"1922 Old Murfreesboro Pike Bldg #400, Nashville, TN 37217, United States","482W+V4 Nashville, Tennessee, USA",https://overheaddoornashville.com/,+1 615-868-3667,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipOLoahL7NJ6EhuUuhj97O_4x4wl-BsAWOjKwZoc=w408-h397-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:23:56.044Z,,
"https://www.google.com/maps/place/Cornerstone+Garage+Door+Company,+LLC/data=!4m7!3m6!1s0x8864721c989f1e37:0x9de991bae42b3b7!8m2!3d36.0306406!4d-86.6566259!16s%2Fg%2F1tcvvllk!19sChIJNx6fmBxyZIgRt7NCrhuZ3gk","Cornerstone Garage Door Company, LLC",5.0,617,Garage door supplier,"3397 Old Franklin Rd, Nashville, TN 37013, United States","28JV+78 Nashville, Tennessee, USA",http://cornerstonedoor.com/,+1 615-941-7496,Closes soon ⋅ 6 pm ⋅ Opens 8 am Sat,,,https://lh3.googleusercontent.com/p/AF1QipOEOndhIOfxlyadNSeUPEpJSk061ZJHrmMdSIqt=w408-h306-k-no,true,8 am–6 pm,8 am–2 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:01.175Z,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Nashville/data=!4m7!3m6!1s0x88648fcac1d4cf37:0x89cab792c07a0d65!8m2!3d36.1713503!4d-86.8769654!16s%2Fg%2F1tf_tlrf!19sChIJN8_UwcqPZIgRZQ16wJK3yok,Precision Garage Door Service of Nashville,4.9,966,Garage door supplier,"7002 Westbelt Dr, Nashville, TN 37209, United States","54CF+G6 Nashville, Tennessee, USA",https://garagedoorstn.com/,+1 615-378-7911,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipOQKdoWQ-lAxzEEDcwsw_OoscvW9x_tKKMhqNNJ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:06.461Z,,
https://www.google.com/maps/place/Nashville+Garage+Door/data=!4m7!3m6!1s0x886489e006141e85:0x4c0371556b9505f!8m2!3d36.1417155!4d-86.5899376!16s%2Fg%2F11k87mwqcx!19sChIJhR4UBuCJZIgRX1C5VhU3wAQ,Nashville Garage Door,4.9,57,Garage door supplier,,,https://nashvillegaragedoor-co.com/,+1 615-928-2285,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipNE13z-waDzXWxog1zWPW3Z1r-8w1bPzUlN41Mx=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:11.379Z,,
https://www.google.com/maps/place/All+4+Seasons+Garage+Doors+Nashville/data=!4m7!3m6!1s0x8864657462805669:0x5688cb7b8c2bdc62!8m2!3d36.0979575!4d-86.745026!16s%2Fg%2F11fmv2psb1!19sChIJaVaAYnRlZIgRYtwrjHvLiFY,All 4 Seasons Garage Doors Nashville,4.9,314,Garage door supplier,"531 Veritas St, Nashville, TN 37211, United States","37X3+5X Nashville, Tennessee, USA",http://www.all4seasonsgarages.com/nashville/,+1 615-378-7022,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipMByaGDyMujQWsCun5vHlVI5Avb3I38LgTrADpW=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:16.361Z,,
https://www.google.com/maps/place/Top+Garage+Door+Repair/data=!4m7!3m6!1s0x88646540bae4dc73:0xb4893dbae1e4fe43!8m2!3d36.0994715!4d-86.8214959!16s%2Fg%2F11rvj07ccc!19sChIJc9zkukBlZIgRQ_7k4bo9ibQ,Top Garage Door Repair,4.9,76,Garage door supplier,"4235 Hillsboro Pike #300, Nashville, TN 37215, United States","35XH+QC Nashville, Tennessee, USA",http://www.topgaragedoorrepairs.com/,+1 615-432-4311,Closes soon ⋅ 6 pm ⋅ Opens 7:30 am Sun,,,https://lh3.googleusercontent.com/p/AF1QipMcd9seYAvBkxmPjLu6zA6qZjzvs7Ppv6nAmzJT=w408-h543-k-no,true,6 am–6 pm,Closed,7:30 am–7:30 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:21.254Z,,
https://www.google.com/maps/place/Tip+Top+Garage+Doors+Nashville/data=!4m7!3m6!1s0x88648838a8d6815d:0x54130cd3fa1c0018!8m2!3d36.0777564!4d-86.9221973!16s%2Fg%2F11dxjwgmvs!19sChIJXYHWqDiIZIgRGAAc-tMME1Q,Tip Top Garage Doors Nashville,4.9,346,Garage door supplier,"179 Belle Forest Cir #102-C, Nashville, TN 37221, United States","33HH+44 Nashville, Tennessee, USA",https://tiptopgaragedoorsnashville.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 615-696-7300,Closes soon ⋅ 6 pm ⋅ Opens 7 am Sun,,,https://lh3.googleusercontent.com/p/AF1QipORh4hdbaTHJnBLg97k4osEV4AZRyFsaGUvGleD=w408-h271-k-no,true,6 am–6 pm,Closed,7 am–7 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:26.060Z,,
https://www.google.com/maps/place/Oasis+Garage+Doors/data=!4m7!3m6!1s0x8864ea9f94cb53e7:0x2728e4bec011e882!8m2!3d36.1263078!4d-86.7687554!16s%2Fg%2F11gzlhtgx!19sChIJ51PLlJ_qZIgRgugRwL7kKCc,Oasis Garage Doors,5.0,146,Garage door supplier,"468 Craighead St, Nashville, TN 37204, United States","46GJ+GF Nashville, Tennessee, USA",https://oasisgaragedoors.com/,+1 615-339-3365,Closes soon ⋅ 6 pm ⋅ Opens 8 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipPGxilnBXqXw5N18IUr7HZKcvBlD60hJ2zGzsRZ=w408-h544-k-no,true,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:31.257Z,,
https://www.google.com/maps/place/Nashville+Garage+Door+Repair+Rescue/data=!4m7!3m6!1s0x8865e73fb363eeb9:0xd46d26ef1599c839!8m2!3d36.2328899!4d-86.7243434!16s%2Fg%2F11wbycg26d!19sChIJue5jsz_nZYgROciZFe8mbdQ,Nashville Garage Door Repair Rescue,4.9,30,Garage door supplier,"204 Point E Dr, Nashville, TN 37216, United States","67MG+57 Nashville, Tennessee, USA",http://nashvillegaragedoorrepairrescue.com/,+1 615-544-6989,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipMmJ9m4qkd25y_5iT0kmw5X1LXac_6heyvgrbUk=w408-h395-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:36.196Z,,
https://www.google.com/maps/place/Allied+Overhead+Door/data=!4m7!3m6!1s0x88646592ee946a5b:0x4072cc979cdb60fd!8m2!3d35.9729725!4d-86.6717199!16s%2Fg%2F1tpbcqgn!19sChIJW2qU7pJlZIgR_WDbnJfMckA,Allied Overhead Door,4.8,262,Garage door supplier,"7239 Haley Industrial Dr, Nolensville, TN 37135, United States","X8FH+58 Nolensville, Tennessee, USA",http://www.alliedoverheaddoor.com/,+1 615-244-6447,Closed ⋅ Opens 7 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipMP9NtiLYrBddD9QoWIFafN13CnBxuetIqctd28=w408-h306-k-no,true,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:41.357Z,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x88647be2d1cafadd:0xb3b019b02b037b47!8m2!3d36.0347918!4d-86.8118606!16s%2Fg%2F11xssd6ljf!19sChIJ3frK0eJ7ZIgRR3sDK7AZsLM,A1 Garage Door Service,5.0,85,Garage door supplier,"217 Jamestown Park Rd, Brentwood, TN 37027, United States","25MQ+W7 Brentwood, Tennessee, USA",https://a1garage.com/locations/tennessee/brentwood/garage-door-repair-and-installation-nsh-37027-s.html,+1 629-236-8247,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipMm7uAd-boqYlNofVXXJLJz8ZKf-C0Di1G-yOS5=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Brentwood+Nashville+TN/@36.0331164,-86.7827772,14z",2025-11-07T23:24:46.346Z,,
