placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/PDQ+Doors/data=!4m7!3m6!1s0x8841ab10056c92ef:0x75342eb539d6d0f9!8m2!3d39.167181!4d-84.266664!16s%2Fg%2F1tfv1734!19sChIJ75JsBRCrQYgR-dDWObUuNHU,PDQ Doors,4.9,3079,Garage door supplier,"805 US-50, Milford, OH 45150, United States","5P8M+V8 Milford, Ohio, USA",https://www.mypdqdoor.com/milford-oh/?utm_source=google&utm_medium=organic&utm_campaign=GBP%20-%20Milford,+1 513-268-2522,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygv0hnTxoOZuvNhDsiuPlm9VJuPY0PMFG5fpeIiy3mieiy_xGfWRrZw7D88WsXhG5A9i3P0qCTdgQZ35BNHqMiA1Hx1HGayBTyuL7IWjreuBCIw5rJHRhovsez7hpNsxM7B9qEQA=w408-h306-k-no,true,7:30 am–5 pm,9 am–1 pm,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:13.511Z,,,,
https://www.google.com/maps/place/Pease+Doors/data=!4m7!3m6!1s0x8841ac91e6aa3bb3:0x13c05a78e1b0d5e2!8m2!3d39.138998!4d-84.389544!16s%2Fg%2F1264km7rc!19sChIJszuq5pGsQYgR4tWw4XhawBM,Pease Doors,4.1,82,Door shop,"5801 Mariemont Ave, Cincinnati, OH 45227, United States","4JQ6+H5 Cincinnati, Ohio, USA",https://peasedoors.com/,+1 513-871-8907,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgUIY6mGNtOYNAPAUHw_sYfcsjy2J1XVD-Y9ChdiNUtPsIeXN1fyStPxYcIwFCbUJXJIKKUzjcwURdYj9GYabionUoYZuCx4k5e1OjFNDHXbUZ4nJLA5Msd9DF2Wkznce3YtrVO1d289rV=w408-h544-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:19.208Z,· Delivery,,,
https://www.google.com/maps/place/Precision+Overhead+Garage+Door+Service+of+Cincinnati/data=!4m7!3m6!1s0x8840453846cac735:0xff45fc025509cd0d!8m2!3d39.2074884!4d-84.4794543!16s%2Fg%2F11c32mbn2f!19sChIJNcfKRjhFQIgRDc0JVQL8Rf8,Precision Overhead Garage Door Service of Cincinnati,4.8,2122,Garage door supplier,"98 Caldwell Dr, Cincinnati, OH 45216, United States","6G4C+X6 Cincinnati, Ohio, USA",https://garagedoorscincinnatioh.com/?utm_source=GMBListing&utm_medium=organic,+1 513-275-9335,Closes soon ⋅ 6 pm ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipMH-MbtvlPsfyMQSZNeeMAD1ho9zBwblLpLAVXN=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:24.546Z,,,,
https://www.google.com/maps/place/Proline+Garage+Door+Repair+Cincinnati/data=!4m7!3m6!1s0x872baff6e9ca667b:0x7b240f0ce94f0690!8m2!3d39.1570779!4d-84.4043326!16s%2Fg%2F11l5v8l7p2!19sChIJe2bK6favK4cRkAZP6QwPJHs,Proline Garage Door Repair Cincinnati,4.7,26,Garage door supplier,"4625 Red Bank Rd, Cincinnati, OH 45227, United States","5H4W+R7 Cincinnati, Ohio, USA",,+1 803-797-0803,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxFTEHA3oFiKEefd94M2519Y4M2XPrpu3CWJJgVIwK9IlGWLQ41s7iySicyQicuTpwlJcp6ipT87z7GLWkWKaJ6YgcYf1r3f5aGLTkPPPcMHcH95AA3QjWFj7stnPQji02Y6mid=w408-h399-k-no,false,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:29.374Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Garage+Door+Experts+of+Cincinnati/data=!4m7!3m6!1s0x88405e66faa6f94f:0xe25fd60ecd204b32!8m2!3d39.447882!4d-84.182134!16s%2Fg%2F1jgltygqn!19sChIJT_mm-mZeQIgRMksgzQ7WX-I,Garage Door Experts of Cincinnati,4.9,895,Garage door supplier,"1054 Monroe Rd #102, Lebanon, OH 45036, United States","CRX9+54 Lebanon, Ohio, USA",http://www.cincinnatigaragedoors.com/,+1 513-318-4601,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOnsKkYUnEpieEG_TvgTQEK7UBzmpWmtSeakTjR=w487-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:34.361Z,,,,
https://www.google.com/maps/place/Cincinnati+Door+%26+Window/data=!4m7!3m6!1s0x88404d91bcf9fc67:0xbc05bfee25653bd!8m2!3d39.244525!4d-84.449946!16s%2Fg%2F1tj4hqv1!19sChIJZ_z5vJFNQIgRvVNW4v5bwAs,Cincinnati Door & Window,4.9,1449,Garage door supplier,"11 Techview Dr, Cincinnati, OH 45215, United States","6HV2+R2 Cincinnati, Ohio, USA",https://www.cincinnatidoor.com/,+1 513-821-5095,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipO7nAYNBEGmlxMXGtbJ5If39u_2C7Tb7nCN1Wuz=w408-h306-k-no,true,8 am–4:30 pm,9 am–12 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:39.391Z,,,,
https://www.google.com/maps/place/Cincinnati+Door+%26+Opener+Inc/data=!4m7!3m6!1s0x8841a9bb29218473:0x6ff8785c75070d99!8m2!3d39.070225!4d-84.301212!16s%2Fg%2F11bxjlb2n1!19sChIJc4QhKbupQYgRmQ0HdVx4-G8,Cincinnati Door & Opener Inc,4.9,213,Garage door supplier,"4030 Mt Carmel Tobasco Rd Suite 327a, Cincinnati, OH 45255, United States","3MCX+3G Cincinnati, Ohio, USA",http://www.cincinnatidoor.com/garage-door-company-anderson-beechmont/,+1 513-231-0540,Closed ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipMYS1Ovf_UHixlFyaDD6o8dEZ20Nq4oEBEapuw4=w408-h306-k-no,true,8 am–4:30 pm,9 am–12 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:44.112Z,,,,
https://www.google.com/maps/place/Door+Pros+Garage+and+Sliding+Services+LLC/data=!4m7!3m6!1s0xeb6844804f995a9:0x81b95410714ec2bb!8m2!3d39.2215637!4d-84.441451!16s%2Fg%2F11wqyhv02d!19sChIJqZX5BEiEtg4Ru8JOcRBUuYE,Door Pros Garage and Sliding Services LLC,5.0,21,Repair service,"8832 Reading Rd suite C, Cincinnati, OH 45215, United States","6HC5+JC Cincinnati, Ohio, USA",https://www.doorproscincinnati.com/,+1 513-258-2633,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOuddI6U_cfU31SIowrEYJaFYW26hNTiP3_1JaZ=w408-h306-k-no,true,8 am–8 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:49.286Z,,,,
https://www.google.com/maps/place/Garage+Doors+of+Cincinnati/data=!4m7!3m6!1s0x8841b775bd17bc67:0xb39b6bedd25c525a!8m2!3d39.044934!4d-84.5786012!16s%2Fg%2F11frrx2fnr!19sChIJZ7wXvXW3QYgRWlJc0u1rm7M,Garage Doors of Cincinnati,5.0,31,Garage door supplier,"2545 Ritchie Ave, Crescent Springs, KY 41017, United States","2CVC+XH Crescent Springs, Kentucky, USA",http://garagedoorscincinnati.com/,+1 513-447-6736,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMRSA8noG048FSbq48zBwI7JstZxCo64ddHmlUA=w408-h271-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:54.211Z,,,,
https://www.google.com/maps/place/Garage+Door+Service+%26+Repair/data=!4m7!3m6!1s0x8841c90adbecb309:0x815a68836b681d52!8m2!3d39.0839771!4d-84.6117968!16s%2Fg%2F11j37lyc82!19sChIJCbPs2wrJQYgRUh1oa4NoWoE,Garage Door Service & Repair,3.5,10,Contractor,"216 Assisiknoll Ct, Cincinnati, OH 45238, United States","39MQ+H7 Cincinnati, Ohio, USA",,+1 513-347-3000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iOACtm1oqO5ATtne5Qmoug&cb_client=search.gws-prod.gps&w=408&h=240&yaw=141.95683&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-11-07T22:45:57.076Z,,,,
